category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
22976,Casters,30124,"3"" Rigid Caster",,E:\IMAGES\ITEMS\product\3\0\ivy-classic-30124-3-rigid-caster.jpg,IVY Classic,,Heavy-duty rubber wheelRigid platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),Rigid Casters  Heavy-duty rubber wheelRigid platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),,,"3"" Rigid Caster"
22976,Casters,30126,"4"" Rigid Caster",,E:\IMAGES\ITEMS\product\3\0\ivy-classic-30126-4-rigid-caster.jpg,IVY Classic,,Heavy-duty rubber wheelRigid platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),Rigid Casters  Heavy-duty rubber wheelRigid platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),,,"4"" Rigid Caster"
22976,Casters,30120,"2"" Rigid Caster",,E:\IMAGES\ITEMS\product\3\0\ivy-classic-30120-2-rigid-caster.jpg,IVY Classic,,Heavy-duty rubber wheelRigid platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),Rigid Casters  Heavy-duty rubber wheelRigid platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),,,"2"" Rigid Caster"
22976,Casters,30122,"2-1/2"" Rigid Caster",,E:\IMAGES\ITEMS\product\3\0\ivy-classic-30122-2-12-rigid-caster.jpg,IVY Classic,,Heavy-duty rubber wheelRigid platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),Rigid Casters  Heavy-duty rubber wheelRigid platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),,,"2-1/2"" Rigid Caster"
22976,Casters,30014,"3"" Swivel Caster w/Brake",,E:\IMAGES\ITEMS\product\3\0\ivy-classic-30014-3-swivel-caster-wbrake.jpg,IVY Classic,,Heavy-duty rubber wheelBall-bearing swivel platePositive-lock wheel brakePacked in heavy-duty boxes with color labels containing specifications. (see illustration),Swivel Casters with Brake  Heavy-duty rubber wheelBall-bearing swivel platePositive-lock wheel brakePacked in heavy-duty boxes with color labels containing specifications. (see illustration),,,"3"" Swivel Caster w/Brake"
22976,Casters,30012,"2-1/2"" Swivel Caster w/Brake",,E:\IMAGES\ITEMS\product\3\0\ivy-classic-30012-2-12-swivel-caster-wbrake.jpg,IVY Classic,,Heavy-duty rubber wheelBall-bearing swivel platePositive-lock wheel brakePacked in heavy-duty boxes with color labels containing specifications. (see illustration),Swivel Casters with Brake  Heavy-duty rubber wheelBall-bearing swivel platePositive-lock wheel brakePacked in heavy-duty boxes with color labels containing specifications. (see illustration),,,"2-1/2"" Swivel Caster w/Brake"
22976,Casters,30016,"4"" Swivel Caster w/Brake",,E:\IMAGES\ITEMS\product\3\0\ivy-classic-30016-4-swivel-caster-wbrake.jpg,IVY Classic,,Heavy-duty rubber wheelBall-bearing swivel platePositive-lock wheel brakePacked in heavy-duty boxes with color labels containing specifications. (see illustration),Swivel Casters with Brake  Heavy-duty rubber wheelBall-bearing swivel platePositive-lock wheel brakePacked in heavy-duty boxes with color labels containing specifications. (see illustration),,,"4"" Swivel Caster w/Brake"
22976,Casters,30000,"2"" Swivel Caster",,E:\IMAGES\ITEMS\product\3\0\ivy-classic-30000-2-swivel-caster.jpg,IVY Classic,,Heavy-duty rubber wheelBall-bearing swivel platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),Swivel Casters  Heavy-duty rubber wheelBall-bearing swivel platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),,,"2"" Swivel Caster"
22976,Casters,30006,"4"" Swivel Caster",,E:\IMAGES\ITEMS\product\3\0\ivy-classic-30006-4-swivel-caster.jpg,IVY Classic,,Heavy-duty rubber wheelBall-bearing swivel platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),Swivel Casters  Heavy-duty rubber wheelBall-bearing swivel platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),,,"4"" Swivel Caster"
22976,Casters,30010,"2"" Swivel Caster w/Brake",,E:\IMAGES\ITEMS\product\3\0\ivy-classic-30010-2-swivel-caster-wbrake.jpg,IVY Classic,,Heavy-duty rubber wheelBall-bearing swivel platePositive-lock wheel brakePacked in heavy-duty boxes with color labels containing specifications. (see illustration),Swivel Casters with Brake  Heavy-duty rubber wheelBall-bearing swivel platePositive-lock wheel brakePacked in heavy-duty boxes with color labels containing specifications. (see illustration),,,"2"" Swivel Caster w/Brake"
22976,Casters,30004,"3"" Swivel Caster",,E:\IMAGES\ITEMS\product\3\0\ivy-classic-30004-3-swivel-caster.jpg,IVY Classic,,Heavy-duty rubber wheelBall-bearing swivel platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),Swivel Casters  Heavy-duty rubber wheelBall-bearing swivel platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),,,"3"" Swivel Caster"
22976,Casters,30002,"2-1/2"" Swivel Caster",,E:\IMAGES\ITEMS\product\3\0\ivy-classic-30002-2-12-swivel-caster.jpg,IVY Classic,,Heavy-duty rubber wheelBall-bearing swivel platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),Swivel Casters  Heavy-duty rubber wheelBall-bearing swivel platePacked in heavy-duty boxes with color labels containing specifications. (see illustration),,,"2-1/2"" Swivel Caster"
27969,Tape Measures,13326,"7.5m/25' x 1""  Dbl Sided Mag Hook Tape",,E:\IMAGES\ITEMS\product\1\3\ivy-classic-13326-75m25-x-1-dbl-sided-mag-hook-tape.jpg,IVY Classic,,"Powerful magnetic tip for one person measurements.Double-sided blade is heat-treated and coated for durability.Easy-Read FractionsPower Pro Grip® - contoured rubber grip fits in hand comfortably.Easy overhead, one h","Double Sided Magnetic Measuring Tapes   Carded  Powerful magnetic tip for one person measurements.Double-sided blade is heat-treated and coated for durability.Easy-Read FractionsPower Pro Grip® - contoured rubber grip fits in hand comfortably.Easy overhead, one handed measuringLarge, convenient blade lock.Hook reinforced with four rivets.Thicker blade for longer standout.",,,"7.5m/25' x 1""  Dbl Sided Mag Hook Tape"
27969,Tape Measures,13316,"16' x 1"" Dbl Sided Magnetic Hook Tape",,E:\IMAGES\ITEMS\product\1\3\ivy-classic-13316-16-x-1-dbl-sided-magnetic-hook-tape.jpg,IVY Classic,,"Powerful magnetic tip for one person measurements.Double-sided blade is heat-treated and coated for durability.Easy-Read FractionsPower Pro Grip® - contoured rubber grip fits in hand comfortably.Easy overhead, one h","Double Sided Magnetic Measuring Tapes   Carded  Powerful magnetic tip for one person measurements.Double-sided blade is heat-treated and coated for durability.Easy-Read FractionsPower Pro Grip® - contoured rubber grip fits in hand comfortably.Easy overhead, one handed measuringLarge, convenient blade lock.Hook reinforced with four rivets.Thicker blade for longer standout.",,,"16' x 1"" Dbl Sided Magnetic Hook Tape"
27969,Tape Measures,13325,"25' x 1"" Dbl Sided Magnetic Hook Tape",,E:\IMAGES\ITEMS\product\1\3\ivy-classic-13325-25-x-1-dbl-sided-magnetic-hook-tape.jpg,IVY Classic,,Powerful magnetic tip for one person measurements.     Double-sided blade is heat-treated and coated for durability.     Easy-Read Fractions     Power Pro Grip® - contoured rubber grip fits in hand comfortably.,"Double Sided Magnetic Measuring Tapes   Carded         Powerful magnetic tip for one person measurements.     Double-sided blade is heat-treated and coated for durability.     Easy-Read Fractions     Power Pro Grip® - contoured rubber grip fits in hand comfortably.     Easy overhead, one handed measuring     Large, convenient blade lock.     Hook reinforced with four rivets.     Thicker blade for longer standout.",,,"25' x 1"" Dbl Sided Magnetic Hook Tape"
