category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
24911,Oscillating Tool Accessories,IBOAT337,IBOAT337 ONE FIT 2-1/2? Wood with Nails BM TiN STORM Blade,,E:\IMAGES\ITEMS\product\I\B\imperial-blades-iboat337-iboat337-one-fit-2-12-wood-with-nails-bm-tin-storm-blade.jpg,Imperial Blades,,Constructed with bi-metal materials Made in the USA ONEFIT anchor to ensure proper fit on every oscillating tool 2-1/2? blade width,"Applications 						Wood, Nails, Wood/Nails  					 										 						Blade Width 						2-1/2""  					 										 						Available Quantities 						1x / 3x / 10x",,,IBOAT337 ONE FIT 2-1/2? Wood with Nails BM TiN STORM Blade
24911,Oscillating Tool Accessories,IBOAT340,IBOAT340 ONE FIT 1-3/4? Universal BM TiN STORM Blade,,E:\IMAGES\ITEMS\product\I\B\imperial-blades-iboat340-iboat340-one-fit-1-34-universal-bm-tin-storm-blade.jpg,Imperial Blades,,Constructed with bi-metal materials Made in the USA ONEFIT anchor to ensure proper fit on every oscillating tool 1-3/4? blade width,"Applications 						Wood, Nails, Wood/Nails  					 										 						Blade Width 						1-3/4""  					 										 						Available Quantities 						1x / 3x / 10x / 25x",,,IBOAT340 ONE FIT 1-3/4? Universal BM TiN STORM Blade
24911,Oscillating Tool Accessories,IBOA391,IBOA391 ONE FIT 2? 90 Degree Reach Blade,,E:\IMAGES\ITEMS\product\I\B\imperial-blades-iboa391-iboa391-one-fit-2-90-degree-reach-blade.jpg,Imperial Blades,,Constructed with bi-metal materials Made in the USA ONEFIT anchor to ensure proper fit on every oscillating tool 1 1/4? blade width,"Applications 						Wood/Nails, PVC, Medium Metal  					 										 						Blade Width 						1-1/4""  					 										 						Available Quantities 						1x",,,IBOA391 ONE FIT 2? 90 Degree Reach Blade
24911,Oscillating Tool Accessories,IBOTSPH,ONE FIT Triangular Sandpaper Attachments,,E:\IMAGES\ITEMS\product\I\B\imperial-blades-ibotsph-one-fit-triangular-sandpaper-attachments.jpg,Imperial Blades,,"Sandpaper attaches to the triangular sanding pad (IBOATSP) Made in the USA Grits Available: 60, 80, 120, 180, 220 Each package contains (5) sanding pad attachments",,,,ONE FIT Triangular Sandpaper Attachments
24911,Oscillating Tool Accessories,IBOA610,IBOA610 ONE FIT 2-1/2?  Segment Carbide,,E:\IMAGES\ITEMS\product\I\B\imperial-blades-iboa610-iboa610-one-fit-2-12-segment-carbide.jpg,Imperial Blades,,Great for grout and groove cutting Made in the USA ONEFIT anchor to ensure proper fit on every oscillating tool Coated with a carbide grit,"Applications 						Tile, Brick  					 										 						Blade Width 						n/a  					 										 						Available Quantities 						1x",,,IBOA610 ONE FIT 2-1/2?  Segment Carbide
24911,Oscillating Tool Accessories,IBOA300,IBOA300 ONE FIT 1-1/4? Wood w/Nails BM Blade,,E:\IMAGES\ITEMS\product\I\B\imperial-blades-iboa300-iboa300-one-fit-1-14-wood-wnails-bm-blade.jpg,Imperial Blades,,Constructed with bi-metal materials Made in the USA ONEFIT anchor to ensure proper fit on every oscillating tool 1 1/4? blade width,"Applications 						Wood/Nails, Bolts, Thick Metal  					 										 						Blade Width 						1-1/4""  					 										 						Available Quantities 						1x / 3x / 10x",,,IBOA300 ONE FIT 1-1/4? Wood w/Nails BM Blade
24911,Oscillating Tool Accessories,IBOA730,IBOA730 ONE FIT Segment Diamond Grit Blade,,E:\IMAGES\ITEMS\product\I\B\imperial-blades-iboa730-iboa730-one-fit-segment-diamond-grit-blade.jpg,Imperial Blades,,Durable diamond coating that allows for longer and consistent cutting or grinding Made in the USA ONEFIT anchor to ensure proper fit on every oscillating tool Coated with a diamond grit,"Applications 						Tile, Brick  					 										 						Blade Width 						n/a  					 										 						Available Quantities 						1x",,,IBOA730 ONE FIT Segment Diamond Grit Blade
24911,Oscillating Tool Accessories,IBOA120,IBOA120 ONE FIT 3/8? Detail Wood HCS Blade,,E:\IMAGES\ITEMS\product\I\B\imperial-blades-iboa120-iboa120-one-fit-38-detail-wood-hcs-blade.jpg,Imperial Blades,,Constructed with high carbon steel Made in the USA ONEFIT anchor to ensure proper fit on every oscillating tool 3/8? blade width,"Applications 						Wood, PVC  					 										 						Blade Width 						3/8""  					 										 						Available Quantities 						1x",,,IBOA120 ONE FIT 3/8? Detail Wood HCS Blade
24911,Oscillating Tool Accessories,IBOAT330,IBOAT330 ONE FIT 1-1/4? Universal BM TiN STORM Blade,,E:\IMAGES\ITEMS\product\I\B\imperial-blades-iboat330-iboat330-one-fit-1-14-universal-bm-tin-storm-blade.jpg,Imperial Blades,,Constructed with bi-metal materials Made in the USA ONEFIT anchor to ensure proper fit on every oscillating tool 1-1/4? blade width,"Applications 						Wood, Nails, Wood/Nails  					 										 						Blade Width 						1-1/4""  					 										 						Available Quantities 						1x / 3x / 10x / 25x",,,IBOAT330 ONE FIT 1-1/4? Universal BM TiN STORM Blade
24911,Oscillating Tool Accessories,IBOATV-3,IBOATV-3 ONE FIT Variety 3 Pack,,E:\IMAGES\ITEMS\product\I\B\imperial-blades-iboatv-3-iboatv-3-one-fit-variety-3-pack.jpg,Imperial Blades,,"All blades constructed with bi-metal materials Made in the USA ONEFIT anchor to ensure proper fit on every oscillating tool Blades included are the (1)IBOAT340, (1)IBOAT330, and (1)IBOAT336","Applications 						Wood, Wood/Nails, Thick Metal, PVC  					 										 						Blade Width 						n/a  					 										 						Available Quantities 						1x",,,IBOATV-3 ONE FIT Variety 3 Pack
