category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1243|27839,Deck Screws|Bugle Head Screws,614CW,Outdoor Philips Bugle Head Screws,Exterior wood screws used for attaching wood to wood.,E:\IMAGES\ITEMS\product\6\1\Outdoor-Philips-Bugle-Head.jpg,Intercorp,Exterior wood screws used for attaching wood to wood.,"Exceeds 1,000/hr. salt spray resistance Designed to work with ACQ treated lumber High degree of corrosion resistance",,,"Size: 6 x 1-1/4, Quantity: 8M, Weight: 29 lbs.",Outdoor Philips Bugle Head Screws
1243|27839,Deck Screws|Bugle Head Screws,615CW,Intercorp 615CW Outdoor Philips Bugle Head Screw,Exterior wood screws used for attaching wood to wood.,E:\IMAGES\ITEMS\product\6\1\Outdoor-Philips-Bugle-Head.jpg,Intercorp,Intercorp 615CW Outdoor Philips Bugle Head Screw,"Exceeds 1,000/hr. salt spray resistance Designed to work with ACQ treated lumber High degree of corrosion resistance",,,"Size: 6 x 1-5/8, Quantity: 5M, Weight: 22 lbs.",Intercorp 615CW Outdoor Philips Bugle Head Screw
1243|27839,Deck Screws|Bugle Head Screws,620CW,Intercorp 620CW Outdoor Philips Bugle Head Screw,Exterior wood screws used for attaching wood to wood.,E:\IMAGES\ITEMS\product\6\1\Outdoor-Philips-Bugle-Head.jpg,Intercorp,Intercorp 620CW Outdoor Philips Bugle Head Screw,"Exceeds 1,000/hr. salt spray resistance Designed to work with ACQ treated lumber High degree of corrosion resistance",,,"Size: 6 x 2, Quantity: 3.5M, Weight: 19 lbs.",Intercorp 620CW Outdoor Philips Bugle Head Screw
1243|27839,Deck Screws|Bugle Head Screws,822CW,Intercorp 822CW Outdoor Philips Bugle Head Screw,Exterior wood screws used for attaching wood to wood.,E:\IMAGES\ITEMS\product\6\1\Outdoor-Philips-Bugle-Head.jpg,Intercorp,Intercorp 822CW Outdoor Philips Bugle Head Screw,"Exceeds 1,000/hr. salt spray resistance Designed to work with ACQ treated lumber High degree of corrosion resistance",,,"Size: 8 x 2-21/2, Quantity: 2.5M, Weight: 22 lbs.",Intercorp 822CW Outdoor Philips Bugle Head Screw
1243|27839,Deck Screws|Bugle Head Screws,830CW,Intercorp 830CW Outdoor Philips Bugle Head Screw,Exterior wood screws used for attaching wood to wood.,E:\IMAGES\ITEMS\product\6\1\Outdoor-Philips-Bugle-Head.jpg,Intercorp,Intercorp 830CW Outdoor Philips Bugle Head Screw,"Exceeds 1,000/hr. salt spray resistance Designed to work with ACQ treated lumber High degree of corrosion resistance",,,"Size: 8 x 3, Quantity: 2M, Weight: 21 lbs.",Intercorp 830CW Outdoor Philips Bugle Head Screw
1243|27839,Deck Screws|Bugle Head Screws,XQ615W,Outdoor Square Bugle Head Screws,,E:\IMAGES\ITEMS\product\X\Q\Outdoor-Square-Bugle-Head.jpg,Intercorp,,"Designed to work with ACQ treated lumber Exceeds 1,000/hr. salt spray resistance High degree of corrosion resistance",,,"Size: 6 x 1-5/8, Quantity: 5M,  Weight: 22 lbs.",Outdoor Square Bugle Head Screws
1243|27839,Deck Screws|Bugle Head Screws,XQ620W,Intercorp XQ620W Outdoor Square Bugle Head Screws,,E:\IMAGES\ITEMS\product\X\Q\Outdoor-Square-Bugle-Head.jpg,Intercorp,Intercorp XQ620W Outdoor Square Bugle Head Screws,"Designed to work with ACQ treated lumber Exceeds 1,000/hr. salt spray resistance High degree of corrosion resistance",,,"Size: 6 x 2, Quantity: 3.5M, Weight: 16 lbs.",Intercorp XQ620W Outdoor Square Bugle Head Screws
1243|27839,Deck Screws|Bugle Head Screws,XQ822W,Intercorp XQ822W Outdoor Square Bugle Head Screws,,E:\IMAGES\ITEMS\product\X\Q\Outdoor-Square-Bugle-Head.jpg,Intercorp,Intercorp XQ822W Outdoor Square Bugle Head Screws,"Designed to work with ACQ treated lumber Exceeds 1,000/hr. salt spray resistance High degree of corrosion resistance",,,"Size: 8 x 2-1/2, Quantity: 2.5M, Weight: 22 lbs.",Intercorp XQ822W Outdoor Square Bugle Head Screws
1243|27839,Deck Screws|Bugle Head Screws,XQ830W,Intercorp XQ830W Outdoor Square Bugle Head Screws,,E:\IMAGES\ITEMS\product\X\Q\Outdoor-Square-Bugle-Head.jpg,Intercorp,Intercorp XQ830W Outdoor Square Bugle Head Screws,"Designed to work with ACQ treated lumber Exceeds 1,000/hr. salt spray resistance High degree of corrosion resistance",,,"Size: 8 x 3, Quantity: 2M, Weight: 21 lbs.",Intercorp XQ830W Outdoor Square Bugle Head Screws
1243|27839,Deck Screws|Bugle Head Screws,XQ1031W,Intercorp XQ1031W Outdoor Square Bugle Head Screws,,E:\IMAGES\ITEMS\product\X\Q\Outdoor-Square-Bugle-Head.jpg,Intercorp,Intercorp XQ1031W Outdoor Square Bugle Head Screws,"Designed to work with ACQ treated lumber Exceeds 1,000/hr. salt spray resistance High degree of corrosion resistance",,,"Size: 10 x 3-1/2, Quantity: 1M, Weight: 18 lbs.",Intercorp XQ1031W Outdoor Square Bugle Head Screws
