category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2506|21999,Specialty Wrenches|Pipe Wrenches,10818,"18"" Pipe Wrench","Pipe wrenches cast iron ""vise grip"" lgth. 18 inch",E:\IMAGES\ITEMS\product\1\0\10818-Orgill-18-Pipe.jpg,Irwin Tools,"Pipe wrenches cast iron ""vise grip"" lgth. 18 inch","Heavy-duty cast iron housing with drop forged jaw that is heat-treated to resist distortion or breakage, hardened teeth, easy spin adjusting nut, hammer head provides flat surface for hammering. I-Beam handle's wide provides better weight distribution.",,,"10818 Irwin Tools 18"" Pipe Wrench","18"" Pipe Wrench"
700|21858,Locking Tool|Locking Pliers,17,"- 6"" Locking Clamp With Regular Tips",The Original Locking C-Clamps With Regular Tips,E:\IMAGES\ITEMS\product\1\7\Irwin-Tools-17-6R-6-Locking-Clamp-With-Regular.jpg,Irwin Tools,The Original Locking C-Clamps With Regular Tips,Wide-opening jaws provide greater versatility in clamping a variety of shapes Turn screw to adjust pressure and fit work. Stays adjusted for repetitive use Constructed of high-grade heat-treated alloy steel for maximum toughness and durability Classic trigger release designed to provide maximum locking force,"Jaw Capacity: 2-1/8"" / 54 mmSize: 6"" / 150 mm",,"Irwin Tools - 6"" Locking Clamp With Regular Tips","- 6"" Locking Clamp With Regular Tips"
701|21858,Locking Pliers|Locking Pliers,13,Irwin Curved Jaw Locking Pliers,,E:\IMAGES\ITEMS\product\1\3\13-Irwin-Curved-Jaw-Locking.jpg,Irwin Tools,,"Self-energizing lower jaw provides 3X more gripping power than traditional locking pliers, with no slipping or stripping. Provides maximum torque without requiring heavy input pressure - jaw mechanism naturally grips tighter as more torque is applied to the tool. Classic trigger release provides maximum locking force. Curved jaw puts tremendous pressure on four points of any style nut or bolt head, making it perfect for any application that requires maximum torque. Constructed of high-grade heat-treated alloy steel for maximum toughness and durability. Hardened teeth are designed to grip from any angle. Hex key adjusting screw tightens to adjust pressure and draw materials together and provides a controlled release. Backed by the IRWIN VISE-GRIP Lifetime Guarantee.",,,13 Irwin Curved Jaw Locking Pliers,Irwin Curved Jaw Locking Pliers
724|24975,Jig Saw Blades|Jig Saw Blades,3071412,"4"" U-Shank Jig Saw Blade TPI: 10 Tooth Design: Fleam Ground","4"" U-Shank Jig Saw Blade TPI: 10 Tooth Design: Fleam Ground - IRWIN Tools - 3071412",E:\IMAGES\ITEMS\product\4\-\4-u-shank-jig-saw-blade-tpi-10-tooth-design-fleam-ground-irwin-tools-3071412.jpg,Irwin Tools,Jig Saw Blades,,"Wood Cutting: Precision ground teeth for fast smooth cutting in hard and soft wood, plastics, laminate particle board and plywood . Metal Cutting: Fully hardened teeth for cutting ferrous and non-ferrous metals, aluminum and sheet steel.",,"4"" U-Shank Jig Saw Blade TPI: 10 Tooth Design: Fleam Ground - IRWIN Tools - 3071412","4"" U-Shank Jig Saw Blade TPI: 10 Tooth Design: Fleam Ground"
724|24975,Jig Saw Blades|Jig Saw Blades,3071410,"4"" U-Shank Jig Saw Blade TPI: 10 Tooth Design: Milled","4"" U-Shank Jig Saw Blade TPI: 10 Tooth Design: Milled - IRWIN Tools - 3071410",E:\IMAGES\ITEMS\product\4\-\4-u-shank-jig-saw-blade-tpi-10-tooth-design-milled-irwin-tools-3071410.jpg,Irwin Tools,Jig Saw Blades,,"Wood Cutting: Precision ground teeth for fast smooth cutting in hard and soft wood, plastics, laminate particle board and plywood . Metal Cutting: Fully hardened teeth for cutting ferrous and non-ferrous metals, aluminum and sheet steel.",,"4"" U-Shank Jig Saw Blade TPI: 10 Tooth Design: Milled - IRWIN Tools - 3071410","4"" U-Shank Jig Saw Blade TPI: 10 Tooth Design: Milled"
724|24975,Jig Saw Blades|Jig Saw Blades,3071406,"4"" U-Shank Jig Saw Blade TPI: 6 Tooth Design: Fleam Ground","4"" U-Shank Jig Saw Blade TPI: 6 Tooth Design: Fleam Ground - IRWIN Tools - 3071406",E:\IMAGES\ITEMS\product\4\-\4-u-shank-jig-saw-blade-tpi-6-tooth-design-fleam-ground-irwin-tools-3071406.jpg,Irwin Tools,Jig Saw Blades,,"Wood Cutting: Precision ground teeth for fast smooth cutting in hard and soft wood, plastics, laminate particle board and plywood . Metal Cutting: Fully hardened teeth for cutting ferrous and non-ferrous metals, aluminum and sheet steel.",,"4"" U-Shank Jig Saw Blade TPI: 6 Tooth Design: Fleam Ground - IRWIN Tools - 3071406","4"" U-Shank Jig Saw Blade TPI: 6 Tooth Design: Fleam Ground"
724|24975,Jig Saw Blades|Jig Saw Blades,3071336,"3-1/4"" U-Shank Jig Saw Blade TPI: 36","3-1/4"" U-Shank Jig Saw Blade TPI: 36 - IRWIN Tools - 3071336",E:\IMAGES\ITEMS\product\3\-\3-14-u-shank-jig-saw-blade-tpi-36-irwin-tools-3071336.jpg,Irwin Tools,Jig Saw Blades,,"Wood Cutting: Precision ground teeth for fast smooth cutting in hard and soft wood, plastics, laminate particle board and plywood . Metal Cutting: Fully hardened teeth for cutting ferrous and non-ferrous metals, aluminum and sheet steel.",,"3-1/4"" U-Shank Jig Saw Blade TPI: 36 - IRWIN Tools - 3071336","3-1/4"" U-Shank Jig Saw Blade TPI: 36"
724|24975,Jig Saw Blades|Jig Saw Blades,3071320,"3-1/4"" U-Shank Jig Saw Blade TPI: 20","3-1/4"" U-Shank Jig Saw Blade TPI: 20 - IRWIN Tools - 3071320",E:\IMAGES\ITEMS\product\3\-\3-14-u-shank-jig-saw-blade-tpi-20-irwin-tools-3071320.jpg,Irwin Tools,Jig Saw Blades,,"Wood Cutting: Precision ground teeth for fast smooth cutting in hard and soft wood, plastics, laminate particle board and plywood . Metal Cutting: Fully hardened teeth for cutting ferrous and non-ferrous metals, aluminum and sheet steel.",,"3-1/4"" U-Shank Jig Saw Blade TPI: 20 - IRWIN Tools - 3071320","3-1/4"" U-Shank Jig Saw Blade TPI: 20"
724|24975,Jig Saw Blades|Jig Saw Blades,3071314,"3-1/4"" U-Shank Jig Saw Blade TPI: 14","3-1/4"" U-Shank Jig Saw Blade TPI: 14 - IRWIN Tools - 3071314",E:\IMAGES\ITEMS\product\3\-\3-14-u-shank-jig-saw-blade-tpi-14-irwin-tools-3071314.jpg,Irwin Tools,Jig Saw Blades,,"Wood Cutting: Precision ground teeth for fast smooth cutting in hard and soft wood, plastics, laminate particle board and plywood . Metal Cutting: Fully hardened teeth for cutting ferrous and non-ferrous metals, aluminum and sheet steel.",,"3-1/4"" U-Shank Jig Saw Blade TPI: 14 - IRWIN Tools - 3071314","3-1/4"" U-Shank Jig Saw Blade TPI: 14"
724|24975,Jig Saw Blades|Jig Saw Blades,3071300,"3"" U-Shank Jig Saw Blade","3"" U-Shank Jig Saw Blade - IRWIN Tools - 3071300",E:\IMAGES\ITEMS\product\3\-\3-u-shank-jig-saw-blade-irwin-tools-3071300.jpg,Irwin Tools,Jig Saw Blades,,"Wood Cutting: Precision ground teeth for fast smooth cutting in hard and soft wood, plastics, laminate particle board and plywood . Metal Cutting: Fully hardened teeth for cutting ferrous and non-ferrous metals, aluminum and sheet steel.",,"3"" U-Shank Jig Saw Blade - IRWIN Tools - 3071300","3"" U-Shank Jig Saw Blade"
