category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
159|25838,Hard Hats|Hard Hat Face Shields,3000001,A-F3000L Headgear,Model K Headger,E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3000001-A-F3000L.jpg,Jackson Safety,Model K Headger,"Spark deflector Soft, absorbent wrap-around foam cushioned sweatband gently hugs the natural shape of the head Ratchet and Pinlock supension options Meets ANSI Z87.1 Standard Faceshield sold separately",,,Jackson Safety 3000001 A-F3000L Headgear,A-F3000L Headgear
159|25838,Hard Hats|Hard Hat Face Shields,3000032,Aluminum Bracket For Cap,Model C Bracket (Cap Coil Spring Attachment),E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3000032-Aluminum-Bracket-For.jpg,Jackson Safety,Model C Bracket (Cap Coil Spring Attachment),"Fits most safety caps Simple ""on-off"" attachment/replacement system Holds a variety of Huntsman visors Visor sold separately Meets CSA Standards Standard package 12",,,Jackson Safety 3000032 Aluminum Bracket For Cap,Aluminum Bracket For Cap
164|25635,Safety Glasses|Safety Glasses,3000354,Nemesis Black Frame Clear Lens,Nemesis Black Frame Clear Lens Safety Glasses V30,E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3000354-Nemesis-Black-Frame-Clear.jpg,Jackson Safety,Nemesis Black Frame Clear Lens Safety Glasses V30,"NOW AVAILABLE in new Camo Frame/Lens combos and a hot new Red Frame/Smoke Lens Sleek, sporty style Soft touch temples Lightweight construction Single lens wrap-around protection Includes free neck cord Also available in CSA models Standard package 12 Base Curve 8 Select non-polarized Nemesis eyewear available in gravity feed retail display box",,,Nemesis Black Frame Clear Lens,Nemesis Black Frame Clear Lens
164|25635,Safety Glasses|Safety Glasses,3000356,Nemesis Black Frame Smoke Mirror Lens,Nemesis Black Frame w/ Smoke Mirror Lens Safety Glasses,E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3000356-Nemesis-Black-Frame-Smoke-Mirror.jpg,Jackson Safety,Nemesis Black Frame w/ Smoke Mirror Lens Safety Glasses,"Sleek, sporty style Soft touch temples Lightweight construction Single lens wrap-around protection Includes free neck cord Also available in CSA models Standard package 12 Base Curve 8 Select non-polarized Nemesis eyewear available in gravity feed retail display box",,,Nemesis Black Frame Smoke Mirror Lens,Nemesis Black Frame Smoke Mirror Lens
164|25635,Safety Glasses|Safety Glasses,3000358,Nemesis Black Frame Blue Mirror Lens,Nemesis Black Frame w/ Blue Mirror Lens Safety Glasses,E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3000358-Nemesis-Black-Frame-Blue-Mirror.jpg,Jackson Safety,Nemesis Black Frame w/ Blue Mirror Lens Safety Glasses,"Sleek, sporty style Soft touch temples Lightweight construction Single lens wrap-around protection Includes free neck cord Also available in CSA models Standard package 12 Base Curve 8 Select non-polarized Nemesis eyewear available in gravity feed retail display box",,,Nemesis Black Frame Blue Mirror Lens,Nemesis Black Frame Blue Mirror Lens
164|26144,Safety Glasses|Hats,3000435,AA-7M Orange Winterliners,Orange Wind Guard AA-7,E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3000435-AA-7M-Orange.jpg,Jackson Safety,Orange Wind Guard AA-7,Cap Style Standard Pack 12,,,Jackson Safety 3000435 AA-7M Orange Winterliners,AA-7M Orange Winterliners
159|25842,Hard Hats|Hard Hats,3000442,Quilted Winter Liner,Winter Liner 225 Plus,E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3000442-Quilted-Winter.jpg,Jackson Safety,Winter Liner 225 Plus,Blue quilted nylon shell with fastener straps Three layers of thick foam,,,Jackson Safety 3000442 Quilted Winter Liner,Quilted Winter Liner
164|25635,Safety Glasses|Safety Glasses,3000555,Lens Cleaning Toweletts,Lens Cleaning Station,E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3000555-Lens-Cleaning.jpg,Jackson Safety,Lens Cleaning Station,"Wall Monunt For Glass, plastic and polycarbonate lenses, goggles, and visors Anti-Fog, Anti-Static Formula Available in 100 individually package towelettes per box or spray bottle with 100 low tint tissues",,,Jackson Safety 3000555 Lens Cleaning Toweletts,Lens Cleaning Toweletts
164|25634,Safety Glasses|Replacement Eyewear Lenses,3000645,"2"" x 4-1/4"" Shade 10 Lens Replacement",Cover Lenses and Filter Plates,E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3000645-2-x-4-14-Shade-10-Lens.jpg,Jackson Safety,"427 Filter Lens Sh. 10 2"" x 4 1/4"" Polycarbonate Filter Lens","Cover Lenses, Filter Lenses, Safety Plates, and Magnifying Plates",,,"2"" x 4-1/4"" Shade 10 Lens Replacement","2"" x 4-1/4"" Shade 10 Lens Replacement"
164|25634,Safety Glasses|Replacement Eyewear Lenses,3000650,"4-1/2"" x 5-1/4"" Shade 10 Lens Replacement","1127 Filter Lens Sh. 10 4 1/2"" x 5 1/4"" Polycarbonate Filter Lens",E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3000650-4-12-x-5-14-Shade-10-Lens.jpg,Jackson Safety,"1127 Filter Lens Sh. 10 4 1/2"" x 5 1/4"" Polycarbonate Filter Lens","Cover Lenses, Filter Lenses, Safety Plates, and Magnifying Plates",,,"4-1/2"" x 5-1/4"" Shade 10 Lens Replacement","4-1/2"" x 5-1/4"" Shade 10 Lens Replacement"
26691,Welding Goggles,3002695,WELDING GOGGLES 2X4 SHADE 5 6061303,"V100 WS-80 Welding Goggles 2"" x 4-1/4"" Filter Plate",E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3002695-Welding-Goggles-2-x-4-14-Filter.jpg,Jackson Safety,"V100 WS-80 Welding Goggles 2"" x 4-1/4"" Filter Plate",Flexible frame Fixed front Shade 5.0 Meets ANSI Z87.1+ standards,,,"Jackson Safety 3002695 Welding Goggles 2"" x 4-1/4"" Filter Plate",WELDING GOGGLES 2X4 SHADE 5 6061303
164|25635,Safety Glasses|Safety Glasses,3004880,Element Clear Frame Clear Lens Safety Glasses,"Element Clear Frame, Clear Lens Safety Glasses",E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3004880-Element-Clear-Frame-Clear-Lens.jpg,Jackson Safety,"Element Clear Frame, Clear Lens Safety Glasses","Lightweight Design Sleek, popular styling with an economical price Universal nose bridge for comfort Base Curve 9.5",,,Jackson Safety 3004880 Element Clear Frame Clear Lens Safety Glasses,Element Clear Frame Clear Lens Safety Glasses
164|25635,Safety Glasses|Safety Glasses,3004882,Element Black Frame Smoke Lens Safety Glasses,"Element Black Frame, Smoke Lens",E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3004882-Element-Black-Frame-Smoke-Lens.jpg,Jackson Safety,"Element Black Frame, Smoke Lens","Lightweight Design Sleek, popular styling with an economical price Universal nose bridge for comfort Base Curve 9.5",,,Jackson Safety 3004882 Element Black Frame Smoke Lens Safety Glasses,Element Black Frame Smoke Lens Safety Glasses
159|25842,Hard Hats|Hard Hats,3005334,Sweatband,Drybrow Sweatbands,E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3005334.jpg,Jackson Safety,Drybrow Sweatbands,AA-100. Packaged 25/bag; individually sleeved for increased shelf life,,,Sweatband,Sweatband
159|25842,Hard Hats|Hard Hats,3005336,AA-102 Clip-On Sweatband,AA-102 Clip-On Sweatband,E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3005336-AA-102-Clip-On.jpg,Jackson Safety,AA-102 Clip-On Sweatband,AA-102. Deluxe clip-on. Packaged 25/bag,,,AA-102 Clip-On Sweatband,AA-102 Clip-On Sweatband
167|25838,Face Shields|Hard Hat Face Shields,3005382,"Medium Green Faceshield 8"" x 15.5"" x .040""","8""x15-1/2""x.040"" PETG 36pk F10 Face Shields",E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3005382-Medium-Green-Faceshield-8-x-155-x.jpg,Jackson Safety,"8""x15-1/2""x.040"" PETG 36pk F10 Face Shields","Low cost option Environmentally friendly Recommended applications: manufacturing, flying debris, general splash protection, chemical splash protection, dust protection, landscaping, food processing Meets ANSI Z87.1 - 2010 Standards",,,"Jackson Safety 3005382 Medium Green Faceshield 8"" x 15.5"" x .040""","Medium Green Faceshield 8"" x 15.5"" x .040"""
167|25838,Face Shields|Hard Hat Face Shields,3005399,"Clear Faceshield 8"" x 5-1/2"" x .040""","economical 8""x15-1/2""x.040"" PETG 100pk Clear Face Shield",E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3005399-Clear-Faceshield-8-x-5-12-x.jpg,Jackson Safety,"economical 8""x15-1/2""x.040"" PETG 100pk Clear Face Shield","Low cost option Environmentally friendly Recommended applications: manufacturing, flying debris, general splash protection, chemical splash protection, dust protection, landscaping, food processing",,,"Jackson Safety 3005399 Clear Faceshield 8"" x 5-1/2"" x .040""","Clear Faceshield 8"" x 5-1/2"" x .040"""
28372,Sign Stands and Hardware,3006183,"Fiberglass Sign Ribs for 48"" x 48"" Roll-Up Sign","FIBERGLASS RIBS FOR QUADRA FLEX V, SIGN STAND RIBS & HARDWARE FOR 48” ROLL-UP SIGNS",E:\IMAGES\ITEMS\product\3\0\Jackson-Safety-3006183-Fiberglass-Sign-Ribs-for-48-x-48.jpg,Jackson Safety,"FIBERGLASS RIBS FOR QUADRA FLEX V, SIGN STAND RIBS & HARDWARE FOR 48"" ROLL-UP SIGNS","All fiberglass ribs are coated with a ""polyester veil coating"" that reduces splinters and cracking Available for 36"" and 48"" roll-up signs",,,"Jackson Safety 3006183 Fiberglass Sign Ribs for 48"" x 48"" Roll-Up Sign","Fiberglass Sign Ribs for 48"" x 48"" Roll-Up Sign"
