category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
137|24590,Air Compressors|Gas Air Compressors,GT8HGB-30T,Jenny Compressors GT8HGB-30T 8-HP 30-Gallon Tank Gas Powered Two-Stage Stationary Service Vehicle Compressor,,E:\IMAGES\ITEMS\product\G\T\jenny-products-inc-gt8hgb-30t-jenny-compressors-gt8hgb-30t-8-hp-30-gallon-tank-gas-powered-two-stage-stationary-service-vehicle-compressor- 7.jpg,"Jenny Products, Inc.",Jenny Compressors GT8HGB-30T 8-HP 30-Gallon Tank Gas Powered Two-Stage Stationary Service Vehicle Compressor,"Standard Features :  Heavy-duty two stage cast iron compressor pump Made in Somerset, PA USA Splash lubricated Belt driven with a large flywheel for extra cooling and easier start-up Finned intercooler (two stage only) Centrifugal unloader (two stage only) Oil sight glass Each unit is filled with Jenny Ultimate Blue Synthetic Compressor Pump Oil Directional air shroud for reduced pump temperatures Totally enclosed heavy-duty beltguard Powder coated ASME certified receivers Protectively mounted fittings Throttle Idle Control Bucket high manual and bottom mounted tank drain Large canister intake filter with replaceable filter elements High quality special unloading valves to assist in engine starting Stainless steel braided discharge hose Tank gauge Pressure relief safety valve Constant run control Single stage set 105 – 125 PSI Two stage set 145 – 175 PSI Pneumatic throttle idle control Honda GX Series OHV Engine Designed, tested and proven to meet the demands of the construction and rental industry  Options :  Electric start Other engine options available upon request Other tank sizes available upon request Air line filter Lubricator Other pressures available upon request",Tech. Specifications :    Pump :GT Hp :8 Tank Gallon :30 Drive : Recoil Start CFM - 125 PSI :15.2 CFM - 150 PSI :15.4,,Hp-8,Jenny Compressors GT8HGB-30T 8-HP 30-Gallon Tank Gas Powered Two-Stage Stationary Service Vehicle Compressor
137|24590,Air Compressors|Gas Air Compressors,GT11HGB-30T,Jenny Compressors GT11HGB-30T 11-HP 30-Gallon Tank Gas Powered Two-Stage Stationary Service Vehicle Compressor,,E:\IMAGES\ITEMS\product\G\T\jenny-products-inc-gt8hgb-30t-jenny-compressors-gt8hgb-30t-8-hp-30-gallon-tank-gas-powered-two-stage-stationary-service-vehicle-compressor- 7.jpg,"Jenny Products, Inc.",Jenny Compressors GT11HGB-30T 11-HP 30-Gallon Tank Gas Powered Two-Stage Stationary Service Vehicle Compressor,"Standard Features :  Heavy-duty two stage cast iron compressor pump Made in Somerset, PA USA Splash lubricated Belt driven with a large flywheel for extra cooling and easier start-up Finned intercooler (two stage only) Centrifugal unloader (two stage only) Oil sight glass Each unit is filled with Jenny Ultimate Blue Synthetic Compressor Pump Oil Directional air shroud for reduced pump temperatures Totally enclosed heavy-duty beltguard Powder coated ASME certified receivers Protectively mounted fittings Throttle Idle Control Bucket high manual and bottom mounted tank drain Large canister intake filter with replaceable filter elements High quality special unloading valves to assist in engine starting Stainless steel braided discharge hose Tank gauge Pressure relief safety valve Constant run control Single stage set 105 – 125 PSI Two stage set 145 – 175 PSI Pneumatic throttle idle control Honda GX Series OHV Engine Designed, tested and proven to meet the demands of the construction and rental industry  Options :  Electric start Other engine options available upon request Other tank sizes available upon request Air line filter Lubricator Other pressures available upon request",Tech. Specifications :    Pump :GT Hp :11 Tank Gallon :30 Drive : Electric Start and Alternator  CFM - 125 PSI :16.5 CFM - 150 PSI :16.3,,Hp-11,Jenny Compressors GT11HGB-30T 11-HP 30-Gallon Tank Gas Powered Two-Stage Stationary Service Vehicle Compressor
137|24590,Air Compressors|Gas Air Compressors,W11HGB-30T,Jenny Compressors W11HGB-30T 11-HP 30-Gallon Tank Gas Powered Two-Stage Stationary Service Vehicle Compressor,,E:\IMAGES\ITEMS\product\W\1\jenny-products-inc-w11hgb-30t-jenny-compressors-w11hgb-30t-11-hp-30-gallon-tank-gas-powered-two-stage-stationary-service-vehicle-compressor- 4.jpg,"Jenny Products, Inc.",Jenny Compressors W11HGB-30T 11-HP 30-Gallon Tank Gas Powered Two-Stage Stationary Service Vehicle Compressor,"Standard Features :  Heavy-duty two stage cast iron compressor pump Made in Somerset, PA USA Splash lubricated Belt driven with a large flywheel for extra cooling and easier start-up Finned intercooler (two stage only) Centrifugal unloader (two stage only) Oil sight glass Each unit is filled with Jenny Ultimate Blue Synthetic Compressor Pump Oil Directional air shroud for reduced pump temperatures Totally enclosed heavy-duty beltguard Powder coated ASME certified receivers Protectively mounted fittings Throttle Idle Control Bucket high manual and bottom mounted tank drain Large canister intake filter with replaceable filter elements High quality special unloading valves to assist in engine starting Stainless steel braided discharge hose Tank gauge Pressure relief safety valve Constant run control Single stage set 105 – 125 PSI Two stage set 145 – 175 PSI Pneumatic throttle idle control Honda GX Series OHV Engine Designed, tested and proven to meet the demands of the construction and rental industry  Options :  Electric start Other engine options available upon request Other tank sizes available upon request Air line filter Lubricator Other pressures available upon request",Tech. Specifications :    Pump :W Hp :18 Tank Gallon :80 Drive : Electric Start and Alternator  CFM - 125 PSI :19.8 CFM - 150 PSI :17.6,,,Jenny Compressors W11HGB-30T 11-HP 30-Gallon Tank Gas Powered Two-Stage Stationary Service Vehicle Compressor
137|24590,Air Compressors|Gas Air Compressors,U18HGB-80T,Jenny Compressors U18HGB-80T 18-HP 80-Gallon Tank Gas Powered Two-Stage Stationary Service Vehicle Compressor,,E:\IMAGES\ITEMS\product\U\1\jenny-products-inc-u18hgb-80t-jenny-compressors-u18hgb-80t-18-hp-80-gallon-tank-gas-powered-two-stage-stationary-service-vehicle-compressor- 4.jpg,"Jenny Products, Inc.",Jenny Compressors U18HGB-80T 18-HP 80-Gallon Tank Gas Powered Two-Stage Stationary Service Vehicle Compressor,"Standard Features :  Heavy-duty two stage cast iron compressor pump Made in Somerset, PA USA Splash lubricated Belt driven with a large flywheel for extra cooling and easier start-up Finned intercooler (two stage only) Centrifugal unloader (two stage only) Oil sight glass Each unit is filled with Jenny Ultimate Blue Synthetic Compressor Pump Oil Directional air shroud for reduced pump temperatures Totally enclosed heavy-duty beltguard Powder coated ASME certified receivers Protectively mounted fittings Throttle Idle Control Bucket high manual and bottom mounted tank drain Large canister intake filter with replaceable filter elements High quality special unloading valves to assist in engine starting Stainless steel braided discharge hose Tank gauge Pressure relief safety valve Constant run control Single stage set 105 – 125 PSI Two stage set 145 – 175 PSI Pneumatic throttle idle control Honda GX Series OHV Engine Designed, tested and proven to meet the demands of the construction and rental industry  Options :  Electric start Other engine options available upon request Other tank sizes available upon request Air line filter Lubricator Other pressures available upon request",Tech. Specifications :    Pump :U Hp :18 Tank Gallon :80 Drive : Electric Start and Alternator  CFM - 125 PSI :39.5 CFM - 150 PSI :34.7,,,Jenny Compressors U18HGB-80T 18-HP 80-Gallon Tank Gas Powered Two-Stage Stationary Service Vehicle Compressor
137|24589,Air Compressors|Electric Air Compressors,F12A-B,"Jenny Compressors F12A-B-230/3 1/2-HP 17-Gallon Tank 3 Phase 230-Volt, Single-Stage Electric Base Plate Mounted Air Compressor",,E:\IMAGES\ITEMS\product\F\1\jenny-products-inc-f12a-b-jenny-compressors-f12a-b-2303-12-hp-17-gallon-tank-3-phase-230-volt-single-stage-electric-base-plate-mounted-air-compressor- 4.jpg,"Jenny Products, Inc.","Jenny Compressors F12A-B-230/3 1/2-HP 17-Gallon Tank 3 Phase 230-Volt, Single-Stage Electric Base Plate Mounted Air Compressor","Standard Features :  Heavy-duty single or two stage cast iron compressor pump Made in Somerset, PA USA Splash lubricated Belt driven with a large flywheel for extra cooling and easier start-up Each unit is filled with Jenny Ultimate Blue Synthetic Compressor Pump Oil Directional air shroud for reduced pump temperatures Totally enclosed heavy-duty belt guard Powder coated, extra heavy steel base plate Large canister intake filter with replaceable filter elements Pressure relief safety valve Pressure gauge  Electric Units :  Auto Start/Stop control with pressure unloader set at 105-125 PSI (single stage) or 145-175 PSI (two stage) Control group (not mounted) Check valve Magnetic starter is included on all 5 HP and larger units Industrial/Commercial grade UL listed electric smotor Thermal overload motor protection",Tech. Specifications :    Pump :F Hp :1/2 Pump RPM :680 Power Supply : 115 Volt(through 2 HP) or 230 Volt 1 Phase 125 PSI CFM Disp :3.4 Del'd Air :2.2,,Pump RPM-680,"Jenny Compressors F12A-B-230/3 1/2-HP 17-Gallon Tank 3 Phase 230-Volt, Single-Stage Electric Base Plate Mounted Air Compressor"
137|24589,Air Compressors|Electric Air Compressors,F34A-B,"Jenny Compressors F34A-B-230/3 3/4-HP 3 Phase 230-Volt, Single-Stage Electric Base Plate Mounted Air Compressor",,E:\IMAGES\ITEMS\product\F\1\jenny-products-inc-f12a-b-jenny-compressors-f12a-b-2303-12-hp-17-gallon-tank-3-phase-230-volt-single-stage-electric-base-plate-mounted-air-compressor- 4.jpg,"Jenny Products, Inc.","Jenny Compressors F34A-B-230/3 3/4-HP 3 Phase 230-Volt, Single-Stage Electric Base Plate Mounted Air Compressor","Standard Features :  Heavy-duty single or two stage cast iron compressor pump Made in Somerset, PA USA Splash lubricated Belt driven with a large flywheel for extra cooling and easier start-up Each unit is filled with Jenny Ultimate Blue Synthetic Compressor Pump Oil Directional air shroud for reduced pump temperatures Totally enclosed heavy-duty belt guard Powder coated, extra heavy steel base plate Large canister intake filter with replaceable filter elements Pressure relief safety valve Pressure gauge  Electric Units :  Auto Start/Stop control with pressure unloader set at 105-125 PSI (single stage) or 145-175 PSI (two stage) Control group (not mounted) Check valve Magnetic starter is included on all 5 HP and larger units Industrial/Commercial grade UL listed electric smotor Thermal overload motor protection",Tech. Specifications :    Pump :F Hp :3/4 Pump RPM :1080 Power Supply : 115 Volt(through 2 HP) or 230 Volt 1 Phase 125 PSI CFM Disp :5.3 Del'd Air :3.1,,Pump RPM-1080,"Jenny Compressors F34A-B-230/3 3/4-HP 3 Phase 230-Volt, Single-Stage Electric Base Plate Mounted Air Compressor"
137|24589,Air Compressors|Electric Air Compressors,K1A-B,"Jenny Compressors K1A-B-208/3 1-HP 30-Gallon Tank 3 Phase 208-Volt, Single-Stage Electric Base Plate Mounted Air Compressor",,E:\IMAGES\ITEMS\product\K\1\jenny-products-inc-k1a-b-jenny-compressors-k1a-b-2083-1-hp-30-gallon-tank-3-phase-208-volt-single-stage-electric-base-plate-mounted-air-compressor- 4.jpg,"Jenny Products, Inc.","Jenny Compressors K1A-B-208/3 1-HP 30-Gallon Tank 3 Phase 208-Volt, Single-Stage Electric Base Plate Mounted Air Compressor","Standard Features :  Heavy-duty single or two stage cast iron compressor pump Made in Somerset, PA USA Splash lubricated Belt driven with a large flywheel for extra cooling and easier start-up Each unit is filled with Jenny Ultimate Blue Synthetic Compressor Pump Oil Directional air shroud for reduced pump temperatures Totally enclosed heavy-duty belt guard Powder coated, extra heavy steel base plate Large canister intake filter with replaceable filter elements Pressure relief safety valve Pressure gauge  Electric Units :  Auto Start/Stop control with pressure unloader set at 105-125 PSI (single stage) or 145-175 PSI (two stage) Control group (not mounted) Check valve Magnetic starter is included on all 5 HP and larger units Industrial/Commercial grade UL listed electric smotor Thermal overload motor protection",Tech. Specifications :    Pump :K Hp :1 Pump RPM :560 Power Supply : 208 Volt 3 Phase 125 PSI CFM Disp :6.2 Del'd Air :4.0,,Pump RPM-560,"Jenny Compressors K1A-B-208/3 1-HP 30-Gallon Tank 3 Phase 208-Volt, Single-Stage Electric Base Plate Mounted Air Compressor"
137|24589,Air Compressors|Electric Air Compressors,K15A-B,"Jenny Compressors K15A-B-115/1 1-1/2-HP 1 Phase 115-Volt, Single-Stage Electric Base Plate Mounted Air Compressor",,E:\IMAGES\ITEMS\product\K\1\jenny-products-inc-k1a-b-jenny-compressors-k1a-b-2083-1-hp-30-gallon-tank-3-phase-208-volt-single-stage-electric-base-plate-mounted-air-compressor- 4.jpg,"Jenny Products, Inc.","Jenny Compressors K15A-B-115/1 1-1/2-HP 1 Phase 115-Volt, Single-Stage Electric Base Plate Mounted Air Compressor","Standard Features :  Heavy-duty single or two stage cast iron compressor pump Made in Somerset, PA USA Splash lubricated Belt driven with a large flywheel for extra cooling and easier start-up Each unit is filled with Jenny Ultimate Blue Synthetic Compressor Pump Oil Directional air shroud for reduced pump temperatures Totally enclosed heavy-duty belt guard Powder coated, extra heavy steel base plate Large canister intake filter with replaceable filter elements Pressure relief safety valve Pressure gauge  Electric Units :  Auto Start/Stop control with pressure unloader set at 105-125 PSI (single stage) or 145-175 PSI (two stage) Control group (not mounted) Check valve Magnetic starter is included on all 5 HP and larger units Industrial/Commercial grade UL listed electric smotor Thermal overload motor protection",Tech. Specifications :    Pump :K Hp :1-1/2 Pump RPM :870 Power Supply : 115 Volt 1 Phase 125 PSI CFM Disp :9.8 Del'd Air :6.2,,Pump RPM-870,"Jenny Compressors K15A-B-115/1 1-1/2-HP 1 Phase 115-Volt, Single-Stage Electric Base Plate Mounted Air Compressor"
137|24589,Air Compressors|Electric Air Compressors,K2A-B,"Jenny Compressors K2A-B-230/1 2-HP 1 Phase 230-Volt, Single-Stage Electric Base Plate Mounted Air Compressor",,E:\IMAGES\ITEMS\product\K\1\jenny-products-inc-k1a-b-jenny-compressors-k1a-b-2083-1-hp-30-gallon-tank-3-phase-208-volt-single-stage-electric-base-plate-mounted-air-compressor- 4.jpg,"Jenny Products, Inc.","Jenny Compressors K2A-B-230/1 2-HP 1 Phase 230-Volt, Single-Stage Electric Base Plate Mounted Air Compressor","Standard Features :  Heavy-duty single or two stage cast iron compressor pump Made in Somerset, PA USA Splash lubricated Belt driven with a large flywheel for extra cooling and easier start-up Each unit is filled with Jenny Ultimate Blue Synthetic Compressor Pump Oil Directional air shroud for reduced pump temperatures Totally enclosed heavy-duty belt guard Powder coated, extra heavy steel base plate Large canister intake filter with replaceable filter elements Pressure relief safety valve Pressure gauge  Electric Units :  Auto Start/Stop control with pressure unloader set at 105-125 PSI (single stage) or 145-175 PSI (two stage) Control group (not mounted) Check valve Magnetic starter is included on all 5 HP and larger units Industrial/Commercial grade UL listed electric smotor Thermal overload motor protection",Tech. Specifications :    Pump :K Hp :2 Pump RPM :1140 Power Supply : 230 Volt 1 Phase 125 PSI CFM Disp :13.1 Del'd Air :8.0,,Pump RPM-1140,"Jenny Compressors K2A-B-230/1 2-HP 1 Phase 230-Volt, Single-Stage Electric Base Plate Mounted Air Compressor"
137|24589,Air Compressors|Electric Air Compressors,GC2A-B,"Jenny Compressors GC2A-B-115/1 2-HP 1 Phase 115-Volt, Single-Stage Electric Base Plate Mounted Air Compressor",,E:\IMAGES\ITEMS\product\G\C\jenny-products-inc-gc2a-b-jenny-compressors-gc2a-b-1151-2-hp-1-phase-115-volt-single-stage-electric-base-plate-mounted-air-compressor- 4.jpg,"Jenny Products, Inc.","Jenny Compressors GC2A-B-115/1 2-HP 1 Phase 115-Volt, Single-Stage Electric Base Plate Mounted Air Compressor","Standard Features :  Heavy-duty single or two stage cast iron compressor pump Made in Somerset, PA USA Splash lubricated Belt driven with a large flywheel for extra cooling and easier start-up Each unit is filled with Jenny Ultimate Blue Synthetic Compressor Pump Oil Directional air shroud for reduced pump temperatures Totally enclosed heavy-duty belt guard Powder coated, extra heavy steel base plate Large canister intake filter with replaceable filter elements Pressure relief safety valve Pressure gauge  Electric Units :  Auto Start/Stop control with pressure unloader set at 105-125 PSI (single stage) or 145-175 PSI (two stage) Control group (not mounted) Check valve Magnetic starter is included on all 5 HP and larger units Industrial/Commercial grade UL listed electric smotor Thermal overload motor protection",Tech. Specifications :    Pump :GC Hp :2 Pump RPM :480 Power Supply : 115 Volt 1 Phase 125 PSI CFM Disp :13.1 Del'd Air :9.1,,Pump RPM-480,"Jenny Compressors GC2A-B-115/1 2-HP 1 Phase 115-Volt, Single-Stage Electric Base Plate Mounted Air Compressor"
