category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2011|23128,Hoists|Electric Hoists,187713,1-1/2T 15' Lift Rachet Hoist,"Economical lever hoist designed for years of trouble-free operation 1/4-ton to 6-ton capacities 5', 10', 15' and 20' lifts standard, custom length lifts available All steel construction with a durable powder coat finish <",E:\IMAGES\ITEMS\product\1\8\187713-Jet-1-12T-15-Lift-Rachet.jpg,Jet Tools,"Economical lever hoist designed for years of trouble-free operation 1/4-ton to 6-ton capacities 5', 10', 15' and 20' lifts standard, custom length lifts available All steel construction with a durable powder coat finish  Completely enclosed Weston type automatic brake system holds load in any position  Easy-to-use with single hand operation and control Simple design makes routine inspection and maintenance easy Freewheeling feature without load for quick load attachment  Hardened grade 80 low wear chain  Drop forged hooks with heavy-duty safety latches swivel 360° for easy rigging Proof tested with test certificate Complies with OSHA, ANSI/ASME B30.21 and HST-3 standards",Model Number: JLP-150-15 Gross Weight: 37.5lbs Capacity: 1.5 metric ton Standard Lift: 15',,,187713 Jet 1-1/2T 15' Lift Rachet Hoist,1-1/2T 15' Lift Rachet Hoist
2011|23128,Hoists|Electric Hoists,187711,1-1/2T 5' Lift Ratchet Hoist,Economical lever hoist designed for years of trouble-free operation,E:\IMAGES\ITEMS\product\1\8\187711-Jet-1-12T-5-Lift-Ratchet.jpg,Jet Tools,Economical lever hoist designed for years of trouble-free operation,Model Number: JLP-150-5 Gross Weight: 27.8lbs Capasity: 1.5 Metric Tons Standard Lift: 5',,,187711 Jet 1-1/2T 5' Lift Ratchet Hoist,1-1/2T 5' Lift Ratchet Hoist
988|23126,Cable Pullers|Cable Hoists and Ratchet Pullers,181420,2 Ton Cable Hoist/Puller,"Heavy duty lines man cable puller designed to lift, lower, stretch or pull heavy loads",E:\IMAGES\ITEMS\product\1\8\181420-Jet-2-Ton-Cable.jpg,Jet Tools,"Heavy duty lines man cable puller designed to lift, lower, stretch or pull heavy loads","Model Number: JCH-4 Gross Weight: 17.8lbs Capasity: 2 Tons Max Lift Height: 20""",,,181420 Jet 2 Ton Cable Hoist/Puller,2 Ton Cable Hoist/Puller
988|23126,Cable Pullers|Cable Hoists and Ratchet Pullers,181330,1-1/2 Ton Cable Hoist/Puller,"Heavy duy lines man cable puller designed to lift, lower, stretch, or pull heavy loads",E:\IMAGES\ITEMS\product\1\8\181330-Jet-1-12-Ton-Cable.jpg,Jet Tools,"Heavy duy lines man cable puller designed to lift, lower, stretch, or pull heavy loads","Model Number: JCH-3 Gross Weight: 16.05 lbs Capacity: 1 1/2 Ton Max Lift Height: 30""",,,181330 Jet 1-1/2 Ton Cable Hoist/Puller,1-1/2 Ton Cable Hoist/Puller
2011|23128,Hoists|Electric Hoists,101714,2 Ton Chain Hoist 20' Lift,,E:\IMAGES\ITEMS\product\1\0\101714-Jet-2-Ton-Chain-Hoist-20.jpg,Jet Tools,,Model Number: SMH-2T-20 Gross Weight: 59.55 lbs Capacity: 2 Tons Standard Lift 20',,,New,2 Ton Chain Hoist 20' Lift
2011|23128,Hoists|Electric Hoists,101705,1 Ton Chain Hoist 15' Lift,"Full range capacity 1/2 to 10 tons.  28 models stocked, one for every application.  Standard Feature found only in higher priced models.   Designed for years of trouble-free service.  10', 15', 20' and 30' lifts standard, custom length lifts available",E:\IMAGES\ITEMS\product\1\0\101705-Jet-1-Ton-Chain-Hoist-15.jpg,Jet Tools,"Full range capacity 1/2 to 10 tons.  28 models stocked, one for every application.  Standard Feature found only in higher priced models.   Designed for years of trouble-free service.  10', 15', 20' and 30' lifts standard, custom length lifts available.  All steel construction with a durable powder coat finish  Lightweight, compact design for low headroom applications.  Needle bearing supported load sheave for smooth operation.  Completely enclosed Weston type automatic brake system for precise load spotting.  Triple-spur gears provide high efficiency ratio with minimum effort.  Induction hardened grade 80 load chain.  Drop forged hooks with heavy-duty safety latches swivel 360° for easy rigging.  Smooth rolled edge on hand chain cover prevents side pull jamming  Standard hand chain drop equals lift length.  Proof tested with test certificate.  Complies with OSHA, ANSI/ASME B30.16 and HST-2 standards.",Model Number: SMH-1T-15 Gross Weight: 34.3lbs Capacity: 1 Ton Standard Lift: 15',,,101705 Jet 1 Ton Chain Hoist 15' Lift,1 Ton Chain Hoist 15' Lift
2011|23128,Hoists|Electric Hoists,101701,1/2 Ton Chain Hoist 15' Lift,"Full range capacity 1/2 to 10 tons.  28 models stocked, one for every application.  Standard Feature found only in higher priced models.  Designed for years of trouble-free service.  10', 15', 20' and 30' lifts standard, custom length lifts available.",E:\IMAGES\ITEMS\product\1\0\101701-Jet-12-Ton-Chain-Hoist-15.jpg,Jet Tools,"Full range capacity 1/2 to 10 tons.  28 models stocked, one for every application.  Standard Feature found only in higher priced models.  Designed for years of trouble-free service.  10', 15', 20' and 30' lifts standard, custom length lifts available.  All steel construction with a durable powder coat finish.  Lightweight, compact design for low headroom applications.  Needle bearing supported load sheave for smooth operation.  Completely enclosed Weston type automatic brake system for precise load spotting.  Triple-spur gears provide high efficiency ratio with minimum effort.  Induction hardened grade 80 load chain.  Drop forged hooks with heavy-duty safety latches swivel 360° for easy rigging.  Smooth rolled edge on hand chain cover prevents side pull jamming.  Standard hand chain drop equals lift length.  Proof tested with test certificate.  Complies with OSHA, ANSI/ASME B30.16 and HST-2 standards.",Model Number: SMH-1/2T-15 Gross Weight: 25.55lbs Capacity: 1/2 Ton Standard Lift: 15',,,101701 Jet 1/2 Ton Chain Hoist 15' Lift,1/2 Ton Chain Hoist 15' Lift
2011|23128,Hoists|Electric Hoists,101714 Recon,2 Ton Chain Hoist 20' Lift,,E:\IMAGES\ITEMS\product\1\0\101714-Jet-2-Ton-Chain-Hoist-20.jpg,Jet Tools,101714 Recon Jet 2 Ton Chain Hoist 20' Lift,Model Number: SMH-2T-20 Gross Weight: 59.55 lbs Capacity: 2 Tons Standard Lift 20',,,Reconditioned,2 Ton Chain Hoist 20' Lift
2705|24961,Standard Band Saws|Band Saws,708755B,"JWBS-20QT-5 20"" Bandsaw",This 20-inch Bandsaw features a 5HP motor and poly v-belt drive for efficient power transfer. A three-position tensioner allows quick blade adjustments and tracking. The micro-adjustable ball bearing guides run smoothly with less friction heat. The extra,E:\IMAGES\ITEMS\product\7\0\JWBS-20QT-5-20.jpg,Jet Tools,This 20-inch Bandsaw features a 5HP motor and poly v-belt drive for efficient power transfer. A three-position tensioner allows quick blade adjustments and tracking. The micro-adjustable ball bearing guides run smoothly with less friction heat. The extra large cast trunnion system and triangular-design frame dampen vibration and provide superior stability.,"Triangular design provides superior column rigidity 12-1/4"" Resaw capacity for cutting large pieces of wood, slicing veneers and cutting book matched panels 21"" x 21"" precision ground cast iron table for added stability and work support 2 Speed poly V-belt drive Precision computer balanced wheels eliminate vibration for accurate blade tracking",,,"Jet Tools 708755B JWBS-20QT-5 20"" Bandsaw","JWBS-20QT-5 20"" Bandsaw"
2705|24961,Standard Band Saws|Band Saws,710116K,"JWBS-14DXPRO 14"" Deluxe Pro Bandsaw Kit","The all-new JWBS-14DXPRO 14"" Deluxe Bandsaw from JET (shown here with optional fence) has been fully redesigned to meet the needs of today's most demanding woodworkers. Gone are the days of adding a riser block; this 14"" bandsaw comes with a massive cast",E:\IMAGES\ITEMS\product\7\1\JWBS-14DXPRO-14-Deluxe-Pro-Bandsaw.jpg,Jet Tools,"The all-new JWBS-14DXPRO 14"" Deluxe Bandsaw from JET (shown here with optional fence) has been fully redesigned to meet the needs of today's most demanding woodworkers. Gone are the days of adding a riser block; this 14"" bandsaw comes with a massive cast iron frame for increased power that makes it ready to meet all resaw expectations head-on. Couple this incredible feature with a new high tension spring design and many more amazing features, and you have a bandsaw that will last for years to come.","Built-in 12"" resaw capacity for cutting larger pieces of wood 2 Speed poly-v belt drive system Upper and lower cast iron frame for increased strength and rigidity Easy to view blade tracking window Blade guide post with rack and pinion adjustment",,,"Jet Tools 710116K  JWBS-14DXPRO 14"" Deluxe Pro Bandsaw Kit","JWBS-14DXPRO 14"" Deluxe Pro Bandsaw Kit"
