category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1687|26898,Access Door|Access Doors,DSC-214M06x06,Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,E:\IMAGES\ITEMS\product\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,"KARP Associates, Inc.",,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,,,"Door Size: 6""x6"", Wall/Ceiling Opening: 6-3/8""x6-3/8""",Flush Access Door for All Surfaces
1687|26898,Access Door|Access Doors,DSC-214M08x08,Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,E:\IMAGES\ITEMS\product\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,"KARP Associates, Inc.",Karp DSC-214M08x08 Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,,,"Door Size: 8""x8"", Wall/Ceiling Opening: 8-3/8""x8-3/8""",Flush Access Door for All Surfaces
1687|26898,Access Door|Access Doors,DSC-214M10x10,Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,E:\IMAGES\ITEMS\product\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,"KARP Associates, Inc.",Karp DSC-214M10x10 Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,,,"Door Size: 10""x10"", Wall/Ceiling Opening: 10-3/8""x10-3/8""",Flush Access Door for All Surfaces
1687|26898,Access Door|Access Doors,DSC-214M12x8,Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,E:\IMAGES\ITEMS\product\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,"KARP Associates, Inc.",Karp DSC-214M12x8 Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,,,"Door Size: 12""x8"", Wall/Ceiling Opening: 12-3/8""x8-3/8""",Flush Access Door for All Surfaces
1687|26898,Access Door|Access Doors,DSC-214M12x12,Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,E:\IMAGES\ITEMS\product\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,"KARP Associates, Inc.",Karp DSC-214M12x12 Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,,,"Door Size: 12""x12"", Wall/Ceiling Opening: 12-3/8""x12-3/8""",Flush Access Door for All Surfaces
1687|26898,Access Door|Access Doors,DSC-214M14x14,Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,E:\IMAGES\ITEMS\product\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,"KARP Associates, Inc.",Karp DSC-214M14x14 Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,,,"Door Size: 14""x14"", Wall/Ceiling Opening: 14-3/8""x14-3/8""",Flush Access Door for All Surfaces
1687|26898,Access Door|Access Doors,DSC-214M16x12,Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,E:\IMAGES\ITEMS\product\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,"KARP Associates, Inc.",Karp DSC-214M16x12 Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,,,"Door Size: 16""x12"", Wall/Ceiling Opening: 16-3/8""x12-3/8""",Flush Access Door for All Surfaces
1687|26898,Access Door|Access Doors,DSC-214M16x16,Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,E:\IMAGES\ITEMS\product\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,"KARP Associates, Inc.",Karp DSC-214M16x16 Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,,,"Door Size: 16""x16"", Wall/Ceiling Opening: 16-3/8""x16-3/8""",Flush Access Door for All Surfaces
1687|26898,Access Door|Access Doors,DSC-214M18x12,Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,E:\IMAGES\ITEMS\product\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,"KARP Associates, Inc.",Karp DSC-214M18x12 Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,,,"Door Size: 18""x12"", Wall/Ceiling Opening: 18-3/8""x12-3/8""",Flush Access Door for All Surfaces
1687|26898,Access Door|Access Doors,DSC-214M18x18,Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,E:\IMAGES\ITEMS\product\D\S\Karp-DSC-214M06x06-Flush-Access-Door-for-All.jpg,"KARP Associates, Inc.",Karp DSC-214M18x18 Flush Access Door for All Surfaces,The DSC-214M is a distinctly superior door for new installations or for remodeling. The exposed flange adds rigidity to the unit and perfectly conceals the rough wall opening. Flexible anchor straps can be provided for installation within masonry opening.,,,"Door Size: 18""x18"", Wall/Ceiling Opening: 18-3/8""x18-3/8""",Flush Access Door for All Surfaces
