category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
28764,Air Specialty Tools,"AB 84, CUL","Air Blower AB 84, CUL",,E:\IMAGES\ITEMS\product\A\B\karcher-ab-84-cul-air-blower-ab-84-cul.jpg,Karcher,"The AB 84 air blower is a powerful mobile dehydration machine that features impact-proof plastic housing with integrated power cord storage and includes an ergonomic foldable upright handle and large transport wheels. Designed with a powerful radial fan for fast dehydration, and aerodynamic molded housing. Can be operated at three different speeds. A built-in carpet clip makes cleaning loosely laid carpets a breeze. The AB 84 reduces drying time considerably.",The AB 84 air blower is a powerful mobile dehydration machine made for use after spray extraction cleaning. With its ergonomic handle and wheels it is easily transportable. The powerful air blower ensures a fast dehydration time. Useful in clenaing up water damage in buildings.,Technical data                                                                                                                           Air flow rate (level 1 / 2 / 3)                                     (m³/min)                                                                                                                                              56 / 70 / 84                                                                                                                                                                                                                                    Motor rating (level 1 / 2 / 3)                                     (rpm)                                                                                                                                              1050 / 1350 / 1600                                                                                                                                                                                                                                    Rated input power                                     (W)                                                                                                                                              max. 700                                                                                                                                                                                                                                    Length of cord access.                                                                                                                                                                                   25                                                                                                                                                                                                                                    Ship Weight (with accessories)                                     (lbs)                                                                                                                                              39                                                                                                                                                                                                                                    Dimensions (L x W x H)                                                                                                                                                                                   22.8 x 16 x 10.4,,,"Air Blower AB 84, CUL"
19666,Cleaning Burnishers,BDS 43/175 C,Burnishers Single-disc machine,,E:\IMAGES\ITEMS\product\B\D\karcher-bds-43175-c-burnishers-single-disc-machine.jpg,Karcher,"Engineered for rugged dependability and professional results. The BDS 43/175 C is a 17"" single-disc, single speed machine. Utilizing cast aluminum housings rather than poly or stamped frames, this BDS machine is built for durability. The new cord strain relief system minimizes cord breaks, kinks and tears. Mechanical safety interlock prevents accidental start-ups and built-in circuit breaker protects the motor.",Kärcher’s line of commercial-duty floor machines are build to endure the rigous demand of commercial cleaning with rugged construction and durable time-tested components.,Technical data                                                                                                                           Brush speed                                     (rpm)                                                                                                                                              175                                                                                                                                                                                                                                    Working width                                                                                                                                                                                   17                                                                                                                                                                                                                                    Voltage                                     (V)                                                                                                                                              115                                                                                                                                                                                                                                    Frequency                                     (Hz)                                                                                                                                              60                                                                                                                                                                                                                                    Ship Weight (with accessories)                                     (lbs)                                                                                                                                              114                                                                                                                                                                                                                                    Dimensions (L x W x H)                                                                                                                                                                                   23 x 18 x 47,,,Burnishers Single-disc machine
19666,Cleaning Burnishers,BDS 51/175 C,Burnishers Single-disc machine,,E:\IMAGES\ITEMS\product\B\D\karcher-bds-51175-c-burnishers-single-disc-machine.jpg,Karcher,"Engineered for rugged dependability and professional results. The BDS 51/175 C is a 20"" single-disc, single speed machine. Utilizing cast aluminum housings rather than poly or stamped frames, this BDS machine is built for durability. The new cord strain relief system minimizes cord breaks, kinks and tears. Mechanical safety interlock prevents accidental start-ups and built-in circuit breaker protects the motor.",Kärcher’s line of commercial-duty floor machines are build to endure the rigous demand of commercial cleaning with rugged construction and durable time-tested components.,Technical data                                                                                                                           Brush speed                                     (rpm)                                                                                                                                              175                                                                                                                                                                                                                                    Working width                                                                                                                                                                                   20                                                                                                                                                                                                                                    Voltage                                     (V)                                                                                                                                              115                                                                                                                                                                                                                                    Frequency                                     (Hz)                                                                                                                                              60                                                                                                                                                                                                                                    Ship Weight (with accessories)                                     (lbs)                                                                                                                                              118                                                                                                                                                                                                                                    Dimensions (L x W x H)                                                                                                                                                                                   24.5 x 21 x 47,,,Burnishers Single-disc machine
19666,Cleaning Burnishers,BDS 51/175-300 C,Burnishers Single-disc machine,,E:\IMAGES\ITEMS\product\B\D\karcher-bds-51175-300-c-burnishers-single-disc-machine.jpg,Karcher,"Engineered for rugged dependability and professional results. The BDS 51/175-300 C is a 20"" dual-speed, single speed machine. Utilizing cast aluminum housings rather than poly or stamped frames, this BDS machine is built for durability. The new cord strain relief system minimizes cord breaks, kinks and tears. Mechanical safety interlock prevents accidental start-ups and built-in circuit breaker protects the motor. The handle height is adjustable for user comfort.",Kärcher’s line of commercial-duty floor machines are build to endure the rigous demand of commercial cleaning with rugged construction and durable time-tested components.,Technical data                                                                                                                           Brush speed                                     (rpm)                                                                                                                                              300                                                                                                                                                                                                                                    Working width                                                                                                                                                                                   20                                                                                                                                                                                                                                    Voltage                                     (V)                                                                                                                                              115                                                                                                                                                                                                                                    Frequency                                     (Hz)                                                                                                                                              60                                                                                                                                                                                                                                    Ship Weight (with accessories)                                     (lbs)                                                                                                                                              119                                                                                                                                                                                                                                    Dimensions (L x W x H)                                                                                                                                                                                   24.5 x 21 x 47,,,Burnishers Single-disc machine
19666,Cleaning Burnishers,BRS 40/1000 C,Burnishers Scrubber,,E:\IMAGES\ITEMS\product\B\R\karcher-brs-401000-c-burnishers-scrubber.jpg,Karcher,"The BRS 40/1000 C combines the advantages of single-disc machines with those of roller brush units. It is equipped with two contra-rotating roller brushes and a handle that rotates up to 90 degrees on both sides and can be locked in position. In the normal position, the machine is swung to the right and left like a single-disc machine and achieves a high area performance. Locking the handle in the 90-degree position allows the operator to work in precise lanes, moving forward and backward as with a standard scrubber dryer for effective cleaning of large areas and precision cleaning close to walls and other fixed obstacles. Even heavily structured surfaces, such as studded rubber floors and non-slip tiles, present no problems. Its low-profile construction enables it to reach floor areas underneath radiators, cupboards and shelves. The smooth-running induction motor has a high power output of 1600 W. The motor bracket is made of solid aluminium and the base plate of stainless steel for durability. No tools are required for carbon brush replacement. Two sturdy rollers guarantee easy maneuverablity, and the fold-down handle enables the unit to be stored and transported easily.","This innovative single-disc-style machine with counter-rotating roller brushes is suitable for deep cleaning and maintenance cleaning on hard surfaces as well as stripping, shampooing and polishing.",Technical data                                                                                                                           Working width                                                                                                                                                                                   16                                                                                                                                                                                                                                    Brush speed                                     (rpm)                                                                                                                                              650                                                                                                                                                                                                                                    Sound pressure level                                     (dB(A))                                                                                                                                              73                                                                                                                                                                                                                                    Length of cord access.                                     (ft)                                                                                                                                              1                                                                                                                                                                                                                                    Voltage                                     (V)                                                                                                                                              120                                                                                                                                                                                                                                    Frequency                                     (Hz)                                                                                                                                              60                                                                                                                                                                                                                                    Ship Weight (with accessories)                                     (lbs)                                                                                                                                              60                                                                                                                                                                                                                                    Dimensions (L x W x H)                                                                                                                                                                                   20 x 18 x 47,,,Burnishers Scrubber
19666,Cleaning Burnishers,BDS 43/Duo C,Burnishers Single-disc machine,,E:\IMAGES\ITEMS\product\B\D\karcher-bds-43duo-c-burnishers-single-disc-machine.jpg,Karcher,"The Kärcher BDS 43/Duo C is an all-surface cleaning, scrubbing, sanding, polishing, extraction and grinding floor machine. The patented dual-action Orb Technology is an orbital mechanics system that gives the BDS 43/Duo C the versatility to clean multiple floor surfaces. Ideal for hard floor areas up to 7,500 square feet per hour and 3,000 square feet per hour of carpeted surfaces. This is truly an all-surface floor machine. Unlike traditional machines, the Kärcher BDS 43/Duo C generates thousands of 3/8” orbital contact points that spin at 1725 RPMs, while at the same time spinning at 80 RPMs rotational movement. The BDS 43/Duo C includes an integrated solution sprayer and tank. One bottle will clean up to 1,000 square feet of carpet and 3,000-5,000 square feet of hard floor surfaces.","The BDS 43/Duo C is an all-surface cleaning, scrubbing, sanding, polishing, extraction and grinding floor machine.",Technical data                                                                                                                           Brush speed                                     (rpm)                                                                                                                                              80                                                                                                                                                                                                                                    Working width                                                                                                                                                                                   21                                                                                                                                                                                                                                    Fresh / waste water tank                                     (gal)                                                                                                                                              3                                                                                                                                                                                                                                    Area perfomance (carpet / hard surface)                                                                                                                                                                                   theoretical / 7000                                                                                                                                                                                                                                    Voltage                                     (V)                                                                                                                                              110                                                                                                                                                                                                                                    Frequency                                     (Hz)                                                                                                                                              60                                                                                                                                                                                                                                    Ship Weight (with accessories)                                     (lbs)                                                                                                                                              102                                                                                                                                                                                                                                    Dimensions (L x W x H)                                                                                                                                                                                   56 x 30 x 50,,,Burnishers Single-disc machine
19666,Cleaning Burnishers,BDS 43/Duo C Classic,Burnishers Single-disc machine,,E:\IMAGES\ITEMS\product\B\D\karcher-bds-43duo-c-classic-burnishers-single-disc-machine.jpg,Karcher,"The Kärcher BDS 43/Duo C is an all-surface cleaning, scrubbing, sanding, polishing, extraction and grinding floor machine. The patented dual-action Orb Technology gives the BDS 43/Duo C the versatility to clean multiple floor surfaces. Ideal for hard floor areas up to 7,500 square feet per hour and 3,000 square feet per hour of carpeted surfaces. This is truly an all-surface floor machine. Unlike traditional machines, the Kärcher BDS 43/Duo C generates thousands of 3/8” orbital contacts points that spin at 1725 rpms, while at the same time spinning at 80 RPM. The patented Orb Technology is a superior orbital mechanics system. It allows the machine to be more versatile and work on eight different floor surfaces.","The BDS 43/Duo C is an all-surface cleaning, scrubbing, sanding, polishing, extraction and grinding floor machine.",Technical data                                                                                                                           Brush speed                                     (rpm)                                                                                                                                              80                                                                                                                                                                                                                                    Working width                                                                                                                                                                                   21                                                                                                                                                                                                                                    Fresh / waste water tank                                     (gal)                                                                                                                                              3                                                                                                                                                                                                                                    Area perfomance (carpet / hard surface)                                                                                                                                                                                   theoretical / 7000                                                                                                                                                                                                                                    Voltage                                     (V)                                                                                                                                              110                                                                                                                                                                                                                                    Frequency                                     (Hz)                                                                                                                                              60                                                                                                                                                                                                                                    Ship Weight (with accessories)                                     (lbs)                                                                                                                                              82                                                                                                                                                                                                                                    Dimensions (L x W x H)                                                                                                                                                                                   56 x 30 x 50,,,Burnishers Single-disc machine
23964,Pressure Washers and Accessories,HD 5.0/50 Eb Cage,Cold water pressure washers HD 5.0/50 Eb Cage,,E:\IMAGES\ITEMS\product\H\D\karcher-hd-5050-eb-cage-cold-water-pressure-washers-hd-5050-eb-cage.jpg,Karcher,"These belt-drive, electric roll cage models feature cleaning power of 5,000 PSI and are available with either 230/3 phase or 460/3 phase. These units are specialty machines perfect for use in the marine market cleaning the bottom of boats or in the concrete industry for cleaning trucks, forms and handling equipment. 50' hose, professional-grade wand and guns and fittings are high-pressure rated. ETL safety certified.","This cold water electric pressure washer in a roll cage design is built for durability and power. These industrial-stength machines deliver up to 5.0 GPM at 5,000 PSI.",Technical data                                                                                                                           Water Volume                                     (GPM)                                                                                                                                              5                                                                                                                                                                                                                                    Operating pressure                                     (PSI)                                                                                                                                              5000                                                                                                                                                                                                                                    Connected load                                     (A)                                                                                                                                              48                                                                                                                                                                                                                                    Power rating                                     (hp)                                                                                                                                              20                                                                                                                                                                                                                                    Weight                                     (lbs)                                                                                                                                              480                                                                                                                                                                                                                                    Dimensions (L x W x H)                                                                                                                                                                                   42 x 26 x 30                                                                                                                                                                                                                                    Power supply                                     (Ph)                                                                                                                                              3 - 230 - 60,,,Cold water pressure washers HD 5.0/50 Eb Cage
23964,Pressure Washers and Accessories,HD 5.0/50 Ec Cage,Cold water pressure washers HD 5.0/50 Ec Cage,,E:\IMAGES\ITEMS\product\H\D\karcher-hd-5050-ec-cage-cold-water-pressure-washers-hd-5050-ec-cage.jpg,Karcher,"These belt-drive, electric roll cage models feature cleaning power of 5,000 PSI and are available with either 230/3 phase or 460/3 phase. These units are specialty machines perfect for use in the marine market cleaning the bottom of boats or in the concrete industry for cleaning trucks, forms and handling equipment. 50' hose, professional-grade wand and guns and fittings are high-pressure rated. ETL safety certified.","This cold water electric pressure washer in a roll cage design is built for durability and power. These industrial-stength machines deliver up to 5.0 GPM at 5,000 PSI.",Technical data                                                                                                                           Water Volume                                     (GPM)                                                                                                                                              5                                                                                                                                                                                                                                    Operating pressure                                     (PSI)                                                                                                                                              5000                                                                                                                                                                                                                                    Connected load                                     (A)                                                                                                                                              26                                                                                                                                                                                                                                    Power rating                                     (hp)                                                                                                                                              20                                                                                                                                                                                                                                    Weight                                     (lbs)                                                                                                                                              480                                                                                                                                                                                                                                    Dimensions (L x W x H)                                                                                                                                                                                   42 x 26 x 30                                                                                                                                                                                                                                    Power supply                                     (Ph)                                                                                                                                              3 - 460 - 60,,,Cold water pressure washers HD 5.0/50 Ec Cage
23964,Pressure Washers and Accessories,HD 2.0/14 Ed +,Cold water pressure washers HD 2.0/14 Ed +,,E:\IMAGES\ITEMS\product\H\D\karcher-hd-2014-ed-cold-water-pressure-washers-hd-2014-ed-.jpg,Karcher,"Kärcher’s wall-mounted cold water pressure washer is designed with a durable steel frame, a quiet 1,725 RPM motor, and is the perfect solution for in-shop uses. A remote on/off switch with a 10’ electrical cord allows the machine to be mounted high on a wall away from backspray. This cold water pressure washer can accept up to 180°F water. Unit comes with a 7-year Kärcher triplex crankcase pump. Optional wall mount bracket is also available. ETL certified to UL and CSA safety standards.","Perfect for indoor shop applications, this wall-mounted electric-powered cold water pressure washer delivers up to 2.0 GPM and 1,400 PSI.",Technical data                                                                                                                           Water Volume                                     (GPM)                                                                                                                                              1.8                                                                                                                                                                                                                                    Operating pressure                                     (PSI)                                                                                                                                              1400                                                                                                                                                                                                                                    Connected load                                     (A)                                                                                                                                              2                                                                                                                                                                                                                                    Power rating                                     (hp)                                                                                                                                              2                                                                                                                                                                                                                                    Weight                                     (lbs)                                                                                                                                              120                                                                                                                                                                                                                                    Dimensions (L x W x H)                                                                                                                                                                                   20 x 19 x 17                                                                                                                                                                                                                                    Power supply                                     (Ph)                                                                                                                                              1 - 120 - 60,,,Cold water pressure washers HD 2.0/14 Ed +
