category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1082|26338,Radios | Two Way (INACTIVE)|Two Way Radios,KBH 10,Belt Clip,Spring action belt clip.,E:\IMAGES\ITEMS\product\K\B\Kenwood-USA-KBH.jpg,Kenwood U.S.A,Spring action belt clip.,,,,Kenwood U.S.A KBH 10 Belt Clip,Belt Clip
1082|26338,Radios | Two Way (INACTIVE)|Two Way Radios,KMB-23,Charger Adapter,Six unit charger adapter. Chargers not included.,E:\IMAGES\ITEMS\product\K\M\Kenwood-USA-KMB.jpg,Kenwood U.S.A,Six unit charger adapter. Chargers not included.,,,,Kenwood U.S.A KMB-23 Charger Adapter,Charger Adapter
1082|26338,Radios | Two Way (INACTIVE)|Two Way Radios,KMC 45,Microphone,"MIL-SPEC, IP54/45 speaker microphone.",E:\IMAGES\ITEMS\product\K\M\Kenwood-USA-KMC.jpg,Kenwood U.S.A,"MIL-SPEC, IP54/45 speaker microphone.",,,,Kenwood U.S.A KMC 45 Microphone,Microphone
1082|26338,Radios | Two Way (INACTIVE)|Two Way Radios,KNB 29N,Battery,NiMh Battery (1500mAh),E:\IMAGES\ITEMS\product\K\N\Kenwood-USA-KNB.jpg,Kenwood U.S.A,NiMh Battery (1500mAh),,,,Kenwood U.S.A KNB 29N Battery,Battery
1082|26338,Radios | Two Way (INACTIVE)|Two Way Radios,KRA 27M,Antenna,UHF Whip Antenna 440-490mhz.,E:\IMAGES\ITEMS\product\K\R\Kenwood-USA-KRA.jpg,Kenwood U.S.A,UHF Whip Antenna 440-490mhz.,,,,Kenwood U.S.A KRA 27M Antenna,Antenna
1082|26338,Radios | Two Way (INACTIVE)|Two Way Radios,TK2300V4P,2 Watt 4 Channel Radio,"ProTalk 2 Watt Portable VHF/UHF Business On-Site Radios Kenwood's new 300 Series ProTalk® model VHF and UHF 2 watt portables take quality and value to an even higher level offering additional channels (4 & 16), a larger selection of UHF frequenc",E:\IMAGES\ITEMS\product\T\K\TK2300V4P-Kenwood-2-Watt-4-Channel.jpg,Kenwood U.S.A,"ProTalk 2 Watt Portable VHF/UHF Business On-Site Radios Kenwood's new 300 Series ProTalk® model VHF and UHF 2 watt portables take quality and value to an even higher level offering additional channels (4 & 16), a larger selection of UHF frequencies (89), improved sound quality and advanced ergonomic controls.",4 & 16 Channel VHF / UHF Models 89 UHF Pre-Programmed Frequencies 27 VHF Pre-Programmed Frequencies QT/DQT Encode/Decode Wireless Cloning Audio Companding Channel Confirmation Model Scan w/ Temporary Nuisance Delete Selected/Fixed Priority Channel Channel Voice Announcement Voice Scrambler (by channel) Internal VOX (by channel) MIL Spec 810 C/D/E/F IP 54/55 2 Year Warranty,,,TK2300V4P Kenwood 2 Watt 4 Channel Radio,2 Watt 4 Channel Radio
26336,Two Way Radio Microphones,KMC-45,KMC-45,"MIL-SPEC, IP54/55 Speaker microphone",E:\IMAGES\ITEMS\product\K\M\KMC-45-Kenwood-Speaker.jpg,Kenwood U.S.A,Compact speaker microphone–heavy duty,,Compatible with:  All TK Models,,KMC-45 Kenwood Speaker Microphone,KMC-45
1082|26338,Radios | Two Way (INACTIVE)|Two Way Radios,KMB27,Charger,Six Unit Charger Adapter,E:\IMAGES\ITEMS\product\K\M\KMB27-Kenwood.jpg,Kenwood U.S.A,Six Unit Charger Adapter,Charger Cups Not Included,,,KMB27 Kenwood Charger,Charger
1082|26338,Radios | Two Way (INACTIVE)|Two Way Radios,Protalk TK-3302U16P,2 Way Radio,16C UHF Two-Way Radio w/Li-Ion Battery w/Rapid Charger,E:\IMAGES\ITEMS\product\P\r\Kenwood-Protalk-TK-3302U16P-2-Way.jpg,Kenwood U.S.A,16C UHF Two-Way Radio w/Li-Ion Battery w/Rapid Charger,4 Watts 16 Channels UHF PC Programmable Only (No field programming - Include frequency information in comment box as you check out.) 121 Privacy Codes Channel Scan VOX - Voice Activated when using VOX capable headsets Lock - Locks all user controls (except PTT and volume) to prevent accidental channel changes Mil Spec Diecast Body for strength Polycarbonate Case Voice Annunciation Wireless Cloning Mode Time out timer Call Alert Tone Battery save and low battery warning  In The Box: Antenna - KRA-27 Battery - 12hr Li-Ion Charger - 3hr Rapid Charger Clip,"This radio requires FCC Licensing. This is a PC Programmable Radio. This requires CPS Programming Software, Cables and some Technical expertise. Color: Black Warranty: 2 Years Product Dimensions: 6 x 2 x 2(inches)",,Kenwood Protalk TK-3302U16P 2 Way Radio,2 Way Radio
26338,Two Way Radios,NX-240V16P,ProTalk 2-Way Radio NX-240V16P,,E:\IMAGES\ITEMS\product\N\X\kenwood-usa-nx-240v16p-protalk-2-way-radio-nx-240v16p.jpg,Kenwood U.S.A,,,"16 Channels, 5 Watt 27 VHF / 99 UHF Preset Frequencies 39 QT / 168 DQT / 64 (RAN) Privacy Codes Super Lock VOX Ready Privacy Talk Scrambler 10-Call Alert Tone Wireless Cloning Channel Scan Removable Antenna 2,000 mAh Li-Ion battery with up to 12 hours of talk time *(5-5-90) and 3 hours fast charger Diecast Chassis Weather-Sealed Construction Weighs only 9.9oz with Battery Meets 11 Mil-Spec standards Compatible with other analog business radios operating on the same frequency and code 3 year radio warranty",,,ProTalk 2-Way Radio NX-240V16P
26338,Two Way Radios,NX-340U16P,ProTalk 2-Way Radio NX-340U16P,,E:\IMAGES\ITEMS\product\N\X\kenwood-usa-nx-340u16p-protalk-2-way-radio-nx-340u16p.jpg,Kenwood U.S.A,,,"16 Channels, 5 Watt 27 VHF / 99 UHF Preset Frequencies 39 QT / 168 DQT / 64 (RAN) Privacy Codes Super Lock VOX Ready Privacy Talk Scrambler 10-Call Alert Tone Wireless Cloning Channel Scan Removable Antenna 2,000 mAh Li-Ion battery with up to 12 hours of talk time *(5-5-90) and 3 hours fast charger Diecast Chassis Weather-Sealed Construction Weighs only 9.9oz with Battery Meets 11 Mil-Spec standards Compatible with other analog business radios operating on the same frequency and code 3 year radio warranty",,,ProTalk 2-Way Radio NX-340U16P
26338,Two Way Radios,PKT-23K,ProTalk 2-Way Radio PKT-23K,,E:\IMAGES\ITEMS\product\P\K\kenwood-usa-pkt-23k-protalk-2-way-radio-pkt-23k.jpg,Kenwood U.S.A,,,1.5 Watts Transmit Power 4 Channels 39-QT/168-DQT Coded Squelch Super Lock (Manager Key Lock) Scan Function 2 PF Keys Enhanced Kenwood Audio VOX Ready Voice Announcement Bell Tone Alert LED Battery Status Indicator IP54 & MIL-STD 810 C/D/E/F/G 11 items Battery Saver Time Out Timer Monitor Wireless Clone 2-year Warranty,,,ProTalk 2-Way Radio PKT-23K
26338,Two Way Radios,TK-2400V16P,ProTalk 2-Way Radio TK-2400V16P,,E:\IMAGES\ITEMS\product\T\K\kenwood-usa-tk-2400v16p-protalk-2-way-radio-tk-2400v16p.jpg,Kenwood U.S.A,,,"Exceptional 1 watt Audio Quality 2 Watts of Transmit Power 16 Channel Model - UHF (89 Bank) 38 Privacy Codes (CTCSS) 89 UHF BANK of Programmed Freq’s. Weight – only 9.9 oz. High Efficiency Antenna Rugged Die-Cast Chassis Built to MIL STD 810C-D-E-F, IP54, IP55 Wireless Cloning Mode VOX (with Audio Accessory) Channel Scan & Super Lock Channel Confirmation Mode Battery Saver Mode Low Battery Alert Tone Spring Action Belt Clip Includes 2000 mAh Li-Ion Battery Includes Desktop Fast 3Hr. Charger",,,ProTalk 2-Way Radio TK-2400V16P
26338,Two Way Radios,TK-2400V4P,ProTalk 2-Way Radio TK-2400V4P,,E:\IMAGES\ITEMS\product\T\K\kenwood-usa-tk-2400v4p-protalk-2-way-radio-tk-2400v4p.jpg,Kenwood U.S.A,,,1.5 Watts Transmit Power 4 Channels 39-QT/168-DQT Coded Squelch Super Lock (Manager Key Lock) Scan Function 2 PF Keys Enhanced Kenwood Audio VOX Ready Voice Announcement Bell Tone Alert LED Battery Status Indicator IP54 & MIL-STD 810 C/D/E/F/G 11 items Battery Saver Time Out Timer Monitor Wireless Clone 2-year Warranty,,,ProTalk 2-Way Radio TK-2400V4P
26338,Two Way Radios,TK-2402V16P,ProTalk 2-Way Radio TK-2402V16P,,E:\IMAGES\ITEMS\product\T\K\kenwood-usa-tk-2402v16p-protalk-2-way-radio-tk-2402v16p.jpg,Kenwood U.S.A,,,"16 channels UHF 5 Watts of Power Heavy Duty, meets tough MIL-STD810 C/D/E Narrow bandwidth 2000 mAh Lithium battery (18 hours with battery save on) Package includes radio, charger, battery, belt clip and antenna Pre-programmed bank of 27 frequencies 2 year warranty",,,ProTalk 2-Way Radio TK-2402V16P
26338,Two Way Radios,TK-3230,ProTalk 2-Way Radio TK-3230,,E:\IMAGES\ITEMS\product\T\K\kenwood-usa-tk-3230-protalk-2-way-radio-tk-3230.jpg,Kenwood U.S.A,,,"1.5 Watts of Power Heavy Duty, meets tough MIL-STD810 C/D/E/F 6 Channels 39-QT/83-DQT Coded Squelch Super Lock (Manager Lock Key) Scan Function 2000 mAh Lithium Battery (18 hours with battery save on) Package includes radio, battery, charger, belt clip and antenna 2 year warranty",,,ProTalk 2-Way Radio TK-3230
26338,Two Way Radios,TK-3400U16P,ProTalk 2-Way Radio TK-3400U16P,,E:\IMAGES\ITEMS\product\T\K\kenwood-usa-tk-3400u16p-protalk-2-way-radio-tk-3400u16p.jpg,Kenwood U.S.A,,,"Exceptional 1 watt Audio Quality 2 Watts of Transmit Power 16 Channel Model - UHF (89 Bank) 38 Privacy Codes (CTCSS) 89 UHF BANK of Programmed Freq’s. Weight – only 9.9 oz. High Efficiency Antenna Rugged Die-Cast Chassis Built to MIL STD 810C-D-E-F, IP54, IP55 Wireless Cloning Mode VOX (with Audio Accessory) Channel Scan & Super Lock Channel Confirmation Mode Battery Saver Mode Low Battery Alert Tone Spring Action Belt Clip Includes 2000 mAh Li-Ion Battery Includes Desktop Fast 3Hr. Charger",,,ProTalk 2-Way Radio TK-3400U16P
