category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
711|21749,Chalk Reels | Chalk|Chalk Line Reels,G100,Giant Chalk Line Reel,Oversized Chalk Line Reel,E:\IMAGES\ITEMS\product\G\1\Keson-Industries-Giant-Chalk-Line.jpg,"Keson Industries, Inc.",Oversized Chalk Line Reel,"100 feet or 110 feet, heavy-duty cord and pull ring. Hooks easily onto tool belt and holds almost a pound of chalk. One-piece steel crank for long life.",,,Keson Industries - Giant Chalk Line Reel,Giant Chalk Line Reel
711|21749,Chalk Reels | Chalk|Chalk Line Reels,G150,GIANT CHALK LINE REELS,Oversized Chalk Line Reel,E:\IMAGES\ITEMS\product\G\1\Keson-Industries-GIANT-CHALK-LINE- 1.jpg,"Keson Industries, Inc.",Oversized Chalk Line Reel,"130 feet or 150 feet, heavy-duty cord and pull ring. Holds over a pound of chalk for fewer refills. One-piece steel crank for long life.",,,Keson Industries - GIANT CHALK LINE REELS,GIANT CHALK LINE REELS
27969,Tape Measures,KL1810100F,100 Ft. Fiberglass Measuring Tape,,E:\IMAGES\ITEMS\product\K\L\Keson-Industries-100-Ft-Fiberglass-Measuring- 1.jpg,"Keson Industries, Inc.",Fiberglass Measuring Tape,"Blade and housing are rust & break-resistant. Rubber shovel handle for a comfortable, ""no-slip"" grip. Metal-reinforced crank handle lasts longer. Double-throat rollers guide the blade return and prevent the tape from twisting. Double-riveted housing for durability. Metal, strip-proof, gearing.","Measures: ft., 1/10, 1/100",,100 Ft. Fiberglass Measuring Tape,100 Ft. Fiberglass Measuring Tape
27969,Tape Measures,KL1810200F,200 Ft. Fiberglass Tape,Open Reel Fiberglass Measuring Tape,E:\IMAGES\ITEMS\product\K\L\Keson-Industries-Open-Reel-200-Ft-Fiberglass.jpg,"Keson Industries, Inc.",Open Reel Fiberglass Measuring Tape,"Ergonomically designed housing handle with tactile rubber grip for balance and comfort.Freewheeling hub for fast pay out of blade without spinning crank.No more busted knuckles!Re-engage with the push of a button.Massive crank arm with large, easy-grip knob for comfort and reliability.Knob folds down for storage.Locking pawl enables proper blade tension during measurement.Rubber no-slip foot for steady placement during measurement.",,,200 Ft. Fiberglass Tape,200 Ft. Fiberglass Tape
27969,Tape Measures,KL1810330F,330 Ft. Fiberglass Measuring Tape,330' Fiberglass Measuring Tape,E:\IMAGES\ITEMS\product\K\L\Keson-Industries-330-Open-Reel-Fiberglass-Measuring.jpg,"Keson Industries, Inc.",330' Fiberglass Measuring Tape,"Metal, strip-proof, gearing. Blade and housing are rust & break-resistant. Rubber shovel handle for a comfortable, ""no-slip"" grip. Metal-reinforced crank handle lasts longer. Double-throat rollers guide the blade return and prevent the tape from twisting.Double-riveted housing for durability.",,,330 Ft. Fiberglass Measuring Tape,330 Ft. Fiberglass Measuring Tape
27969,Tape Measures,KLN1810100,"100' Steel Measuring Tape 1/2""",100' Steel Measuring Tape,E:\IMAGES\ITEMS\product\K\L\Keson-Industries-100-Steel-Measuring- 1.jpg,"Keson Industries, Inc.",100' Steel Measuring Tape,"Metal, planetary gearing for super-fast rewind & no more stripped gears. High-visibility orange polycarbonate case. Tough, double nylon-coated steel blade assures long life under field use.Rubber-grip shovel handle for comfortable, rapid reeling. Wide base crank with metal reinforcement for increased durability.",,,"100' Steel Measuring Tape 1/2""","100' Steel Measuring Tape 1/2"""
28225,Surveying,STK21GP,Pink Stake Flags,Our surveyor stake flags have a standard 2-1/2” x 3-1/2” flag on a 21” stake.,E:\IMAGES\ITEMS\product\S\T\Pink-Stake.jpg,"Keson Industries, Inc.","Our surveyor stake flags have a standard 2-1/2"" x 3-1/2"" flag on a 21"" stake.",Colors Available: White Blue Pink Light Green Dark Green Yellow Orange,,,Pink Stake Flags,Pink Stake Flags
27969,Tape Measures,KLN1810200,"200' Steel Measuring Tape 1/2""",200' Steel Measuring Tape,E:\IMAGES\ITEMS\product\K\L\200-Steel-Measuring-Tape-12.jpg,"Keson Industries, Inc.",200' Steel Measuring Tape,"Metal, planetary gearing for super-fast rewind & no more stripped gears.High-visibility orange polycarbonate case.Tough, double nylon-coated steel blade assures long life under field use.Rubber-grip shovel handle for comfortable, rapid reeling.Wide base crank with metal reinforcement for increased durability.","3X rewind, high-visibility housing!",,"200' Steel Measuring Tape 1/2""","200' Steel Measuring Tape 1/2"""
713|23810|21751,Pencils|Pencils|Industrial Markers,LP72R,Red Lead Carpenter Pencil,Carpenter Pencil,E:\IMAGES\ITEMS\product\L\P\Keson-Industries-Red-Lead-Carpenter.jpg,"Keson Industries, Inc.",Carpenter Pencil,Natural WoodRed Lead,,,Keson Industries - Red Lead Carpenter Pencil,Red Lead Carpenter Pencil
28225,Surveying,STK21GO,Orange Stake Flags,Our surveyor stake flags have a standard 2-1/2” x 3-1/2” flag on a 21” stake.,E:\IMAGES\ITEMS\product\S\T\Pink-Stake.jpg,"Keson Industries, Inc.","Our surveyor stake flags have a standard 2-1/2"" x 3-1/2"" flag on a 21"" stake.",Colors Available: White Blue Pink Light Green Dark Green Yellow Orange,,,Orange Stake Flags,Orange Stake Flags
21816,Measuring Wheels,MP401,4 FT. Metal Measuring Wheel,Measuring Wheel,E:\IMAGES\ITEMS\product\M\P\Keson-Industries-Measuring.jpg,"Keson Industries, Inc.",Measuring Wheel,"Keson counters are the sturdiest and the most reliable.The wheels on the Keson measuring wheel are designed to protect the counter, the most valuable component of the wheel.99.7% accurate on a flat, even track.",Made in the USA.Lifetime WarrantyAll of the large wheels come with a reflector to help keep you safe while you work.,,Keson Industries - Measuring Wheel,4 FT. Metal Measuring Wheel
27969,Tape Measures,NRS18300,300' NRS Series Steel Measuring Tape,"Nylon Reinforced Steel Blade, Speed Rewind",E:\IMAGES\ITEMS\product\N\R\Keson-Industries-300-NRS-Series-Measuring.jpg,"Keson Industries, Inc.","Nylon Reinforced Steel Blade, Speed Rewind","Metal, planetary gearing for super-fast rewind & no more stripped gears.High-visibility orange polycarbonate case.Tough, double nylon-coated steel blade assures long life under field use.Rubber-grip shovel handle for comfortable, rapid reeling.Wide base crank with metal reinforcement for increased durability.","3X rewind, high-visibility housing!",,300' NRS Series Steel Measuring Tape,300' NRS Series Steel Measuring Tape
28225,Surveying,STK21G,Green Stake Flags,Our surveyor stake flags have a standard 2-1/2” x 3-1/2” flag on a 21” stake.,E:\IMAGES\ITEMS\product\S\T\STK21G-Keson-Industries-Inc-Surveyor-Stake.jpg,"Keson Industries, Inc.","Our surveyor stake flags have a standard 2-1/2"" x 3-1/2"" flag on a 21"" stake.",Colors Available: White Blue Pink Light Green Dark Green yellow Orange,,,Green Stake Flags,Green Stake Flags
28225,Surveying,STK21B,Blue Stake Flags,Our surveyor stake flags have a standard 2-1/2” x 3-1/2” flag on a 21” stake.,E:\IMAGES\ITEMS\product\S\T\STK21B-Keson-industries-Inc-Surveyor-Stake.jpg,"Keson Industries, Inc.","Our surveyor stake flags have a standard 2-1/2"" x 3-1/2"" flag on a 21"" stake.",Colors Available: White Blue Pink Light Green Dark Green Yellow Orange,,,Blue Stake Flags,Blue Stake Flags
27969,Tape Measures,PG181025,25' Standard Series Measuring Tape,25' Measuring Tape,E:\IMAGES\ITEMS\product\P\G\25-Standard-Series-Measuring.jpg,"Keson Industries, Inc.",25' Measuring Tape,"Rubber grip prevents slips and protects the tape if it does happen to fall.Nylon-coated, no-glare yellow blade.Chrome-plated tape armor adds strength.Belt clip.Positive lock and reverse - the most common and practical lock mechanism.""Bumper"" blade return cushions the impact of the hook upon return.",Blade width is a standard 1 inch.Continuous inches.16 inch studs labeled.19.2 inch truss labeled.,,Keson Industries - 25' Standard Series Measuring Tape,25' Standard Series Measuring Tape
27969,Tape Measures,PG18M25,25' Metric PG Pro Series Measuring Tape,25' Metric Measuring Tape,E:\IMAGES\ITEMS\product\P\G\25-Metric-PG-Pro-Series-Measuring.jpg,"Keson Industries, Inc.",25' Metric Measuring Tape,"Nylon coated blade provide extended blade life.Blades are white for increased readability and no-glare.The true-zero, 4 riveted hook offers superior strengthStainless Steel Housing adds strength.Rubber grip prevents slips and protects the tape if it does happen to fall.""Bumper"" blade return cushions the impact of the hook upon return.Blade width is standard 1"".","Positive Blade lock and reverse button are standard.Has handy belt-clip.Tapes are printed with 16"" center and 19.3"" rafter markingsAll 18 series tapes feature continuous inches.",,Keson Industries - 25' Metric PG Pro Series Measuring Tape,25' Metric PG Pro Series Measuring Tape
2719|21816,Measuring Wheels|Measuring Wheels,RR318N,Measuring Wheel Inches and Feet,"We work hard to make sure our measuring wheels are the best in the world. We are the new standard, leading the industry in the development of wheels with better features and more valuable benefits.",E:\IMAGES\ITEMS\product\R\R\RR318N-Keson-Industries-Inc-Measuring-Wheel-Inches-and.jpg,"Keson Industries, Inc.","We work hard to make sure our measuring wheels are the best in the world. We are the new standard, leading the industry in the development of wheels with better features and more valuable benefits.","Our counters are the sturdiest and the most reliable. Our wheels are designed to protect the counter, the most valuable component of the wheel. With the industry's strongest frames, the MP wheels have become the professional's choice. Longest Warranties - Limited Lifetime Warranty on all but 3 models (2-year limited wheel warranty for MP401E, RRT6 and RRT12). Safety - All of our large wheels come with a reflector to help keep you safe while you work. 99.7% accurate on a flat, even track.",,,RR318N Keson Industries Inc Measuring Wheel Inches and Feet,Measuring Wheel Inches and Feet
2719|21816,Measuring Wheels|Measuring Wheels,RR112,Compact Measuring Wheel Inches & Feet,Compact Measuring Wheel Inches and Feet.,E:\IMAGES\ITEMS\product\R\R\Keson-Industries-Inc-RR112-Compact-Measuring-Wheel-Inches.jpg,"Keson Industries, Inc.",Compact Measuring Wheel Inches and Feet.,"Our counters are the sturdiest and the most reliable. Our wheels are designed to protect the counter, the most valuable component of the wheel. With the industry's strongest frames, the MP wheels have become the professional's choice. Longest Warranties - Limited Lifetime Warranty on all but 3 models. Safety - All of our large wheels come with a reflector to help keep you safe while you work.","Accuracy: 99.7% accurate on a flat, even track.",,"Keson Industries, Inc. RR112 Compact Measuring Wheel Inches & Feet",Compact Measuring Wheel Inches & Feet
711|21749,Chalk Reels | Chalk|Chalk Line Reels,RLG150RH,"Keson Industries RLG110RH Replacement Line for G100 & G150, 150'","Keson Industries RLG110RH Replacement Line for G100 & G150, 150'",E:\IMAGES\ITEMS\product\R\L\Keson-Industries-RLG110RH-Replacement-Line-for-G100-G150.jpg,"Keson Industries, Inc.","Keson Industries RLG110RH Replacement Line for G100 & G150, 150'","Replacement Chalk Line, With Handle, White",,,"Keson Industries RLG110RH Replacement Line for G100 & G150, 150'","Keson Industries RLG110RH Replacement Line for G100 & G150, 150'"
2716|27969,Tape Measure|Tape Measures,NR18100,NR Series - Nylon Reinforced Steel Blade,"A Keson best seller! Since 1968 this style of Keson steel tape has been providing customers with accurate measurements. They are used in the harshest conditions in which people measure, and they stand to the only test that matters: field performance.",E:\IMAGES\ITEMS\product\N\R\NR-Series-Nylon-Reinforced-Steel.jpg,"Keson Industries, Inc.","A Keson best seller! Since 1968 this style of Keson steel tape has been providing customers with accurate measurements. They are used in the harshest conditions in which people measure, and they stand to the only test that matters: field performance.","We have made modifications to the housing over the years: Better plastic and molding shapes for increased durability. Double screws to hold the housing together in the event of a drop. Better blade axle to reduce breakage due to the weight of the tape if dropped. For years we’ve been honoring warranty dates long past a single year, so we are now proud to offer a limited lifetime warranty on these products.","Tough, double nylon-coated steel blades. Break-resistant under severe use in the field. 3/8-inch wide blade reduces wind drift and tape weight. Metal-reinforced crank handle for durability.",,"Length: 100 ft., Units: ft., in., 1/8, Zero pt.: hook end, Attachment: hook",NR Series - Nylon Reinforced Steel Blade
2716|27969,Tape Measure|Tape Measures,NR10100,NR Series - Nylon Reinforced Steel Blade,"A Keson best seller! Since 1968 this style of Keson steel tape has been providing customers with accurate measurements. They are used in the harshest conditions in which people measure, and they stand to the only test that matters: field performance.",E:\IMAGES\ITEMS\product\N\R\NR-Series-Nylon-Reinforced-Steel.jpg,"Keson Industries, Inc.",NR Series - Nylon Reinforced Steel Blade,"We have made modifications to the housing over the years: Better plastic and molding shapes for increased durability. Double screws to hold the housing together in the event of a drop. Better blade axle to reduce breakage due to the weight of the tape if dropped. For years we’ve been honoring warranty dates long past a single year, so we are now proud to offer a limited lifetime warranty on these products.","Tough, double nylon-coated steel blades. Break-resistant under severe use in the field. 3/8-inch wide blade reduces wind drift and tape weight. Metal-reinforced crank handle for durability.",,"Length: 100 ft., Units: ft., 1/10, 1/100, Zero pt.: tape end + 1 ft., Attachment: ring",NR Series - Nylon Reinforced Steel Blade
2716|27969,Tape Measure|Tape Measures,NR10100E,NR Series - Nylon Reinforced Steel Blade,"A Keson best seller! Since 1968 this style of Keson steel tape has been providing customers with accurate measurements. They are used in the harshest conditions in which people measure, and they stand to the only test that matters: field performance.",E:\IMAGES\ITEMS\product\N\R\NR-Series-Nylon-Reinforced-Steel.jpg,"Keson Industries, Inc.",NR Series - Nylon Reinforced Steel Blade,"We have made modifications to the housing over the years: Better plastic and molding shapes for increased durability. Double screws to hold the housing together in the event of a drop. Better blade axle to reduce breakage due to the weight of the tape if dropped. For years we’ve been honoring warranty dates long past a single year, so we are now proud to offer a limited lifetime warranty on these products.","Tough, double nylon-coated steel blades. Break-resistant under severe use in the field. 3/8-inch wide blade reduces wind drift and tape weight. Metal-reinforced crank handle for durability.",,"Length: 100 ft., Units: ft., 1/10, 1/100, Zero pt.: tape end, Attachment: ring",NR Series - Nylon Reinforced Steel Blade
