category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
24963.0,Circular Saw Accessories,,Plastic Cutting Saw Head Kit,,E:\IMAGES\ITEMS\product\\\kett-tool-company-plastic-cutting-saw-head-kit.jpg,Kett Tool Company,,"Plastic cutting saw head kit includes: KS-44 saw head, 567-2A connecting sleeve, 170-25 coupler, 154-54 spacer, wrenches, and 4 asssorted blades.",,,,Plastic Cutting Saw Head Kit
24786.0,Cordless Cut-Out Tools,1020,1020 Nibbler Attachment,,E:\IMAGES\ITEMS\product\1\0\kett-tool-company-1020-nibbler.jpg,Kett Tool Company,,"The 1020 nibbler attachment cuts intricate curves in 18 gauge C.R. mild steel at 40 inches per minute. The nibbler head cuts straight, left or right with unique swivel punch and die assembly. It can be locked in any 360 degree position. It cuts a clean, even line at 3/16"" wide. (Punch and die Kit #110)",,,,1020 Nibbler Attachment
25004.0,Electric Shear Accessories,46-20R,46-20R Shear Head for Profile Shears KD-446R,,E:\IMAGES\ITEMS\product\4\6\kett-tool-company-46-20r-shear-head.jpg,Kett Tool Company,,Shear Head for Profile shears KD-446R,,,,46-20R Shear Head for Profile Shears KD-446R
24786.0,Cordless Cut-Out Tools,257-34K,257-34K Panel Saw Head Kit,,E:\IMAGES\ITEMS\product\2\5\kett-tool-company-257-34k-panel-saw-kit.jpg,Kett Tool Company,,"Panel saw kit includes KSV-34 saw head, 567-2A connecting sleeve, 170-25 coupler and 154-54 spacer.","Parts: 154-54, 170-25, 567-2A Heads: KSV-34",,,257-34K Panel Saw Head Kit
25004.0,Electric Shear Accessories,KS-21,KS-21 Saw Head w/ Six Blades & Wrenches,,E:\IMAGES\ITEMS\product\K\S\kett-tool-company-ks-21-kett-14-cut-saw-head.jpg,Kett Tool Company,,"Kett 1/4"" depth of cut saw head complete with six blades and wrenches for KS-221 and PS-521 saws.","Included Blades: 157-12, 157-14, 157-16, 157-22, 157-24, 157-26, 157-23, 157-24Z Cutting Materials:  Mild Steel 16 to 23 Gauge Mild Steel 24 Gauge and Lighter Hard Aluminum Soft Aluminum Brass C",,,KS-21 Saw Head w/ Six Blades & Wrenches
25004.0,Electric Shear Accessories,60-20H,60-20H Shear Head,,E:\IMAGES\ITEMS\product\6\0\kett-tool-company-60-20h-shear-head.jpg,Kett Tool Company,,SHEAR HEAD,,,,60-20H Shear Head
24811.0,Cordless Tool Accessories,264-3,Grease,,E:\IMAGES\ITEMS\product\M\S\kett-tool-company-msds-264-3-grease.jpg,Kett Tool Company,,Grease MSDS Sheet,,,SHELL Super Duty Grease 2,Grease
24786.0,Cordless Cut-Out Tools,KL-240,KL-240 Double-Cut Straight-Handle Shear,,E:\IMAGES\ITEMS\product\K\L\kett-tool-company-kl-240-straight-handle-shears.jpg,Kett Tool Company,,"This lightweight, single-speed straight-handle shear cuts 14 gauge C.R. mild steel and most grades of stainless to 16 gauge. Double-insulated, the 4 AMP KL-240 cuts at over 150 inches per minute, leaving a clean, flat sheet, ready to fabricate. Distortions are absorbed in an easily disposed of waste curl, leaving the sheet cool and free of burn, chips and burrs. The cutting blades are finest high-speed steel, which you can easily replace. (Standard blades-Kit #106)","Head: 40-20 Motor: 253-80 Length: 13.5""",,,KL-240 Double-Cut Straight-Handle Shear
24786.0,Cordless Cut-Out Tools,P-2042,P-2042 All-Purpose 16 Gauge Straight Handle Pneumatic Double-Cut Power Shear,,E:\IMAGES\ITEMS\product\P\2\kett-tool-company-p-2042-16-gauge-straight-handle-power-shear.jpg,Kett Tool Company,,"KETT's all-purpose 16 gauge straight handle power shear cuts up to 16 gauge mild steel, cleanly and easily, without burring or buckling the material. Designed for ease and durability, this lightweight pneumatic shear fills the gap between KETT's light-gauge and heavy-gauge power shear lines.  The cast aluminum shear housing is now equipped with close-clearance, heavy-duty cutting blades that are essential for handling thin sheet. Thus, the P-2042 is more than capable of shearing through light shim stock and up to 16-gauge steel with the same smooth cutting action.  The P-2042 features the Kett 2500 RPM pneumatic power unit designed for maximum efficiency at 90 PSI air pressure. Able to quickly cut through sheet metal, spiral pipe, metal studs and metal doors, and weighing less than 4 pounds, this is truly a portable hand tool that's ideal for fast work in the shop or on the job.","Head: 42-20 Motor: 253-58 Length: 10.25""",,,P-2042 All-Purpose 16 Gauge Straight Handle Pneumatic Double-Cut Power Shear
24786.0,Cordless Cut-Out Tools,60-20C,60-20C 18 Ga. Shear Head w/ Contour Blade,,E:\IMAGES\ITEMS\product\6\0\kett-tool-company-60-20c-18-ga-shear-head-with-contour-blade.jpg,Kett Tool Company,,18 Ga. shear head with contour blade,,,,60-20C 18 Ga. Shear Head w/ Contour Blade
