category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1326|19703,Cleaning Supplies|Cleaning Supplies Holders,75130,Shop Towels on a Roll,"Grease-absorbent, tough, will not scratch surface. Absorbs grease and oil. Economical, disposable, for garage, basement, or auto. Fits standard towel holder.",E:\IMAGES\ITEMS\product\7\5\75130-Kimberly-Clark-Shop-Towels-on-a.jpg,Kimberly Clark,"Grease-absorbent, tough, will not scratch surface. Absorbs grease and oil. Economical, disposable, for garage, basement, or auto. Fits standard towel holder.",Jumbo Roll Display Box Shelf Pack,,,75130 Kimberly Clark Shop Towels on a Roll,Shop Towels on a Roll
1326|19703,Cleaning Supplies|Cleaning Supplies Holders,75240,Shop Rags in a Box,"85 Rags per Box Works like cloth, cloth-like feel. Strong, absorbent, for wiping, scrubbing, stain/paint and household cleaning. Lint-free, absorbs coatings, paints, and stains. Re-usable, washable. White color.",E:\IMAGES\ITEMS\product\7\5\75240-Kimberly-Clark-Shop-Rags-in-a.jpg,Kimberly Clark,"85 Rags per Box Works like cloth, cloth-like feel. Strong, absorbent, for wiping, scrubbing, stain/paint and household cleaning. Lint-free, absorbs coatings, paints, and stains. Re-usable, washable. White color.",1-PLY - WET/DRY Easy Pop-up Dispenser Box Size In=11.2 x 10,,,75240 Kimberly Clark Shop Rags in a Box,Shop Rags in a Box
25514,Chemical Resistant and Disposable Hoods,44490,KC 44490 SHOE COVER 400ea/bx,,E:\IMAGES\ITEMS\product\4\4\kimberly-clark-44490-kc-44490-shoe-cover-400eabx.jpg,Kimberly Clark,"KleenGuard Personal Protective Equipment (PPE) enables rather than inhibits – allowing for maximum productivity and safety for you and your employees. Offering your team comfortable protective clothing is a must, and Kleenguard A40 Liquid and Particle Protection Disposable Shoe Covers are a great addition. Each single use booty measures is 7” high and is fully elasticized (for a formed fit). Made of breathable, microporous film to keep out debris, non-hazardous liquid chemicals and dry particulates, the Kleenguard A40 material gives your employees a better liquid barrier and a better particulate barrier than Dupont Tyvek shoe covers. These disposable shoe covers pass NFPA 99 for antistatic materials, pass ASTM F1670 testing for penetration of blood and bodily fluids, and meet the ANSI/ISEA 101-1996 sizing standards. They are popular for helping keep the office clean (in manufacturing and welders), keeping clients houses clean (in the case of pest control associates and cleaners) and in a paint environment. Making the right Personal Protection choice is difficult. Perform with distinction with KleenGuard Personal Protective Equipment (PPE).",,"Each white, ambidextrous single use booty has a tall 7” height These A40 disposable shoe covers offer better liquid and particulate barrier than the Dupont TYVEK shoe covers The one size fits all A40 shoe cover is made to keep out debris, dry particulates and some liquids A40 Kleenguard disposable shoe covers passes NFPA 99 criteria for antistatic materials",3600044490,,KC 44490 SHOE COVER 400ea/bx
25513,Chemical Resistant and Disposable Coveralls,46145,KC 46145 2XL KLEENGUARD COVERALLS 25/CS A30,,E:\IMAGES\ITEMS\product\4\6\kimberly-clark-46145-kc-46145-2xl-kleenguard-coveralls-25cs-a30.jpg,Kimberly Clark,"KleenGuard Personal Protective Equipment (PPE) enables rather than inhibits – allowing for maximum productivity and safety for you and your employees. When your workers are in nonstop contact with dirt and grime where light splashes exist, Kleenguard A30 Breathable Splash and Particle Protection Coveralls are a must. They’re designed to move with you – and your employees – while protecting against hazardous dry particles, aerosols and non-hazardous light liquid splash. These protective garments feature the breathable Microforce fabric. Features to provide more protection include the seamless front (for primary exposure area), a hood, 1 inch zipper flap and elastic wrists and ankles. They feature iFLEX stretch panels that build in extra freedom of movement and Reflex design, which offers excellent fit (with elastic back). The material is strong and abrasion resistant, and filters out many water-based liquids and dry particles. They are a popular choice for environments such as pharmaceutical research, aerospace, maintenance and general manufacturing. Making the right Personal Protection choice is difficult. Perform with distinction with KleenGuard Personal Protective Equipment (PPE).",,"Kleenguard A30 are designed to protect against dirt, grime and light splashes and are made with breathable Microforce barrier fabric This protective apparel features an intricate web of micro-fibers that filter out many water-based liquids and dry particulates iFLEX stretch panels build in freedom of movement and Reflex Coverall Design offers excellent fit (also includes elastic back) Passes NFPA 99 for antistatic (anti stat) materials",,,KC 46145 2XL KLEENGUARD COVERALLS 25/CS A30
19717,Paper Towels and Rolls,50606,KC 50606 8^X600 PAPER TOWEL ROLL WHITE 1.75 CORE 6/CS,,E:\IMAGES\ITEMS\product\5\0\kimberly-clark-50606-kc-50606-8x600-paper-towel-roll-white-175-core-6cs.jpg,Kimberly Clark,"Scott Essential (formerly Kleenex) provides reliable balance of efficiency, performance and value. Drying is one of the most important steps in the hand washing process, and how you dry matters. Forced air dryers and hot air dryers can take two or even three times as long to use as a paper towel, and studies show that, while the overall cost per use is comparable, the likelihood of spreading germs is greatly reduced with the use of absorbent, single-use drying towels, such as white Scott Essential (formerly Kleenex) Hard Roll Paper Towels. Germ counts are significantly lower following the use of a touch-free paper towel dispenser (like the compatible Kimberly-Clark Professional Hard Roll Paper Towel Dispenser)—as much as a 200% decrease when compared with using either jet or hot air dryers. And, rather than blowing germs into the air during use, the paper towels are thrown neatly away. These paper towel rolls offer terrific hand drying performance, so your guests will waste less. A healthy workplace is a happy workplace, and providing high-quality Scott Essential (formerly Kleenex) Hard Roll commercial paper towels to your guests, clients and employees is one important piece of the puzzle. It's the same Kleenex quality, now Scott branded.",,"Scott Essential (formerly Kleenex) paper towel rolls give soft feel with the premium performance of commercial paper towels Absorbency Pockets absorb lots of water fast for superior hand drying performance, so guests use fewer paper towels Paper towel rolls: 1.75"" core size and 7.9"" roll diameter Compatible with a variety of Kimberly-Clark paper towel dispensers",3600050606,,KC 50606 8^X600 PAPER TOWEL ROLL WHITE 1.75 CORE 6/CS
26100,Traffic Cones,17450,KIMBERLY 17450 3007532 16LB BASE FOR CHANNELIZER CONE,,E:\IMAGES\ITEMS\product\1\7\kimberly-clark-17450-kimberly-17450-3007532-16lb-base-for-channelizer-cone.jpg,Kimberly Clark,,"Channelizer 16Lb Base, Hexagon",,,,KIMBERLY 17450 3007532 16LB BASE FOR CHANNELIZER CONE
19739,Rags and Wipes,5790,KIMBERLY CLARK 05790 WYPALL L40 Wipers White POP-UP Box 100ct 9/CS,,E:\IMAGES\ITEMS\product\5\7\kimberly-clark-5790-kimberly-clark-05790-wypall-l40-wipers-white-pop-up-box-100ct-9cs.jpg,Kimberly Clark,"If you're looking for an effective wipe to absorb liquids lightning-fast, WypAll L40 Disposable Cleaning and Drying Towels are just what you need. These wipes are made of bonded cellulose using DRC (double re-creped) technology for strength, softness and absorbency. As a wiping towel, it soaks up liquids fast, but all you—and your staff—will feel is softness, thanks to a plush, touchable outer layer. In fact, it's a popular choice for patient wiping in healthcare industries – keep them folded for tasks like bathing or unfold for patient drying. These utility wipes are specially designed to absorb liquids, lubricants and oils (in restaurants for wiping counters, in mechanic shops, industrial and commercial factories and more), yet they're soft enough for use on face and hands. Experience the difference in superior absorption and cleaning at your home or office today!",,"Wypall L40 disposable cleaning and drying towels: outstanding general-purpose towels Absorbent and tough wiping towels feature a plush outer layer that's touchable and soft Each Wypall L40 measures 16.4"" x 9.8""; Pop-Up Box is designed for easy, one-at-a-time dispensing Use utility wipes for tough tasks like cleaning grease or oil (industrial / commercial uses), yet they're gentle enough to dry your hand or face (patient care / healthcare)",3600005790,,KIMBERLY CLARK 05790 WYPALL L40 Wipers White POP-UP Box 100ct 9/CS
19739,Rags and Wipes,5812,KIMBERLY CLARK 05812 WYPALL L30 ECONOMIZER 1/4 FOLD WIPES,,E:\IMAGES\ITEMS\product\5\8\kimberly-clark-5812-kimberly-clark-05812-wypall-l30-economizer-14-fold-wipes.jpg,Kimberly Clark,"When you're looking for a lighter-weight towel at an everyday great price, you can trust WypAll L30 Wipes. They are designed with the DRC (double re-creping) process, which gives you high surface softness (a towel-like feel) with a reinforced grid that's strong for wet surface wiping and cleaning. These WypAll L30 Wipes are a great choice to replace air laid towels. They're soft enough to use on skin, so they're popular for use in healthcare and patient care (when folded for patient bathing, when unfolded for drying). They're also tough enough for light-duty processing, janitorial tasks and maintenance (as an alternative to towel rags in a box). They're a trusted tool to help you get the job done right.",,"This wiping towel has a towel-like feel at a value price (quarter-folded for easy storage) Ideal for a wide range of light-duty healthcare / patient wiping, maintenance, processing and janitorial wiping tasks (could be an alternative to towel rags in a box) Wypall Towels L30 features the double re-creping (DRC) technology, which gives them high surface softness and a reinforced grid for strength Soft enough for personal use on hands and skin (natural rubber latex free), strong enough for wet surface wiping and cleaning",3600005812,,KIMBERLY CLARK 05812 WYPALL L30 ECONOMIZER 1/4 FOLD WIPES
19739,Rags and Wipes,5843,KIMBERLY CLARK 05843 WYPALL L30 Wipers White 70/RL 24/CS,,E:\IMAGES\ITEMS\product\5\8\kimberly-clark-5843-kimberly-clark-05843-wypall-l30-wipers-white-70rl-24cs.jpg,Kimberly Clark,"When you're looking for a lighter-weight towel at an everyday great price, you can trust WypAll L30 Wipes. They are designed with the DRC (double re-creping) process, which gives you high surface softness (a towel-like feel) with a reinforced grid that's strong for wet surface wiping and cleaning. These WypAll L30 Wipes are a great choice to replace air laid towels. They're soft enough to use on skin, so they're popular for use in healthcare and patient care (when folded for patient bathing, when unfolded for drying). They're also tough enough for light-duty processing, janitorial tasks and maintenance. They're a trusted tool to help you get the job done right.",,"This wiping towel has a towel-like feel at a value price and the roll is perforated and (designed for one-at-a-time dispensing) Ideal for a wide range of light-duty healthcare / patient wiping, maintenance, processing and janitorial wiping tasks (could be an alternative to towel rags in a box) Wypall Towels L30 features the double re-creping (DRC) technology, which gives them high surface softness and a reinforced grid for strength Soft enough for personal use on hands and skin (natural rubber latex free), strong enough for wet surface wiping and cleaning",3600005843,,KIMBERLY CLARK 05843 WYPALL L30 Wipers White 70/RL 24/CS
19717,Paper Towels and Rolls,11090,KIMBERLY CLARK 11090 KLEENEX HARD ROLL TOWELS 6/CS,,E:\IMAGES\ITEMS\product\1\1\kimberly-clark-11090-kimberly-clark-11090-kleenex-hard-roll-towels-6cs.jpg,Kimberly Clark,"Scott Essential (formerly Kleenex) provides reliable balance of efficiency, performance and value. Drying is one of the most important steps in the hand washing process, and how you dry matters. These paper towel rolls offer terrific hand drying performance, so your guests will waste less. A healthy workplace is a happy workplace, and providing high-quality Kleenex Hard Roll commercial paper towels to your guests, clients and employees is one important piece of the puzzle. It's the same Kleenex quality, now Scott branded.",,"Scott Essential (formerly Kleenex) paper towel rolls give soft feel with the premium performance of commercial paper towels Absorbency Pockets absorb lots of water fast for superior hand drying performance, so guests use fewer paper towels Paper towel rolls: 1.5” core size",11090,,KIMBERLY CLARK 11090 KLEENEX HARD ROLL TOWELS 6/CS
