category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2506|22006,Specialty Wrenches|Structural and Spud Wrenches,3210,"Erection Wrench 1/2"" Bolt",Erection Wrench,E:\IMAGES\ITEMS\product\3\2\Klein-Tools-Erection-Wrench-12-Bolt-For-US-Heavy.jpg,Klein Tools,Erection Wrench,"Forged from select alloy steel to withstand high-leverage and heavy loads.Extra-heavy-duty head area gives maximum strength and durability.Continuous taper of handle makes lining-up bolt holes easy and works on a range of bolt and/or hole sizes without binding.Extra-large hub area works on larger diameter holes than other wrenches.Catalog number, bolt size and nominal opening size are stamped on every wrench for easy identification.American Bridge design.",Made in the USA,,"Erection Wrench 1/2"" Bolt","Erection Wrench 1/2"" Bolt"
2506|22006,Specialty Wrenches|Structural and Spud Wrenches,3212,"Erection Wrench 3/4"" Bolt",Erection Wrench,E:\IMAGES\ITEMS\product\3\2\Erection-Wrench-34-Bolt-For-US-Heavy.jpg,Klein Tools,Erection Wrench,"Forged from select alloy steel to withstand high-leverage and heavy loads.Extra-heavy-duty head area gives maximum strength and durability.Continuous taper of handle makes lining-up bolt holes easy and works on a range of bolt and/or hole sizes without binding.Extra-large hub area works on larger diameter holes than other wrenches.Catalog number, bolt size and nominal opening size are stamped on every wrench for easy identification.American Bridge design.",Made in the USA,,"Erection Wrench 3/4"" Bolt","Erection Wrench 3/4"" Bolt"
2506|22006,Specialty Wrenches|Structural and Spud Wrenches,3213,"Erection Wrench 7/8"" Bolt",Erection Wrench,E:\IMAGES\ITEMS\product\3\2\Klein-Tools-Erection-Wrench-78-Bolt-For-US-Heavy.jpg,Klein Tools,Erection Wrench,"Forged from select alloy steel to withstand high-leverage and heavy loads.Extra-heavy-duty head area gives maximum strength and durability.Continuous taper of handle makes lining-up bolt holes easy and works on a range of bolt and/or hole sizes without binding.Extra-large hub area works on larger diameter holes than other wrenches.Catalog number, bolt size and nominal opening size are stamped on every wrench for easy identification.American Bridge design.",Made in the USA,,"Erection Wrench 7/8"" Bolt","Erection Wrench 7/8"" Bolt"
2506|22006,Specialty Wrenches|Structural and Spud Wrenches,3214,"Erection Wrench 1"" Bolt",Erection Wrench,E:\IMAGES\ITEMS\product\3\2\Klein-Tools-Erection-Wrench-1-Bolt-For-US-Heavy.jpg,Klein Tools,Erection Wrench,"Forged from select alloy steel to withstand high-leverage and heavy loads.Extra-heavy-duty head area gives maximum strength and durability.Continuous taper of handle makes lining-up bolt holes easy and works on a range of bolt and/or hole sizes without binding.Extra-large hub area works on larger diameter holes than other wrenches.Catalog number, bolt size and nominal opening size are stamped on every wrench for easy identification.American Bridge design.",Made in the USA,,"Erection Wrench 1"" Bolt","Erection Wrench 1"" Bolt"
2499|21976,Adjustable Wrenches|Adjustable Wrenches,3239,Adjustable-Head Construction Wrench,Adjustable Head Construction Wrench,E:\IMAGES\ITEMS\product\3\2\Klein-Tools-Adjustable-Head-Construction.jpg,Klein Tools,Adjustable Head Construction Wrench,"Versatile wrench fits all nuts and bolts to 1-1/2"" (38 mm). Eliminates the need for carrying several fixed-size wrenches. Forged from select alloy steel with continuous-taper handle for aligning bolt and/or rivet holes.Industrial black finish for corrosion resistance.",Made in the USA,,Klein Tools - Adjustable-Head Construction Wrench,Adjustable-Head Construction Wrench
825|21886|28298,"Bars|Nail Pullers, Wrecking and Pry Bars|Rental Bars",3245,"3/4"" Round Connecting Bar 30""",Round Bar,E:\IMAGES\ITEMS\product\3\2\Klein-Tools-30-Round.jpg,Klein Tools,"3/4"" Diameter, 30"" Round Bar",Provides extra leverage when positioning steel members and aligning bolt holes.Forged fit-up bar is pointed on one end.Chisel-end is at a 15° angle to give even greater leverage.,"3/4"" Diameter, 30"" Length, Weight 3.30 lbs.",,"3/4"" Round Connecting Bar 30""","3/4"" Round Connecting Bar 30"""
825|26915|28298,Bars|Below Grade|Rental Bars,3248,"7/8"" Round Connecting Bar 30""","7/8"" Diameter, 30"" Round Bar",E:\IMAGES\ITEMS\product\3\2\Klein-Tools-30-Round- 1.jpg,Klein Tools,"7/8"" Diameter, 30"" Round Bar",Provides extra leverage when positioning steel members and aligning bolt holes.Forged fit-up bar is pointed on one end.Chisel-end is at a 15° angle to give even greater leverage.,"7/8"" Diameter, 30"" Length, Weight 4.30 lbs.",,"7/8"" Round Connecting Bar 30""","7/8"" Round Connecting Bar 30"""
2506|27681,Specialty Wrenches|Form Pins,3255,Broad Head Bull Pin,Bull Pin,E:\IMAGES\ITEMS\product\3\2\Klein-Tools-Broad-Head-Bull.jpg,Klein Tools,Bull Pin,"Forged, heat-treated bull pin increases efficiency by providing a larger striking surface.Head design also reduces chance of pin slipping from the hand when aligning holes.Angled head and smooth blending of radii increase strength and reduce the danger of chipping.Below the head, squared-off shoulders have been forged to provide a surface for applying wrench to loosen wedged bull pins.Long, even taper reduces binding and hang-up.Added resistance to ""mushrooming"" permitting much longer use than is possible with conventional designs.Heat-treated for strength. Black finish for rust resistance.","Length: 13-3/4"", Point Diameter: 5/16"", Top Diameter: 1-1/4"", Weight: 2.90 lbs.",,Klein Tools - Broad Head Bull Pin,Broad Head Bull Pin
2506|27681,Specialty Wrenches|Form Pins,3256,Broad Head Bull Pin,Bull Pin,E:\IMAGES\ITEMS\product\3\2\Klein-Tools-Broad-Head-Bull- 1.jpg,Klein Tools,Bull Pin,"Forged, heat-treated bull pin increases efficiency by providing a larger striking surface.Head design also reduces chance of pin slipping from the hand when aligning holes.Angled head and smooth blending of radii increase strength and reduce the danger of chipping.Below the head, squared-off shoulders have been forged to provide a surface for applying wrench to loosen wedged bull pins.Long, even taper reduces binding and hang-up.Added resistance to ""mushrooming"" permitting much longer use than is possible with conventional designs.Heat-treated for strength. Black finish for rust resistance.","Length: 10"", Point Diameter: 1/4"", Top Diameter: 1-1/16"", Weight: 1.60 lbs.",,Klein Tools - Broad Head Bull Pin,Broad Head Bull Pin
2503|27681,L - Wrenches|Form Pins,3261,"13/16"" x 7/16"" Barrel-Type Drift Pin",Drift Pin,E:\IMAGES\ITEMS\product\3\2\Klein-Tools-1316-Barrel-Type-Drift.jpg,Klein Tools,Drift Pin,"Machined from quality alloy steel. Tapers are uniform and blend into body diameter. Tough, forged steel will properly end-pein in use. Heat-treated for strength. Black finish for rust resistance.","Overall Length: 8""",,"13/16"" x 7/16"" Barrel-Type Drift Pin","13/16"" x 7/16"" Barrel-Type Drift Pin"
