category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
70|21954,Cabinets|Jobsite Boxes,MODEL100,Model 100 JOBMASTER Rolling Cabinet,Dimensions: H:65 W: 15 L: 60																	Weight (lbs.): 470																									Cubic feet: 60.9,E:\IMAGES\ITEMS\product\M\O\Knaack-Model-100-JOBMASTER-Rolling.jpg,Knaack,Knaack Model 100 JOBMASTER Rolling Cabinet,"Load Capacity 1200 lbs. Evenly DistributedIncludes Seven 6Shelves are 14Vertical storage area features a bracket for hanging extension cords, clothing, or tool belts.Ideal for the electrician or plumber who needs his tools and parts handy.",Dimensions: H:65 W: 15 L: 60																	Weight (lbs.): 470																									Cubic feet: 60.9,,Knaack Model 100 JOBMASTER Rolling Cabinet,Model 100 JOBMASTER Rolling Cabinet
70|21954,Cabinets|Jobsite Boxes,MODEL109,Model 109 JOBMASTER Cabinet,Dimensions: H:60 W: 24 L: 60																	Weight (lbs.): 394																									Cubic feet: 47.5,E:\IMAGES\ITEMS\product\M\O\Knaack-Model-109-JOBMASTER.jpg,Knaack,Knaack Model 109 JOBMASTER Cabinet,Top Shelf 14Second Shelf 10Bottom Shelf AdjustableWATCHMAN IV Lock SystemThe only jobsite storage cabinet offering the strongest deadbolt style locking mechanism for ultimate security.Convenient Foot Latch - One push with your foot and the doors will pop open.,Dimensions: H:60 W: 24 L: 60																	Weight (lbs.): 394																									Cubic feet: 47.5,,Knaack Model 109 JOBMASTER Cabinet,Model 109 JOBMASTER Cabinet
70|21954,Cabinets|Jobsite Boxes,MODEL111,Model 111 JOBMASTER Cabinet,Dimensions: H:60 W: 24 L: 60																	Weight (lbs.): 385																									Cubic feet: 47.5,E:\IMAGES\ITEMS\product\M\O\Knaack-Model-111-JOBMASTER.jpg,Knaack,Knaack Model 111 JOBMASTER Cabinet,Top Shelf 13Second Shelf 12 1/4Bottom Shelf 9 1/2WATCHMAN IV Lock SystemThe only jobsite storage cabinet offering the strongest deadbolt style locking mechanism for ultimate security.Convenient Foot Latch - One push with your foot and the doors will pop open.,Dimensions: H:60 W: 24 L: 60																	Weight (lbs.): 385																									Cubic feet: 47.5,,Knaack Model 111 JOBMASTER Cabinet,Model 111 JOBMASTER Cabinet
70|21954,Cabinets|Jobsite Boxes,MODEL112,Model 112 JOBMASTER Cabinet with drawers,Dimensions: H:60 W: 30 L: 60																	Weight (lbs.): 670																									Cubic feet: 54.9,E:\IMAGES\ITEMS\product\M\O\Knaack-Model-112-JOBMASTER-Cabinet-with.jpg,Knaack,Knaack Model 112 JOBMASTER Cabinet with drawers,Top Shelf 13Second Shelf 12 1/4Bottom Shelf 9 1/2WATCHMAN IV Lock SystemThe only jobsite storage cabinet offering the strongest deadbolt style locking mechanism for ultimate security.Convenient Foot Latch - One push with your foot and the doors will pop open.,Dimensions: H:60 W: 30 L: 60																	Weight (lbs.): 670																									Cubic feet: 54.9,,Knaack Model 112 JOBMASTER Cabinet with drawers,Model 112 JOBMASTER Cabinet with drawers
70|21954,Cabinets|Jobsite Boxes,MODEL129,Model 129 JOBMASTER Cabinet,Dimensions: H:51 W: 24 L: 72																	Weight (lbs.): 452																									Cubic feet: 48,E:\IMAGES\ITEMS\product\M\O\Knaack-Model-129-JOBMASTER.jpg,Knaack,Knaack Model 129 JOBMASTER Cabinet,Feature 18 separate interior binsFeature Each shelf has a 2WATCHMAN IV Lock SystemThe only jobsite storage cabinet offering the strongest deadbolt style locking mechanism for ultimate security.Convenient Foot Latch - One push with your foot and the doors will pop open.,Dimensions: H:51 W: 24 L: 72																	Weight (lbs.): 452																									Cubic feet: 48,,Knaack Model 129 JOBMASTER Cabinet,Model 129 JOBMASTER Cabinet
70|21954,Cabinets|Jobsite Boxes,MODEL139,Model 139 JOBMASTER Cabinet,Dimensions: H:60 W: 30 L: 60																	Weight (lbs.): 445																									Cubic feet: 59.4,E:\IMAGES\ITEMS\product\M\O\Knaack-Model-139-JOBMASTER.jpg,Knaack,Knaack Model 139 JOBMASTER Cabinet,Top Shelf 14Second Shelf 10Bottom Shelf AdjustableWATCHMAN IV Lock SystemThe only jobsite storage cabinet offering the strongest deadbolt style locking mechanism for ultimate security.Convenient Foot Latch - One push with your foot and the doors will pop open.,Dimensions: H:60 W: 30 L: 60																	Weight (lbs.): 445																									Cubic feet: 59.4,,Knaack Model 139 JOBMASTER Cabinet,Model 139 JOBMASTER Cabinet
70|21954|22950,Cabinets|Jobsite Boxes|Industrial Storage Cabinets,MODEL33,Model 33 Wall Cabinet,Dimensions: H:36 W: 16 L: 32																	Weight (lbs.): 81																									Cubic feet: 10.7,E:\IMAGES\ITEMS\product\M\O\Knaack-Model-33-Wall.jpg,Knaack,Knaack Model 33 Wall Cabinet,"Ideal for locking up small parts, tools and supplies, and can be used almost anywhere in the shop or on the job.Holes are pre-punched in the back(on 16 and 24 inch centers) for easy mounting to walls.A key lock in combination with a 2-point latching helps prevent unauthorized access.",Dimensions: H:36 W: 16 L: 32																	Weight (lbs.): 81																									Cubic feet: 10.7,,Knaack Model 33 Wall Cabinet,Model 33 Wall Cabinet
70|21954,Cabinets|Jobsite Boxes,MODEL99,Model 99 JOBMASTER Cabinet (Doors on Front & Back),Dimensions: H:60 W: 30 L: 60																	Weight (lbs.): 519																									Cubic feet: 59.4,E:\IMAGES\ITEMS\product\M\O\Knaack-Model-99-JOBMASTER-Cabinet-Doors-on-Front.jpg,Knaack,Knaack Model 99 JOBMASTER Cabinet (Doors on Front & Back),Top Shelf 14Second Shelf 10Bottom Shelf AdjustableWATCHMAN IV Lock SystemThe only jobsite storage cabinet offering the strongest deadbolt style locking mechanism for ultimate security.Convenient Foot Latch - One push with your foot and the doors will pop open.,Dimensions: H:60 W: 30 L: 60																	Weight (lbs.): 519																									Cubic feet: 59.4,,Knaack Model 99 JOBMASTER Cabinet (Doors on Front & Back),Model 99 JOBMASTER Cabinet (Doors on Front & Back)
71|21955,Job Boxes|Portable Tool Boxes and Chests,MODEL2032,Model 2032 CLASSIC Storage Chest,Dimensions: H:13 W: 19 L: 32																	Weight (lbs.): 77																									Cubic feet: 5,E:\IMAGES\ITEMS\product\M\O\Knaack-Model-2032-KNAACK-CLASSIC-Storage.jpg,Knaack,Knaack Model 2032 KNAACK CLASSIC Storage Chest,Closed Height 18 1/4Open Height 34 5/8Accessory Tray Model 41This lightweight storage chest makes it useful for all applications and security level needs.One-Time Lock Installation,Dimensions: H:13 W: 19 L: 32																	Weight (lbs.): 77																									Cubic feet: 5,,Knaack Model 2032 KNAACK CLASSIC Storage Chest,Model 2032 CLASSIC Storage Chest
71|21955,Job Boxes|Portable Tool Boxes and Chests,MODEL2048,Model 2048 CLASSIC Storage Chest,Dimensions: H:23 W: 24 L: 48																	Weight (lbs.): 145																									Cubic feet: 16,E:\IMAGES\ITEMS\product\M\O\Knaack-Model-2048-KNAACK-CLASSIC-Storage.jpg,Knaack,Knaack Model 2048 KNAACK CLASSIC Storage Chest,Closed Height 28Open Height 49 1/4This lightweight storage chest makes it useful for all applications and security level needs.One-Time Lock InstallationBuilt-in Tool Tray,Dimensions: H:23 W: 24 L: 48																	Weight (lbs.): 145																									Cubic feet: 16,,Knaack Model 2048 KNAACK CLASSIC Storage Chest,Model 2048 CLASSIC Storage Chest
