category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
146|19541,Adhesives|Adhesives,1303,Crystal Clear Acrylic,"Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.",E:\IMAGES\ITEMS\product\1\3\Crystal-Clear- 1.png,Krylon,"Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.","Permanent, protective gloss finish Non-yellowing Moisture-resistant","Clear, protective spray finish for all kinds of arts, crafts, and home décor projects. Dry to Touch: 10 -15 minutes Dry to Handle: 2 hours For Use With: Wood, Metal, Wicker, Plastic, Glass, Plaster, Ceramic, Paper, Paper Mache, Dried/Silk Flowers.",,11 oz. -1303,Crystal Clear Acrylic
146|19541,Adhesives|Adhesives,1303A,Crystal Clear Acrylic,"Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.",E:\IMAGES\ITEMS\product\1\3\Crystal-Clear- 1.png,Krylon,"Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.","Permanent, protective gloss finish Non-yellowing Moisture-resistant","Clear, protective spray finish for all kinds of arts, crafts, and home décor projects. Dry to Touch: 10 -15 minutes Dry to Handle: 2 hours For Use With: Wood, Metal, Wicker, Plastic, Glass, Plaster, Ceramic, Paper, Paper Mache, Dried/Silk Flowers.",,6 oz - 1303A,Crystal Clear Acrylic
412|24119,Paint|Spray Paints,1374,Fine Art Fixatif,"Fine Art Fixative is a low solid fixative that provides invisible protection to fragile dry media without dissolving whites and lights. Protects against dusting, smudging and. fading",E:\IMAGES\ITEMS\product\1\3\Fine-Art.png,Krylon,"Fine Art Fixative is a low solid fixative that provides invisible protection to fragile dry media without dissolving whites and lights. Protects against dusting, smudging and fading.","Invisible protection of artwork without dissolving whites and lights Contains UV light absorbers and stabilizers Safeguards pastel, charcoal, pencil, and chalk from dusting, smudging and fading","Fine Art Fixative is a low solid fixative that provides invisible protection to fragile dry media without dissolving whites and lights. Protects against dusting, smudging and fading. Dry to Touch: 10-15 minutes Dry to Handle: After 2 hours For use with: Fine Art Surfaces.",,11 oz.,Fine Art Fixatif
22484,Flashlight Accessories,7015,Gesso Spray,"Primes art surfaces quickly & thoroughly, so you're ready to go in 15 minutes.",E:\IMAGES\ITEMS\product\7\0\Gesso.png,Krylon,"Primes art surfaces quickly & thoroughly, so you're ready to go in 15 minutes.",Bright white; will not yellow Resists chipping Ideal for artist canvas and floor cloths.,"Weight: 11 oz. Dry to Touch: 15 minutes Dry to Handle: 2 hours For use with: Wood, Metal, Wicker, Plastic, Glass, Plaster, Ceramic, Fabric, Paper, Paper Mache, Canvas.",,11 oz. — 7015,Gesso Spray
146|19541,Adhesives|Adhesives,9090,High Strength Spray Adhesive,This fast-acting adhesive has a variable volume controlled web spray pattern that offers high contact strength.,E:\IMAGES\ITEMS\product\9\0\.png,Krylon,This fast-acting adhesive has a variable volume controlled web spray pattern that offers high contact strength.,"Superior, permanent bond High contact strength Bonds heavy-duty materials like wood, metal, plastic, glass, laminate and more.","Weight: 11 oz. Dry to Touch: 30 minutes Dry to Handle: 2 hours For use with: Wood, Metal, Plastic, Glass, Plaster, Ceramic, Paper, Paper Mache, Cardboard, Laminate, Particle Board.",,11 oz.,High Strength Spray Adhesive
412|24119,Paint|Spray Paints,1312,Kamar Varnish,"Synthetic artist varnish protects like traditional damar, without the impurities and yellowing.",E:\IMAGES\ITEMS\product\1\3\Kamar.png,Krylon,"Synthetic artist varnish protects like traditional damar, without the impurities and yellowing.","Protects oil, acrylic and watercolor paintings Keeps colors looking fresh from the palette; allows easy rework Can be easily removed with mineral spirits for cleaning","Weight: 11 oz. Dry to Touch: 15 minutes Dry to Handle: 2 hours For use with: Wood, Metal, Plastic, Glass, Plaster, Ceramic, Paper, Paper Mache.",,11 oz.,Kamar Varnish
1782|27852,Coating|Coating,7110,Low Odor Clear Finish,"Clear, latex enamel finish protects like traditional clear coatings in a low odor formula.",E:\IMAGES\ITEMS\product\7\1\Low-Odor-Clear.png,Krylon,"Clear, latex enamel finish protects like traditional clear coatings in a low odor formula.","Permanent, protective finish Suitable for indoor and outdoor use Non-yellowing; soap and water clean up","Clear, latex enamel finish protects like traditional clear coatings in a low odor formula. Weight: 11 oz. Dry to Touch: 15 minutes Dry to Handle: 3 hours For use with: Wood, Metal, Wicker, Plastic, Glass, Craft Foam, Plaster, Ceramic, Paper, Paper Mache, Dried/Silk Flowers.",,Clear Gloss,Low Odor Clear Finish
412|24119,Paint|Spray Paints,7012,Low Odor Spray Glue,Low odor formula makes it convenient to spray indoors and extended open tack time allows easy positioning before fully dry.,E:\IMAGES\ITEMS\product\7\0\Low-Odor-Spray.png,Krylon,Low odor formula makes it convenient to spray indoors and extended open tack time allows easy positioning before fully dry.,"Strong, permanent bond Goes on white for visible coverage, dries clear Acid-free: Soap & water clean up","Weight: 11 oz. Dry to Touch: 30 minutes Dry to Handle: 3 hours For use with: Wood, Metal, Ceramic, Fabric, Paper, Paper Mache, Paper Crafts, Cardboard, Felt, Photos, Ribbon, Decoupage, Scrapbook Pages, Balsa.",,11 oz.,Low Odor Spray Glue
412|24119,Paint|Spray Paints,1311,Matte Finish,"Clear, protective spray finish eliminates gloss and glare.",E:\IMAGES\ITEMS\product\1\3\Matte.png,Krylon,"Clear, protective spray finish eliminates gloss and glare.","Permanent, protective matte finish Non-yellowing Moisture-resistant","Weight: 11 oz. Dry to Touch: 30 minutes Dry to Handle: 3 hours For use with: Wood, Metal, Wicker, Plastic, Glass, Plaster, Ceramic, Paper, Paper Mache, Dried/Silk Flowers.",,11 oz.,Matte Finish
412|24119,Paint|Spray Paints,1323,Satin Finish,"Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.",E:\IMAGES\ITEMS\product\1\3\Satin.png,Krylon,"Clear, protective spray finish for all kinds of arts, crafts, and home décor projects.","Permanent, protective satin finish Non-yellowing Moisture-resistant","Weight: 11 oz. Dry to Touch: 10-15 minutes Dry to Handle: 1 hour For use with: Wood, Metal, Wicker, Plastic, Glass, Plaster, Ceramic, Paper, Paper Mache, Dried/Silk Flowers.",,11 oz.,Satin Finish
