category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
202|23126,Hoist | Winch|Cable Hoists and Ratchet Pullers,1000-15-S,Small Frame Single Line Cable Hoist,,E:\IMAGES\ITEMS\product\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,LUG-ALL,,"Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist. Minimum Distance: 16"" Colors: Blue, Green, Black, Red.",,,"Capacity - 1000 lbs., Lift Distance - 15', Cable Length - 16', Cable Diameter - 3/16""",Small Frame Single Line Cable Hoist
202|23126,Hoist | Winch|Cable Hoists and Ratchet Pullers,1500-25-S,Small Frame Single Line Cable Hoist,,E:\IMAGES\ITEMS\product\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,LUG-ALL,LUG-ALL® 1500-25-S Small Frame Single Line Cable Hoist,"Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist. Minimum Distance: 16"" Colors: Blue, Green, Black, Red.",,,"Capacity - 750 lbs., Lift Distance - 25', Cable Length - 26', Cable Diameter - 5/32""",Small Frame Single Line Cable Hoist
202|23126,Hoist | Winch|Cable Hoists and Ratchet Pullers,2250-15-S,Small Frame Single Line Cable Hoist,,E:\IMAGES\ITEMS\product\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,LUG-ALL,LUG-ALL® 2250-15-S Small Frame Single Line Cable Hoist,"Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist. Minimum Distance: 16"" Colors: Blue, Green, Black, Red.",,,"Capacity - 1125 lbs., Lift Distance - 15', Cable Length - 16', Cable Diameter - 3/16""",Small Frame Single Line Cable Hoist
202|23126,Hoist | Winch|Cable Hoists and Ratchet Pullers,2250-20-S,Small Frame Single Line Cable Hoist,,E:\IMAGES\ITEMS\product\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,LUG-ALL,LUG-ALL® 2250-20-S Small Frame Single Line Cable Hoist,"Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist. Minimum Distance: 16"" Colors: Blue, Green, Black, Red.",,,"Capacity - 1125 lbs., Lift Distance - 20', Cable Length - 21', Cable Diameter - 3/16""",Small Frame Single Line Cable Hoist
202|23126,Hoist | Winch|Cable Hoists and Ratchet Pullers,3000-10-S,Small Frame Single Line Cable Hoist,,E:\IMAGES\ITEMS\product\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,LUG-ALL,LUG-ALL® 3000-10-S Small Frame Single Line Cable Hoist,"Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist. Minimum Distance: 16"" Colors: Blue, Green, Black, Red.",,,"Capacity - 1500 lbs., Lift Distance - 10', Cable Length - 11'-6"", Cable Diameter - 7/32""",Small Frame Single Line Cable Hoist
202|23126,Hoist | Winch|Cable Hoists and Ratchet Pullers,3000-15-S,Small Frame Single Line Cable Hoist,,E:\IMAGES\ITEMS\product\1\0\LUG-ALL-1000-15-S-Small-Frame-Single-Line-Cable- 1.jpg,LUG-ALL,LUG-ALL® 3000-15-S Small Frame Single Line Cable Hoist,"Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist. Minimum Distance: 16"" Colors: Blue, Green, Black, Red.",,,"Capacity - 1500 lbs., Lift Distance - 15', Cable Length - 16', Cable Diameter - 7/32""",Small Frame Single Line Cable Hoist
202|23126,Hoist | Winch|Cable Hoists and Ratchet Pullers,1000-15-D,Small Frame Double Line Cable Hoist,,E:\IMAGES\ITEMS\product\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,LUG-ALL,,"Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist. Minimum Distance: 21"" Colors: Blue, Green, Black, Red.",,,"Capacity - N/A lbs., Lift Distance - N/A, Cable Length - 16', Cable Diameter - 3/16""",Small Frame Double Line Cable Hoist
202|23126,Hoist | Winch|Cable Hoists and Ratchet Pullers,1500-25-D,Small Frame Double Line Cable Hoist,,E:\IMAGES\ITEMS\product\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,LUG-ALL,LUG-ALL® 1500-25-D Small Frame Double Line Cable Hoist,"Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist. Minimum Distance: 21"" Colors: Blue, Green, Black, Red.",,,"Capacity - 1500 lbs., Lift Distance - 21'-6"", Cable Length - 26, Cable Diameter - 5/32""",Small Frame Double Line Cable Hoist
202|23126,Hoist | Winch|Cable Hoists and Ratchet Pullers,2250-15-D,Small Frame Double Line Cable Hoist,,E:\IMAGES\ITEMS\product\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,LUG-ALL,LUG-ALL® 2250-15-D Small Frame Double Line Cable Hoist,"Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist. Minimum Distance: 21"" Colors: Blue, Green, Black, Red.",,,"Capacity - 2250 lbs., Lift Distance - 7'-6""', Cable Length - 16', Cable Diameter - 3/16""",Small Frame Double Line Cable Hoist
202|23126,Hoist | Winch|Cable Hoists and Ratchet Pullers,2250-20-D,Small Frame Double Line Cable Hoist,,E:\IMAGES\ITEMS\product\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,LUG-ALL,LUG-ALL® 2250-20-D Small Frame Double Line Cable Hoist,"Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist. Minimum Distance: 21"" Colors: Blue, Green, Black, Red.",,,"Capacity - 2250 lbs., Lift Distance - 10', Cable Length - 21', Cable Diameter - 3/16""",Small Frame Double Line Cable Hoist
202|23126,Hoist | Winch|Cable Hoists and Ratchet Pullers,3000-10-D,Small Frame Double Line Cable Hoist,,E:\IMAGES\ITEMS\product\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,LUG-ALL,LUG-ALL® 3000-10-D Small Frame Double Line Cable Hoist,"Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist. Minimum Distance: 21"" Colors: Blue, Green, Black, Red.",,,"Capacity - 3000 lbs., Lift Distance - 5', Cable Length - 11'-6"", Cable Diameter - 7/32""",Small Frame Double Line Cable Hoist
202|23126,Hoist | Winch|Cable Hoists and Ratchet Pullers,3000-15-D,Small Frame Double Line Cable Hoist,,E:\IMAGES\ITEMS\product\1\0\LUG-ALL-1000-15-D-Small-Frame-Double-Line-Cable.jpg,LUG-ALL,LUG-ALL® 3000-15-D Small Frame Double Line Cable Hoist,"Our most compact LUG-ALL® cable hoists weigh just 7 to 9 pounds, but have all the features of our medium hoists. These 10 models are very popular with welders, fence installers, HVAC personnel, and other industrial professionals needing a small, durable, 100% reliable winch hoist. Minimum Distance: 21"" Colors: Blue, Green, Black, Red.",,,"Capacity - 3000 lbs., Lift Distance - 7'-6"", Cable Length - 16', Cable Diameter - 7/32""",Small Frame Double Line Cable Hoist
202|23506,Hoist | Winch|Winch Accessories,2250-38-D,Medium Frame Double Line Cable Hoist,,E:\IMAGES\ITEMS\product\2\2\LUG-ALL-2250-38-D-Medium-Frame-Double-Line-Cable.jpg,LUG-ALL,,"6 medium-sized hoists beloved by industrial MRO and commercial facilities professionals everywhere. Ideal for steamfitters, pump and motor pulling, farm repair, landscaping, and tree services. Easy-to-use and durable, with warranted performance that leaves chain hoists dragging in the dust. Minimum Distance: 23-1/2"" Colors: Blue, Black, Red.",,,"Capacity - 2250 lbs., Lift Distance - 19', Cable Length - 39'-6"", Cable Diameter - 3/16""",Medium Frame Double Line Cable Hoist
202|23506,Hoist | Winch|Winch Accessories,300-30-D,Medium Frame Double Line Cable Hoist,,E:\IMAGES\ITEMS\product\2\2\LUG-ALL-2250-38-D-Medium-Frame-Double-Line-Cable.jpg,LUG-ALL,LUG-ALL® 300-30-D Medium Frame Double Line Cable Hoist,"6 medium-sized hoists beloved by industrial MRO and commercial facilities professionals everywhere. Ideal for steamfitters, pump and motor pulling, farm repair, landscaping, and tree services. Easy-to-use and durable, with warranted performance that leaves chain hoists dragging in the dust. Minimum Distance: 23-1/2"" Colors: Blue, Black, Red.",,,"Capacity - 3000 lbs., Lift Distance - 15', Cable Length - 31'-6"", Cable Diameter - 7/32""",Medium Frame Double Line Cable Hoist
202|23506,Hoist | Winch|Winch Accessories,4000-20-D,Medium Frame Double Line Cable Hoist,,E:\IMAGES\ITEMS\product\2\2\LUG-ALL-2250-38-D-Medium-Frame-Double-Line-Cable.jpg,LUG-ALL,LUG-ALL® 4000-20-D Medium Frame Double Line Cable Hoist,"6 medium-sized hoists beloved by industrial MRO and commercial facilities professionals everywhere. Ideal for steamfitters, pump and motor pulling, farm repair, landscaping, and tree services. Easy-to-use and durable, with warranted performance that leaves chain hoists dragging in the dust. Minimum Distance: 23-1/2"" Colors: Blue, Black, Red.",,,"Capacity - 4000 lbs., Lift Distance - 10', Cable Length - 22', Cable Diameter - 1/4""",Medium Frame Double Line Cable Hoist
202|23506,Hoist | Winch|Winch Accessories,2250-38-S,Medium Frame Single Line Cable Hoist,,E:\IMAGES\ITEMS\product\2\2\LUG-ALL-2250-38-S-Medium-Frame-Single-Line-Cable.jpg,LUG-ALL,,"6 medium-sized hoists beloved by industrial MRO and commercial facilities professionals everywhere. Ideal for steamfitters, pump and motor pulling, farm repair, landscaping, and tree services. Easy-to-use and durable, with warranted performance that leaves chain hoists dragging in the dust. Minimum Distance: (18"")-(18-1/2"") Colors: Blue, Black, Red.",,,"Capacity - 1125 lbs., Lift Distance - 38', Cable Length - 39'-6"", Cable Diameter - 3/16""",Medium Frame Single Line Cable Hoist
202|23506,Hoist | Winch|Winch Accessories,3000-30-S,Medium Frame Single Line Cable Hoist,,E:\IMAGES\ITEMS\product\2\2\LUG-ALL-2250-38-S-Medium-Frame-Single-Line-Cable.jpg,LUG-ALL,LUG-ALL® 3000-30-S Medium Frame Single Line Cable Hoist,"6 medium-sized hoists beloved by industrial MRO and commercial facilities professionals everywhere. Ideal for steamfitters, pump and motor pulling, farm repair, landscaping, and tree services. Easy-to-use and durable, with warranted performance that leaves chain hoists dragging in the dust. Minimum Distance: (18"")-(18-1/2"") Colors: Blue, Black, Red.",,,"Capacity - 1500 lbs., Lift Distance - 30', Cable Length - 31-6"", Cable Diameter - 7/32""",Medium Frame Single Line Cable Hoist
202|23506,Hoist | Winch|Winch Accessories,4000-20-S,Medium Frame Single Line Cable Hoist,,E:\IMAGES\ITEMS\product\2\2\LUG-ALL-2250-38-S-Medium-Frame-Single-Line-Cable.jpg,LUG-ALL,LUG-ALL® 4000-20-S Medium Frame Single Line Cable Hoist,"6 medium-sized hoists beloved by industrial MRO and commercial facilities professionals everywhere. Ideal for steamfitters, pump and motor pulling, farm repair, landscaping, and tree services. Easy-to-use and durable, with warranted performance that leaves chain hoists dragging in the dust. Minimum Distance: (18"")-(18-1/2"") Colors: Blue, Black, Red.",,,"Capacity - 2000 lbs., Lift Distance - 20', Cable Length - 22', Cable Diameter - 1/4""",Medium Frame Single Line Cable Hoist
202|23506,Hoist | Winch|Winch Accessories,6000-15-S,Medium-Large Frame Single Line Cable Hoist,"Our most powerful and full-featured come along: the LUG-ALL® 6000-15. Used worldwide for construction, structural steel alignment, road and bridge building, power plant maintenance, industrial rigging, and other heavy-duty maintenance, repair and overhaul",E:\IMAGES\ITEMS\product\6\0\LUG-ALL-6000-15-S-Medium-Large-Frame-Single-Line-Cable.jpg,LUG-ALL,"Our most powerful and full-featured come along: the LUG-ALL® 6000-15. Used worldwide for construction, structural steel alignment, road and bridge building, power plant maintenance, industrial rigging, and other heavy-duty maintenance, repair and overhaul (MRO) operations.","Capacity: 6000 lbs/3 ton Max Handle Pull: 139 lbs Lift Distance: 7'-6"" Minimum Distance: 34"" Cable Diameter: 5/16"" Cable Length: 18'","Added leverage: our proprietary 6000-15 telescoping handle goes from 37.5 to 57 inches in seconds, yet is reversible, like all other LUG-ALL hoist handles.  More maneuverability options: for additional leverage when lowering or backing-off a load, the hoist’s handle socket can be changed to a second position. This feature can also increase your maneuverability in tight spaces. Increased overload protection: an easily replaceable shear pin breaks with an audible warning upon overload conditions, prior to damaging the hoist or risking an accident. Come along remains operational so load can be reduced as soon as possible, before the hoist handle bends, further protecting your tool investment.",,LUG-ALL® 6000-15-S Medium-Large Frame Single Line Cable Hoist,Medium-Large Frame Single Line Cable Hoist
202|23506,Hoist | Winch|Winch Accessories,6000-15-D,Medium-Large Frame Double Line Cable Hoist,"Our most powerful and full-featured come along: the LUG-ALL® 6000-15. Used worldwide for construction, structural steel alignment, road and bridge building, power plant maintenance, industrial rigging, and other heavy-duty maintenance, repair and overhaul",E:\IMAGES\ITEMS\product\6\0\LUG-ALL-6000-15-D-Medium-Large-Frame-Double-Line-Cable.jpg,LUG-ALL,"Our most powerful and full-featured come along: the LUG-ALL® 6000-15. Used worldwide for construction, structural steel alignment, road and bridge building, power plant maintenance, industrial rigging, and other heavy-duty maintenance, repair and overhaul (MRO) operations.","Capacity: 3000 lbs/1-1/2 ton Max Handle Pull: 139 lbs Lift Distance: 15' Minimum Distance: 26-1/2"" Cable Diameter: 5/16"" Cable Length: 18'","Added leverage: our proprietary 6000-15 telescoping handle goes from 37.5 to 57 inches in seconds, yet is reversible, like all other LUG-ALL hoist handles.  More maneuverability options: for additional leverage when lowering or backing-off a load, the hoist’s handle socket can be changed to a second position. This feature can also increase your maneuverability in tight spaces. Increased overload protection: an easily replaceable shear pin breaks with an audible warning upon overload conditions, prior to damaging the hoist or risking an accident. Come along remains operational so load can be reduced as soon as possible, before the hoist handle bends, further protecting your tool investment.",,LUG-ALL® 6000-15-D Medium-Large Frame Double Line Cable Hoist,Medium-Large Frame Double Line Cable Hoist
