category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
247|24852,Hole Saws|Hole Saws,Lenox Bi-Metal Hole Saws,Bi-Metal Hole Saws,"Long lasting, fast cutting and versatile<img src=""{{media url=""Product/Bi_Metal_Hole_Saws",E:\IMAGES\ITEMS\product\b\i\Lenox-Bi-Metal-Hole.jpg,Lenox,Lenox Bi-Metal Hole Saws,"PLUG REMOVAL AS EASY AS 1-2-3SPEED SLOT ™ features a staircase design for easy plug removalUP TO 2X LIFE IN METAL CUTTINGEnhanced tooth geometry, a thin kerf design, and an advanced coating contribute to the efficiency of the cutting process","Long lasting, fast cutting and versatile",,Lenox Bi-Metal Hole Saws,Bi-Metal Hole Saws
94|24990,Reciprocating Saws | Blades|Reciprocating Saw Blades,Lenox Lazer Recip Blades,Lazer Recip Blades,Best for extreme metal cutting,E:\IMAGES\ITEMS\product\l\e\Lenox-Lazer-Recip.jpg,Lenox,Lenox Lazer Recip Blades,"T2 TECHNOLOGYThe patent pending tooth design delivers up to 2x the life versus the previous model making cutting heavy metal faster and easierOPTIMIZED FOR HIGHER PERFORMANCEReinforced tooth design ensures higher performance in the most demanding jobsENHANCED CUTTING ACTIONA wider, thicker body than conventional blades delivers whip-free cuts that stay straight and smooth",Best for extreme metal cutting,,Lenox Lazer Recip Blades,Lazer Recip Blades
94|24990,Reciprocating Saws | Blades|Reciprocating Saw Blades,Lenox Demolition Recip Saw Blades,Demolition Recip Saw Blades,Best for demolition and nail-embedded wood,E:\IMAGES\ITEMS\product\l\e\Lenox-Demolition-Recip-Saw.jpg,Lenox,Lenox Demolition Recip Saw Blades,T2 TECHNOLOGYThe patent pending tooth design delivers up to 2x the life versus the previous model making cutting heavy metal faster and easierMAXIMUM DURABILITY</\r\nThe tallest blade on the market prevents bending and provides maximum control in the toughest demolition applicationsOPTIMIZED BLADE GEOMETRYEach blade has a unique configuration including an aggressive tang angle and tapered blade share to allow for cutting in tight areas,Best for demolition and nail-embedded wood,,Lenox Demolition Recip Saw Blades,Demolition Recip Saw Blades
94|24990,Reciprocating Saws | Blades|Reciprocating Saw Blades,Lenox Bi-Metal Recip Blades,Bi-Metal Recip Blades,"Long lasting, fast cutting and versatile",E:\IMAGES\ITEMS\product\l\e\Lenox-Bi-Metal-Recip.jpg,Lenox,Lenox Bi-Metal Recip Blades,"LONG LIFEPatented, TUFF TOOTH™ design provides long blade lifeEFFICIENT CUTTINGOptimized for specific applicationsDURABLE CONSTRUCTIONShatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t","Long lasting, fast cutting and versatile",,Lenox Bi-Metal Recip Blades,Bi-Metal Recip Blades
721|24990,Reciprocal Saw Blades|Reciprocating Saw Blades,20554 424R,"24TPI 4"" x 3/4"" x .035 Recip Blade",Bi-Metal Recip Blades,E:\IMAGES\ITEMS\product\2\0\Lenox-20554-424R-24TPI-4-x-34-x-035-Recip.jpg,Lenox,Bi-Metal Recip Blades,"Patented, TUFF TOOTH™ design provides long blade life Optimized for specific applications Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t",,,"Lenox 20554 424R 24TPI 4"" x 3/4"" x .035 Recip Blade","24TPI 4"" x 3/4"" x .035 Recip Blade"
721|24990,Reciprocal Saw Blades|Reciprocating Saw Blades,20556 676RC,"6TPI 6"" x 7/16"" x .050 Recip Blade",Bi-Metal Recip Blades,E:\IMAGES\ITEMS\product\2\0\Lenox-20556-676RC-6TPI-6-x-716-x-050-Recip.jpg,Lenox,Bi-Metal Recip Blades,"Patented, TUFF TOOTH™ design provides long blade life Optimized for specific applications Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t",,,"Lenox 20556 676RC 6TPI 6"" x 7/16"" x .050 Recip Blade","6TPI 6"" x 7/16"" x .050 Recip Blade"
721|24990,Reciprocal Saw Blades|Reciprocating Saw Blades,20564 614R,"14TPI 6"" x 3/4"" x .035 Recip Blade",Bi-Metal Recip Blades,E:\IMAGES\ITEMS\product\2\0\Lenox-20564-614R-14TPI-6-x-34-x-035-Recip.jpg,Lenox,Bi-Metal Recip Blades,"Patented, TUFF TOOTH™ design provides long blade life Optimized for specific applications Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t",,,"Lenox 20564 614R 14TPI 6"" x 3/4"" x .035 Recip Blade","14TPI 6"" x 3/4"" x .035 Recip Blade"
721|24990,Reciprocal Saw Blades|Reciprocating Saw Blades,20566 618R,"18TPI 6"" x 3/4"" x .035 Recip Blade",Bi-Metal Recip Blades,E:\IMAGES\ITEMS\product\2\0\Lenox-20566-618R-18TPI-6-x-34-x-035-Recip.jpg,Lenox,Bi-Metal Recip Blades,"Patented, TUFF TOOTH™ design provides long blade life Optimized for specific applications Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t",,,"Lenox 20566 618R 18TPI 6"" x 3/4"" x .035 Recip Blade","18TPI 6"" x 3/4"" x .035 Recip Blade"
721|24990,Reciprocal Saw Blades|Reciprocating Saw Blades,20568 624R,"24TPI 6"" x 3/4"" x .035 Recip Blade",Bi-Metal Recip Blades,E:\IMAGES\ITEMS\product\2\0\Lenox-20568-624R-24TPI-6-x-34-x-035-Recip.jpg,Lenox,Bi-Metal Recip Blades,"Patented, TUFF TOOTH™ design provides long blade life Optimized for specific applications Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t",,,"Lenox 20568 624R 24TPI 6"" x 3/4"" x .035 Recip Blade","24TPI 6"" x 3/4"" x .035 Recip Blade"
721|24990,Reciprocal Saw Blades|Reciprocating Saw Blades,20578 818R,"18TPI 8"" x 3/4"" x .035 Recip Blade",Bi-Metal Recip Blades,E:\IMAGES\ITEMS\product\2\0\Lenox-20578-818R-18TPI-8-x-34-x-035-Recip.jpg,Lenox,Bi-Metal Recip Blades,"Patented, TUFF TOOTH™ design provides long blade life Optimized for specific applications Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t",,,"Lenox 20578 818R 18TPI 8"" x 3/4"" x .035 Recip Blade","18TPI 8"" x 3/4"" x .035 Recip Blade"
724|24975,Jig Saw Blades|Jig Saw Blades,20644 F324J,"24TPI 3-5/8"" x 3/8"" Jig Saw Blade 5/CD",Bi-Metal Jig Saw Blades,E:\IMAGES\ITEMS\product\2\0\Lenox-20644-F324J-24TPI-3-58-x-38-Jig-Saw-Blade.jpg,Lenox,Bi-Metal Jig Saw Blades,"Super sharp to cut fast without deflection Ground to precision sharpness for straight cuts and a smooth finish Designed for optimal performance in wood cutting, including hardwoods Bi-metal technology flexes and resists breaking and extends blade life",,,"Lenox 20644 F324J 24TPI 3-5/8"" x 3/8"" Jig Saw Blade 5/CD","24TPI 3-5/8"" x 3/8"" Jig Saw Blade 5/CD"
724|24975,Jig Saw Blades|Jig Saw Blades,20652 F486J,"6TPI 4"" x 3/8"" Jig Saw Blades 5/CD",Bi-Metal Jig Saw Blade,E:\IMAGES\ITEMS\product\2\0\Lenox-20652-F486J-6TPI-4-x-38-Jig-Saw-Blades.jpg,Lenox,Bi-Metal Jig Saw Blade,"Super sharp to cut fast without deflection Ground to precision sharpness for straight cuts and a smooth finish Designed for optimal performance in wood cutting, including hardwoods Bi-metal technology flexes and resists breaking and extends blade life",,,"Lenox 20652 F486J 6TPI 4"" x 3/8"" Jig Saw Blades 5/CD","6TPI 4"" x 3/8"" Jig Saw Blades 5/CD"
724|24975,Jig Saw Blades|Jig Saw Blades,20654 F480J,"10TPI 4"" x 3/8"" Jig Saw Blades 5/CD",Bi-Metal Jig Saw Blades,E:\IMAGES\ITEMS\product\2\0\Lenox-20654-F480J-10TPI-4-x-38-Jig-Saw-Blades.jpg,Lenox,Bi-Metal Jig Saw Blades,"Super sharp to cut fast without deflection Ground to precision sharpness for straight cuts and a smooth finish Designed for optimal performance in wood cutting, including hardwoods Bi-metal technology flexes and resists breaking and extends blade life",,,"Lenox 20654 F480J 10TPI 4"" x 3/8"" Jig Saw Blades 5/CD","10TPI 4"" x 3/8"" Jig Saw Blades 5/CD"
724|24975,Jig Saw Blades|Jig Saw Blades,20835 F324S,"24TPI 3-5/8"" x 3/8"" Jig Saw Blades 5/CD",Bi-Metal Jig Saw Blades,E:\IMAGES\ITEMS\product\2\0\Lenox-20835-F324S-24TPI-3-58-x-38-Jig-Saw-Blades.jpg,Lenox,Bi-Metal Jig Saw Blades,"Super sharp to cut fast without deflection Ground to precision sharpness for straight cuts and a smooth finish Designed for optimal performance in wood cutting, including hardwoods Bi-metal technology flexes and resists breaking and extends blade life",,,"Lenox 20835 F324S 24TPI 3-5/8"" x 3/8"" Jig Saw Blades 5/CD","24TPI 3-5/8"" x 3/8"" Jig Saw Blades 5/CD"
724|24975,Jig Saw Blades|Jig Saw Blades,20850 F456S,"6TPI 4"" x 5/16"" Jig Saw Blades 5/CD",Bi-Metal Jig Saw Blades,E:\IMAGES\ITEMS\product\2\0\Lenox-20850-F456S-6TPI-4-x-516-Jig-Saw-Blades.jpg,Lenox,Bi-Metal Jig Saw Blades,"Super sharp to cut fast without deflection Ground to precision sharpness for straight cuts and a smooth finish Designed for optimal performance in wood cutting, including hardwoods Bi-metal technology flexes and resists breaking and extends blade life",,,"Lenox 20850 F456S 6TPI 4"" x 5/16"" Jig Saw Blades 5/CD","6TPI 4"" x 5/16"" Jig Saw Blades 5/CD"
724|24975,Jig Saw Blades|Jig Saw Blades,20851 F410S,"10TPI 4"" x 3/8"" Jig Saw Blades 5/CD",Bi-Metal Jig Saw Blades,E:\IMAGES\ITEMS\product\2\0\Lenox-20851-F410S-10TPI-4-x-38-Jig-Saw-Blades.jpg,Lenox,Bi-Metal Jig Saw Blades,"Super sharp to cut fast without deflection Ground to precision sharpness for straight cuts and a smooth finish Designed for optimal performance in wood cutting, including hardwoods Bi-metal technology flexes and resists breaking and extends blade life",,,"Lenox 20851 F410S 10TPI 4"" x 3/8"" Jig Saw Blades 5/CD","10TPI 4"" x 3/8"" Jig Saw Blades 5/CD"
721|24990,Reciprocal Saw Blades|Reciprocating Saw Blades,22751 OSB618R,"18TPI 6"" x 3/4"" x .035"" Recip Blade",Bi-Metal Recip Blades,E:\IMAGES\ITEMS\product\2\2\Lenox-22751-OSB618R-18TPI-6-x-34-x-035-Recip.jpg,Lenox,Bi-Metal Recip Blades,"Patented, TUFF TOOTH™ design provides long blade life Optimized for specific applications Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t",,,"Lenox 22751 OSB618R 18TPI 6"" x 3/4"" x .035"" Recip Blade","18TPI 6"" x 3/4"" x .035"" Recip Blade"
721|24990,Reciprocal Saw Blades|Reciprocating Saw Blades,22754 OSB818R,"18TPI 8"" x 3/4"" x .035"" Recip Blade",Bi-Metal Recip Blades,E:\IMAGES\ITEMS\product\2\2\Lenox-22754-OSB818R-18TPI-8-x-34-x-035-Recip.jpg,Lenox,Bi-Metal Recip Blades,"Patented, TUFF TOOTH™ design provides long blade life Optimized for specific applications Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t",,,"Lenox 22754 OSB818R 18TPI 8"" x 3/4"" x .035"" Recip Blade","18TPI 8"" x 3/4"" x .035"" Recip Blade"
721|24990,Reciprocal Saw Blades|Reciprocating Saw Blades,22758 OSB110R,"10/14TPI 12"" x 3/4"" x .050"" Recip Blade",Bi-Metal Recip Blades,E:\IMAGES\ITEMS\product\2\2\Lenox-22758-OSB110R-1014TPI-12-x-34-x-050-Recip.jpg,Lenox,Bi-Metal Recip Blades,"Patented, TUFF TOOTH™ design provides long blade life Optimized for specific applications Shatter resistant, bi-metal design provides the flexibility and durability single-metal blades can‘t",,,"Lenox 22758 OSB110R 10/14TPI 12"" x 3/4"" x .050"" Recip Blade","10/14TPI 12"" x 3/4"" x .050"" Recip Blade"
723|24960,Standard Band Saw Blades|Band Saw Blades,80116 38EW18,18TPI Band Saw Blades 3/PK,18TPI Band Saw Blades,E:\IMAGES\ITEMS\product\8\0\Lenox-80116-38EW18-18TPI-Band-Saw-Blades.jpg,Lenox,18TPI Band Saw Blades,"Proprietary backing steel preparation increases fatigue life and minimizes band breaks Robust M42 high speed steel edge provides superior heat and wear resistance Cuts a wide range of metals from low carbon steels to higher strength alloys Advanced design enables production cutting of solids and structurals Positive rake angle improves tooth penetration on saws with limited feed force Unique tooth geometry and set minimizes noise and vibration from the very first cut Smooth, straight cuts when cutting multiple pieces or wide cross sections",,,Lenox 80116 38EW18 18TPI Band Saw Blades 3/PK,18TPI Band Saw Blades 3/PK
723|24960,Standard Band Saw Blades|Band Saw Blades,80117 38EW24,24TPI Band Saw Blades 3/PK,24TPI Band Saw Blades,E:\IMAGES\ITEMS\product\8\0\Lenox-80117-38EW24-24TPI-Band-Saw-Blades.jpg,Lenox,24TPI Band Saw Blades,"Proprietary backing steel preparation increases fatigue life and minimizes band breaks. Robust M42 high speed steel edge provides superior heat and wear resistance Cuts a wide range of metals from low carbon steels to higher strength alloys. Advanced design enables production cutting of solids and structurals. Positive rake angle improves tooth penetration on saws with limited feed force. Unique tooth geometry and set minimizes noise and vibration from the very first cut. Smooth, straight cuts when cutting multiple pieces or wide cross sections.",,,Lenox 80117 38EW24 24TPI Band Saw Blades 3/PK,24TPI Band Saw Blades 3/PK
1157|247|24852,Hole Saw - Metal Drill Bits|Hole Saws|Hole Saws,1779771,Standard Hole Saw Accessories,Pilot Drill Bit,E:\IMAGES\ITEMS\product\1\7\Lenox-1779771-14-T2-Pilot-Drill.jpg,Lenox,Arbors & Accessories For All Your Drilling Needs,ADDED DURABILITYHardened carbon steel for strengthSTARTS ON CONTACTSplit point pilot drill for faster penetration and less walking,,,"Pilot Drill (1/pack), Chuck Size: 1/4"" (6.4), Fits Solid Hex: 1L, 4L, Fits Hollow Hex: 2L",Standard Hole Saw Accessories
1157|27982,Hole Saw - Metal Drill Bits|Hole Saw Mandrels,1779801,Standard Hole Saw Arbors,"Use for enlarging holes, adjustable pilot bit",E:\IMAGES\ITEMS\product\1\7\1779801-Lenox-2L-T2.jpg,Lenox,Arbors & Accessories For All Your Drilling Needs,ADDED DURABILITYHardened carbon steel for strengthSTARTS ON CONTACTSplit point pilot drill for faster penetration and less walking,,,"2L, Fits Hole Saws: 20L-96L, Sizes: 1-1/4""-6"" (31.8-152.4mm), Shank Type: Solid Hex",Standard Hole Saw Arbors
1157|27982,Hole Saw - Metal Drill Bits|Hole Saw Mandrels,1779804,Standard Hole Saw Arbors,Use for 9L-19L arbored hole saws,E:\IMAGES\ITEMS\product\1\7\1779804-Lenox-5L-T2.jpg,Lenox,Arbors & Accessories For All Your Drilling Needs,ADDED DURABILITYHardened carbon steel for strengthSTARTS ON CONTACTSplit point pilot drill for faster penetration and less walking,,,"5L, Fits Hole Saws: 9L-19L, Sizes: 9/16""-1-3/16"" (14.3-30.2mm), Shank Type: Hex",Standard Hole Saw Arbors
643|21681,Knives|Utility Knives,10771FLK1,Locking Tradesman Utility Knife,,E:\IMAGES\ITEMS\product\1\0\lenox-10771flk1-locking-tradesman-utility-knife.jpg,Lenox,LENOX Gold® Locking Tradesman Utility Knife,"EASY OPEN & CLOSESecure locking mechanismCOMFORT GRIPErgonomic rubberized gripMULTI-USE TOOLBottle opener, screwdriver and pipe reamerBUILT-IN WIRE STRIPPER",,,,Locking Tradesman Utility Knife
247|24852,Hole Saws|Hole Saws,121063DGDS,One Piece Diamond Hole Saws,,E:\IMAGES\ITEMS\product\1\2\One-Piece-Diamond-Hole.jpg,Lenox,,"ONE PIECE HOLE SAWSLONG LASTINGContinuous, brazed edge lasts longer in tile and stoneFAST, EASY CUTTINGLow torque, little pressure requiredEASIER PLUG REMOVALOver-sized slot in hole saw for easy pl",,,Dia. (in): 3/16,One Piece Diamond Hole Saws
247|24852,Hole Saws|Hole Saws,121074DGDS,One Piece Diamond Hole Saws,,E:\IMAGES\ITEMS\product\1\2\One-Piece-Diamond-Hole.jpg,Lenox,,"ONE PIECE HOLE SAWSLONG LASTINGContinuous, brazed edge lasts longer in tile and stoneFAST, EASY CUTTINGLow torque, little pressure requiredEASIER PLUG REMOVALOver-sized slot in hole saw for easy pl",,,Dia. (in): 1/4,One Piece Diamond Hole Saws
247|24852,Hole Saws|Hole Saws,121085DGDS,One Piece Diamond Hole Saws,,E:\IMAGES\ITEMS\product\1\2\One-Piece-Diamond-Hole.jpg,Lenox,,"ONE PIECE HOLE SAWSLONG LASTINGContinuous, brazed edge lasts longer in tile and stoneFAST, EASY CUTTINGLow torque, little pressure requiredEASIER PLUG REMOVALOver-sized slot in hole saw for easy pl",,,Dia. (in): 5/16,One Piece Diamond Hole Saws
247|24852,Hole Saws|Hole Saws,121096DGDS,One Piece Diamond Hole Saws,,E:\IMAGES\ITEMS\product\1\2\One-Piece-Diamond-Hole.jpg,Lenox,,"ONE PIECE HOLE SAWSLONG LASTINGContinuous, brazed edge lasts longer in tile and stoneFAST, EASY CUTTINGLow torque, little pressure requiredEASIER PLUG REMOVALOver-sized slot in hole saw for easy pl",,,Dia. (in): 3/8,One Piece Diamond Hole Saws
247|24852,Hole Saws|Hole Saws,121108DGDS,One Piece Diamond Hole Saws,,E:\IMAGES\ITEMS\product\1\2\One-Piece-Diamond-Hole.jpg,Lenox,,"ONE PIECE HOLE SAWSLONG LASTINGContinuous, brazed edge lasts longer in tile and stoneFAST, EASY CUTTINGLow torque, little pressure requiredEASIER PLUG REMOVALOver-sized slot in hole saw for easy pl",,,Dia. (in): 1/2,One Piece Diamond Hole Saws
247|24852,Hole Saws|Hole Saws,1211110DGDS,One Piece Diamond Hole Saws,,E:\IMAGES\ITEMS\product\1\2\One-Piece-Diamond-Hole.jpg,Lenox,,"ONE PIECE HOLE SAWSLONG LASTINGContinuous, brazed edge lasts longer in tile and stoneFAST, EASY CUTTINGLow torque, little pressure requiredEASIER PLUG REMOVALOver-sized slot in hole saw for easy pl",,,Dia. (in): 5/8,One Piece Diamond Hole Saws
247|24852,Hole Saws|Hole Saws,1211212DGDS,One Piece Diamond Hole Saws,,E:\IMAGES\ITEMS\product\1\2\One-Piece-Diamond-Hole.jpg,Lenox,,"ONE PIECE HOLE SAWSLONG LASTINGContinuous, brazed edge lasts longer in tile and stoneFAST, EASY CUTTINGLow torque, little pressure requiredEASIER PLUG REMOVALOver-sized slot in hole saw for easy pl",,,"Dia. (in): 3/4, Pipe Tap (in): 3/4, Pipe Entrance (in): 3/8",One Piece Diamond Hole Saws
247|24852,Hole Saws|Hole Saws,1211416DGDS,One Piece Diamond Hole Saws,,E:\IMAGES\ITEMS\product\1\2\One-Piece-Diamond-Hole.jpg,Lenox,,"ONE PIECE HOLE SAWSLONG LASTINGContinuous, brazed edge lasts longer in tile and stoneFAST, EASY CUTTINGLow torque, little pressure requiredEASIER PLUG REMOVALOver-sized slot in hole saw for easy pl",,,Dia. (in): 1,One Piece Diamond Hole Saws
247|24852,Hole Saws|Hole Saws,1211622DGDS,One Piece Diamond Hole Saws,,E:\IMAGES\ITEMS\product\1\2\One-Piece-Diamond-Hole.jpg,Lenox,,"ONE PIECE HOLE SAWSLONG LASTINGContinuous, brazed edge lasts longer in tile and stoneFAST, EASY CUTTINGLow torque, little pressure requiredEASIER PLUG REMOVALOver-sized slot in hole saw for easy pl",,,"Dia. (in): 1-3/8, Pipe Tap (in): , Pipe Entrance (in): 1",One Piece Diamond Hole Saws
247|24852,Hole Saws|Hole Saws,12158DGDS,One Piece Diamond Hole Saws,,E:\IMAGES\ITEMS\product\1\2\One-Piece-Diamond-Hole.jpg,Lenox,,"ONE PIECE HOLE SAWSLONG LASTINGContinuous, brazed edge lasts longer in tile and stoneFAST, EASY CUTTINGLow torque, little pressure requiredEASIER PLUG REMOVALOver-sized slot in hole saw for easy pl",,,"4 Piece Kit: 3/16"", 1/4"", 5/16"", 3/8""",One Piece Diamond Hole Saws
635|21720,Hand Saws|Hand Saws,12132HT50,High Tension Hacksaw,,E:\IMAGES\ITEMS\product\1\2\lenox-12132ht50-high-tension-hacksaw.png,Lenox,,"HIGHEST TENSION. EVERUnique I-Beam construction allows blade to tension up to 50,000 psi, resulting in fast, straight cutsCOMFORTABLE GRIPSRubberized handles allow for confident handling even in wet or cold environments","All Hacksaw frames come with one 12"" (300mm) 24 TPI hacksaw blade",,,High Tension Hacksaw
94|24990,Reciprocating Saws | Blades|Reciprocating Saw Blades,121439KPE,9 Piece General Purpose Reciprocating Saw Blade Kit,,E:\IMAGES\ITEMS\product\1\2\lenox-121439kpe-9-piece-general-purpose-reciprocating-saw-blade-kit.png,Lenox,,"Two each of reciprocating blades: 656R, 624R, 818R, 810ROne each: 960RIncludes Storage Case",,,,9 Piece General Purpose Reciprocating Saw Blade Kit
94|24990,Reciprocating Saws | Blades|Reciprocating Saw Blades,1766338,Double Tang Diamond Reciprocating Saw Blades,,E:\IMAGES\ITEMS\product\1\7\Double-Tang-Diamond-Reciprocating-Saw.jpg,Lenox,,DUAL TANGAllows end user to flip blade around reducing amount of waster grit and maximizing cost per cutLASTS 6X LONGERDiamond grit cutting edge and dual tangs provide longer life than standard carbide grit bladesCU,,,Length x Width x Thickness: 9 x 3/4 x .042,Double Tang Diamond Reciprocating Saw Blades
