category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
27850,Ratchet Assemblies,60501,Load Hugger 5000 Series Polyester Standard Ratchet Assemblies With Flat Hook,,E:\IMAGES\ITEMS\product\6\0\Load-Hugger-Cargo-Control-Ratchet.jpg,Lift-All,Load Hugger 5000 Series Polyester Standard Ratchet Assemblies With Flat Hook,"Product Features :Two piece assemblies with one fixed length of webbing and one adjustable length ofwebbing.Numerous end fittings are available to handle any requirements.2"" wide polyester webbing.Ultimate strength - 5,000 lbs.Working Load Limit - 1,600 lbs.","Specifications : Webbing Ultimate Strength (lbs.) Working Load Limit (lbs.)LengthSeries 5,000 2"" Wide Polyester 5,000 lbs 1600 lbsSeries 10,000 2"" Wide Polyester 10,000 lbs 3300 lbsStandardPart No.Tuff-EdgePart No.Weight(lbs.)StandardPart No.Tuff-EdgePart No.Weight(lbs.)Flat Hook27'60501TE605014.661001TE610015.830'60502TE605024.861002TE610026.0Stamped Triangle27'60503TE605034.261003TE610035.23060504TE605044.461004TE610045.4Stamped Snap Hook27'60505TE605054.661005TE610056.23060506TE605064.861006TE610066.4Twisted SnapHook27'60507TE605075.261007TE610075.63060508TE605085.461008TE610085.8Forged Snap Hook27'60509TE605095.861009TE610096.43060510TE605106.061010TE610106.6D-Ring27'60511TE605114.2&nbsp&nbsp&nbsp3060512TE605124.4&nbsp&nbsp&nbspU-Hook27'60513TE605134.626422TE264225.83060514TE605144.826423TE264236.0Hook & Keeper27'60515TE605154.8&nbsp&nbsp&nbsp3060516TE605165.0&nbsp&nbsp&nbspChain Anchor27'&nbsp&nbsp&nbsp61013TE6101313.030&nbsp&nbsp&nbsp61014TE6101413.2Type A (Endless)27'60517TE605173.861011TE610114.43060518TE60518461012TE610124.6View Product Details",,27',Load Hugger 5000 Series Polyester Standard Ratchet Assemblies With Flat Hook
1203|23344,Slings|Slings,30002G10,10 Feet Adjust-A-Link Grade 100 Chain Slings,,E:\IMAGES\ITEMS\product\3\0\lift-all-30002g10-10-feet-adjust-a-link-grade-100-chain-slings.jpg,Lift-All,10 Feet Adjust-A-Link Grade 100 Chain Slings,"Product Features :Chain cannot be removed from the master control plate, assuring thecapacity rating will not be compromised.Alloy steel master control link for strength and reliability.Each assembly serialized for traceability.Complies with OSHA - proof tested and certified.Grade 100 chain provides approximately 25% higher capacities thanour previousAdjust-A-Links- replaces larger, more expensive slings.New angled plate design reduces bending torque on chain and plate- reduces wearand extends sling life.Yellow powder coating on master plateand hooks prevents rust -extends sling life.More compact plate design fits larger hooks for easier rigging.Less bulky than typical double adjustable chain slings.High visibility yellow fittings make assembly easy to spot.Easily adjustable to accommodate a wide range of applications.",Specifications : Chain Size (in.)Rated Capacity(lbs.)Dimensions(in.)6 ft. Length10 ft. Length14 ft. LengthSingle at 90 DegreeDouble at 60 DegreeEye Width AEye Height BOverall Width COverall Length DHook Opening EPart No.(Lbs.)Part No.(Lbs.)Part No.(Lbs.)7/32270047002 3/162 11/163 15/165 1/815/1630001G104.230002G106.2&nbsp&nbsp/tR>9/32430074002 7/83 3/165 1/166 1/21 1/1630003G107.530004G1010.5&nbsp&nbsp3/88800152003 3/44 1/86 3/48 11/161 9/16&nbsp&nbsp30005G1018.530006G1024.51/212000208004 3/84 3/89 3/412 3/42&nbsp&nbsp30007423000852View Product Details,,10 Feet,10 Feet Adjust-A-Link Grade 100 Chain Slings
1203|23344,Slings|Slings,30004G10,10 Feet Adjust-A-Link Grade 100 Chain Slings,,E:\IMAGES\ITEMS\product\3\0\lift-all-30004g10-10-feet-adjust-a-link-grade-100-chain-slings.jpg,Lift-All,10 Feet Adjust-A-Link Grade 100 Chain Slings,"Product Features :Chain cannot be removed from the master control plate, assuring thecapacity rating will not be compromised.Alloy steel master control link for strength and reliability.Each assembly serialized for traceability.Complies with OSHA - proof tested and certified.Grade 100 chain provides approximately 25% higher capacities thanour previousAdjust-A-Links- replaces larger, more expensive slings.New angled plate design reduces bending torque on chain and plate- reduces wearand extends sling life.Yellow powder coating on master plateand hooks prevents rust -extends sling life.More compact plate design fits larger hooks for easier rigging.Less bulky than typical double adjustable chain slings.High visibility yellow fittings make assembly easy to spot.Easily adjustable to accommodate a wide range of applications.",Specifications : Chain Size (in.)Rated Capacity(lbs.)Dimensions(in.)6 ft. Length10 ft. Length14 ft. LengthSingle at 90 DegreeDouble at 60 DegreeEye Width AEye Height BOverall Width COverall Length DHook Opening EPart No.(Lbs.)Part No.(Lbs.)Part No.(Lbs.)7/32270047002 3/162 11/163 15/165 1/815/1630001G104.230002G106.2&nbsp&nbsp/tR>9/32430074002 7/83 3/165 1/166 1/21 1/1630003G107.530004G1010.5&nbsp&nbsp3/88800152003 3/44 1/86 3/48 11/161 9/16&nbsp&nbsp30005G1018.530006G1024.51/212000208004 3/84 3/89 3/412 3/42&nbsp&nbsp30007423000852View Product Details,,10 Feet,10 Feet Adjust-A-Link Grade 100 Chain Slings
1203|23344,Slings|Slings,30005G10,10 Feet Adjust-A-Link Grade 100 Chain Slings,,E:\IMAGES\ITEMS\product\3\0\lift-all-30005g10-10-feet-adjust-a-link-grade-100-chain-slings.jpg,Lift-All,10 Feet Adjust-A-Link Grade 100 Chain Slings,"Product Features :Chain cannot be removed from the master control plate, assuring thecapacity rating will not be compromised.Alloy steel master control link for strength and reliability.Each assembly serialized for traceability.Complies with OSHA - proof tested and certified.Grade 100 chain provides approximately 25% higher capacities thanour previousAdjust-A-Links- replaces larger, more expensive slings.New angled plate design reduces bending torque on chain and plate- reduces wearand extends sling life.Yellow powder coating on master plateand hooks prevents rust -extends sling life.More compact plate design fits larger hooks for easier rigging.Less bulky than typical double adjustable chain slings.High visibility yellow fittings make assembly easy to spot.Easily adjustable to accommodate a wide range of applications.",Specifications : Chain Size (in.)Rated Capacity(lbs.)Dimensions(in.)6 ft. Length10 ft. Length14 ft. LengthSingle at 90 DegreeDouble at 60 DegreeEye Width AEye Height BOverall Width COverall Length DHook Opening EPart No.(Lbs.)Part No.(Lbs.)Part No.(Lbs.)7/32270047002 3/162 11/163 15/165 1/815/1630001G104.230002G106.2&nbsp&nbsp/tR>9/32430074002 7/83 3/165 1/166 1/21 1/1630003G107.530004G1010.5&nbsp&nbsp3/88800152003 3/44 1/86 3/48 11/161 9/16&nbsp&nbsp30005G1018.530006G1024.51/212000208004 3/84 3/89 3/412 3/42&nbsp&nbsp30007423000852View Product Details,,10 Feet,10 Feet Adjust-A-Link Grade 100 Chain Slings
1203|23344,Slings|Slings,30007,10 Feet Adjust-A-Link Grade 100 Chain Slings,,E:\IMAGES\ITEMS\product\3\0\lift-all-30007-10-feet-adjust-a-link-grade-100-chain-slings.jpg,Lift-All,10 Feet Adjust-A-Link Grade 100 Chain Slings,"Product Features :Chain cannot be removed from the master control plate, assuring thecapacity rating will not be compromised.Alloy steel master control link for strength and reliability.Each assembly serialized for traceability.Complies with OSHA - proof tested and certified.Grade 100 chain provides approximately 25% higher capacities thanour previousAdjust-A-Links- replaces larger, more expensive slings.New angled plate design reduces bending torque on chain and plate- reduces wearand extends sling life.Yellow powder coating on master plateand hooks prevents rust -extends sling life.More compact plate design fits larger hooks for easier rigging.Less bulky than typical double adjustable chain slings.High visibility yellow fittings make assembly easy to spot.Easily adjustable to accommodate a wide range of applications.",Specifications : Chain Size (in.)Rated Capacity(lbs.)Dimensions(in.)6 ft. Length10 ft. Length14 ft. LengthSingle at 90 DegreeDouble at 60 DegreeEye Width AEye Height BOverall Width COverall Length DHook Opening EPart No.(Lbs.)Part No.(Lbs.)Part No.(Lbs.)7/32270047002 3/162 11/163 15/165 1/815/1630001G104.230002G106.2&nbsp&nbsp/tR>9/32430074002 7/83 3/165 1/166 1/21 1/1630003G107.530004G1010.5&nbsp&nbsp3/88800152003 3/44 1/86 3/48 11/161 9/16&nbsp&nbsp30005G1018.530006G1024.51/212000208004 3/84 3/89 3/412 3/42&nbsp&nbsp30007423000852View Product Details,,10 Feet,10 Feet Adjust-A-Link Grade 100 Chain Slings
1203|23344,Slings|Slings,10GHDRWMS10,10 Gage Heavy Duty Roughneck Wire Mesh Slings,,E:\IMAGES\ITEMS\product\1\0\lift-all-10ghdrwms10-10-gage-heavy-duty-roughneck-wire-mesh-slings.jpg,Lift-All,10 Gage Heavy Duty Roughneck Wire Mesh Slings,Product Features :Steel construction resists abrasion and cutting. Each sling permanently stamped with capacity andserial number.Good flexibility - grips load’s contours.Each sling proof tested and certified. Grips load firmly without stretching - reduces loaddamage.Resists abrasion and cutting for greater sling life.Flexibility and low stretch reduce load damage.Wide bearing area distributes load to help avoidload damage.,MWDILTLCL10 GA12 GA10 GA12 GA10 GA12 GA2233 7/85 5/81/21/2651.31.132 1/43 3/84 3/86 1/41/21/2881.91.843456 3/41/21/210102.52.363 1/24 1/25 5/87 3/41/21/216143.93.484 1/267 1/291/21/222215.14.5104 3/46 1/4810 7/81/21/228266.45.61256 1/28 5/811 3/81/21/234327.66.81456 1/28 3/412 3/41/21/240378.97.9165 1/479 1/814 1/43/41/25738109.0185 1/27 1/29 3/415 3/43/41/267441110205 3/47 3/410 1/8173/41/277511311View Product Details,,10 inch,10 Gage Heavy Duty Roughneck Wire Mesh Slings
1203|23344,Slings|Slings,10GHDRWMS12,10 Gage Heavy Duty Roughneck Wire Mesh Slings,,E:\IMAGES\ITEMS\product\1\0\lift-all-10ghdrwms12-10-gage-heavy-duty-roughneck-wire-mesh-slings.jpg,Lift-All,10 Gage Heavy Duty Roughneck Wire Mesh Slings,Product Features :Steel construction resists abrasion and cutting. Each sling permanently stamped with capacity andserial number.Good flexibility - grips load’s contours.Each sling proof tested and certified. Grips load firmly without stretching - reduces loaddamage.Resists abrasion and cutting for greater sling life.Flexibility and low stretch reduce load damage.Wide bearing area distributes load to help avoidload damage.,MWDILTLCL10 GA12 GA10 GA12 GA10 GA12 GA2233 7/85 5/81/21/2651.31.132 1/43 3/84 3/86 1/41/21/2881.91.843456 3/41/21/210102.52.363 1/24 1/25 5/87 3/41/21/216143.93.484 1/267 1/291/21/222215.14.5104 3/46 1/4810 7/81/21/228266.45.61256 1/28 5/811 3/81/21/234327.66.81456 1/28 3/412 3/41/21/240378.97.9165 1/479 1/814 1/43/41/25738109.0185 1/27 1/29 3/415 3/43/41/267441110205 3/47 3/410 1/8173/41/277511311View Product Details,,12 inch,10 Gage Heavy Duty Roughneck Wire Mesh Slings
1203|23344,Slings|Slings,10GHDRWMS14,10 Gage Heavy Duty Roughneck Wire Mesh Slings,,E:\IMAGES\ITEMS\product\1\0\lift-all-10ghdrwms14-10-gage-heavy-duty-roughneck-wire-mesh-slings.jpg,Lift-All,10 Gage Heavy Duty Roughneck Wire Mesh Slings,Product Features :Steel construction resists abrasion and cutting. Each sling permanently stamped with capacity andserial number.Good flexibility - grips load’s contours.Each sling proof tested and certified. Grips load firmly without stretching - reduces loaddamage.Resists abrasion and cutting for greater sling life.Flexibility and low stretch reduce load damage.Wide bearing area distributes load to help avoidload damage.,MWDILTLCL10 GA12 GA10 GA12 GA10 GA12 GA2233 7/85 5/81/21/2651.31.132 1/43 3/84 3/86 1/41/21/2881.91.843456 3/41/21/210102.52.363 1/24 1/25 5/87 3/41/21/216143.93.484 1/267 1/291/21/222215.14.5104 3/46 1/4810 7/81/21/228266.45.61256 1/28 5/811 3/81/21/234327.66.81456 1/28 3/412 3/41/21/240378.97.9165 1/479 1/814 1/43/41/25738109.0185 1/27 1/29 3/415 3/43/41/267441110205 3/47 3/410 1/8173/41/277511311View Product Details,,14 inch,10 Gage Heavy Duty Roughneck Wire Mesh Slings
1203|23344,Slings|Slings,10GHDRWMS16,10 Gage Heavy Duty Roughneck Wire Mesh Slings,,E:\IMAGES\ITEMS\product\1\0\lift-all-10ghdrwms16-10-gage-heavy-duty-roughneck-wire-mesh-slings.jpg,Lift-All,10 Gage Heavy Duty Roughneck Wire Mesh Slings,Product Features :Steel construction resists abrasion and cutting. Each sling permanently stamped with capacity andserial number.Good flexibility - grips load’s contours.Each sling proof tested and certified. Grips load firmly without stretching - reduces loaddamage.Resists abrasion and cutting for greater sling life.Flexibility and low stretch reduce load damage.Wide bearing area distributes load to help avoidload damage.,MWDILTLCL10 GA12 GA10 GA12 GA10 GA12 GA2233 7/85 5/81/21/2651.31.132 1/43 3/84 3/86 1/41/21/2881.91.843456 3/41/21/210102.52.363 1/24 1/25 5/87 3/41/21/216143.93.484 1/267 1/291/21/222215.14.5104 3/46 1/4810 7/81/21/228266.45.61256 1/28 5/811 3/81/21/234327.66.81456 1/28 3/412 3/41/21/240378.97.9165 1/479 1/814 1/43/41/25738109.0185 1/27 1/29 3/415 3/43/41/267441110205 3/47 3/410 1/8173/41/277511311View Product Details,,16 inch,10 Gage Heavy Duty Roughneck Wire Mesh Slings
1203|23344,Slings|Slings,10GHDRWMS18,10 Gage Heavy Duty Roughneck Wire Mesh Slings,,E:\IMAGES\ITEMS\product\1\0\lift-all-10ghdrwms18-10-gage-heavy-duty-roughneck-wire-mesh-slings.jpg,Lift-All,10 Gage Heavy Duty Roughneck Wire Mesh Slings,Product Features :Steel construction resists abrasion and cutting. Each sling permanently stamped with capacity andserial number.Good flexibility - grips load’s contours.Each sling proof tested and certified. Grips load firmly without stretching - reduces loaddamage.Resists abrasion and cutting for greater sling life.Flexibility and low stretch reduce load damage.Wide bearing area distributes load to help avoidload damage.,MWDILTLCL10 GA12 GA10 GA12 GA10 GA12 GA2233 7/85 5/81/21/2651.31.132 1/43 3/84 3/86 1/41/21/2881.91.843456 3/41/21/210102.52.363 1/24 1/25 5/87 3/41/21/216143.93.484 1/267 1/291/21/222215.14.5104 3/46 1/4810 7/81/21/228266.45.61256 1/28 5/811 3/81/21/234327.66.81456 1/28 3/412 3/41/21/240378.97.9165 1/479 1/814 1/43/41/25738109.0185 1/27 1/29 3/415 3/43/41/267441110205 3/47 3/410 1/8173/41/277511311View Product Details,,18 inch,10 Gage Heavy Duty Roughneck Wire Mesh Slings
1203|23344,Slings|Slings,10GHDRWMS2,10 Gage Heavy Duty Roughneck Wire Mesh Slings,,E:\IMAGES\ITEMS\product\1\0\lift-all-10ghdrwms2-10-gage-heavy-duty-roughneck-wire-mesh-slings.jpg,Lift-All,10 Gage Heavy Duty Roughneck Wire Mesh Slings,Product Features :Steel construction resists abrasion and cutting. Each sling permanently stamped with capacity andserial number.Good flexibility - grips load’s contours.Each sling proof tested and certified. Grips load firmly without stretching - reduces loaddamage.Resists abrasion and cutting for greater sling life.Flexibility and low stretch reduce load damage.Wide bearing area distributes load to help avoidload damage.,MWDILTLCL10 GA12 GA10 GA12 GA10 GA12 GA2233 7/85 5/81/21/2651.31.132 1/43 3/84 3/86 1/41/21/2881.91.843456 3/41/21/210102.52.363 1/24 1/25 5/87 3/41/21/216143.93.484 1/267 1/291/21/222215.14.5104 3/46 1/4810 7/81/21/228266.45.61256 1/28 5/811 3/81/21/234327.66.81456 1/28 3/412 3/41/21/240378.97.9165 1/479 1/814 1/43/41/25738109.0185 1/27 1/29 3/415 3/43/41/267441110205 3/47 3/410 1/8173/41/277511311View Product Details,,2 inch,10 Gage Heavy Duty Roughneck Wire Mesh Slings
