category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
24048,Paint Brushes,15000-1,Promotional - 1500 Series,"For Latex Paints, Chip and Touch-up",E:\IMAGES\ITEMS\product\1\5\1500-Series-Paint.jpg,Linzer Products Corp.,"For Latex Paints, Chip and Touch-up",Varnish Flat Trim Natural Wood Handle White Chinese Bristle Steel Ferrule,,,"Size: 1/2”, Trim Length: 1-1/2”, Thickness: 1/4”, Pack/Box: 36",Promotional - 1500 Series
24048,Paint Brushes,15001-8,Promotional - 1500 Series,"For Latex Paints, Chip and Touch-up",E:\IMAGES\ITEMS\product\1\5\1500-Series-Paint.jpg,Linzer Products Corp.,1500 Series Paint Brushes,Varnish Flat Trim Natural Wood Handle White Chinese Bristle Steel Ferrule,,,"Size: 1”, Trim Length: 1-1/2”, Thickness: 5/16”, Pack/Box: 36",Promotional - 1500 Series
24048,Paint Brushes,15002-5,Promotional - 1500 Series,"For Latex Paints, Chip and Touch-up",E:\IMAGES\ITEMS\product\1\5\1500-Series-Paint.jpg,Linzer Products Corp.,1500 Series Paint Brushes,Varnish Flat Trim Natural Wood Handle White Chinese Bristle Steel Ferrule,,,"Size: 1-1/2”, Trim Length: 1-1/2”, Thickness: 5/16”, Pack/Box: 36",Promotional - 1500 Series
24048,Paint Brushes,15003-2,Promotional - 1500 Series,"For Latex Paints, Chip and Touch-up",E:\IMAGES\ITEMS\product\1\5\1500-Series-Paint.jpg,Linzer Products Corp.,1500 Series Paint Brushes,Varnish Flat Trim Natural Wood Handle White Chinese Bristle Steel Ferrule,,,"Size: 2”, Trim Length: 1-1/2”, Thickness: 5/16”, Pack/Box: 24",Promotional - 1500 Series
24048,Paint Brushes,15004-9,Promotional - 1500 Series,"For Latex Paints, Chip and Touch-up",E:\IMAGES\ITEMS\product\1\5\1500-Series-Paint.jpg,Linzer Products Corp.,1500 Series Paint Brushes,Varnish Flat Trim Natural Wood Handle White Chinese Bristle Steel Ferrule,,,"Size: 2-1/2”, Trim Length: 1-1/2”, Thickness: 3/8”, Pack/Box: 12",Promotional - 1500 Series
24048,Paint Brushes,15005-6,Promotional - 1500 Series,"For Latex Paints, Chip and Touch-up",E:\IMAGES\ITEMS\product\1\5\1500-Series-Paint.jpg,Linzer Products Corp.,1500 Series Paint Brushes,Varnish Flat Trim Natural Wood Handle White Chinese Bristle Steel Ferrule,,,"Size: 3”, Trim Length: 1-1/2”, Thickness: 3/8”, Pack/Box: 12",Promotional - 1500 Series
24048,Paint Brushes,15007-0,Promotional - 1500 Series,"For Latex Paints, Chip and Touch-up",E:\IMAGES\ITEMS\product\1\5\1500-Series-Paint.jpg,Linzer Products Corp.,1500 Series Paint Brushes,Varnish Flat Trim Natural Wood Handle White Chinese Bristle Steel Ferrule,,,"Size: 4”XX, Trim Length: 2”, Thickness: 11/16”, Pack/Box: 12",Promotional - 1500 Series
24048,Paint Brushes,15040-7,Promotional - 1504 Series,,E:\IMAGES\ITEMS\product\1\5\1504-Series-Paint.jpg,Linzer Products Corp.,,Varnish Flat Trim Natural Wood Handle White Chinese Bristle Steel Ferrule,"Size: 4""X Trim Length: 2"" Thickness: 3/8"" Pack/Box: 24",,1504 Series Paint Brush,Promotional - 1504 Series
24048,Paint Brushes,24623-0,Very Fine Chinese Bristle - 2462 Series,"For Oil Based Paints and Stains, Varnishes and Urethanes",E:\IMAGES\ITEMS\product\2\4\Very-Fine-Chinese-Bristle-2462.jpg,Linzer Products Corp.,"For Oil Based Paints and Stains, Varnishes and Urethanes",Flat Sash Chiseled Trim Natural Wood Handle Steel Ferrule Very Fine China Bristle With Ox Hair Feel,,,"Size: 2”, Trim Length: 2-1/2”, Thickness: 7/16”, Pack/Box: 12",Very Fine Chinese Bristle - 2462 Series
24048,Paint Brushes,24624-7,Very Fine Chinese Bristle - 2462 Series,"For Oil Based Paints and Stains, Varnishes and Urethanes",E:\IMAGES\ITEMS\product\2\4\Very-Fine-Chinese-Bristle-2462.jpg,Linzer Products Corp.,Very Fine Chinese Bristle - 2462 Series,Flat Sash Chiseled Trim Natural Wood Handle Steel Ferrule Very Fine China Bristle With Ox Hair Feel,,,"Size: 2-1/2”, Trim Length: 2-3/4”, Thickness: 1/2”, Pack/Box: 12",Very Fine Chinese Bristle - 2462 Series
24048,Paint Brushes,24625-4,Very Fine Chinese Bristle - 2462 Series,"For Oil Based Paints and Stains, Varnishes and Urethanes",E:\IMAGES\ITEMS\product\2\4\Very-Fine-Chinese-Bristle-2462.jpg,Linzer Products Corp.,Very Fine Chinese Bristle - 2462 Series,Flat Sash Chiseled Trim Natural Wood Handle Steel Ferrule Very Fine China Bristle With Ox Hair Feel,,,"Size: 3”, Trim Length: 3”, Thickness: 9/16”, Pack/Box: 12",Very Fine Chinese Bristle - 2462 Series
877|24897,Brushes|End Brushes,30001-7,Wire Brush - 300SC Series,,E:\IMAGES\ITEMS\product\3\0\Wire-Brush-300SC.jpg,Linzer Products Corp.,,"Shoe Handle Rows: 16x4 11” L, 1” W Scraper",,,Wire Brush - 300SC Series,Wire Brush - 300SC Series
24050,Paint Roller Covers,23807-5,Good Quality Roller Cover - Semi-Smooth,For All Paints and Stains,E:\IMAGES\ITEMS\product\2\3\Good-Quality-Semi.jpg,Linzer Products Corp.,For All Paints and Stains,Knit Fabric Covers 2-Ply Polypropylene Cores General Maintenance Good Quality,,,Good Quality - Semi-Smooth,Good Quality Roller Cover - Semi-Smooth
413|24052,Supplies|Paint Roller Frames,20005-8,Economy Roller Frame,,E:\IMAGES\ITEMS\product\2\0\Economy-Roller.jpg,Linzer Products Corp.,,1/4” Shank Threaded Plastic Grip,,,"Size: 3”, 4-Wire Cage, Pack/Box: 12",Economy Roller Frame
413|24052,Supplies|Paint Roller Frames,20007-2,Economy Roller Frame,,E:\IMAGES\ITEMS\product\2\0\Economy-Roller.jpg,Linzer Products Corp.,Economy Roller Frame,1/4” Shank Threaded Plastic Grip,,,"Size: 4”, 4-Wire Cage, Pack/Box: 12",Economy Roller Frame
413|24052,Supplies|Paint Roller Frames,20010-2,Economy Roller Frame,,E:\IMAGES\ITEMS\product\2\0\Economy-Roller.jpg,Linzer Products Corp.,Economy Roller Frame,4-Wire Cage 1/4” Shank Threaded Plastic Grip,,,"Size: 7”, 4-Wire Cage, Pack/Box: 24",Economy Roller Frame
413|24052,Supplies|Paint Roller Frames,20012-6,Economy Roller Frame,,E:\IMAGES\ITEMS\product\2\0\Economy-Roller.jpg,Linzer Products Corp.,Economy Roller Frame,4-Wire Cage 1/4” Shank Threaded Plastic Grip,,,"Size: 9”, 4-Wire Cage, Pack/Box: 24",Economy Roller Frame
413|24052,Supplies|Paint Roller Frames,20112-3,Economy Roller Frame,,E:\IMAGES\ITEMS\product\2\0\Economy-Roller.jpg,Linzer Products Corp.,Economy Roller Frame,1/4” Shank Threaded Plastic Grip,,,"Size: 9”, 5-Wire Cage, Pack/Box: 12",Economy Roller Frame
413|24052,Supplies|Paint Roller Frames,20910-5,Contractor Roller Frame,,E:\IMAGES\ITEMS\product\2\0\Contractor-Roller.jpg,Linzer Products Corp.,,5-Wire Cage 5/16” Shank Threaded Plastic Grip Metal Ferrule,,,"Size: 7”, Pack/Box: 12",Contractor Roller Frame
413|24052,Supplies|Paint Roller Frames,20912-9,Contractor Roller Frame,,E:\IMAGES\ITEMS\product\2\0\Contractor-Roller.jpg,Linzer Products Corp.,Contractor Roller Frame,5-Wire Cage 5/16” Shank Threaded Plastic Grip Metal Ferrule,,,"Size: 9”, Pack/Box: 12",Contractor Roller Frame
413|24052,Supplies|Paint Roller Frames,20913-6,Contractor Roller Frame,,E:\IMAGES\ITEMS\product\2\0\Contractor-Roller.jpg,Linzer Products Corp.,Contractor Roller Frame,5-Wire Cage 5/16” Shank Threaded Plastic Grip Metal Ferrule,,,"Size: 12”, Pack/Box: 12",Contractor Roller Frame
413|24054,Supplies|Paint Trays and Buckets,41012-9,1 Qt Tray Liner,,E:\IMAGES\ITEMS\product\4\1\1-Qt-Tray.jpg,Linzer Products Corp.,,Tray Size: 1 QT Pack/Ctn: 144,,,1 Pack,1 Qt Tray Liner
413|24054,Supplies|Paint Trays and Buckets,41109-6,1 Qt Tray Liner,,E:\IMAGES\ITEMS\product\4\1\1-Qt-Tray.jpg,Linzer Products Corp.,1 Qt Tray Liner,Tray Size: 1 QT Pack/Ctn: 144,,,10 Pack,1 Qt Tray Liner
24050,Paint Roller Covers,93812-8,Utility Quality Roller Cover - Semi-Smooth,For All Paints and Stains,E:\IMAGES\ITEMS\product\9\3\Utility.jpg,Linzer Products Corp.,For All Paints and Stains,Knit Fabric Covers 2-Ply Polypropylene Cores General Maintenance Utility Quality,,,"Size: 9”, Pack/Box: 24",Utility Quality Roller Cover - Semi-Smooth
24050,Paint Roller Covers,93805-0,Utility Quality Roller Cover - Semi-Smooth,For All Paints and Stains,E:\IMAGES\ITEMS\product\9\3\Utility.jpg,Linzer Products Corp.,Utility Quality,Knit Fabric Covers 2-Ply Polypropylene Cores General Maintenance Utility Quality,,,"Size: 3”, Pack/Box: 24",Utility Quality Roller Cover - Semi-Smooth
24122,Drop Cloths,05070-7,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 5’x7’, Pack/Box: 24",Tarps
24122,Drop Cloths,06080-5,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 6’x8’, Pack/Box: 24",Tarps
24122,Drop Cloths,08100-8,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 8’x10’, Pack/Box: 12",Tarps
24122,Drop Cloths,09120-5,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 9’X12’, Pack/Box: 12",Tarps
24122,Drop Cloths,10120-1,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 10’X12’, Pack/Box: 12",Tarps
24122,Drop Cloths,10160-7,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 10’X16’, Pack/Box: 12",Tarps
24122,Drop Cloths,10200-0,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 10’X20’, Pack/Box: 6",Tarps
24122,Drop Cloths,12120-9,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 12’X12’, Pack/Box: 6",Tarps
24122,Drop Cloths,12160-5,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 12’X16’, Pack/Box: 6",Tarps
24122,Drop Cloths,12200-8,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 12’X20’, Pack/Box: 6",Tarps
24122,Drop Cloths,16200-4,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 16’x20’, Pack/Box: 6",Tarps
24122,Drop Cloths,18240-8,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 18’x24’, Pack/Box: 6",Tarps
24122,Drop Cloths,20200-7,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 20’x20’, Pack/Box: 4",Tarps
24122,Drop Cloths,20250-2,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 20’X25’, Pack/Box: 3",Tarps
24122,Drop Cloths,20300-4,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 20’X30’, Pack/Box: 2",Tarps
24122,Drop Cloths,20400-1,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 20’X40’, Pack/Box: 2",Tarps
24122,Drop Cloths,03040-2,Tarps,,E:\IMAGES\ITEMS\product\0\5\Tarps.jpg,Linzer Products Corp.,Tarps,3.0 MIL. UV Coated on Both Sides Aluminum Grommets at 36” Intervals Polypropylene Line Welded Around the Hem Mildew Resistant Coating Poly Bagged,,,"Size: 30’X40’, Pack/Box: 1",Tarps
