category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
600|23175,Fiberglass Step Ladders|Stepladders,FS1504,4' Type IA Fiberglass Step,Louisville FS1500 Series,E:\IMAGES\ITEMS\product\F\S\Louisville-FS1500.jpg,Louisville Ladder,A non-conductive fiberglass stepladder extra-heavy duty capable of supporting 300lbs.,"A non-conductive fiberglass stepladder extra-heavy duty capable of supporting 300lbs. Equipped with Da Boot for slip resistant footing, SHOX system and the ProTop, a non-conductive structural molded top with hardware tray, paint can holder, handyman´s tool slots, pipe holder, curved front of top provides leg comfort and convenient magnet to secure small steel parts.",,,4' Type IA Fiberglass Step,4' Type IA Fiberglass Step
600|23175,Fiberglass Step Ladders|Stepladders,FM1500,6' Type IA Fiberglass Double,Louisville FM1500 Series,E:\IMAGES\ITEMS\product\F\M\Louisville-FM1500.jpg,Louisville Ladder,A non-conductive Fiberglass twin front ladder with an extra-heavy duty rating capable of supporting up to 300lbs.,"A non-conductive Fiberglass twin front ladder with an extra-heavy duty rating capable of supporting up to 300lbs. Equipped with Da Boot for slip resistant footing, the SHOX and heavy steel hinges and inside spreader braces.",,,6' Type IA Fiberglass Double,6' Type IA Fiberglass Double
603|23155,Fiberglass Extension Ladders|Extension Ladders,FE3216,16' Type IA Fiberglass Extension Ladder,Louisville FE3200 Series,E:\IMAGES\ITEMS\product\F\E\Louisville-FE3200.jpg,Louisville Ladder,,"A non-conductive fiberglass industrial extension ladder with 300lbs. duty rating.  The ladders features outside slide guides, D-shape rungs fully serrated for slip resistant surface, non marring rail end caps, QuickLatch rung lock for better secure operation and swivel safety shoes to be usee as tread down or in spike position.",,,16' Type IA Fiberglass Extension Ladder,16' Type IA Fiberglass Extension Ladder
600|23175,Fiberglass Step Ladders|Stepladders,FP1506,6' Platform Ladder Type IA,Louisville FP1500 Series,E:\IMAGES\ITEMS\product\F\P\Louisville-FP1500.jpg,Louisville Ladder,A non-conductive fiberglass platform ladder capable of supporting 300 lb.,"A non-conductive fiberglass platform ladder capable of supporting 300 lb. Equipped with DaBoot, SHOX, top rail guard and slip resistant platform",,,6' Platform Ladder Type IA,6' Platform Ladder Type IA
600|23175,Fiberglass Step Ladders|Stepladders,L-3016-04,4' Type IA Fiberglass Step,Louisville L-3016 Series,E:\IMAGES\ITEMS\product\L\3\Louisville-L-3016.jpg,Louisville Ladder,,A non-conductive fiberglass stepladder meant for heavy duty use capable of supporting 300lbs. Equipped with equipped with a molded top with handyman tool slots and aluminum angle slip resistan rubber feet.,,,4' Type IA Fiberglass Step,4' Type IA Fiberglass Step
600|23175,Fiberglass Step Ladders|Stepladders,FS1506,6' Type IA Fiberglass Step,Louisville FS1500 Series,E:\IMAGES\ITEMS\product\F\S\Louisville-FS1500.jpg,Louisville Ladder,6' Type IA Fiberglass Step,"A non-conductive fiberglass stepladder extra-heavy duty capable of supporting 300lbs. Equipped with Da Boot for slip resistant footing, SHOX system and the ProTop, a non-conductive structural molded top with hardware tray, paint can holder, handyman´s tool slots, pipe holder, curved front of top provides leg comfort and convenient magnet to secure small steel parts.",,,6' Type IA Fiberglass Step,6' Type IA Fiberglass Step
600|23175,Fiberglass Step Ladders|Stepladders,FS1508,8' Type IA Fiberglass Step,Louisville FS1500 Series,E:\IMAGES\ITEMS\product\F\S\Louisville-FS1500.jpg,Louisville Ladder,8' Type IA Fiberglass Step,"A non-conductive fiberglass stepladder extra-heavy duty capable of supporting 300lbs. Equipped with Da Boot for slip resistant footing, SHOX system and the ProTop, a non-conductive structural molded top with hardware tray, paint can holder, handyman´s tool slots, pipe holder, curved front of top provides leg comfort and convenient magnet to secure small steel parts.",,,8' Type IA Fiberglass Step,8' Type IA Fiberglass Step
600|23175,Fiberglass Step Ladders|Stepladders,FS1510,10' Type IA Fiberglass Step,Louisville FS1500 Series,E:\IMAGES\ITEMS\product\F\S\Louisville-FS1500.jpg,Louisville Ladder,10' Type IA Fiberglass Step,"A non-conductive fiberglass stepladder extra-heavy duty capable of supporting 300lbs. Equipped with Da Boot for slip resistant footing, SHOX system and the ProTop, a non-conductive structural molded top with hardware tray, paint can holder, handyman´s tool slots, pipe holder, curved front of top provides leg comfort and convenient magnet to secure small steel parts.",,,10' Type IA Fiberglass Step,10' Type IA Fiberglass Step
600|23175,Fiberglass Step Ladders|Stepladders,FS1512,12' Type IA Fiberglass Step,Louisville FS1500 Series,E:\IMAGES\ITEMS\product\F\S\Louisville-FS1500.jpg,Louisville Ladder,12' Type IA Fiberglass Step,"A non-conductive fiberglass stepladder extra-heavy duty capable of supporting 300lbs. Equipped with Da Boot for slip resistant footing, SHOX system and the ProTop, a non-conductive structural molded top with hardware tray, paint can holder, handyman´s tool slots, pipe holder, curved front of top provides leg comfort and convenient magnet to secure small steel parts.",,,12' Type IA Fiberglass Step,12' Type IA Fiberglass Step
600|23175,Fiberglass Step Ladders|Stepladders,FM1508,8' Type IA Fiberglass Double,Louisville FM1500 Series,E:\IMAGES\ITEMS\product\F\M\Louisville-FM1500.jpg,Louisville Ladder,8' Type IA Fiberglass Double,"A non-conductive Fiberglass twin front ladder with an extra-heavy duty rating capable of supporting up to 300lbs. Equipped with Da Boot for slip resistant footing, the SHOX and heavy steel hinges and inside spreader braces.",,,8' Type IA Fiberglass Double,8' Type IA Fiberglass Double
