category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2717|21838,Rulers & Straight Edges|Rules and Straight Edges,1066D,"6"" Engineers Folding Wood Ruler","Red foot figures; regular outside markings in feet and inches. Decimal points on engineer's scale prevent reading errors. Graduated in feet, 1/10ths and 1/100ths of feet.",E:\IMAGES\ITEMS\product\0\6\066D-Lufkin-6-Engineers-Folding-Wood.jpg,Lufkin,"Red foot figures; regular outside markings in feet and inches. Decimal points on engineer's scale prevent reading errors. Graduated in feet, 1/10ths and 1/100ths of feet.",WOOD -W/SCALE Wdth In x Lgth Ft=5/8 x 6,,,"066D Lufkin 6"" Engineers Folding Wood Ruler","6"" Engineers Folding Wood Ruler"
2716|27969,Tape Measure|Tape Measures,HW100,100' Tape Rule,,E:\IMAGES\ITEMS\product\H\W\HW100-Lufkin-100-Tape.jpg,Lufkin,,"Vinyl covered steel case with yellow clad blade .005"" thick blade. Large easy action winding drum with friction washers. Fitted with a folding hook ring. Graduated feet and inches to 1/8ths with instantaneous readings; 16"" centers indicated by a diamond.","Steel Case Size - 3/8"" x 100' Blade Style - B1",,HW100 Lufkin 100' Tape Rule,100' Tape Rule
2716|27969,Tape Measure|Tape Measures,PS3435,"35' x 1"" Pro Tape Rule",Rubber cushion shell protects tape from impact and improves grip while Ny-Clad blade coating extends blade life. Removable belt clip. End hook lasts longer than ordinary end hooks and non-slip toggle lock allows complete control of power tape blade.,E:\IMAGES\ITEMS\product\P\S\PS3435-Lufkin-35-x-1-Pro-Tape.jpg,Lufkin,Rubber cushion shell protects tape from impact and improves grip while Ny-Clad blade coating extends blade life. Removable belt clip. End hook lasts longer than ordinary end hooks and non-slip toggle lock allows complete control of power tape blade.,"Rubber Case Pro Series 3000 Power Return Blade Size: 1"" x 35' Blade Style: A5",,,"PS3435 Lufkin 35' x 1"" Pro Tape Rule","35' x 1"" Pro Tape Rule"
2716|27969,Tape Measure|Tape Measures,HW50,"3/8"" x 50' Yellow Tape",,E:\IMAGES\ITEMS\product\H\W\Lufkin-HW50-38-x-50-Yellow.jpg,Lufkin,,"Professional tradesman's quality Rugged, vinyl-covered steel case Yellow clad tape; 3/8""/10mm wide and .008""/0.2mm thick Large easy action winding drum and friction washers Nylon rollers guide the tape smoothly in and out of case",,,"Lufkin HW50 3/8"" x 50' Yellow Tape","3/8"" x 50' Yellow Tape"
27969,Tape Measures,100L,LUFKIN 100L 3/8X100 TAPE MEASURE LONG UNIVERSAL,,E:\IMAGES\ITEMS\product\1\0\lufkin-100l-lufkin-100l-38x100-tape-measure-long-universal.jpg,Lufkin,"This LUFKIN long tape measure has a high-impact Hi-Viz® orange case that’s easy to locate on the jobsite. The 2-sided end hook allows use with either scale, plus it stores in the contoured mouth of the case for ready access. Model includes a removable belt clip.",The Lufkin Universal tape is great for general purpose long distance measuring. The yellow clad steel blade and the signature Hi-Viz orange case can be easily found on nearly any job site.,High-impact polystyrene case for increased durability Easy-wind nylon drum for quick retraction,3710345100.0,"3/8”W x 100’L, .005” thick Hi-Viz® orange case, yellow clad blade Easy-to-read black and red markings Hook ring is retained neatly in the contoured mouth of the case Removable belt clip B1 blade: 8ths </ul",LUFKIN 100L 3/8X100 TAPE MEASURE LONG UNIVERSAL
21838,Rules and Straight Edges,1066DN,LUFKIN 1066DN 6 ENGINEERS FOLDING WOOD RULE 5/8X6 RED END,,E:\IMAGES\ITEMS\product\1\0\lufkin-1066dn-lufkin-1066dn-6-engineers-folding-wood-rule-58x6-red-end.jpg,Lufkin,"Since 1869, Crescent Lufkin® has stood at the forefront of measuring tools and equipment, with industy-leading quality and innovation. We enable the consumer or professional user with reliable, precise, durable lines of products, including our wooden measuring rules. Since patenting the Lufkin Folding Rule in 1919, we've been manufacturing top-quality tools, like this rule which features brass joints, clear graduation markings, and highly visible red root figures.",,"5/8"" X 6' Red End® Engineer's Scale Wood Rule Graduated in Feet, 1/10Ths and 1/100Ths of Feet Red Foot Figures Regular Outside Markings in Feet, Inches and 1/16Ths Decimal Points on Engineers Scale Prevent Reading Errors Prop 65 compliant",3710326551.0,,LUFKIN 1066DN 6 ENGINEERS FOLDING WOOD RULE 5/8X6 RED END
,,2024CME,LUFKIN 2024CME TAPE 1/2x12 (13MMX4M) SERIES 2000,,/,Lufkin,"Lufkin® Tape Measure, Series: 2000, Measuring System: Imperial/Metric, 13 ft Blade Length, 1/2 in Blade Width, Steel Blade, Graduations: 1/16ths, 1 mm, Black/Red Markings, Automatic Rewind, Toggle Locking, Quad Hook® with 4 Rivets Hook, Closed Case, Chrome Case",,"Case Designed to Fit Perfectly in the Hand Lightweight, High Strength Chrome Finished Case Fits Easily Into Most Tape Holsters Bright Yellow Blade Has Clear Easy-To-Read Numerals Toggle Lock Positioned for Convenient Operation, Holds Blade Securely Cushioned Blade Return Removable Belt Clip All Shelf Pack Power Tapes Are Carded Blade Style: A13",3710310399.0,,LUFKIN 2024CME TAPE 1/2x12 (13MMX4M) SERIES 2000
27969,Tape Measures,50,LUFKIN 50 3/8X50 TAPE MEASURE LONG UNIVERSAL,,E:\IMAGES\ITEMS\product\5\0\lufkin-50-lufkin-50-38x50-tape-measure-long-universal.jpg,Lufkin,The Lufkin Universal Lightweight tape is great for general purpose long distance measuring. The yellow clad steel blade has easy-to-read black and red measurement markings. The signature Hi-Viz orange case can be easily found on nearly any job site.,The Lufkin Universal tape is great for general purpose long distance measuring. The yellow clad steel blade and the signature Hi-Viz orange case can be easily found on nearly any job site.,High-impact polystyrene case for increased durability Easy-wind nylon drum for quick retraction,3710345068.0,"3/8"" x 50' Hi-Viz® Orange Universal Lightweight Yellow Clad Tape Measure Contoured case stores hook ring for protection during storage Clear coat blade protection prolongs blade life Tuck away handle for protection duri",LUFKIN 50 3/8X50 TAPE MEASURE LONG UNIVERSAL
21838,Rules and Straight Edges,636,LUFKIN 636 WOOD RULE BRICK MASON 5/8X6,,E:\IMAGES\ITEMS\product\6\3\lufkin-636-lufkin-636-wood-rule-brick-mason-58x6.jpg,Lufkin,"Ten different brick spacing scales on one side;-Inches, 8ths and 16ths on the other side. Course counter quickly tells you how many courses you have marked off or laid up.",,"Lufkin, 6' Red End Rugged Brick Masons Wood Rule For Spacing Brick Courses. Graduated vertical inches to 1/16ths, both edges Brick Mason's scale on inside, red course counters numbered consecutively Regular outside markings in black Using the LufkinÂ® "" Red End"" 636 Brick Mason's Rule is easy and fast Length 6 ft   Width 5/8 in   Increment @ Scale 1/16 in @ 1 in   No. of Scales 2   Specialty Scales Standard Brick   Material Wood   Finish Lacquer   Measuring System Inch   Type Folding Rule",3710345344.0,,LUFKIN 636 WOOD RULE BRICK MASON 5/8X6
21838,Rules and Straight Edges,646L,LUFKIN 646L FOLDING RULE 6 MODULAR SPACING MASONRY,,E:\IMAGES\ITEMS\product\6\4\lufkin-646l-lufkin-646l-folding-rule-6-modular-spacing-masonry.jpg,Lufkin,"Six different scales on one side;-Inches, 8ths and 16ths on the other. Every joint opens on even numbers. Fine for 6 or 12-Inch glass blocks.",,"All sections have square ends Every joint opens on even number Inside marked with 6 scales in a 16"" module Outside is graduated on both edges to 1/16ths The first end section is a short section Permits butting the rule on the first 16"" module",3710345345.0,,LUFKIN 646L FOLDING RULE 6 MODULAR SPACING MASONRY
