category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1158|24852,Hole Saw Kits - Metal Drill Bits|Hole Saws,AV02E,Electricians Kit,"Electricians Kit 8 piece, 6 AE Hole Saws (MK14,18,22,28,32,40), 2 Arbors (MK05, MK03) Plumbers Kit 8 Piece, 6 AE Hole Saws (MK12,14,18,24,28,36), 2 Arbors (MK05, MK03) General Purpose Kit 11 Piece, 9 AE Hole Saws (MK12,14,18,22,24,",E:\IMAGES\ITEMS\product\A\V\AV02E-The-MK-Morse-Company-Electricians.jpg,MK Morse,"Electricians Kit 8 piece, 6 AE Hole Saws (MK14,18,22,28,32,40), 2 Arbors (MK05, MK03) Plumbers Kit 8 Piece, 6 AE Hole Saws (MK12,14,18,24,28,36), 2 Arbors (MK05, MK03) General Purpose Kit 11 Piece, 9 AE Hole Saws (MK12,14,18,22,24,28,32,36,40), 2 Arbors (MK05, MK03) Master Electricians Kit 14 Piece, 11 AE Hole Saws (MK12,14,18,22,28,32,40,48,58,66,76), 3 Arbors (MK05, MK03, MK04)","More teeth , deeper gullet in the cutting action increases material removal New tooth form maximizes penetration with a positive rake face Engineered with the strongest tooth profile available in the marketplace Increased control in higher torque applications and long wear resistance Impact resistant while maintaining cutting penetration","Steel plate, pipe, angle iron, wood, composite materials, plastic, sprinkler pipe, electrical box",,AV02E The MK Morse Company Electricians Kit,Electricians Kit
1158|24852,Hole Saw Kits - Metal Drill Bits|Hole Saws,AV04P,Plumbers Kit,"Electricians Kit 8 piece, 6 AE Hole Saws (MK14,18,22,28,32,40), 2 Arbors (MK05, MK03) Plumbers Kit 8 Piece, 6 AE Hole Saws (MK12,14,18,24,28,36), 2 Arbors (MK05, MK03) General Purpose Kit 11 Piece, 9 AE Hole Saws (MK12,14,18,22,24,",E:\IMAGES\ITEMS\product\A\V\AV04P-The-MK-Morse-Company-Plumbers.jpg,MK Morse,"Electricians Kit 8 piece, 6 AE Hole Saws (MK14,18,22,28,32,40), 2 Arbors (MK05, MK03) Plumbers Kit 8 Piece, 6 AE Hole Saws (MK12,14,18,24,28,36), 2 Arbors (MK05, MK03) General Purpose Kit 11 Piece, 9 AE Hole Saws (MK12,14,18,22,24,28,32,36,40), 2 Arbors (MK05, MK03) Master Electricians Kit 14 Piece, 11 AE Hole Saws (MK12,14,18,22,28,32,40,48,58,66,76), 3 Arbors (MK05, MK03, MK04)","More teeth , deeper gullet in the cutting action increases material removal New tooth form maximizes penetration with a positive rake face Engineered with the strongest tooth profile available in the marketplace Increased control in higher torque applications and long wear resistance Impact resistant while maintaining cutting penetration","Steel plate, pipe, angle iron, wood, composite materials, plastic, sprinkler pipe, electrical box",,AV04P The MK Morse Company Plumbers Kit,Plumbers Kit
1158|24852,Hole Saw Kits - Metal Drill Bits|Hole Saws,AV08E,Master Electronics Kit,"Electricians Kit 8 piece, 6 AE Hole Saws (MK14,18,22,28,32,40), 2 Arbors (MK05, MK03) Plumbers Kit 8 Piece, 6 AE Hole Saws (MK12,14,18,24,28,36), 2 Arbors (MK05, MK03) General Purpose Kit 11 Piece, 9 AE Hole Saws (MK12,14,18,22,24,",E:\IMAGES\ITEMS\product\A\V\AV08E-The-MK-Morse-Company-Master-Electronics.jpg,MK Morse,"Electricians Kit 8 piece, 6 AE Hole Saws (MK14,18,22,28,32,40), 2 Arbors (MK05, MK03) Plumbers Kit 8 Piece, 6 AE Hole Saws (MK12,14,18,24,28,36), 2 Arbors (MK05, MK03) General Purpose Kit 11 Piece, 9 AE Hole Saws (MK12,14,18,22,24,28,32,36,40), 2 Arbors (MK05, MK03) Master Electricians Kit 14 Piece, 11 AE Hole Saws (MK12,14,18,22,28,32,40,48,58,66,76), 3 Arbors (MK05, MK03, MK04)","More teeth , deeper gullet in the cutting action increases material removal New tooth form maximizes penetration with a positive rake face Engineered with the strongest tooth profile available in the marketplace Increased control in higher torque applications and long wear resistance Impact resistant while maintaining cutting penetration","Steel plate, pipe, angle iron, wood, composite materials, plastic, sprinkler pipe, electrical box",,AV08E The MK Morse Company Master Electronics Kit,Master Electronics Kit
635|21720,Hand Saws|Hand Saws,HHB1218,"12"" 18T Hack Saw Blade","Bi-Metal Hacksaw Blades  Bi-metal hack blades will bend and flex, resisting shattering for safer sawing and longer lasting blades.",E:\IMAGES\ITEMS\product\H\H\HHB1218-The-MK-Morse-Company-Hack-Saw.jpg,MK Morse,"Bi-metal hack blades will bend and flex, resisting shattering for safer sawing and longer lasting blades.","Vacuum heat treating creates harder edge for faster, easier cutting High speed steel cutting edge with 8% cobalt for longer blade life Increased heat and wear resistance for longer life Flexible to prevent shattering during use 12"" X 1/2"" X .025 BI-METAL","Applications Pipe, tubing, solids, wood, plastic or any machinable metal.",,"12"" 18T Hack Saw Blade","12"" 18T Hack Saw Blade"
1157|24852,Hole Saw - Metal Drill Bits|Hole Saws,M24K,"1/4"" Round Arbor for 9/16"" - 1-3/16""","Hole Saw Arbors  Durable, heavy-duty carbon steel arbors come complete with pilot drills. Adapt Morse hole saws to any power drill used by professionals.",E:\IMAGES\ITEMS\product\M\2\M24K-The-MK-Morse-Company-Round.jpg,MK Morse,M24K The MK Morse Company Round Arbor,"Various shank sizes 3/8"" or 1/2"" drills Short pilot drills and arbors require a 3-1/16"" pilot bit Long pilot drills and arbors have a pass through shank Hex arbors with non-slit jaw slots are positive drive SDS arbors are used in tools having SDS chucks, to drive hole saws in rotary hammers or hammer drills","Durable, heavy-duty carbon steel arbors come complete with pilot drills. Adapt Morse hole saws to any power drill used by professionals.",,"1/4"" Round Arbor for 9/16"" - 1-3/16""","1/4"" Round Arbor for 9/16"" - 1-3/16"""
1157|24852,Hole Saw - Metal Drill Bits|Hole Saws,ME1210,"12"" Extension for 7/16"" Shank Arbor","Hole Saw Extensions  12"" (305mm) extensions available for both 7/16"" (10.5mm) and 3/8"" (9.5mm) arbors. Great for reaching through studs or hard to reach areas.",E:\IMAGES\ITEMS\product\M\E\ME121-The-MK-Morse-Company.jpg,MK Morse,Hole Saw Extensions,,"12"" (305mm) extensions available for both 7/16"" (10.5mm) and 3/8"" (9.5mm) arbors. Great for reaching through studs or hard to reach areas.",,"12"" Extension for 7/16"" Shank Arbor","12"" Extension for 7/16"" Shank Arbor"
1157|24852,Hole Saw - Metal Drill Bits|Hole Saws,MPD401,"1/4"" x 4-5/16"" Pilot Drill",Hole Saw Arbor: Pilot Drill  Split-point pilot drills available in a variety of lengths and materials. Pilot drills place a starter hole in the material to help guide the hole saw.,E:\IMAGES\ITEMS\product\M\P\MPD401-The-MK-Morse-Company-Pilot.jpg,MK Morse,Hole Saw Arbor: Pilot Drill,"HSS tipped pilot bits are for bi-metal hole saws Carbide tipped pilot bits are for the carbide grit or carbide tipped hole saws Pilot bits have a 1/4"" shank 3-1/16"" or 3-1/4"" length for short arbors 4"" or longer for pass through shank arbors",Split-point pilot drills available in a variety of lengths and materials. Pilot drills place a starter hole in the material to help guide the hole saw.,,"1/4"" x 4-5/16"" Pilot Drill","1/4"" x 4-5/16"" Pilot Drill"
721|24990,Reciprocal Saw Blades|Reciprocating Saw Blades,RB1218T50,"12"" X 3/4"" X .035, 18TPI","Bi-Metal Recip Blades  Extra-tough, professional quality bi-metal recip blades are available in a wide variety of lengths. Over the years we have developed and refined a special manufacturing process designed to lengthen blade life and g",E:\IMAGES\ITEMS\product\R\B\RB1218T50-The-MK-Morse-Company-Recip.jpg,MK Morse,Bi-Metal Recip Blades,"Fits all popular reciprocating saw machines 8% Cobalt edge offers more wear resistance Matrix ll cutting edge has shock resistance teeth that resist strippage Available in a wide variety of lengths and thicknesses  Applications  Machinable metal, wood, nail-embedded wood, composites, rubber, plastic, plaster, and other common building materials.","Extra-tough, professional quality bi-metal recip blades are available in a wide variety of lengths. Over the years we have developed and refined a special manufacturing process designed to lengthen blade life and guarantee quality.",,"12"" X 3/4"" X .035, 18TPI","12"" X 3/4"" X .035, 18TPI"
720|24964,Circular Saw Blades|Circular Saw Blades,CSM1080AC,"10"" 80TPI Blade for Aluminum, 5/8"" Arbor","Metal Devil® metal cutting circular saw blades are designed with different configurations for steel, stainless, aluminum, thin steel, and even steel studs. Important differences between blade configuration allow for specialty applications - number of teet",E:\IMAGES\ITEMS\product\M\e\Metal-Devil-Metal-Cutting-Circular-Saw.jpg,MK Morse,,"Features & Benefits  Very little friction created while cutting due to the unique metallurgy of the blades, transfering heat away from the work-piece so it can be immediately handled Hardly any vibration. Feels like cutting through wood rather than steel Blades range from 5-3/8"" to 14"" (137-356mm) in diameter Blades reach their full potential when used on special metal cutting circular saws Designed to cut angle iron, c-channel, steel plate, thin steel, trusses, rebar, joists, conduit, grading, and aluminum Tungsten carbide tipped blade for longer blade life","Metal Devil® metal cutting circular saw blades are designed with different configurations for steel, stainless, aluminum, thin steel, and even steel studs. Important differences between blade configuration allow for specialty applications - number of teeth on the blade, carbide grade and the shape of the teeth. (1) per card",,"10"" 80TPI Blade for Aluminum, 5/8"" Arbor","10"" 80TPI Blade for Aluminum, 5/8"" Arbor"
1157|24852,Hole Saw - Metal Drill Bits|Hole Saws,AV14,"7/8"" MK Morse Hole Saw",,E:\IMAGES\ITEMS\product\M\K\Hole.jpg,MK Morse,"7/8"" MK Morse Hole Saw","More teeth , deeper gullet in the cutting action increases material removal New tooth form maximizes penetration with a positive rake face Engineered with the strongest tooth profile available in the marketplace Increased control in higher torque applications and long wear resistance Impact resistant while maintaining cutting penetration","Advanced Edge Bi-Metal Hole Saw Durability, quality and reliabilty combine to provide the hardest working hole saw in the industry. PTP technology increases material removal and provides more control of the cutting process.",,"7/8"" MK Morse Hole Saw","7/8"" MK Morse Hole Saw"
1157|24852,Hole Saw - Metal Drill Bits|Hole Saws,AV22,"1-3/8"" MK Morse Hole Saw",,E:\IMAGES\ITEMS\product\M\K\Hole.jpg,MK Morse,"1-3/8"" MK Morse Hole Saw","More teeth , deeper gullet in the cutting action increases material removal New tooth form maximizes penetration with a positive rake face Engineered with the strongest tooth profile available in the marketplace Increased control in higher torque applications and long wear resistance Impact resistant while maintaining cutting penetration","Advanced Edge Bi-Metal Hole Saw Durability, quality and reliabilty combine to provide the hardest working hole saw in the industry. PTP technology increases material removal and provides more control of the cutting process.",,"1-3/8"" MK Morse Hole Saw","1-3/8"" MK Morse Hole Saw"
1157|24852,Hole Saw - Metal Drill Bits|Hole Saws,AV28,"1-3/4"" MK Morse Hole Saw",,E:\IMAGES\ITEMS\product\M\K\Hole.jpg,MK Morse,"1-3/4"" MK Morse Hole Saw","More teeth , deeper gullet in the cutting action increases material removal New tooth form maximizes penetration with a positive rake face Engineered with the strongest tooth profile available in the marketplace Increased control in higher torque applications and long wear resistance Impact resistant while maintaining cutting penetration","Advanced Edge Bi-Metal Hole Saw Durability, quality and reliabilty combine to provide the hardest working hole saw in the industry. PTP technology increases material removal and provides more control of the cutting process.",,"1-3/4"" MK Morse Hole Saw","1-3/4"" MK Morse Hole Saw"
1157|24852,Hole Saw - Metal Drill Bits|Hole Saws,AV32,"2"" MK Morse Hole Saw",,E:\IMAGES\ITEMS\product\M\K\Hole.jpg,MK Morse,"2"" MK Morse Hole Saw","More teeth , deeper gullet in the cutting action increases material removal New tooth form maximizes penetration with a positive rake face Engineered with the strongest tooth profile available in the marketplace Increased control in higher torque applications and long wear resistance Impact resistant while maintaining cutting penetration","Advanced Edge Bi-Metal Hole Saw Durability, quality and reliabilty combine to provide the hardest working hole saw in the industry. PTP technology increases material removal and provides more control of the cutting process.",,"2"" MK Morse Hole Saw","2"" MK Morse Hole Saw"
1157|24852,Hole Saw - Metal Drill Bits|Hole Saws,AV34,"2-1/8"" MK Morse Hole Saw",,E:\IMAGES\ITEMS\product\M\K\Hole.jpg,MK Morse,"2-1/8"" MK Morse Hole Saw","More teeth , deeper gullet in the cutting action increases material removal New tooth form maximizes penetration with a positive rake face Engineered with the strongest tooth profile available in the marketplace Increased control in higher torque applications and long wear resistance Impact resistant while maintaining cutting penetration","Advanced Edge Bi-Metal Hole Saw Durability, quality and reliabilty combine to provide the hardest working hole saw in the industry. PTP technology increases material removal and provides more control of the cutting process.",,"2-1/8"" MK Morse Hole Saw","2-1/8"" MK Morse Hole Saw"
1157|24852,Hole Saw - Metal Drill Bits|Hole Saws,AV44,"2-3/4"" MK Morse Hole Saw",,E:\IMAGES\ITEMS\product\M\K\Hole.jpg,MK Morse,"2-3/4"" MK Morse Hole Saw","More teeth , deeper gullet in the cutting action increases material removal New tooth form maximizes penetration with a positive rake face Engineered with the strongest tooth profile available in the marketplace Increased control in higher torque applications and long wear resistance Impact resistant while maintaining cutting penetration","Advanced Edge Bi-Metal Hole Saw Durability, quality and reliabilty combine to provide the hardest working hole saw in the industry. PTP technology increases material removal and provides more control of the cutting process.",,"2-3/4"" MK Morse Hole Saw","2-3/4"" MK Morse Hole Saw"
