category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
26141,High Visibility & Cooling Vests,1513ML,Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime,,E:\IMAGES\ITEMS\product\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ML Kishigo,,"Performance Features: Sizes: M-5X Ultra-Cool polyester mesh Zipper front closure with durable webbing reinforcement 2"" wide silver reflective materials with 3"" breathable contrasting color Reflective trim around arms and piping down sides for added low light visibility  Black sides provides contrast and adds a sporty look Pockets: Two lower outside cargo pockets with adjustable flaps and grommets  Right chest 2-tier pencil pocket Left chest heavy duty gusseted radio/utility pocketwith reflective piping  Two inside patch pockets",,,"Medium, Lime",Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime
26141,High Visibility & Cooling Vests,1513LL,Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime,,E:\IMAGES\ITEMS\product\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ML Kishigo,ML Kishigo Mfg. Co. 1513LL Class 2 Black Series Heavy Duty Vest-Lime,"Performance Features: Sizes: M-5X Ultra-Cool polyester mesh Zipper front closure with durable webbing reinforcement 2"" wide silver reflective materials with 3"" breathable contrasting color Reflective trim around arms and piping down sides for added low light visibility  Black sides provides contrast and adds a sporty look Pockets: Two lower outside cargo pockets with adjustable flaps and grommets  Right chest 2-tier pencil pocket Left chest heavy duty gusseted radio/utility pocketwith reflective piping  Two inside patch pockets",,,"Large, Lime",Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime
26141,High Visibility & Cooling Vests,1513XLL,Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime,,E:\IMAGES\ITEMS\product\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ML Kishigo,ML Kishigo Mfg. Co. 1513XLL Class 2 Black Series Heavy Duty Vest-Lime,"Performance Features: Sizes: M-5X Ultra-Cool polyester mesh Zipper front closure with durable webbing reinforcement 2"" wide silver reflective materials with 3"" breathable contrasting color Reflective trim around arms and piping down sides for added low light visibility  Black sides provides contrast and adds a sporty look Pockets: Two lower outside cargo pockets with adjustable flaps and grommets  Right chest 2-tier pencil pocket Left chest heavy duty gusseted radio/utility pocketwith reflective piping  Two inside patch pockets",,,"X Large, Lime",Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime
26141,High Visibility & Cooling Vests,15132XLL,Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime,,E:\IMAGES\ITEMS\product\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ML Kishigo,ML Kishigo Mfg. Co. 15132XLL Class 2 Black Series Heavy Duty Vest-Lime,"Performance Features: Sizes: M-5X Ultra-Cool polyester mesh Zipper front closure with durable webbing reinforcement 2"" wide silver reflective materials with 3"" breathable contrasting color Reflective trim around arms and piping down sides for added low light visibility  Black sides provides contrast and adds a sporty look Pockets: Two lower outside cargo pockets with adjustable flaps and grommets  Right chest 2-tier pencil pocket Left chest heavy duty gusseted radio/utility pocketwith reflective piping  Two inside patch pockets",,,"2X Large, Lime",Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime
26141,High Visibility & Cooling Vests,15133XLL,Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime,,E:\IMAGES\ITEMS\product\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ML Kishigo,ML Kishigo Mfg. Co. 15133XLL Class 2 Black Series Heavy Duty Vest-Lime,"Performance Features: Sizes: M-5X Ultra-Cool polyester mesh Zipper front closure with durable webbing reinforcement 2"" wide silver reflective materials with 3"" breathable contrasting color Reflective trim around arms and piping down sides for added low light visibility  Black sides provides contrast and adds a sporty look Pockets: Two lower outside cargo pockets with adjustable flaps and grommets  Right chest 2-tier pencil pocket Left chest heavy duty gusseted radio/utility pocketwith reflective piping  Two inside patch pockets",,,"3X Large, Lime",Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime
26141,High Visibility & Cooling Vests,15134XLL,Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime,,E:\IMAGES\ITEMS\product\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ML Kishigo,ML Kishigo Mfg. Co. 15134XLL Class 2 Black Series Heavy Duty Vest-Lime,"Performance Features: Sizes: M-5X Ultra-Cool polyester mesh Zipper front closure with durable webbing reinforcement 2"" wide silver reflective materials with 3"" breathable contrasting color Reflective trim around arms and piping down sides for added low light visibility  Black sides provides contrast and adds a sporty look Pockets: Two lower outside cargo pockets with adjustable flaps and grommets  Right chest 2-tier pencil pocket Left chest heavy duty gusseted radio/utility pocketwith reflective piping  Two inside patch pockets",,,"4X Large, Lime",Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime
26141,High Visibility & Cooling Vests,15135XLL,Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime,,E:\IMAGES\ITEMS\product\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ML Kishigo,ML Kishigo Mfg. Co. 15135XLL Class 2 Black Series Heavy Duty Vest-Lime,"Performance Features: Sizes: M-5X Ultra-Cool polyester mesh Zipper front closure with durable webbing reinforcement 2"" wide silver reflective materials with 3"" breathable contrasting color Reflective trim around arms and piping down sides for added low light visibility  Black sides provides contrast and adds a sporty look Pockets: Two lower outside cargo pockets with adjustable flaps and grommets  Right chest 2-tier pencil pocket Left chest heavy duty gusseted radio/utility pocketwith reflective piping  Two inside patch pockets",,,"5X Large, Lime",Mfg. Co. Class 2 Black Series Heavy Duty Vest-Lime
26141,High Visibility & Cooling Vests,1514OM,Class 2 Black Series Heavy Duty Vest-Orange,,E:\IMAGES\ITEMS\product\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ML Kishigo,Ml Kishigo Mfg. Co. 1514OM Class 2 Black Series Heavy Duty Vest-Orange,"Performance Features: Sizes: M-5X Ultra-Cool polyester mesh Zipper front closure with durable webbing reinforcement 2"" wide silver reflective materials with 3"" breathable contrasting color Reflective trim around arms and piping down sides for added low light visibility  Black sides provides contrast and adds a sporty look Pockets: Two lower outside cargo pockets with adjustable flaps and grommets  Right chest 2-tier pencil pocket Left chest heavy duty gusseted radio/utility pocketwith reflective piping  Two inside patch pockets",,,"Medium, Orange",Class 2 Black Series Heavy Duty Vest-Orange
26141,High Visibility & Cooling Vests,1514OL,Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange,,E:\IMAGES\ITEMS\product\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ML Kishigo,ML Kishigo Mfg. Co. 1514OL Class 2 Black Series Heavy Duty Vest-Orange,"Performance Features: Sizes: M-5X Ultra-Cool polyester mesh Zipper front closure with durable webbing reinforcement 2"" wide silver reflective materials with 3"" breathable contrasting color Reflective trim around arms and piping down sides for added low light visibility  Black sides provides contrast and adds a sporty look Pockets: Two lower outside cargo pockets with adjustable flaps and grommets  Right chest 2-tier pencil pocket Left chest heavy duty gusseted radio/utility pocketwith reflective piping  Two inside patch pockets",,,"Large, Orange",Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange
26141,High Visibility & Cooling Vests,1514OXL,Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange,,E:\IMAGES\ITEMS\product\1\5\ML-Kishigo-Mfg-Co-1513ML-Class-2-Black-Series-Heavy-Duty.png,ML Kishigo,ML Kishigo Mfg. Co. 1514OXL Class 2 Black Series Heavy Duty Vest-Orange,"Performance Features: Sizes: M-5X Ultra-Cool polyester mesh Zipper front closure with durable webbing reinforcement 2"" wide silver reflective materials with 3"" breathable contrasting color Reflective trim around arms and piping down sides for added low light visibility  Black sides provides contrast and adds a sporty look Pockets: Two lower outside cargo pockets with adjustable flaps and grommets  Right chest 2-tier pencil pocket Left chest heavy duty gusseted radio/utility pocketwith reflective piping  Two inside patch pockets",,,"X Large, Orange",Mfg. Co. Class 2 Black Series Heavy Duty Vest-Orange
