category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
159|25842,Hard Hats|Hard Hats,473334,"Suspension Only, For Skull Guard, Ratchet Suspension Only",Fas-Trac Replacement Suspension,E:\IMAGES\ITEMS\product\4\7\MSA-Safety-Works-473334-Suspension-Only-For-Skull-Guard.jpg,MSA Safety Works,Fas-Trac Replacement Suspension,The MSA 473334 Fas-Trac Replacement Suspension uses a ratchet knob to adjust fit for MSA Skullgard Caps and Hats. This ratchet suspension is standard size and will adjust to fit heads 6 1/2 to 8 inches in diameter. This Fas-Trac suspension can even be adjusted while being worn.,Application: Protective caps and Hats Color: Gray Material: Nylon Type: Replacement suspension system UPC: 641817003398,,"MSA Safety Works 473334 Suspension Only, For Skull Guard, Ratchet Suspension Only","Suspension Only, For Skull Guard, Ratchet Suspension Only"
159|25842,Hard Hats|Hard Hats,475358,White V-Guard Cap Ratchet Liner,"Cap, Hard, White",E:\IMAGES\ITEMS\product\4\7\MSA-Safety-Works-475358-White-V-Guard-Cap-Ratchet.jpg,MSA Safety Works,"Cap, Hard, White","V-Gard, V-Gard 500, and SmoothDome Caps and Hats Tough, lightweight polyethylene shell. Slotted caps permit easy attachment of accessories such as hearing protection. Nonslotted hats with full brim offer extra coverage at sides and back of neck. Vented caps provide improved air circulation. Type I (top impact) Hard Cap, Slotted, Color White, Ratchet Suspension, Polyethylene Shell/Suspension, Size 6 1/2 to 8 Inch, Replacement Suspension 4LN52, Standards ANSI Z89.1-2003 Class E and G","Application: General Purpose Head protection Contents: Suspension System, Strap, Sweatband Style: Slotted Type: Hard Hat",,MSA Safety Works 475358 White V-Guard Cap Ratchet Liner,White V-Guard Cap Ratchet Liner
159|25842,Hard Hats|Hard Hats,475395,Tan Cap Fas-Trac Suspension,Skullguard Tan Hard Cap Fas-Trac Suspension,E:\IMAGES\ITEMS\product\4\7\MSA-Safety-Works-475395-MSA-Tan-Cap-Fas-Trac.jpg,MSA Safety Works,Skullguard Tan Hard Cap Fas-Trac Suspension,"Agriculture,Asbestos Abatement,Chemical,Construction,Electric Utility,Hazardous Materials,Mining,Nuclear,Oil & Gas,Paper & Pulp,Sand Blasting,Sanding & Grinding,Water/Wastewater,Welding. Features heavy-duty construction for use as head protection in steel mills and other heavy industries where elevated temperatures are common.",Style: Hard Cap Suspension: Fas-Trac Ratchet Color: Natural Tan,,MSA Safety Works 475395 MSA Tan Cap Fas-Trac Suspension,Tan Cap Fas-Trac Suspension
159|25842,Hard Hats|Hard Hats,475396,White Cap Fas-Trac Suspension,MSA: Skullguard White Cap w/ Fas-Trac Suspension,E:\IMAGES\ITEMS\product\4\7\MSA-Safety-Works-475396-MSA-White-Cap-Fas-Trac.jpg,MSA Safety Works,MSA: Skullguard White Cap w/ Fas-Trac Suspension,Skullgard® Caps and Hats feature heavy-duty construction for use as head protection in steel mills and other heavy industries where elevated temperatures are common.,,,MSA Safety Works 475396 MSA White Cap Fas-Trac Suspension,White Cap Fas-Trac Suspension
159|25842,Hard Hats|Hard Hats,475407,Tan Hat With Fas-Trac Suspension,Tan Skullguard Hard Hat,E:\IMAGES\ITEMS\product\4\7\MSA-Safety-Works-475407-MSA-Tan-Hat-With-Fas-Trac.jpg,MSA Safety Works,Tan Skullguard Hard Hat,"This MSA Skullgard Protective Hard Hat features Fas-Trac ratcheting suspension, a knob-adjustable system that can be adjusted and fitted to your head, while the hat is being worn. Meets all applicable requirements for a Type I (top impact) helmet as outlined in ANSI/ISEA Z89.1-2009 (Class G) and the ANSI/ISEA Z89.1-2009 voluntary standard for low temperature [LT].",Application: General purpose head protection Color: Tan Contents: Suspension System Style: Non-Slotted Type: Hard Hat UPC: 641817003381,,MSA Safety Works 475407 MSA Tan Hat With Fas-Trac Suspension,Tan Hat With Fas-Trac Suspension
159|25842,Hard Hats|Hard Hats,475408,White Hat w/ Fas-Trac Suspension,"Hard Hat, White",E:\IMAGES\ITEMS\product\4\7\MSA-Safety-Works-475408-MSA-White-Hat-w-Fas-Trac.jpg,MSA Safety Works,"Hard Hat, White","Skullgard Protective Caps and Hats Layers of pressure-laminated, resin-impregnated textiles offer protection where metal splash and high temperatures are common. Type I (top impact) Hard Hat, Color White, Ratchet Suspension, Size Standard 6 1/2 to 8 Inch, Resin Impregnated Textile, Replacement Suspension 4LN54, For Steel Mills and Other Heavy Industries, Standards ANSI Z89.1-2003 Class G","Color: White Headband Size: 6-1/2"" to 8"" Material: Laminated Resin-Impregnated Textiles Style: Full-Brim",,MSA Safety Works 475408 MSA White Hat w/ Fas-Trac Suspension,White Hat w/ Fas-Trac Suspension
1812|25775,Electrical Accessories|Automated Gas Detector Test Systems,10107602,4X MultiGas Detector - ALTAIR,,E:\IMAGES\ITEMS\product\1\0\msa-safety-works-10107602-4x-multigas-detector-altair.jpg,MSA Safety Works,4X MultiGas Detector - ALTAIR,"Dependable multigas detector tests for LEL, oxygen, carbon monoxide, hydrogen sulfide, sulfur dioxide and nitrogen dioxide Economical construction saves users more than 50% on calibration gas, replacement sensors and maintenance Four-year sensor life means detector lasts 60% longer than the industry average Unit uses 50% less calibration gas per minute than the average detectors within the industry Two-tox CO/H2S sensor removes practically all cross-channel interference Large buttons and high-contrast screen make operation easy in low-light conditions Ribbed rubber housing provides secure grip and high durability Unit features 95+ db alarm and ultra-bright LEDs Exclusive end-of-sensor warning cautions user when unit's sensor needs to be changed MotionAlert option tells others that user has become immobile InstantAlert provides manual alarm to alert others of a dangerous situation","The ALTAIR 4X is an extremely durable Multigas Detector that simultaneously measures up to four gases from a wide range of XCell(R) sensor options including combustible gases, O2, CO, H2S, SO2 and NO2. The ALTAIR 4X Detector surpasses industry standards in several crucial areas. Its four-year sensor life is 60% longer than the industry average, while its 24-hour run time exceeds the industry average by 71%. This versatile portable detector is a perfect match for industries ranging from fire fighting to welding, and its digital sensor output makes it less likely to suffer from RF interference. The unit features exclusive MotionAlert™, which lets others know if the user has become immobile, and InstantAlert™, a manual alarm that alerts others of potentially dangerous situations. This rugged unit is designed to withstand a drop of up to 20 ft (6m) and uses less than half as much calibration gas as the industry average.",,,4X MultiGas Detector - ALTAIR
25842,Hard Hats,818386,Standard V-Gard Hard Capw,,E:\IMAGES\ITEMS\product\8\1\msa-safety-works-818386-standard-v-gard-hard-capw.jpg,MSA Safety Works,,,,,Baltimore Ravens Logo,Standard V-Gard Hard Capw
25842,Hard Hats,818392,Standard V-Gard Hard Capw,,E:\IMAGES\ITEMS\product\8\1\msa-safety-works-818392-standard-v-gard-hard-capw.jpg,MSA Safety Works,,,,,Dallas Cowboys Logo,Standard V-Gard Hard Capw
25842,Hard Hats,818407,NFL Hard Hat,,E:\IMAGES\ITEMS\product\8\1\msa-safety-works-818407-nfl-hard-hat.jpg,MSA Safety Works,,,,,Pittsburgh Steelers,NFL Hard Hat
25842,Hard Hats,818414,NFL Hard Hat,,E:\IMAGES\ITEMS\product\8\1\msa-safety-works-818414-nfl-hard-hat.jpg,MSA Safety Works,,,,,Washington Redskins,NFL Hard Hat
25842,Hard Hats,818064,"Ratchet Hard Hat, White",,E:\IMAGES\ITEMS\product\8\1\msa-safety-works-818064-ratchet-hard-hat-white.jpg,MSA Safety Works,,,,,,"Ratchet Hard Hat, White"
25635,Safety Glasses,10098031,HI VIZ ORANGE FABRIC SUNSHADE W/ REFLECTIVE STRIPING 641817020876,,E:\IMAGES\ITEMS\product\1\0\msa-safety-works-10098031-hi-viz-orange-fabric-sunshade-w-reflective-striping-641817020876.jpg,MSA Safety Works,,"Breathable, high-visibility mesh fabricChoice of high-visibility yellow-lime or orange colorsHat clips help to keep sunshade from falling or rotatingPoint-of-sale packaging and scannable upc-a barcode","MSA Hi-Viz Orange Sunshade features breathable, high-visibility polyester mesh fabric and is ideal for use with hardhat or caps. Sun shield with reflective stripe on orange band finds applications in construction, tree trimming and roadwork. It has flexible elastic strap that lets the sun shade accessory to fit most MSA hats or caps as well as competitors hardhats. Sun shield includes clips for safety and workers can be cool as well as comfortable on the job even in sun or heat.",,,HI VIZ ORANGE FABRIC SUNSHADE W/ REFLECTIVE STRIPING 641817020876
25635,Safety Glasses,457-697515,ARCTIC GRAY GLASSES,,E:\IMAGES\ITEMS\product\4\5\msa-safety-works-457-697515-arctic-gray-glasses.jpg,MSA Safety Works,,,,,,ARCTIC GRAY GLASSES
25657,Horizontal and Vertical Lifelines,10044229,APTURA SRL W/12' LIFELINE HL2000 SNAP LIFELINE,,E:\IMAGES\ITEMS\product\1\0\msa-safety-works-10044229-aptura-srl-w12-lifeline-hl2000-snap-lifeline.jpg,MSA Safety Works,,,"MSA has set a new standard in the mechanical fall protection market with the Aptura LT12 Self-Retracting Lanyard (SRL). Never before has the market seen such a state-of-the-art device with so many standard features. With its solid design and fast-acting brake mechanism, you can be confident that the Aptura will be there for you when you need it most. Features include: A lightweight design starting at 2.4 pounds, a standard lifeline length of 12', 400 pound working capacity, a field-replaceable lifeline option (the first SRL on the market to offer this feature), a constant lock-up rate to prevent the erratic, ?jerky? lock-up (like a seat belt) found on some types of personal fall limiters, no annual factory recertification required, an integral load indicator, a durable, engineered thermoplastic housing to increase service life, an SRL connector with integral swivel, and rugged, impact-absorbing protective bumpers for added durability. Meets ANSI A10.14, ANSI Z359.1 and OSHA standards, and is CSA certified.",,,APTURA SRL W/12' LIFELINE HL2000 SNAP LIFELINE
25724,First Aid Kits,697383,"TOWELETTES, CTN OF 100",,E:\IMAGES\ITEMS\product\6\9\msa-safety-works-697383-towelettes-ctn-of-100.jpg,MSA Safety Works,,"Properties:100 per box7.25"" x 5"" Individually Wrapped TowelettesProvides an excellent method for wiping and refreshing respirators, hard hats, and other safety equipment between full cleaning periods",,,,"TOWELETTES, CTN OF 100"
25842,Hard Hats,10087220,REPLACEMENT RATCHET SYSTEM 454-10087220,,E:\IMAGES\ITEMS\product\1\0\msa-safety-works-10087220-replacement-ratchet-system-454-10087220.jpg,MSA Safety Works,,"Comfortable, four-point webbed suspension.Large, ergonomic adjustment knob.Two-point nylon crown straps.Perforated vinyl sweatband.","Four-point webbed-design ratchet suspension provides premium protection and all-day wearing comfort. Large, ergonomic adjustment knob simplifies getting the perfect fit. Two-point nylon crown straps ensure proper protective performance. Perforated vinyl sweatband keeps perspiration out of the wearer's eyes. Safety Headgear Accessory Type: Suspension System; For Use With: MSA V-Gard® Helmets and Caps; Style: 4-Point Fas-Trac® Ratchet; Material(s): Nylon/Vinyl.",,,REPLACEMENT RATCHET SYSTEM 454-10087220
25842,Hard Hats,473332,REPLACEMENT WEBBING FOR SKULGAURD HARD HAT,,E:\IMAGES\ITEMS\product\4\7\msa-safety-works-473332-replacement-webbing-for-skulgaurd-hard-hat.jpg,MSA Safety Works,,,,,,REPLACEMENT WEBBING FOR SKULGAURD HARD HAT
25964,Nuisance Dust and Procedural Masks,10019587,FOLDABLE RESPIRATOR N95 [BX OF 20EA],,E:\IMAGES\ITEMS\product\1\0\msa-safety-works-10019587-foldable-respirator-n95-bx-of-20ea.jpg,MSA Safety Works,,,,,,FOLDABLE RESPIRATOR N95 [BX OF 20EA]
25964,Nuisance Dust and Procedural Masks,10019588,FOLDABLE RESPIRATOR W/VALVE N95 [BOX OF 10 EA],,E:\IMAGES\ITEMS\product\1\0\msa-safety-works-10019588-foldable-respirator-wvalve-n95-box-of-10-ea.jpg,MSA Safety Works,,,,,,FOLDABLE RESPIRATOR W/VALVE N95 [BOX OF 10 EA]
25952,Cartridges and Filters,815359,"CARTRIDGES, ADV 200, GME [PAIR]",,E:\IMAGES\ITEMS\product\8\1\msa-safety-works-815359-cartridges-adv-200-gme-pair.jpg,MSA Safety Works,,Respirator cartridges feature bayonet-style design for quick mountingCartridges lock into place with one twistComplete range compatible with all MSA Advantage facepieces,"Crafted for easy installation and strong protection, Advantage Respirator Cartridges use a bayonet-style design for easy mounting. With low-lug height and lead-in connectors, the cartridges lock into place with only a single twist.",,,"CARTRIDGES, ADV 200, GME [PAIR]"
