category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1136|24865,Auger - Wood Drill Bits|Wood Drilling Bits,303DLX.0616QC,MAG 303DLX The Nailbomber,"303 DLX HEAVY DUTY SHIP HEAD AUGERS 18"" OAL x 15"" Twist Length",E:\IMAGES\ITEMS\product\3\0\MAG-303DLX-The.jpg,Mag-Bit,"303 DLX HEAVY DUTY SHIP HEAD AUGERS 18"" OAL x 15"" Twist Length","Molybdenum coated for cooler running Cuts nails Manufactured from higher grade steel Glides through wood with less binding, bores faster Ejects chips faster Stays sharper longer No run out, machined on a true center","Molybdenum Coated: Molybdenum cools and lubricates the bit. The bit stays sharper longer because the heat treatment lasts longer. The bit ejects chips and bores faster than ordinary bits and binds less, even in wet or resinous woods. Deeper Lands: For a stronger less flexible bit. Countershark: Bits 5/8” and larger in diameter will accept the Mag-Bit counter bore tools, available in 1-1/2”, 2-1/4” and 3-1/4” diameters. Extensions: Quick Change Shank",,"Size: 3/8"", MM: 10, Shank Size: 5/16""",MAG 303DLX The Nailbomber
1136|24865,Auger - Wood Drill Bits|Wood Drilling Bits,303DLX.0716QC,MAG 303DLX The Nailbomber,"303 DLX HEAVY DUTY SHIP HEAD AUGERS 18"" OAL x 15"" Twist Length",E:\IMAGES\ITEMS\product\3\0\MAG-303DLX-The.jpg,Mag-Bit,MAG 303DLX The Nailbomber,"Molybdenum coated for cooler running Cuts nails Manufactured from higher grade steel Glides through wood with less binding, bores faster Ejects chips faster Stays sharper longer No run out, machined on a true center","Molybdenum Coated: Molybdenum cools and lubricates the bit. The bit stays sharper longer because the heat treatment lasts longer. The bit ejects chips and bores faster than ordinary bits and binds less, even in wet or resinous woods. Deeper Lands: For a stronger less flexible bit. Countershark: Bits 5/8” and larger in diameter will accept the Mag-Bit counter bore tools, available in 1-1/2”, 2-1/4” and 3-1/4” diameters. Extensions: Quick Change Shank",,"Size: 7/16"", MM: 11, Shank Size: 5/16""",MAG 303DLX The Nailbomber
1136|24865,Auger - Wood Drill Bits|Wood Drilling Bits,303DLX.0816QC,MAG 303DLX The Nailbomber,"303 DLX HEAVY DUTY SHIP HEAD AUGERS 18"" OAL x 15"" Twist Length",E:\IMAGES\ITEMS\product\3\0\MAG-303DLX-The.jpg,Mag-Bit,MAG 303DLX The Nailbomber,"Molybdenum coated for cooler running Cuts nails Manufactured from higher grade steel Glides through wood with less binding, bores faster Ejects chips faster Stays sharper longer No run out, machined on a true center","Molybdenum Coated: Molybdenum cools and lubricates the bit. The bit stays sharper longer because the heat treatment lasts longer. The bit ejects chips and bores faster than ordinary bits and binds less, even in wet or resinous woods. Deeper Lands: For a stronger less flexible bit. Countershark: Bits 5/8” and larger in diameter will accept the Mag-Bit counter bore tools, available in 1-1/2”, 2-1/4” and 3-1/4” diameters. Extensions: Quick Change Shank",,"Size: 1/2"", MM: 13, Shank Size: 5/16""",MAG 303DLX The Nailbomber
1136|24865,Auger - Wood Drill Bits|Wood Drilling Bits,303DLX.0916QC,MAG 303DLX The Nailbomber,"303 DLX HEAVY DUTY SHIP HEAD AUGERS 18"" OAL x 15"" Twist Length",E:\IMAGES\ITEMS\product\3\0\MAG-303DLX-The.jpg,Mag-Bit,MAG 303DLX The Nailbomber,"Molybdenum coated for cooler running Cuts nails Manufactured from higher grade steel Glides through wood with less binding, bores faster Ejects chips faster Stays sharper longer No run out, machined on a true center","Molybdenum Coated: Molybdenum cools and lubricates the bit. The bit stays sharper longer because the heat treatment lasts longer. The bit ejects chips and bores faster than ordinary bits and binds less, even in wet or resinous woods. Deeper Lands: For a stronger less flexible bit. Countershark: Bits 5/8” and larger in diameter will accept the Mag-Bit counter bore tools, available in 1-1/2”, 2-1/4” and 3-1/4” diameters. Extensions: Quick Change Shank",,"Size: 9/16"", MM: 14, Shank Size: 5/16""",MAG 303DLX The Nailbomber
1136|24865,Auger - Wood Drill Bits|Wood Drilling Bits,303DLX.1016QC,MAG 303DLX The Nailbomber,"303 DLX HEAVY DUTY SHIP HEAD AUGERS 18"" OAL x 15"" Twist Length",E:\IMAGES\ITEMS\product\3\0\MAG-303DLX-The.jpg,Mag-Bit,MAG 303DLX The Nailbomber,"Molybdenum coated for cooler running Cuts nails Manufactured from higher grade steel Glides through wood with less binding, bores faster Ejects chips faster Stays sharper longer No run out, machined on a true center","Molybdenum Coated: Molybdenum cools and lubricates the bit. The bit stays sharper longer because the heat treatment lasts longer. The bit ejects chips and bores faster than ordinary bits and binds less, even in wet or resinous woods. Deeper Lands: For a stronger less flexible bit. Countershark: Bits 5/8” and larger in diameter will accept the Mag-Bit counter bore tools, available in 1-1/2”, 2-1/4” and 3-1/4” diameters. Extensions: Quick Change Shank",,"Size: 5/8"", MM: 16, Shank Size: 7/16""",MAG 303DLX The Nailbomber
1136|24865,Auger - Wood Drill Bits|Wood Drilling Bits,303DLX.1116QC,MAG 303DLX The Nailbomber,"303 DLX HEAVY DUTY SHIP HEAD AUGERS 18"" OAL x 15"" Twist Length",E:\IMAGES\ITEMS\product\3\0\MAG-303DLX-The.jpg,Mag-Bit,MAG 303DLX The Nailbomber,"Molybdenum coated for cooler running Cuts nails Manufactured from higher grade steel Glides through wood with less binding, bores faster Ejects chips faster Stays sharper longer No run out, machined on a true center","Molybdenum Coated: Molybdenum cools and lubricates the bit. The bit stays sharper longer because the heat treatment lasts longer. The bit ejects chips and bores faster than ordinary bits and binds less, even in wet or resinous woods. Deeper Lands: For a stronger less flexible bit. Countershark: Bits 5/8” and larger in diameter will accept the Mag-Bit counter bore tools, available in 1-1/2”, 2-1/4” and 3-1/4” diameters. Extensions: Quick Change Shank",,"Size: 11/16"", MM: 17, Shank Size: 7/16""",MAG 303DLX The Nailbomber
1136|24865,Auger - Wood Drill Bits|Wood Drilling Bits,303DLX.1216QC,MAG 303DLX The Nailbomber,"303 DLX HEAVY DUTY SHIP HEAD AUGERS 18"" OAL x 15"" Twist Length",E:\IMAGES\ITEMS\product\3\0\MAG-303DLX-The.jpg,Mag-Bit,MAG 303DLX The Nailbomber,"Molybdenum coated for cooler running Cuts nails Manufactured from higher grade steel Glides through wood with less binding, bores faster Ejects chips faster Stays sharper longer No run out, machined on a true center","Molybdenum Coated: Molybdenum cools and lubricates the bit. The bit stays sharper longer because the heat treatment lasts longer. The bit ejects chips and bores faster than ordinary bits and binds less, even in wet or resinous woods. Deeper Lands: For a stronger less flexible bit. Countershark: Bits 5/8” and larger in diameter will accept the Mag-Bit counter bore tools, available in 1-1/2”, 2-1/4” and 3-1/4” diameters. Extensions: Quick Change Shank",,"Size: 3/4"", MM: 19, Shank Size: 7/16""",MAG 303DLX The Nailbomber
1136|24865,Auger - Wood Drill Bits|Wood Drilling Bits,303DLX.1316QC,MAG 303DLX The Nailbomber,"303 DLX HEAVY DUTY SHIP HEAD AUGERS 18"" OAL x 15"" Twist Length",E:\IMAGES\ITEMS\product\3\0\MAG-303DLX-The.jpg,Mag-Bit,MAG 303DLX The Nailbomber,"Molybdenum coated for cooler running Cuts nails Manufactured from higher grade steel Glides through wood with less binding, bores faster Ejects chips faster Stays sharper longer No run out, machined on a true center","Molybdenum Coated: Molybdenum cools and lubricates the bit. The bit stays sharper longer because the heat treatment lasts longer. The bit ejects chips and bores faster than ordinary bits and binds less, even in wet or resinous woods. Deeper Lands: For a stronger less flexible bit. Countershark: Bits 5/8” and larger in diameter will accept the Mag-Bit counter bore tools, available in 1-1/2”, 2-1/4” and 3-1/4” diameters. Extensions: Quick Change Shank",,"Size: 13/16"", MM: 21, Shank Size: 7/16""",MAG 303DLX The Nailbomber
1136|24865,Auger - Wood Drill Bits|Wood Drilling Bits,303DLX.1416QC,MAG 303DLX The Nailbomber,"303 DLX HEAVY DUTY SHIP HEAD AUGERS 18"" OAL x 15"" Twist Length",E:\IMAGES\ITEMS\product\3\0\MAG-303DLX-The.jpg,Mag-Bit,MAG 303DLX The Nailbomber,"Molybdenum coated for cooler running Cuts nails Manufactured from higher grade steel Glides through wood with less binding, bores faster Ejects chips faster Stays sharper longer No run out, machined on a true center","Molybdenum Coated: Molybdenum cools and lubricates the bit. The bit stays sharper longer because the heat treatment lasts longer. The bit ejects chips and bores faster than ordinary bits and binds less, even in wet or resinous woods. Deeper Lands: For a stronger less flexible bit. Countershark: Bits 5/8” and larger in diameter will accept the Mag-Bit counter bore tools, available in 1-1/2”, 2-1/4” and 3-1/4” diameters. Extensions: Quick Change Shank",,"Size: 7/8"", MM: 22, Shank Size: 7/16""",MAG 303DLX The Nailbomber
1136|24865,Auger - Wood Drill Bits|Wood Drilling Bits,303DLX.1516QC,MAG 303DLX The Nailbomber,"303 DLX HEAVY DUTY SHIP HEAD AUGERS 18"" OAL x 15"" Twist Length",E:\IMAGES\ITEMS\product\3\0\MAG-303DLX-The.jpg,Mag-Bit,MAG 303DLX The Nailbomber,"Molybdenum coated for cooler running Cuts nails Manufactured from higher grade steel Glides through wood with less binding, bores faster Ejects chips faster Stays sharper longer No run out, machined on a true center","Molybdenum Coated: Molybdenum cools and lubricates the bit. The bit stays sharper longer because the heat treatment lasts longer. The bit ejects chips and bores faster than ordinary bits and binds less, even in wet or resinous woods. Deeper Lands: For a stronger less flexible bit. Countershark: Bits 5/8” and larger in diameter will accept the Mag-Bit counter bore tools, available in 1-1/2”, 2-1/4” and 3-1/4” diameters. Extensions: Quick Change Shank",,"Size: 15/16"", MM: 24, Shank Size: 7/16""",MAG 303DLX The Nailbomber
