category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
877|19628,Brushes|Scrub Brushes,191,3-Knot Roof Brush,3 Knot Roof Coat Brush,E:\IMAGES\ITEMS\product\1\9\Magnolia-Brush-Manufacturers-191-3-Knot-Roof.jpg,Magnolia Brush Manufacturers,3 Knot Roof Coat Brush,"Natural tampico fiber 3-knot brush Wood block with tapered handle hole Handle NOT INCLUDED 3-1/2"" trim length Use to apply roof tar and heavy coatings","3 Knot, Roof Coat Brush, Head Only, Natural Tampico Bristles In Sturdy Steel Ferrules, Heavy Duty Wood Block With Threaded Handle Hole, Ideal For Applying Roof Coatings & Sealants.",,Magnolia Brush Manufacturers 191 3-Knot Roof Brush,3-Knot Roof Brush
256|24903,Floor|Floor Sanders,463,Angle Cut House Broom Metal Handle,Magnolia Brush 463-L/H Left Hand Angle Broom without Handle,E:\IMAGES\ITEMS\product\4\6\Magnolia-Brush-Manufacturers-463-Angle-Cut-House-Broom.jpg,Magnolia Brush Manufacturers,Magnolia Brush 463-L/H Left Hand Angle Broom without Handle,"Flagged crème colored plastic is secured in an angled plastic cap Angled sweeping surface enables you to sweep hard to reach corners and crevices Handle not included Trim length 6 3/4"" Width 12""",,,Magnolia Brush Manufacturers 463 Angle Cut House Broom Metal Handle,Angle Cut House Broom Metal Handle
256|24903,Floor|Floor Sanders,5524,"24"" Stiff Garage Broom With 1-1/8"" x 60"" Metal Tip Handle","Magnolia Brush 5524-FX 24"" Stiff Green Poly Flexsweep Garage Brush",E:\IMAGES\ITEMS\product\5\5\Magnolia-Brush-Manufacturers-5524-24-Stiff-Garage-Broom.jpg,Magnolia Brush Manufacturers,"Magnolia Brush 5524-FX 24"" Stiff Green Poly Flexsweep Garage Brush","Block Length=24 in, Block Material=Hardwood, Block Finish=Clear Lacquered, Trim Length=3 3/4 in, Bri Use for wet or dry sweeping rough concrete or asphalt floors Will not soften when exposed to water, oils or greases Will sweep finest dust or grit Requires a FX-60 handle",,,"Magnolia Brush Manufacturers 5524 24"" Stiff Garage Broom With 1-1/8"" x 60"" Metal Tip Handle","24"" Stiff Garage Broom With 1-1/8"" x 60"" Metal Tip Handle"
1326|19659,Cleaning Supplies|Dust Mops,93612,"36"" x 5"" Dust Mop, Cover Only","36"" 4-Ply Dust Mop Headcotten Yarn",E:\IMAGES\ITEMS\product\9\3\Magnolia-Brush-Manufacturers-93612-36-x-5-Dust-Mop-Cover.jpg,Magnolia Brush Manufacturers,"36"" 4-Ply Dust Mop Headcotten Yarn","4-ply yarn is evenly sewn on sanforized duckDust mops provide outstanding performance Length: 36"" Width: 5"" Material: White Absorbent Cotton Yarn Weight: 2.17lbs",,,"Magnolia Brush Manufacturers 93612 36"" x 5"" Dust Mop, Cover Only","36"" x 5"" Dust Mop, Cover Only"
1326|19659,Cleaning Supplies|Dust Mops,4724,"Mop, Head Only, 24Oz. Cotton- No Handle",24Oz. Cotton Mop Head,E:\IMAGES\ITEMS\product\4\7\Magnolia-Brush-Manufacturers-4724-Mop-Head-Only-24Oz-Cotton.jpg,Magnolia Brush Manufacturers,24Oz. Cotton Mop Head,"Made of 4 ply highly absorbent, long wearing yarns Mops are sewn 2 times",Mop Size: 24 Oz. Material: 4 Ply Cotton Yarn Type: Regular UPC: 035162047242,,"Magnolia Brush Manufacturers 4724 Mop, Head Only, 24Oz. Cotton- No Handle","Mop, Head Only, 24Oz. Cotton- No Handle"
1326|19703,Cleaning Supplies|Cleaning Supplies Holders,59053,"7-1/2"" Window Squeegee W/ 18"" Handle","7-1/2"" Deluxe Steel Head Window Squeegee w/ 18"" Handle",E:\IMAGES\ITEMS\product\5\9\Magnolia-Brush-Manufacturers-59053-7-12-Window-Squeegee-W.jpg,Magnolia Brush Manufacturers,"7-1/2"" Deluxe Steel Head Window Squeegee w/ 18"" Handle","7-1/2"" Deluxe Steel Head Window Squeegee With 18"" Wood Handle EPDM Rubber Blade Heavy Duty Nylon net Heavy Duty Sponge",,,"Magnolia Brush Manufacturers 59053 7-1/2"" Window Squeegee W/ 18"" Handle","7-1/2"" Window Squeegee W/ 18"" Handle"
1326|19659,Cleaning Supplies|Dust Mops,455-91,Mop > Handle Only  No Head,"Mop, Handle Only",E:\IMAGES\ITEMS\product\4\5\Magnolia-Brush-Manufacturers-455-91-Mop-Handle-Only-54-No.jpg,Magnolia Brush Manufacturers,"Mop, Handle Only","Heavily zinc plated steel construction securely fastened to a No. 1 grade 18in. diameter, 54 inch handle. Standard wing nut construction with channel-type cross bar that detaches from one side to allow quick change of mop head.","Length: 54"" Diameter: 18"" Material: Steel Finish: Zinc plated Handle Material: Wood Used With: 20 to 32 oz. Mop Heads UPC: 035162800915",,Magnolia Brush Manufacturers 455-91 Mop > Handle Only  No Head,Mop > Handle Only  No Head
877|19628,Brushes|Scrub Brushes,4515,"20"" Long Handle Acid Brush",Long Handle Utility Brush,E:\IMAGES\ITEMS\product\4\5\4515-Magnolia-Brush-20-Long-Handle-Acid.jpg,Magnolia Brush Manufacturers,Long Handle Utility Brush,"Long handle Will not absorb water Use where sanitation is required Trim length 2"" Handle material foam plastic",,,"4515 Magnolia Brush 20"" Long Handle Acid Brush","20"" Long Handle Acid Brush"
877|24897,Brushes|End Brushes,9851,Handle Brace,Heavy Duty Handle Brace,E:\IMAGES\ITEMS\product\9\8\9851-Magnolia-Brush-Handle.jpg,Magnolia Brush Manufacturers,Heavy Duty Handle Brace,Made of Aluminum Bar Stock,,,9851 Magnolia Brush Handle Brace,Handle Brace
19799,Squeegee Replacement Blades and Refills,4124,"24"" Squeegee","Squeegee frame is made of 1"" angle aluminum to which a 2"" wide x 1/4"" thick strip of high-grade black squeegee rubber or neoprene is attached with cadmium plated screws",E:\IMAGES\ITEMS\product\4\1\4124-Magnolia-Brush-24.jpg,Magnolia Brush Manufacturers,"Squeegee frame is made of 1"" angle aluminum to which a 2"" wide x 1/4"" thick strip of high-grade black squeegee rubber or neoprene is attached with cadmium plated screws",Non-Sparking Straight Squeegee with Tapered Handle Socket Frame Material: Aluminum,,,"4124 Magnolia Brush 24"" Squeegee","24"" Squeegee"
