category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
238|27828,Mechanic Gloves|Deerskin Gloves,2150DP,Double Palm Deerskin Gloves,,E:\IMAGES\ITEMS\product\2\1\Majestic-2150DP-Double-Palm-Deerskin.jpg,Majestic,,"Grain Deerskin with Patched Palms Patched Thumb Crotch Area Patched Fingertips Vented Gussets, Stretch Knit Back Neoprene Knuckle Area Velcro Wrist Closure",,,Majestic 2150DP Double Palm Deerskin Gloves,Double Palm Deerskin Gloves
238|25827,Mechanic Gloves|Mechanics Gloves,1549,Single Palm Deerskin Mechanics Gloves,,E:\IMAGES\ITEMS\product\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,Majestic,,Deerskin in a True Mechanics Style Glove Seamless Palm Wing Thumb Stretch Knit Back Neoprene Knuckle Area,,,"A Grade Black Deerskin Palm, Black Mesh Back, Neoprene Knuckle, Velcro Closure, Mechanics Style",Single Palm Deerskin Mechanics Gloves
238|25827,Mechanic Gloves|Mechanics Gloves,2148,Single Palm Deerskin Mechanics Gloves,,E:\IMAGES\ITEMS\product\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,Majestic,Majestic Single Palm Deerskin Mechanics Gloves,Deerskin in a True Mechanics Style Glove Seamless Palm Wing Thumb Stretch Knit Back Neoprene Knuckle Area,,,"A Grade Gold Deerskin Palm, Black Mesh Back, Neoprene Knuckle, Velcro Closure, Mechanics Style",Single Palm Deerskin Mechanics Gloves
238|25827,Mechanic Gloves|Mechanics Gloves,2149,Single Palm Deerskin Mechanics Gloves,,E:\IMAGES\ITEMS\product\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,Majestic,Majestic Single Palm Deerskin Mechanics Gloves,Deerskin in a True Mechanics Style Glove Seamless Palm Wing Thumb Stretch Knit Back Neoprene Knuckle Area,,,"Black Deerskin Palm, Mesh Back",Single Palm Deerskin Mechanics Gloves
238|25827,Mechanic Gloves|Mechanics Gloves,2150,Single Palm Deerskin Mechanics Gloves,,E:\IMAGES\ITEMS\product\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,Majestic,Majestic Single Palm Deerskin Mechanics Gloves,Deerskin in a True Mechanics Style Glove Seamless Palm Wing Thumb Stretch Knit Back Neoprene Knuckle Area,,,"A Grade Gold Deerskin Palm, Black Stretch Back, Velcro Closure, Mechanics Style",Single Palm Deerskin Mechanics Gloves
238|25827,Mechanic Gloves|Mechanics Gloves,2151,Single Palm Deerskin Mechanics Gloves,,E:\IMAGES\ITEMS\product\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,Majestic,Majestic Single Palm Deerskin Mechanics Gloves,Deerskin in a True Mechanics Style Glove Seamless Palm Wing Thumb Stretch Knit Back Neoprene Knuckle Area,,,"A Grade Black Deerskin Palm, Black Stretch Back, Velcro Closure, Mechanics Style",Single Palm Deerskin Mechanics Gloves
238|25827,Mechanic Gloves|Mechanics Gloves,2150GR,Single Palm Deerskin Mechanics Gloves,,E:\IMAGES\ITEMS\product\1\5\Majestic-Single-Palm-Deerskin-Mechanics.jpg,Majestic,Majestic Single Palm Deerskin Mechanics Gloves,Deerskin in a True Mechanics Style Glove Seamless Palm Wing Thumb Stretch Knit Back Neoprene Knuckle Area,,,"A Grade Gold Deerskin Palm, Green Stretch Back, Velcro Closure, Mechanics Style",Single Palm Deerskin Mechanics Gloves
238|25827,Mechanic Gloves|Mechanics Gloves,2140,Deersplit Mechanics Gloves,"A Grade Gray Deersplit Palm, Black Knit Back For Comfort, Velcro wrist Closure",E:\IMAGES\ITEMS\product\2\1\Majestic-2140-Deersplit-Mechanics.jpg,Majestic,"A Grade Gray Deersplit Palm, Black Knit Back For Comfort, Velcro wrist Closure",Deersplit Palm with Black Stretch Back Velcro Wrist Closure Extraordinary comfort,,,Majestic 2140 Deersplit Mechanics Gloves,Deersplit Mechanics Gloves
237|25826,Leather Gloves|Leather Palm Gloves,2152,"Pigskin Single Palm, Velcro Closure",,E:\IMAGES\ITEMS\product\2\1\Majestic-Pigskin-Single-Palm-Velcro.jpg,Majestic,,Pigskin Palm Neoprene Knuckle Area Velcro Wrist Closure,,,"A Grade Beige Pigskin Palm, Blue Stretch Back, Neoprene Knuckle, Velcro Closure, Mechanics Style","Pigskin Single Palm, Velcro Closure"
237|25826,Leather Gloves|Leather Palm Gloves,2130BK,"Pigskin Single Palm, Velcro Closure",,E:\IMAGES\ITEMS\product\2\1\Majestic-Pigskin-Single-Palm-Velcro.jpg,Majestic,"Majestic Pigskin Single Palm, Velcro Closure",Pigskin Palm Neoprene Knuckle Area Velcro Wrist Closure,,,Gold brushed pigskin palm with a stretch knit back and velcro wrist closure. Neoprene Knuckle Area,"Pigskin Single Palm, Velcro Closure"
