category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
24852,Hole Saws,HF1,"1-3/8"" Quick Action Carbide Tipped Hole Saw",,E:\IMAGES\ITEMS\product\H\F\malco-hf1-quick-action-carbide-tipped-hole-saw-1-38.jpg,Malco,"Aggressive carbide tipped teeth with deep self-cleaning gullets and a generous 2-1/4 in. (57 mm) cup depth make “Quick Action” Hole Saws versatile for cutting through a variety of thick or layered wood, wall tile, fiberglass, plastic and tough fiber-cement siding (including popular James Hardie fiber-cement products).   The full selection of “Quick Action” Hole Saws (19 sizes in all) share a unique “Quick Connect” Arbor design that is compatible with industry standard 5/8-18 hole saw threads. The arbor easily holds or releases Malco “Quick Change” Pilot Drills. The arbor’s quick release feature also ejects saw plugs with ease!  “Quick Change” Pilot Drills are available in both high speed steel and carbide tipped designs and feature a built-in 10 mm hex shank for tight gripping in a 1/2 in. (12.7 mm) drill. The extra length of these pilot drills allows the drill point to extend 1 in. (25.4 mm) out from the hole saw cup teeth for cutting uneven surfaces like lap siding. Cutting a vent hole in the rim joist or outside wall of a house clad in fiber-cement siding is a breeze!","Aggressive carbide tips     Deep self-cleaning gullets     Generous cup depth     Extra-long ""Quick Change"" HSS and carbide tipped pilot drills     ""Quick Connect"" Arbor     Easy plug ejection","Catalog #                              Description                                                               Hole Diameter in. (mm)                                                                   Cutting Depth in. (mm)                                                                   Thread Size                                                                                                                                                                                                                                                                                                                                                 HF1                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        1-3/8 (35)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF2                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        1-7/8 (48)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF3                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2 (51)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF4                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2-3/8 (60)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF5                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2-1/2 (64)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF6                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2-3/4 (70)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF7                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        3 (76)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF8                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        3-1/2 (89)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF9                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        4 (102)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF10                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        4-1/8 (105)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF11                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        4-1/2 (114)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF12                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        5 (127)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF13                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        5-1/4 (133)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF14                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        5-1/2 (140)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF15                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        6 (152)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF16                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        6-5/16 (160)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF17                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2-9/16 (65)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF18                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        3-5/8 (92)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF19                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        4-5/8 (117)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                      Quick Connect Arbor                           Catalog #             Thread Size             Hex Opening mm             For Hole Saws in.(mm)             Use with Pilot Drills                                         HA3             5/8 - 18             10.32             1-3/8 - 6-5/16 (35-160)             HH4, HH5, HHA4, HHA5                                    Quick Change Pilot Drills                                Catalog #             Drill             Hex Shank mm             Overall Length in.(mm)             Drill Chuck in.(mm)             Use with Arbor                                         HH4             High Speed Steel             10             7-3/4 (196)             1/2 (12.7)             HA3                               HH5             Carbide Tipped             10             7-3/4 (196)             1/2 (12.7)             HA3                                  Quick Release Sets - Arbor with Pilot Drill                                Catalog #             Drill             Hex Shank mm             Overall Length in.(mm)             Drill Chuck in.(mm)             For Hole Saws in.(mm)                                         HHA4             High Speed Steel             10             7-3/4 (196)             1/2 (12.7)             1-3/8 - 6-5/16 (35-160)                               HHA5             Carbide Tipped             10             7-3/4 (196)             1/2 (12.7)             1-3/8 - 6-5/16 (35-160",,1-3/8 (35),"1-3/8"" Quick Action Carbide Tipped Hole Saw"
24852,Hole Saws,HF2,"1-7/8"" Quick Action Carbide Tipped Hole Saw",,E:\IMAGES\ITEMS\product\H\F\malco-hf2-quick-action-carbide-tipped-hole-saw-1-78.jpg,Malco,"Aggressive carbide tipped teeth with deep self-cleaning gullets and a generous 2-1/4 in. (57 mm) cup depth make “Quick Action” Hole Saws versatile for cutting through a variety of thick or layered wood, wall tile, fiberglass, plastic and tough fiber-cement siding (including popular James Hardie fiber-cement products).   The full selection of “Quick Action” Hole Saws (19 sizes in all) share a unique “Quick Connect” Arbor design that is compatible with industry standard 5/8-18 hole saw threads. The arbor easily holds or releases Malco “Quick Change” Pilot Drills. The arbor’s quick release feature also ejects saw plugs with ease!  “Quick Change” Pilot Drills are available in both high speed steel and carbide tipped designs and feature a built-in 10 mm hex shank for tight gripping in a 1/2 in. (12.7 mm) drill. The extra length of these pilot drills allows the drill point to extend 1 in. (25.4 mm) out from the hole saw cup teeth for cutting uneven surfaces like lap siding. Cutting a vent hole in the rim joist or outside wall of a house clad in fiber-cement siding is a breeze!","Aggressive carbide tips     Deep self-cleaning gullets     Generous cup depth     Extra-long ""Quick Change"" HSS and carbide tipped pilot drills     ""Quick Connect"" Arbor     Easy plug ejection","Catalog #                              Description                                                               Hole Diameter in. (mm)                                                                   Cutting Depth in. (mm)                                                                   Thread Size                                                                                                                                                                                                                                                                                                                                                 HF1                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        1-3/8 (35)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF2                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        1-7/8 (48)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF3                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2 (51)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF4                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2-3/8 (60)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF5                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2-1/2 (64)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF6                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2-3/4 (70)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF7                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        3 (76)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF8                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        3-1/2 (89)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF9                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        4 (102)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF10                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        4-1/8 (105)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF11                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        4-1/2 (114)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF12                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        5 (127)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF13                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        5-1/4 (133)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF14                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        5-1/2 (140)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF15                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        6 (152)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF16                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        6-5/16 (160)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF17                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2-9/16 (65)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF18                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        3-5/8 (92)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF19                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        4-5/8 (117)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                      Quick Connect Arbor                           Catalog #             Thread Size             Hex Opening mm             For Hole Saws in.(mm)             Use with Pilot Drills                                         HA3             5/8 - 18             10.32             1-3/8 - 6-5/16 (35-160)             HH4, HH5, HHA4, HHA5                                    Quick Change Pilot Drills                                Catalog #             Drill             Hex Shank mm             Overall Length in.(mm)             Drill Chuck in.(mm)             Use with Arbor                                         HH4             High Speed Steel             10             7-3/4 (196)             1/2 (12.7)             HA3                               HH5             Carbide Tipped             10             7-3/4 (196)             1/2 (12.7)             HA3                                  Quick Release Sets - Arbor with Pilot Drill                                Catalog #             Drill             Hex Shank mm             Overall Length in.(mm)             Drill Chuck in.(mm)             For Hole Saws in.(mm)                                         HHA4             High Speed Steel             10             7-3/4 (196)             1/2 (12.7)             1-3/8 - 6-5/16 (35-160)                               HHA5             Carbide Tipped             10             7-3/4 (196)             1/2 (12.7)             1-3/8 - 6-5/16 (35-160",,1-7/8 (48),"1-7/8"" Quick Action Carbide Tipped Hole Saw"
24852,Hole Saws,HF3,"2"" Quick Action Carbide Tipped Hole Saw",,E:\IMAGES\ITEMS\product\H\F\malco-hf3-quick-action-carbide-tipped-hole-saw-2.jpg,Malco,"Aggressive carbide tipped teeth with deep self-cleaning gullets and a generous 2-1/4 in. (57 mm) cup depth make “Quick Action” Hole Saws versatile for cutting through a variety of thick or layered wood, wall tile, fiberglass, plastic and tough fiber-cement siding (including popular James Hardie fiber-cement products).   The full selection of “Quick Action” Hole Saws (19 sizes in all) share a unique “Quick Connect” Arbor design that is compatible with industry standard 5/8-18 hole saw threads. The arbor easily holds or releases Malco “Quick Change” Pilot Drills. The arbor’s quick release feature also ejects saw plugs with ease!  “Quick Change” Pilot Drills are available in both high speed steel and carbide tipped designs and feature a built-in 10 mm hex shank for tight gripping in a 1/2 in. (12.7 mm) drill. The extra length of these pilot drills allows the drill point to extend 1 in. (25.4 mm) out from the hole saw cup teeth for cutting uneven surfaces like lap siding. Cutting a vent hole in the rim joist or outside wall of a house clad in fiber-cement siding is a breeze!","Aggressive carbide tips     Deep self-cleaning gullets     Generous cup depth     Extra-long ""Quick Change"" HSS and carbide tipped pilot drills     ""Quick Connect"" Arbor     Easy plug ejection","Catalog #                              Description                                                               Hole Diameter in. (mm)                                                                   Cutting Depth in. (mm)                                                                   Thread Size                                                                                                                                                                                                                                                                                                                                                 HF1                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        1-3/8 (35)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF2                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        1-7/8 (48)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF3                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2 (51)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF4                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2-3/8 (60)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF5                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2-1/2 (64)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF6                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2-3/4 (70)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF7                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        3 (76)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF8                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        3-1/2 (89)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF9                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        4 (102)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF10                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        4-1/8 (105)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF11                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        4-1/2 (114)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF12                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        5 (127)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF13                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        5-1/4 (133)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF14                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        5-1/2 (140)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF15                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        6 (152)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF16                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        6-5/16 (160)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF17                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        2-9/16 (65)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF18                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        3-5/8 (92)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                                                                                                                                                    HF19                                                                                                                        Quick Action Carbide Tipped Hole Saw                                                                                                                        4-5/8 (117)                                                                                                                        2-1/4 (57)                                                                                                                        5/8-18                                                                                                                                                                                                      Quick Connect Arbor                           Catalog #             Thread Size             Hex Opening mm             For Hole Saws in.(mm)             Use with Pilot Drills                                         HA3             5/8 - 18             10.32             1-3/8 - 6-5/16 (35-160)             HH4, HH5, HHA4, HHA5                                    Quick Change Pilot Drills                                Catalog #             Drill             Hex Shank mm             Overall Length in.(mm)             Drill Chuck in.(mm)             Use with Arbor                                         HH4             High Speed Steel             10             7-3/4 (196)             1/2 (12.7)             HA3                               HH5             Carbide Tipped             10             7-3/4 (196)             1/2 (12.7)             HA3                                  Quick Release Sets - Arbor with Pilot Drill                                Catalog #             Drill             Hex Shank mm             Overall Length in.(mm)             Drill Chuck in.(mm)             For Hole Saws in.(mm)                                         HHA4             High Speed Steel             10             7-3/4 (196)             1/2 (12.7)             1-3/8 - 6-5/16 (35-160)                               HHA5             Carbide Tipped             10             7-3/4 (196)             1/2 (12.7)             1-3/8 - 6-5/16 (35-160",,2 (51),"2"" Quick Action Carbide Tipped Hole Saw"
