category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
26254,Padlocks,3,1-9/16in (40mm) Wide Laminated Steel Pin Tumbler Padlock,Master Lock Laminated Padlocks No. 3,E:\IMAGES\ITEMS\product\3\\Master-Lock-Laminated-Padlocks-No.jpg,Master Lock,,"The Master Lock No. 3 Laminated Steel Padlock features a 1-9/16in (40mm) wide reinforced laminated steel lock body providing extra strength and a 3/4in (19mm) tall, 9/32in (7mm) diameter hardened steel shackle for excellent cut resistance. Dual locking levers provide extra pry resistance making it ideal for industrial applications and the non-rekeyable, 4-pin W1 cylinder helps prevent picking.Product Features 					 						 							Commercial grade padlock features superior protection from drilling and prying 						 							1-9/16in (40mm) wide laminated steel body for superior strength 						 							3/4in (19mm) tall, 9/32in (7mm) diameter hardened steel shackle for superior cut resistance 						 							Dual locking levers provide extra pry resistance 						 							Non-rekeyable, 4-pin W1 cylinder helps prevent picking","Best Used For : Industrial, Storefront & Business Gates Tool Cribs Construction Sites & Equipment Vending Machines",,Base Model,1-9/16in (40mm) Wide Laminated Steel Pin Tumbler Padlock
26254,Padlocks,5,2in (51mm) Wide Laminated Steel Pin Tumbler Padlock,Master Lock Laminated Padlocks No. 5,E:\IMAGES\ITEMS\product\5\\Master-Lock-Laminated-Padlocks-No.jpg,Master Lock,,"The Master Lock No. 5 Laminated Steel Padlock features a 2in (51mm) wide reinforced laminated steel lock body providing extra strength and a 1in (25mm) tall, 3/8in (10mm) diameter hardened steel shackle for excellent cut resistance. Dual locking levers provide extra pry resistance making it ideal for industrial applications and the non-rekeyable, 4-pin W1 cylinder helps prevent picking.Product Features 					 						 							Commercial grade padlock features superior protection from drilling and prying 						 							2in (51mm) wide laminated steel body for superior strength 						 							1in (25mm) tall, 3/8in (10mm) diameter hardened boron alloy shackle for superior cut resistance 						 							Dual locking levers provide extra pry resistance 						 							Non-rekeyable, 4-pin W1 cylinder helps prevent picking","Best Used For : Industrial, Storefront & Business Gates Tool Cribs Construction Sites & Equipment Job Boxes & Gang Boxes",,Base Model,2in (51mm) Wide Laminated Steel Pin Tumbler Padlock
26254,Padlocks,15,2-1/2in (64mm) Wide Laminated Steel Pin Tumbler Padlock,Master Lock Laminated Padlocks No. 15,E:\IMAGES\ITEMS\product\1\5\Master-Lock-Laminated-Padlocks-No.jpg,Master Lock,,"The Master Lock No. 15 Laminated Steel Padlock features a 2-1/2in (64mm) wide reinforced laminated steel lock body providing extra strength and a 1-1/4in (32mm) tall, 7/16in (11mm) diameter hardened boron alloy shackle for superior cut resistance. Dual locking levers provide extra pry resistance making it ideal for industrial applications and the non-rekeyable, 5-pin W15 cylinder helps prevent picking.Product Features 					 						 							Commercial grade padlock features superior protection from drilling and prying 						 							2-1/2in (64mm) wide laminated steel body for superior strength 						 							1-1/4in (32mm) hardened boron alloy shackle for superior cut resistance 						 							Dual locking levers provide extra pry resistance 						 							Non-rekeyable, 5-pin W15 cylinder helps prevent picking","Best Used For : Industrial, Storefront & Business Gates Tool Cribs Construction Sites & Equipment Vending Machines",,Master Lock Laminated Padlocks No. 15,2-1/2in (64mm) Wide Laminated Steel Pin Tumbler Padlock
26254,Padlocks,6121,2-1/8in (54mm) Wide ProSeries® Weather Tough® Laminated Steel Rekeyable Pin Tumbler Padlock,Master Lock Pro Series Weather Tough Padlocks No. 6121,E:\IMAGES\ITEMS\product\6\1\Master-Lock-Pro-Series-Weather-Tough-Padlocks-No.jpg,Master Lock,,"The Master Lock No. 6121 ProSeries® Weather Tough® Covered Laminated Padlock features a 2-1/8in (54mm) wide heavy steel body to withstand physical attack and a 1-1/8in (29mm) tall, 5/16in (8mm) diameter hardened boron alloy shackle for superior cut resistance. The exclusive cover protects this padlock from harsh elements & a high security, rekeyable 5-pin cylinder with spool pins is virtually impossible to pick.Product Features 					 						 							Ideal for harsh outdoor conditions - exclusive Weather Tough® cover protects lock from water, ice, dirt and grime 						 							ProSeries® Padlocks are designed for Commercial/Industrial applications 						 							2-1/8in (54mm) heavy steel body withstands physical attack 						 							1-1/8in (29mm) tall, 5/16in (8mm) diameter hardened boron alloy shackle for superior cut resistance 						 							Dual ball locking mechanism resists pulling and prying 						 							High security, rekeyable 5-pin cylinder with spool pins is virtually impossible to pick","Best Used For : Truck Doors Trailers, Vans & Moving Trucks Manufacturing Environments Industrial, Storefront & Business Gates",,Master Lock Pro Series Weather Tough Padlocks No. 6121,2-1/8in (54mm) Wide ProSeries® Weather Tough® Laminated Steel Rekeyable Pin Tumbler Padlock
26254,Padlocks,6321,2-1/8in (54mm) Wide ProSeries® Shrouded Laminated Steel Rekeyable Pin Tumbler Padlock,Master Lock Shrouded Padlocks No. 6321,E:\IMAGES\ITEMS\product\6\3\Master-Lock-Shrouded-Padlocks-No.jpg,Master Lock,Master Lock 6321 Shrouded Padlock,"The Master Lock No. 6321 ProSeries® Shrouded Padlock features a 2-1/8in (54mm) heavy steel body that withstands physical attack and a 3/4in (19mm) tall, 5/16in (8mm) diameter hardened boron alloy shackle for superior cut resistance. Ideal for transportation and industrial applications, the iron shroud protects the shackle from bolt cutters and a dual ball locking mechanism resists pulling and prying.  The high security, rekeyable 5-pin cylinder with spool pins is virtually impossible to pick.Product Features 					 						 							Iron shroud protects shackle from bolt cutters 						 							ProSeries® Padlocks are designed for Commercial/Industrial applications 						 							2-1/8in (54mm) heavy steel body withstands physical attack 						 							3/4in (19mm) tall, 5/16in (8mm) diameter hardened boron alloy shackle for superior cut resistance 						 							Dual ball locking mechanism resists pulling and prying 						 							High security, rekeyable 5-pin cylinder with spool pins is virtually impossible to pick","Best Used For : Truck Doors Trailers, Vans & Moving Trucks Manufacturing Environments Industrial, Storefront & Business Gates",,Shrouded Padlock,2-1/8in (54mm) Wide ProSeries® Shrouded Laminated Steel Rekeyable Pin Tumbler Padlock
1835|26254,Key Padlocks|Padlocks,5LJ,Laminated Padlocks No. 5LJ,Master Lock Laminated Padlocks No. 5LJ,E:\IMAGES\ITEMS\product\5\L\Master-Lock-Shrouded-Padlocks-No.jpg,Master Lock,,"Product Features Commercial grade padlock features superior protection from drilling and prying 2"" (51mm) wide laminated steel body for superior strength 2-1/2"" (64mm) tall, 3/8"" (10mm) diameter hardened boron alloy shackle for superior cut resistance Dual locking levers provide extra pry resistance Non-rekeyable, 4-pin W1 cylinder helps prevent picking Thousands of key changes for maximum pick resistance","Best Used For : Industrial, Storefront & Business Gates Tool Cribs Construction Sites & Equipment Job Boxes & Gang Boxes",,Master Lock Laminated Padlocks No. 5LJ,Laminated Padlocks No. 5LJ
1836|26234,Hasp Locks|Hasp Locks & Hardware,703D,Hasps / Hasplocks No. 703D,Master Lock Hasps / Hasplocks No. 703D,E:\IMAGES\ITEMS\product\7\0\Master-Lock-Hasps-Hasplocks-No.jpg,Master Lock,,"Product Features 3-1/2""(89mm) hard wrought steel body Accepts shackle diameter up to 11/32"" (9mm) Hardened steel staple resist cutting and sawing Hardened steel locking eye for strong cut resistance Tamper proof hinge help resist prying Mounting hardware included","Best Used For : Residential Gates & Fences Sheds, Workshops & Garages Tool Chests & Tool Boxes Cabinets",,Master Lock Hasps / Hasplocks No. 703D,Hasps / Hasplocks No. 703D
1836|26234,Hasp Locks|Hasp Locks & Hardware,704DPF,Hasps / Hasplocks No. 704DPF,Master Lock Hasps / Hasplocks No. 704DPF,E:\IMAGES\ITEMS\product\7\0\Master-Lock-Hasps-Hasplocks-No- 1.jpg,Master Lock,,"Product Features 4-1/2""(11cm) hard wrought steel body Accepts shackle diameter up to 1/2"" (13mm) Hardened steel staple resist cutting and sawing Hardened steel locking eye for strong cut resistance Tamper proof hinge help resist prying Mounting hardware included","Best Used For : Residential Gates & Fences Sheds, Workshops & Garages Tool Chests & Tool Boxes Cabinets",,Master Lock Hasps / Hasplocks No. 704DPF,Hasps / Hasplocks No. 704DPF
1836|26234,Hasp Locks|Hasp Locks & Hardware,706D,Hasps / Hasplocks No. 706D,Master Lock Hasps / Hasplocks No. 706D,E:\IMAGES\ITEMS\product\7\0\Master-Lock-Hasps-Hasplocks-No- 2.jpg,Master Lock,,"Product Features 6""(15cm) hard wrought steel body Accepts shackle diameter up to 9/16"" (14mm) Hardened steel staple resist cutting and sawing Hardened steel locking eye for strong cut resistance Tamper proof hinge help resist prying Mounting hardware included","Best Used For : Residential Gates & Fences Sheds, Workshops & Garages Tool Chests & Tool Boxes Cabinets",,Master Lock Hasps / Hasplocks No. 706D,Hasps / Hasplocks No. 706D
26219,Breakaway Shackle Padlocks,8413DPF,6' ADJUSTABLE LOCKING CA KEYED DIFFERENT,Master Lock Adjustable Locking Cables No. 8413DP,E:\IMAGES\ITEMS\product\8\4\Master-Lock-Adjustable-Locking-Cables-No.jpg,Master Lock,,"6-foot adjustable locking cable Multipurpose lock for bikes, grills, trailers, ladders, chain-link applications Patented locking mechanism adjusts from 1 to 6 feet and holds steel cable tight Re-keyable cylinders for keyed alike convenience 3/8-inch cable; lifetime warranty",Best Used For : Bicycles ATVs & All Terrain Equipment Grills & Lawnmowers Tools & Ladders,,Master Lock Adjustable Locking Cables No. 8413DP,6' ADJUSTABLE LOCKING CA KEYED DIFFERENT
