category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
903|26865,Tilt Up (INACTIVE)|Tilt Up,45SL3055,"5-1/2"" Super-Lift III Insert",,E:\IMAGES\ITEMS\product\4\5\5-12-Super-Lift-III.jpg,Meadow Burke,,"The three piece Recess Former comes attached and fully assembled Super-Lift III Anchor is capable of lifting more than any other tilt-up insert at 22,400 lbs  Notches for securely attaching rebar The base is wide to give extra stability and support","The Meadow Burke Super-Lift III insert module is the latest generation of innovative Meadow Burke lifting systems for tilt-up construction. It is a dependable combination of three economical parts: a two-part sturdy base, a high strength steel anchor and a threepart, snap-together recess former.",,"5-1/2"" Super-Lift III Insert","5-1/2"" Super-Lift III Insert"
903|26865,Tilt Up (INACTIVE)|Tilt Up,45SL3072,"7-1/4"" Super-Lift III Insert",,E:\IMAGES\ITEMS\product\4\5\5-12-Super-Lift-III.jpg,Meadow Burke,"7-1/4"" Super-Lift III Insert","The three piece Recess Former comes attached and fully assembled Super-Lift III Anchor is capable of lifting more than any other tilt-up insert at 22,400 lbs  Notches for securely attaching rebar The base is wide to give extra stability and support","The Meadow Burke Super-Lift III insert module is the latest generation of innovative Meadow Burke lifting systems for tilt-up construction. It is a dependable combination of three economical parts: a two-part sturdy base, a high strength steel anchor and a threepart, snap-together recess former.",,"7-1/4"" Super-Lift III Insert","7-1/4"" Super-Lift III Insert"
26865,Tilt Up,45SL3995,EDGE LIFT INSERT SUPER-LIFT III,"Super-Lift III Edge Lift Inserts provide secure, spall-free edge lifting of tilt-up panels without the use of Shear Bars.",E:\IMAGES\ITEMS\product\4\5\Meadow-Burke-Super-Lift-III-Edge-Lift.jpg,Meadow Burke,"Super-Lift III Edge Lift Inserts provide secure, spall-free edge lifting of tilt-up panels without the use of Shear Bars","One ""Ear"" to prevent spalling during edge lifts. Extra hole for reinforcing tension bar to create the ultimate edge tension load. Pre-attached angle to generate a larger cone, also develops the cone lower in the panel",,,Meadow-Burke Super-Lift III Edge Lift Insert,EDGE LIFT INSERT SUPER-LIFT III
26865,Tilt Up,45SL3998,EDGE LIFT VOID SUPER-LIFT III,Meadow-Burke Super-Lift III Edge Recessing Member,E:\IMAGES\ITEMS\product\4\5\Meadow-Burke-Super-Lift-III-Edge-Recessing.jpg,Meadow Burke,"The recessing member is made of high quality plastic and creates a narrow, semicircular recess in the concrete for the ring clutch","Data H: 2-3/4"" I: 3-3/8"" J: 6-1/2"" K: 3/4"" P: 2"" Q: 1/2""","The recessing member is made of high quality plastic and creates a narrow, semicircular recess in the concrete for the ring clutch.",,Meadow-Burke Super-Lift III Edge Recessing Member,EDGE LIFT VOID SUPER-LIFT III
903,Tilt Up (INACTIVE),45SL3990,Meadow-Burke Super-Lift III Double Bar,,E:\IMAGES\ITEMS\product\4\5\Meadow-Burke-Super-Lift-III-Double.jpg,Meadow Burke,,"Width: 1.25"" Length: 23.25""","The Super-Lift Double Bar (patented) provides the easiest to use connection for a double insert in the industry. The Double Bar slides onto the inserts at the job site providing a positive connection between the two inserts. This product allows a maximum lifting capacity of 32,000 pounds with a 2.5:1 safety factor with SuperLift III, and a maximum lifting capacity of 20,000 pounds with a 2.5:1 safety factor with Super-Lift II.",,Meadow-Burke Super-Lift III Double Bar,Meadow-Burke Super-Lift III Double Bar
578|22086,Lifting|Hooks,CX-4 3/4 x 6,"Meadow-Burke CX-4 3/4"" x 6"" Coil Loop Insert - Flared","Meadow-Burke CX-4 3/4"" x 6"" Coil Loop Insert - Flared",E:\IMAGES\ITEMS\product\C\X\Meadow-Burke-CX-4-34-x-6-Coil-Loop-Insert.jpg,Meadow Burke,"Meadow-Burke CX-4 3/4"" x 6"" Coil Loop Insert - Flared",,"The CX-4 Coil Loop Insert- Flared is similar to the straight unit, but as a flared loop for increased tensile capacity. This being a two-strut insert, it is not recommended for lifting purposes. It does find numerous applications as a structural connection and other bolted connection applications. The Coil Loop Insert - Flared is available in plain or hot dip galvanize finish.",,"Meadow-Burke CX-4 3/4"" x 6"" Coil Loop Insert - Flared","Meadow-Burke CX-4 3/4"" x 6"" Coil Loop Insert - Flared"
578|22086,Lifting|Hooks,FC-18,Meadow-Burke Plug Plastic NC Thread,,E:\IMAGES\ITEMS\product\F\C\Meadow-Burke-FC-18-Plug-Plastic-NC.jpg,Meadow Burke,,"Available to fit all 3/8"", 1/2"", 5/8"" and 3/4"" diameter NC threaded inserts.","The FC-18 Plug - Plastic NC Thread is the plastic version of the metal NC plug. It functions as a setting plug and as a thread protection. This is an excellent and economical unit to use in inserts cast in place but not to be used until a later date. This plug provides a 1/4"" setback.",,Meadow-Burke FC-18 Plug Plastic NC Thread,Meadow-Burke Plug Plastic NC Thread
578|22086,Lifting|Hooks,LP-20 1,"Meadow-Burke Double Swivel Lift Plate 1""",Meadow-Burke Double Swivel Lift Plate,E:\IMAGES\ITEMS\product\L\P\Meadow-Burke-Double-Swivel-Lift.jpg,Meadow Burke,"For 1"" Bolts","Caution: Double Swivel Lift Plate must have full bearing on smooth, flat concrete and be securely tightened.","Double Swivel Lift Plate is designed to allow the bail to swivel 360° in the horizontal plane and 180° in the vertical plane. This feature allows the unit to rotate to the direction of the pull. It is available for use with 1"" and 1-1/2"" bolt diameters.",,"Meadow-Burke Double Swivel Lift Plate 1""","Meadow-Burke Double Swivel Lift Plate 1"""
26865,Tilt Up,45615,Meadow BurkeSuper Lift III Patch,Super Lift Patch,E:\IMAGES\ITEMS\product\4\5\Meadow-Burke-Super-Lift-III- 2.jpg,Meadow Burke,Super Lift Patch,"The MB Super Lift III Patch aesthetically seals the Super Lift III recess voids in concreteThere's no need to waste money on time-consuming mortar mix patches when MB Super Lift III Patch can do the same job in less time, with unskilled labor, and at a lower overall cost.MB Super Lift III Patch pops into the Super Lift III recess void and leaves a strong, attractive shield.MB Super Lift III Patch is precision molded of durable and highimpact plastic, which has the color and texture of concrete and resists assault from manufacturing and environmental chemicals.",,,Meadow Burke - Super Lift III Patch,Meadow BurkeSuper Lift III Patch
26865,Tilt Up,45615 B-75,Meadow-Burke Super-Lift III Patch,,E:\IMAGES\ITEMS\product\4\5\Meadow-Burke-Super-Lift-III- 1.jpg,Meadow Burke,,The MB Super Lift III Patch aesthetically seals the Super Lift III recess voids in concrete.,"There's no need to waste money on time-consuming mortar mix patches when MB Super Lift III Patch can do the same job in less time, with unskilled labor, and at a lower overall cost. MB Super Lift III Patch pops into the Super Lift III recess void and leaves a strong, attractive shield. MB Super Lift III Patch is precision molded of durable and highimpact plastic, which has the color and texture of concrete and resists assault from manufacturing and environmental chemicals",,B-75,Meadow-Burke Super-Lift III Patch
1774|22984,Rebar Chairs|Chains,"MB TUFF CHAIR 2""","MB Tuff Chair 2"" Plastic High Chair",,E:\IMAGES\ITEMS\product\M\B\Meadow-Burke-MB-Tuff-Chair-2-Plastic-High.jpg,Meadow Burke,,Available staple and nail down feature Concrete gray color and invisible footprint One chair accommodates bottom or top mats Designed for maximum concrete consolidation Engineered for ultimate strength to weight ratio Easy quick connect feature on continual members Consistently meets or exceeds design load capability Location of strength ring allows bottom mat clearance Made from a proprietary blend of plastics and modifier,"MB Tuff Chair is engineered for strength, durability, recoverability and consistent ruggedness, and are available in a range of heights from 3/4"" to 10",,"2""","MB Tuff Chair 2"" Plastic High Chair"
1774|22984,Rebar Chairs|Chains,"MB TUFF CHAIR 3-3/4""","MB Tuff Chair 3-3/4"" Plastic High Chair",,E:\IMAGES\ITEMS\product\M\B\Meadow-Burke-MB-Tuff-Chair-2-Plastic-High.jpg,Meadow Burke,"Meadow-Burke MB Tuff Chair 3-3/4"" Plastic High Chair",Available staple and nail down feature Concrete gray color and invisible footprint One chair accommodates bottom or top mats Designed for maximum concrete consolidation Engineered for ultimate strength to weight ratio Easy quick connect feature on continual members Consistently meets or exceeds design load capability Location of strength ring allows bottom mat clearance Made from a proprietary blend of plastics and modifier,"MB Tuff Chair is engineered for strength, durability, recoverability and consistent ruggedness, and are available in a range of heights from 3/4"" to 10",,"3-3/4""","MB Tuff Chair 3-3/4"" Plastic High Chair"
939|26876,Fiberglass Rebar|Fiberglass Rebar,283505,Meadow-Burke Fiberglass Rebar #5,"5/8"" x 20'",E:\IMAGES\ITEMS\product\2\8\Meadow-Burke-283505-Fiberglass-Rebar.jpg,Meadow Burke,"5/8"" x 20'",,,,"5/8"" x 20'",Meadow-Burke Fiberglass Rebar #5
1773|26887,Rebar Caps|Rebar Caps,291825,Meadow-Burke Large Rebar Safety Cap Fits #9-14 Rebar,"1-1/2"" Dowel",E:\IMAGES\ITEMS\product\2\9\Meadow-Burke-Large-Rebar-Safety-Cap-Fits-9-14.jpg,Meadow Burke,"1-1/2"" Dowel",,Clear in color for easy inspection of the dowel inside. For placement of dowels in   retrofit concrete joint repair applications. Combination of end and support chair allows for quick efficient placement of dowels as well as easy inspection.,,Meadow-Burke Large Rebar Safety Cap Fits #9-14 Rebar,Meadow-Burke Large Rebar Safety Cap Fits #9-14 Rebar
903|26865,Tilt Up (INACTIVE)|Tilt Up,MB Slam Anchor,Slam Anchor,"Built for Strength, Safety, Speed",E:\IMAGES\ITEMS\product\M\B\Meadow-Burke-MB-Slam.jpg,Meadow Burke,"Built for Strength, Safety, Speed","Strength: The objective was simply to create a brace-to-floor connection that will handle the maximum applied brace loads with a single bolt. The MB Slam Anchor carries a 9,000 lbs. load with a 2 to 1 safety factor. Simplicity and Safety: We recognize that current brace-to-floor connections used in the field today can easily be improperly installed, resulting in serious safety hazards. Another objective with the Slam Anchor was to insure a virtually foolproof installation. Speed: We know time is money. And with crane and crew waiting, we know that speed of installation is paramount. No Torque or Retightening Required: The unique expansion mechanism is not a threaded connection, and therefore does not have a torque requirement and does not need to be retightened. Economical: In addition to the savings in labor, the Slam Anchor is designed to be reusable. Only a small drop-in is expended at each use. We are confident that the Slam Anchor will be the brace-to-floor connection solution.",The Tilt-Up construction industry has long awaited the arrival of the most heralded brace-to-floor connection solution in recent years. The MB Slam Anchor was designed to address the shortcomings of existing brace-to-floor connectors.,,Meadow-Burke MB Slam Anchor,Slam Anchor
1774|22984,Rebar Chairs|Chains,790381,"Meadow-Burke PC-4 Snap-On Paving Chair w/ Base 2""",,E:\IMAGES\ITEMS\product\7\9\Meadow-Burke-PC-4-Snap-On-Paving-Chair-w-Base.jpg,Meadow Burke,,,Chair height indicates the dimension from the bottom of the base to the steel (cover dimension). The round base provides solid support on grade. Nail slots in the base.,,"2"" For #4-#6 Rebar","Meadow-Burke PC-4 Snap-On Paving Chair w/ Base 2"""
1774|22984,Rebar Chairs|Chains,791433,"Meadow-Burke PC-4 Snap-On Paving Chairs w/ Base 3-1/4""",,E:\IMAGES\ITEMS\product\7\9\Meadow-Burke-PC-4-Snap-On-Paving-Chair-w-Base.jpg,Meadow Burke,"Meadow-Burke PC-4 Snap-On Paving Chairs w/ Base 3-1/4""",,Chair height indicates the dimension from the bottom of the base to the steel (cover dimension). The round base provides solid support on grade. Nail slots in the base.,,"3-1/4"" For #3-#4 Rebar","Meadow-Burke PC-4 Snap-On Paving Chairs w/ Base 3-1/4"""
1774|22984,Rebar Chairs|Chains,790462,"Meadow-Burke PC-4 Snap-On Paving Chairs w/ Base 5""",,E:\IMAGES\ITEMS\product\7\9\Meadow-Burke-PC-4-Snap-On-Paving-Chair-w-Base.jpg,Meadow Burke,"Meadow-Burke PC-4 Snap-On Paving Chairs w/ Base 5""",,Chair height indicates the dimension from the bottom of the base to the steel (cover dimension). The round base provides solid support on grade. Nail slots in the base.,,"5"" For #4-#6 Rebar","Meadow-Burke PC-4 Snap-On Paving Chairs w/ Base 5"""
1224|28226,Specialty Nuts|Specialty Nuts,207188,CN-5 Coil Nut - Standard,,E:\IMAGES\ITEMS\product\2\0\CN-5-Coil-Nut.jpg,Meadow Burke,,,,,"Dia: 1/2"", Safe Work Loads: 4500 lbs.",CN-5 Coil Nut - Standard
1224|28226,Specialty Nuts|Specialty Nuts,207191,CN-5 Coil Nut - Standard,,E:\IMAGES\ITEMS\product\2\0\CN-5-Coil-Nut.jpg,Meadow Burke,CN-5 Coil Nut - Standard,,,,"Dia: 3/4"", Safe Work Loads: 9000 lbs.",CN-5 Coil Nut - Standard
1224|28226,Specialty Nuts|Specialty Nuts,207201,CN-5 Coil Nut - Standard,,E:\IMAGES\ITEMS\product\2\0\CN-5-Coil-Nut.jpg,Meadow Burke,CN-5 Coil Nut - Standard,,,,"Dia: 1"", Safe Work Loads: 18000 lbs.",CN-5 Coil Nut - Standard
592|26910,Shims|Shims,283115,Meadow Burke Shims,"Shims - Super Pak is an extremely tough polyvinyl material with a compressive strength of 8,000 psi. They aredesigned to quickly adjust for uneven footing and/or panels.",E:\IMAGES\ITEMS\product\2\8\Meadow-Burke.png,Meadow Burke,"Shims - Super Pak is an extremely tough polyvinyl material with a compressive strength of 8,000 psi. They aredesigned to quickly adjust for uneven footing and/or panels.","Super shims can be purchased in case packages containing 30 setsof six 4” x 6” shims. Each set contains the following mix of shims: one 1/16” (yellow), two 1/8” (black) and three 1/4” (gray).",1/16”Thick - 1 Pcs 1/8”Thick - 2 Pcs 1/4”Thick - 3 Pcs,,Meadow Burke Shims,Meadow Burke Shims
1708|26851,Wall Reinforcement|Wall Reinforcements,400008,"RD-24 Pencil Rod (1/4"") Coils or Straight",,E:\IMAGES\ITEMS\product\4\0\RD-24-Pencil-Rod-14-Coils-or- 1.png,Meadow Burke,"The RD-24 Mild steel Pencil Rod is available in 1/4? diameter cut to 10', 20' or other specified length or in coils of approximately 600 feet (100 lbs.).",Packaging: 600 Lf 100 lbs.,,,"RD-24 Pencil Rod (1/4"") Coils or Straight","RD-24 Pencil Rod (1/4"") Coils or Straight"
26921,Concrete Form Ties,400163,ST-15 Steel Wedge,,E:\IMAGES\ITEMS\product\4\0\ST-15-Steel.png,Meadow Burke,,"Safe working load 3,250 lbs. For standard or heavy snapties. 100 pieces per box.",,,ST-15 Steel Wedge,ST-15 Steel Wedge
26758,Concrete Heavy Forming Accessories,400200,Continuous Coil Rod - CR-4 Hi-Strength,,E:\IMAGES\ITEMS\product\4\0\Continuous-Coil-Rod-CR-4-Hi.png,Meadow Burke,,,Two (2) standard coil nuts or one (1) heavy coil nut must be used to develop the safe working load.,,"Dia: 1/2"", Safe Work Load: 9000 lbs., Cutting Charge (100 pcs): 50",Continuous Coil Rod - CR-4 Hi-Strength
26758,Concrete Heavy Forming Accessories,400208,Continuous Coil Rod - CR-4 Hi-Strength,,E:\IMAGES\ITEMS\product\4\0\Continuous-Coil-Rod-CR-4-Hi.png,Meadow Burke,Continuous Coil Rod - CR-4 Hi-Strength,,Two (2) standard coil nuts or one (1) heavy coil nut must be used to develop the safe working load.,,"Dia: 3/4"", Safe Work Load: 18000 lbs., Cutting Charge (100 pcs): 100",Continuous Coil Rod - CR-4 Hi-Strength
26758,Concrete Heavy Forming Accessories,400210,Continuous Coil Rod - CR-4 Hi-Strength,,E:\IMAGES\ITEMS\product\4\0\Continuous-Coil-Rod-CR-4-Hi.png,Meadow Burke,Continuous Coil Rod - CR-4 Hi-Strength,,Two (2) standard coil nuts or one (1) heavy coil nut must be used to develop the safe working load.,,"Dia: 7/8"", Safe Work Load: 31000 lbs., Cutting Charge (100 pcs): 125",Continuous Coil Rod - CR-4 Hi-Strength
26758,Concrete Heavy Forming Accessories,400213,Continuous Coil Rod - CR-4 Hi-Strength,,E:\IMAGES\ITEMS\product\4\0\Continuous-Coil-Rod-CR-4-Hi.png,Meadow Burke,Continuous Coil Rod - CR-4 Hi-Strength,,Two (2) standard coil nuts or one (1) heavy coil nut must be used to develop the safe working load.,,"Dia: 1"", Safe Work Load: 38000 lbs., Cutting Charge (100 pcs): 125",Continuous Coil Rod - CR-4 Hi-Strength
597|26766|26865,Forming Accessories - Light Forming|Light Forming Accessories|Tilt Up,201016,RD-25 Pencil Pod Tightener,,E:\IMAGES\ITEMS\product\2\0\RD-25-Pencil-Pod.png,Meadow Burke,,,,,"Size: #1 - 1/4"" Rod, Weight: 1.5",RD-25 Pencil Pod Tightener
597|26766|26865,Forming Accessories - Light Forming|Light Forming Accessories|Tilt Up,201029,RD-25 Pencil Pod Tightener,,E:\IMAGES\ITEMS\product\2\0\RD-25-Pencil-Pod.png,Meadow Burke,,,,,"Size: #2 - 3/8"" Rod, Weight: 2.7",RD-25 Pencil Pod Tightener
597|26766|26865,Forming Accessories - Light Forming|Light Forming Accessories|Tilt Up,201032,RD-25 Pencil Pod Tightener,,E:\IMAGES\ITEMS\product\2\0\RD-25-Pencil-Pod.png,Meadow Burke,,,,,"Size: #3 - 1/2"" Rod, Weight: 2.7",RD-25 Pencil Pod Tightener
756|26772,Short End Snap Ties|Standard Snap Ties,311207,"ST-1 Snaptie - Standard 4-3/4"" End",,E:\IMAGES\ITEMS\product\3\1\ST-1-Snaptie-Standard-4-34.png,Meadow Burke,,RHW - round head with washer spreader.RHC - round head with cone spreader,Stock ties in boxes of 100 pcs only,,"Size: 6"", weight/100: 23.5, RHW","ST-1 Snaptie - Standard 4-3/4"" End"
756|26772,Short End Snap Ties|Standard Snap Ties,311401,"ST-1 Snaptie - Standard 4-3/4"" End",,E:\IMAGES\ITEMS\product\3\1\ST-1-Snaptie-Standard-4-34.png,Meadow Burke,,RHW - round head with washer spreader.RHC - round head with cone spreader,Stock ties in boxes of 100 pcs only,,"Size: 7"", weight/100: 24.7, RHW","ST-1 Snaptie - Standard 4-3/4"" End"
756|26772,Short End Snap Ties|Standard Snap Ties,311508,"ST-1 Snaptie - Standard 4-3/4"" End",,E:\IMAGES\ITEMS\product\3\1\ST-1-Snaptie-Standard-4-34.png,Meadow Burke,,RHW - round head with washer spreader.RHC - round head with cone spreader,Stock ties in boxes of 100 pcs only,,"Size: 7-5/8"", weight/100: 25.4, RHW","ST-1 Snaptie - Standard 4-3/4"" End"
