category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
25954,Disposable Respirators,4200,4200N95 Series AirWave®  Disposable Respirators,,E:\IMAGES\ITEMS\product\4\2\Moldex-4200N95-Series-Air-Wave-Disposable.jpg,Moldex,,"Exclusive easy-breathing wave design Less resistance than other leading disposable respirators Even less exhale resistance than the leading valved respirators Unique waves double the filter surface area of our comparable respirator  Dura-Mesh shell provides bi-directional protection from dirt on the outside and moisture on the inside FlexFit design expands and contracts as you move and speak, for optimal comfort Pinch-free molded nose bridge eliminates metal nose-band readjustment and discomfort Exclusive easy-breathing wave design","Breathes easier by design     AirWave®  — the valve-free respirator that breathes easier:    Less resistance than other leading disposable respirators*   Even less exhale resistance than the leading valved respirators*     More surface, more airflow The outstanding performance of   AirWave®is due to its patented, wave design technology. It allows more airflow in and out of the respirator for cool comfort and  easier breathing.         Unique waves double the filter surface area of our comparable respirator                 Dura-Mesh®    shell provides bi-directional protection from dirt on the outside  and moisture on the inside     Comfort inside and out By providing more surface area, AirWave ensures cool comfort inside the respirator, without a valve. Plus our exclusive    FlexFit®design provides added comfort and compliance over time.          FlexFit®      design expands and contracts as you move and speak, for optimal comfort         Pinch-free molded nose bridge eliminates metal nose-band  readjustment and discomfort  Applications  	Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. No oils present. Note: For areas with oils present, you must use an R or P respirator. Call our Technical Support Department for more details.  Features Exclusive easy-breathing wave design    Less resistance, better breathability*      Ideal where unvalved respirators are preferred      Less cost than valved respirators      Longer wear means less cost          Softspun®  lining for increased comfort and durability.          Soft foam nose cushion and contour shaped for comfort     Pinch free nose bridge                     Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.",,Medium/Large,4200N95 Series AirWave®  Disposable Respirators
25954,Disposable Respirators,1200N95,1200N95 Series Dirt Dawgs®  Particulate Respirator,,E:\IMAGES\ITEMS\product\1\2\Moldex-1200N95-Series-Dirt-Dawgs-Particulate.jpg,Moldex,,100% PVC-Free Durability at an affordable price. Dura-Mesh shell resists collapsing in heat and humidity. Molded nose bridge seals easily without a metal noseband. Facepiece is naturally contoured without pressure points. Straps are securely attached so they don’t break at the seal. Softspun lining for increased comfort and durability. NIOSH certified to have a filter efficiency of 95% or greater for non-oil based particulates. Certified under 42CFR84. Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.,"last longer, use fewer  Take a bite out of your disposable respirator costs with Dirt Dawgs®! The Dura-Mesh®shell, exclusive to Moldex® protects the filter  media so it stays cleaner-looking longer. The  shell resists collapsing, even in heat and  humidity so the respirator holds its shape  longer. The result is fewer respirators used  and lower costs.  easy fit, more comfort The molded nose bridge provides the  wearer an easy comfortable fit. There’s no  metal noseband to adjust, and the seal is  maintained without pressure points.  The Softspun® lining is soft to the touch,  which means workers won’t mind wearing it  for an entire shift. Applications  	Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. No oils present. Note: For areas with oils present, you must use an R or P respirator. Call our Technical Support Department for more details.  Features    	100% PVC-Free®.  	Durability at an  affordable price.      		  Dura-Mesh® shell resists  	  collapsing in heat and  	  humidity.      		  Molded nose bridge  	  seals easily without  	  a metal noseband.      		  Facepiece is naturally  	  contoured without  	  pressure points.      		  Straps are securely  	  attached so they don’t  	  break at the seal.      		  Softspun® lining for  	  increased comfort  	  and durability.      		  NIOSH certified to have a  	  filter efficiency of 95% or  	  greater for non-oil based  	  particulates.      	  Certified under 42CFR84.  Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.",,Medium/Large,1200N95 Series Dirt Dawgs®  Particulate Respirator
25954,Disposable Respirators,2200N95HV,High Visibility Particulate Respirator,,E:\IMAGES\ITEMS\product\2\2\Moldex-2200N95HV-High-Visibility-Particulate.jpg,Moldex,,"100% PVC-Free High visibility green color stands out in a crowd. Easy compliance checks. Collapse-resistant Dura-Mesh shell. Contour molded nose bridge comfortably fits the wearer's face. No uncomfortable metal noseband to pinch. Softspun inner lining feels soft on the face. Soft foam nose cushion eliminates pressure points. Proven durability and cost savings. Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1. The bright green color is a trademark of Moldex-Metric, Inc. and also provides easy compliance checks.",,,Moldex 2200N95HV High Visibility Particulate Respirator,High Visibility Particulate Respirator
25954,Disposable Respirators,2200N95,2200N95 Series Particulate Respirators,,E:\IMAGES\ITEMS\product\2\2\Moldex-2200N95-Series-Particulate.jpg,Moldex,,100% PVC-Free Available in three sizes to fit more workers and increase OSHA compliance. Dura-Mesh shell resists collapsing in heat and humidity. Molded nose bridge seals easily without a metal noseband. Facepiece is naturally contoured without pressure points. Straps are securely attached so they don’t break at the seal. Softspun lining for increased comfort and durability. Soft foam nose cushion for added comfort. Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.,"easy fit, more comfort  The molded nose bridge with soft  foam nose cushion provides the wearer  an easy comfortable fit. There’s no  metal noseband to adjust and the seal  is maintained without pressure points. last longer, use fewer  The Dura-Mesh® shell, exclusive to  Moldex®, protects the filter media so it  stays cleaner-looking longer. The shell  resists collapsing, even in heat and  humidity so the respirator holds its  shape longer. The result is fewer respirators used and lower costs.  Applications  	Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. No oils present. Note: For areas with oils present, you must use an R or P respirator. Call our Technical Support Department for more details.  Features    	100% PVC-Free®.      		  Available in three sizes to fit more workers and increase OSHA compliance. 		  Dura-Mesh® shell resists  	  collapsing in heat and  	  humidity.      		  Molded nose bridge  	  seals easily without  	  a metal noseband.      		  Facepiece is naturally  	  contoured without  	  pressure points.      		  Straps are securely  	  attached so they don’t  	  break at the seal.      		  Softspun® lining for  	  increased comfort  	  and durability.      		  Soft foam nose cushion  	  for added comfort.     	Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.",,Medium/Large,2200N95 Series Particulate Respirators
25964,Nuisance Dust and Procedural Masks,2112N95,FastFit Flat Fold Particulate Respirator,,E:\IMAGES\ITEMS\product\2\1\Moldex-2112N95-FastFit-Flat-Fold-Particulate.jpg,Moldex,,"Flat fold convenience with contour molded comfort Quick and easy to put on, unlike any other flat fold Individually packaged for hygiene Packed in a dispenser box for easy access Exclusive Dura-Mesh shell resists collapsing in heat and humidity Molded nose bridge with soft foam nose cushion increases comfort and seals easily without a metal noseband Softspun lining for increased comfort and durability Proven durability and cost savings Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1 NIOSH certified to have a filter efficiency of 95% or greater for non-oil based particulates Certified under 42CFR84",,,Moldex 2112N95 FastFit Flat Fold Particulate Respirator,FastFit Flat Fold Particulate Respirator
25954,Disposable Respirators,2300N95,2300N95 series particulate respirators with exhale valve,,E:\IMAGES\ITEMS\product\2\3\Moldex-2300N95-Series-Particulate-Respirators-with-Exhale.jpg,Moldex,,"100% PVC-Free Available in three sizes to fit most workers in today's workplace. Exhale valve lets workers breathe easy and stay cool. Exclusive Dura-Mesh shell resists collapsing in  heat and humidity. Molded nosebridge seals easily and comfortably without a metal noseband. Facepiece is naturally contoured without pressure points. Soft, foam nose cushion for added comfort. Softspun lining for increased comfort and durability. Suitable for most welding applications. Meets heat and flame resistance in accordance with ANSI/ISEA 110.2003 Section 7.11.1.","stay cool on the job.  Workers stay cooler with an exhale valve    that reduces hot air build up. There’s less    breathing resistance and workers don’t    have to break midshift to cool off.  easy fit, more comfort.  The molded nosebridge with soft foam    nose cushion provides the wearer an    easy, comfortable fit. There’s no metal    noseband to adjust and the seal is    maintained without pressure points.  last longer, use fewer.  The exclusive Dura-Mesh® shell protects the filter    media so it stays cleaner-looking longer.    The shell resists collapsing, even in heat    and humidity so the respirator holds    its shape longer. The result is fewer    respirators used and lower costs.  suitable for welding.  2300 Series Particulate Respirators are    suitable for most welding applications.    Dura-Mesh® shell resists collapsing    in hot humid conditions common to most    welding applications. Meets heat and flame resistance in accordance with ANSI/ISEA 110.2003 Section 7.11.1. Applications  Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. No oils present. Note: For areas with oils present, you must use an R or P respirator. Call our Technical Support Department for more details.Features     100% PVC-Free®.    Available in three sizes to fit most workers in today's workplace.     Exhale valve lets workers      breathe easy and stay cool.     Exclusive Dura-Mesh® shell resists      collapsing in       heat and      humidity.     Molded nosebridge      seals easily and      comfortably without      a metal noseband.     Facepiece is naturally      contoured without  pressure points.     Soft, foam nose cushion      for added comfort.     Softspun® lining for      increased comfort      and durability.     Suitable for most welding      applications.    Meets heat and flame resistance in accordance with ANSI/ISEA 110.2003 Section 7.11.1.",,Medium/Large,2300N95 series particulate respirators with exhale valve
25954,Disposable Respirators,2310N99,Premium Particulate Respirator,,E:\IMAGES\ITEMS\product\2\3\Moldex-2310N99-Premium-Particulate.jpg,Moldex,,100% PVC-Free Can be used against most welding fumes. Exhale valve lets workers breathe easy and stay cool. Exclusive Dura-Mesh shell resists collapsing  in heat and humidity. Softspun liner for increased comfort and durability. Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1. Molded nose bridge with soft foam nose cushion. Facepiece is naturally contoured without pressure points. Straps are securely attached so they don’t break at the seal.,,,Moldex 2310N99  Premium Particulate Respirator,Premium Particulate Respirator
25954,Disposable Respirators,2400N95,2400N95 particulate respirator plus nuisance levels of ozone and organic vapors,,E:\IMAGES\ITEMS\product\2\4\Moldex-2400N95-Particulate-Respirator-Plus-Nuisance-Levels.jpg,Moldex,Medium/Large,100% PVC-Free Added carbon layer helps filter out nuisance levels of ozone and organic vapors (less than OSHA PEL). Can be used against most welding fumes (free of oil). Added carbon layer helps relieve against nuisance ozone and organic vapors. Exhale valve lets workers breathe easy and stay cool. Exclusive Dura-Mesh shell resists collapsing  in heat and humidity. Molded nose bridge with soft foam nose  cushion increases comfort. Facepiece is naturally contoured without pressure points. Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.,"n95 plus nuisance oV/Ozone relief NIOSH certified under 42CFR84 regulations to have a filter efficiency level of 95%    or greater against particulate aerosols free    of oil. Added carbon layer helps    filter out ozone    and organic vapor odors (less than OSHA PEL). Suitable for most    welding fumes (free of oil). Fits easily under welding    hoods.  cool and comfortable  Workers stay cooler with an exhale valve    that reduces breathing resistance and hot    air build up.  soft foam nose cushion  Easier to wear and more comfortable.    Seals without a metal noseband. Dura-Mesh® shell lasts longer  The exclusive Dura-Mesh® shell protects the filter    media so it stays cleaner looking longer.    Plus it resists collapsing, even in heat and    humidity so the respirator holds its shape    longer. The result is fewer respirators used and lower cost. Applications Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. Welding and foundry operations, lab settings, agriculture, chemical processing, printing, food processing, paint and varnish manufacturing, waste processing and sewage treatment. No oils present. Features    	100% PVC-Free®. 	Added carbon layer helps filter out nuisance  	  levels of ozone and organic vapors (less than OSHA PEL).  	 	 Can be used against most  	  welding fumes (free of oil).  	 Exhale valve lets workers  	  breathe easy and stay cool.  	 Exclusive Dura-Mesh® shell resists  	  collapsing   	  in heat and  	  humidity.  	 Molded nose bridge with  	  soft foam nose   	  cushion  	  increases comfort.  	 Facepiece is naturally  	  contoured without pressure points.  	Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003  	  Section 7.11.1.",,Moldex 2400N95 Particulate Respirator Plus Nuisance Levels of Ozone and Organic Vapors,2400N95 particulate respirator plus nuisance levels of ozone and organic vapors
25954,Disposable Respirators,2500N95,2400N95 particulate respirator plus nuisance levels of ozone and organic vapors,,E:\IMAGES\ITEMS\product\2\5\Moldex-2500N95-Particulate-Respirator-Plus-Nuisance-Levels.jpg,Moldex,Medium/Large,100% PVC-Free Plus Relief From Nuisance Levels (less than OSHA Permissible Exposure Limit) of Acid Gas Irritants. Added sorbent helps filter out nuisance levels of  acid gas irritants. Exhale valve lets workers breathe easy and stay cool. Dura-Mesh shell resists collapsing in heat and humidity. Softspun lining for increased comfort and durability. Molded nose bridge with soft foam nose  cushion increases comfort. Facepiece is naturally contoured without pressure points. Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1,"n95 plus nuisance acid gas relief   NIOSH certified under 42CFR84    regulations to have a filter efficiency    level of 95% or greater against particulate aerosols free of oil up to 10XPEL.    Added sorbent helps relieve workers    of nuisance levels (less than OSHA    Permissible Exposure Limit) of Acid    Gas Irritants. The 2500N95 can be used    when oil aerosols are not present in    industries such as aluminum reduction,    paper mills, coal-fired utility plants,    petrochemicals, chemical processing    and glass etching. cool and comfortable  Workers stay cooler with an exhale  valve that reduces breathing resistance  and hot air build up. Soft foam nose  cushion is comfortable. Seals without a  metal noseband. Dura-Mesh® shell lasts longer  The Dura-Mesh® shell protects the  filter media so it stays cleaner looking  longer. The shell resists collapsing, even  in heat and humidity so the respirator  holds its shape longer. The result is  fewer respirators used and lower cost. Applications Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. Aluminum, copper, zinc, brass, bronze smelters, glass etching, paper mills, breweries, fertilizer production, ceramic and clay processing, and chemical processing. No oils present. Features    	100% PVC-Free®.  	Plus relief from nuisance  	  levels (less than OSHA  	  permissible exposure  	  limit) of acid gas irritants.      Exhale valve lets workers  	  breathe easy and stay cool.      		  Dura-Mesh® shell resists  	  collapsing in heat and  	  humidity.      		  Softspun® lining for  	  increased comfort and  	  durability.     	  Molded nose bridge with  	  soft foam nose   	  cushion  	  increases comfort.      		  Facepiece is naturally  	  contoured without  	  pressure points.     	Meets heat and flame resistance in accordance with ANSI/ISEA 110-2003 Section 7.11.1.",,Moldex 2500N95 Particulate Respirator Plus Nuisance Levels Of Acid Gas Irritants,2400N95 particulate respirator plus nuisance levels of ozone and organic vapors
25954,Disposable Respirators,2600N95,2600N95 particulate respirators with HandyStrap®,,E:\IMAGES\ITEMS\product\2\6\Moldex-2600N95-Particulate-Respirators-With.jpg,Moldex,,"100% PVC-Free HandyStrap with buckle, allows mask to hang down around the user's neck when not in use Cloth HandyStrap feels cool and comfortable. Soft foam nose cushion for added comfort  and no pressure points Exclusive HandyStrap shell resists collapsing  in heat and humidity. Softspun lining for increased comfort and durability. Available in two sizes, for most workers and OSHA compliance.","hangs loose!   HandyStrap® allows mask to conveniently    hang down around the user's neck. You’ll find it’s a convenient place to keep it when you’re not using    it. And during wear the elastic cloth strap    feels comfortable and cool. soft foam nose cushion.  Easier to wear and more all-day comfort  for the majority of the work force. Contoured nose  bridge with a soft foam nose cushion for  comfortable seal. Comes without a metal  noseband to adjust. Dura-Mesh® shell lasts longer.  The exclusive Dura-Mesh® shell protects the  filter media so it stays cleaner-looking longer.  The shell also resists collapsing in hot, humid  environments so the respirator holds its shape  longer. The result is fewer respirators used and  lower costs. Applications  	Hot, humid and dusty environments such as welding, soldering and brazing, grinding, sanding, sweeping, bagging, stone quarrying, metal machining, cement, underground mining, polishing, buffing, lime, poultry and textiles. No oils present. Note: For areas with oils present, you must use an R or P respirator. Call our Technical Support Department for more details.  Features    	100% PVC-Free®.  	HandyStrap® with  	  buckle, allows mask  	  to hang down around the user's neck  	  when not in use.      		  Cloth HandyStrap®  	  feels cool and  	  comfortable.      		  Soft foam nose cushion  	  for added comfort   	  and  	  no pressure points.      		  Exclusive Dura-Mesh® shell  	  resists collapsing   	  in  	  heat and humidity.      		  Softspun®  lining for  	  increased comfort  	  and durability.      		  Available in two sizes,  	  for most workers and  	  OSHA compliance.",,Medium/Large,2600N95 particulate respirators with HandyStrap®
