category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
13|28084,Generators|Stationary Generators,GDP5H,Generator,The industry's only generator that simultaneously produces 60Hz/180Hz power for standard tools and high-cycle vibrators. Powered by a Honda GX340 engine this unit takes the place of two generators. Ideal for the professional contractor.,E:\IMAGES\ITEMS\product\G\D\Multiquip-GDP5H.jpg,Multiquip,Multiquip GDP5H Generator,Powers up to three 2-inch (50 mm) FXA-series high cycle vibrators  Control panel has separate 60Hz and 180Hz outlets Folding lifting bale is standard equipment Standard voltmeter assists in troubleshooting Produces 3.6kW of continuous 120/240-volt 60-cycle power for standard power tools,The industry's only generator that simultaneously produces 60Hz/180Hz power for standard tools and high-cycle vibrators. Powered by a Honda GX340 engine this unit takes the place of two generators. Ideal for the professional contractor.,,Multiquip GDP5H Generator,Generator
19|23821,Paddle Mixers - Hand Held|Concrete Mixers,CX100HF,Collomix Hand Held Paddle Mixer,Variable Electronic RPM Speed control. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with the WK120HF Mixing Paddle.,E:\IMAGES\ITEMS\product\C\X\Multiquip-CX100HF-Collomix-Hand-Held-Paddle.jpg,Multiquip,"Professional Hand Mixer, 110V 7.2A ,1.1HP Universal Electric Motor",Powerful 110V 7.2A 1.1HP Universal Electric Motor Single gear design - 790 RPM Variable Electronic RPM Speed control Single gear design - 790 RPM Mixing Capacity - 1.4 cuft. (10) Gallons Optimized torque to paddle design Standard - HEXAFIX Quick disconnect paddle coupler Standard - (1) WK120HF Mixing Paddle Ergonomic designed high-impact polyethylene hand grip Safety lock start switch Guard handle protection bars Weight w/paddle: 8.4 lbs,Variable Electronic RPM Speed control. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with the WK120HF Mixing Paddle.,,Multiquip CX100HF Collomix Hand Held Paddle Mixer,Collomix Hand Held Paddle Mixer
19|23821,Paddle Mixers - Hand Held|Concrete Mixers,CX300HF,Collomix Hand Held Paddle Mixer,Easy gear shift toggle design. Variable Electronic RPM Speed control. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with WK10HF Mixing Paddle.,E:\IMAGES\ITEMS\product\C\X\Multiquip-CX300HF-Collomix-Hand-Held-Paddle.jpg,Multiquip,"Professional Hand Mixer, 2- Speed, 110V 7.2A 1.1HP Universal Electric Motor",Powerful 110V 7.2A 1.1HP Universal Electric MotorDual gear design - 470/890 RPMEasy gear shift toggle designVariable Electronic RPM Speed controlMixing Capacity - 2.3 cuft. (17) GallonsOptimized torque to paddle designStandard - HEXAFIX Quick disconnect paddle couplerStandard - (1) WK120HF Mixing PaddleErgonomic designed high-impact polyethylene hand gripSafety lock start switchGuard handle protection barsWeight w/paddle: 10.0 lbs,Easy gear shift toggle design. Variable Electronic RPM Speed control. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with WK10HF Mixing Paddle.,,Multiquip CX300HF Collomix Hand Held Paddle Mixer,Collomix Hand Held Paddle Mixer
19|23821,Paddle Mixers - Hand Held|Concrete Mixers,CX600HF,Collomix Hand Held Paddle Mixer,Easy gear shift toggle design. Variable Electronic RPM Speed control. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with MK160HF Mixing Paddle.,E:\IMAGES\ITEMS\product\C\X\Multiquip-CX600HF-Collomix-Hand-Held-Paddle.jpg,Multiquip,"Profesioanl Hand Mixer, 2-Speed, 110V 12.7A 1.9HP Universal Electric Motor",Powerful 110V 12.7A 1.9HP Universal Electric MotorDual gear design - 490/620 RPMEasy gear shift toggle designVariable Electronic RPM Speed controlMixing Capacity - 3.2 cuft. (24) GallonsOptimized torque to paddle designStandard - HEXAFIX Quick disconnect paddle couplerStandard - (1) MK160HF Mixing PaddleErgonomic designed high-impact polyethylene hand gripSafety lock start switchGuard handle protection barsWeight w/paddle: 13.5 lbs,Easy gear shift toggle design. Variable Electronic RPM Speed control. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with MK160HF Mixing Paddle.,,Multiquip CX600HF Collomix Hand Held Paddle Mixer,Collomix Hand Held Paddle Mixer
19|23821,Paddle Mixers - Hand Held|Concrete Mixers,CX22DUOE,Collomix Hand Held Paddle Mixer,Highly efficient Dual counter-rotating paddle design. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with dual MKD120HF Mixing Paddles.,E:\IMAGES\ITEMS\product\C\X\Multiquip-CX22DUOE-Collomix-Hand-Held-Paddle.jpg,Multiquip,"Professional Hand Mixer, 2-Speed,  230V 4.4A 1.3HP Universal Electric Motor",Powerful 230V 4.4A 1.3HP Universal Electric Motor - (E)Dual gear design - 400/520 RPMEasy gear shift toggle designVariable Electronic RPM Speed controlMixing Capacity - 1.8 cuft. (13) GallonsHighly efficient Dual counter-rotating paddle designOptimized torque to paddle designStandard - HEXAFIX Quick disconnect paddle couplerStandard - (1) MKD120HF Mixing Paddle PairErgonomic designed high-impact polyethylene hand gripSafety lock start switchGuard handle protection barsWeight w/paddle: 16.7 lbs,Highly efficient Dual counter-rotating paddle design. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with dual MKD120HF Mixing Paddles.,,Multiquip CX22DUOE Collomix Hand Held Paddle Mixer,Collomix Hand Held Paddle Mixer
19|23821,Paddle Mixers - Hand Held|Concrete Mixers,CX44DUO,Collomix Hand Held Paddle Mixer,Highly efficient Dual counter-rotating paddle design. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with dual MKD140HF Mixing Paddles.,E:\IMAGES\ITEMS\product\C\X\Multiquip-CX44DUO-Collomix-Hand-Held-Paddle.jpg,Multiquip,"Professional Hand Mixer, 2-Speed, 110V 12.7A 1.9HP Universal Electric Motor.",Powerful 110V 12.7A 1.9HP Universal Electric MotorDual gear design - 350/500 RPMEasy gear shift toggle designVariable Electronic RPM Speed controlMixing Capacity - 3.2 cuft. (24) GallonsHighly efficient Dual counter-rotating paddle designOptimized torque to paddle designStandard - HEXAFIX Quick disconnect paddle couplerStandard - (1) MKD140HF Mixing Paddle PairErgonomic designed high-impact polyethylene hand gripSafety lock start switchGuard handle protection barsWeight w/paddle: 21 lbs,Highly efficient Dual counter-rotating paddle design. Optimized torque to paddle design. Ergonomic designed high-impact polyethylene hand grip. Comes with dual MKD140HF Mixing Paddles.,,Multiquip CX44DUO Collomix Hand Held Paddle Mixer,Collomix Hand Held Paddle Mixer
20|23821,Grout Mixers|Concrete Mixers,POX 600,Collomix Hand Held Paddle Mixer,Very simple automatic mixer for smaller batch through put. Rotating plate and fixed mixing tool w/scrapper bar design provides for a consistent 1.4 cuft. mix capacity. Small footprint and rolling carriage assembly permits easy mobility.,E:\IMAGES\ITEMS\product\P\O\Multiquip-POX-600-Collomix-Hand-Held-Paddle.jpg,Multiquip,"Professional Mixing System, 110V 6A 3/4HP Electric Motor","One man operationPowerful 110V 6A 3/4HP Electric MotorFixed mixing tool with tub scrapper barTub rotation at 50 RPM'sConsistent mixing through putStandard 2.0 cuft polyethylene mixing tub included (Bucket17)Mixes: Most Cement mortars, Concrete, Plaster, Repair mortar, and Screeding materialsCompact and mobile. Fits thru doorways. 105 lbs.Dimensions: 24"" x 33"" x 31""\r\n",Very simple automatic mixer for smaller batch through put. Rotating plate and fixed mixing tool w/scrapper bar design provides for a consistent 1.4 cuft. mix capacity. Small footprint and rolling carriage assembly permits easy mobility.,,Multiquip POX 600 Collomix Hand Held Paddle Mixer,Collomix Hand Held Paddle Mixer
20|23821,Grout Mixers|Concrete Mixers,XM2 650,Collomix Hand Held Paddle Mixer,"The XM2 is a very high through-put ( 1 ton per hour) mixer designed for preparing a wide range of building materials. The high torque planetary gear system processes materials from liquid to heavy viscous. Compact, powerful and mobile make it the perfect",E:\IMAGES\ITEMS\product\X\M\Multiquip-XM2-650-Collomix-Hand-Held-Paddle.jpg,Multiquip,"Professional Automatic Mixing System, 110V 21A 1.5HP Electric Motor","Powerful 110V 21A 1.5HP Electric MotorMulti-gear drive planetary gear designMixing Capacity 1.6 cu.ftThree removable mixing tools for easy clean-up Rim scrapper device to safeguard against material build-up Built-in timer for consistent mixing results and repeatabilityStandard 2.0 cuft polyethylene mixing tub included (Bucket17)Mixes: Concrete, Epoxy-based mortar, Screeding, grout, Self-leveling underlayments, toppings, adhesives and all other 2-component compoundsCompact and mobile. Fits thru doorways. 300 lbs.Dimensions: 43"" x 29"" x 34""","The XM2 is a very high through-put ( 1 ton per hour) mixer designed for preparing a wide range of building materials. The high torque planetary gear system processes materials from liquid to heavy viscous. Compact, powerful and mobile make it the perfect one-man operating mixer.",,Multiquip XM2 650 Collomix Hand Held Paddle Mixer,Collomix Hand Held Paddle Mixer
13|28084|28314,Generators|Stationary Generators|Rental Towable Generators,DCA10SPX,Generator,Our compact and portable single-phase WhisperWatt Super-Silent Generators come fully equipped with just about every control and convenience feature imaginable. They are great sources of power for many applications including construction and residential.,E:\IMAGES\ITEMS\product\D\C\Multiquip-DCA10SPX.jpg,Multiquip,Multiquip DCA10SPX Generator,WhisperWatt Super-Silent,Our compact and portable single-phase WhisperWatt Super-Silent Generators come fully equipped with just about every control and convenience feature imaginable. They are great sources of power for many applications including construction and residential.,,Multiquip DCA10SPX Generator,Generator
91|28084,Generators > 10Kw|Stationary Generators,TLG12SPX,Generator,Our compact and portable single-phase WhisperWatt Super-Silent Generators come fully equipped with just about every control and convenience feature imaginable. They are great sources of power for many applications including construction and residential.,E:\IMAGES\ITEMS\product\T\L\Multiquip-TLG12SPX.jpg,Multiquip,Multiquip TLG12SPX Generator,WhisperWatt Super-Silent,Our compact and portable single-phase WhisperWatt Super-Silent Generators come fully equipped with just about every control and convenience feature imaginable. They are great sources of power for many applications including construction and residential.,,Multiquip TLG12SPX Generator,Generator
