category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
19530,Caulk Guns,46435,SKELETON CAULK GUN,Caulking Gun,E:\IMAGES\ITEMS\product\4\6\SKELETON-CAULK.jpg,Newborn Brothers Co.,Caulking Gun,5:1 Ratio10 oz.,,,Newborn Brothers - SKELETON CAULK GUN,SKELETON CAULK GUN
19530,Caulk Guns,46420,Quart Cradle Ratchet Rod,Caulking Gun,E:\IMAGES\ITEMS\product\4\6\Quart-Cradle-Ratchet.jpg,Newborn Brothers Co.,Caulking Gun,3:1 Ratio,,,Newborn Brothers - Quart Cradle Ratchet Rod,Quart Cradle Ratchet Rod
19530,Caulk Guns,077,Cradle Ratchet Rod Caulking Gun,10 oz. Caulking Gun,E:\IMAGES\ITEMS\product\0\7\Cradle-Ratchet-Rod-Caulking.jpg,Newborn Brothers Co.,10 oz. Caulking Gun,5:1 RatioCradle Ratchet Rod,,,Newborn Brothers - Cradle Ratchet Rod Caulking Gun,Cradle Ratchet Rod Caulking Gun
19530,Caulk Guns,46438,Quart Skeleton Ratchet Rod,Quart Skeleton Ratchet Rod Caulking Gun,E:\IMAGES\ITEMS\product\4\6\Quart-Skeleton-Ratchet.jpg,Newborn Brothers Co.,Quart Skeleton Ratchet Rod Caulking Gun,10:1 Ratio,,,Newborn Brothers - Quart Skeleton Ratchet Rod,Quart Skeleton Ratchet Rod
19530,Caulk Guns,215,Quart Cradle Ratchet Rod,Quart Cradle Ratchet Rod Caulking Gun,E:\IMAGES\ITEMS\product\2\1\Quart-Cradle-Ratchet.jpg,Newborn Brothers Co.,Quart Cradle Ratchet Rod Caulking Gun,6:1 Ratio,,,Newborn Brothers - Quart Cradle Ratchet Rod,Quart Cradle Ratchet Rod
19530,Caulk Guns,250,10 oz Revolving Skeleton Frame Smooth Rod Caulking Gun,10 Oz. Revolving Skeleton Frame Caulking Gun,E:\IMAGES\ITEMS\product\2\5\10-oz-Revolving-Skeleton-Frame-Smooth-Rod-Caulking.jpg,Newborn Brothers Co.,10 Oz. Revolving Skeleton Frame Caulking Gun,18:1 Ratio,,,10 oz Revolving Skeleton Frame Smooth Rod Caulking Gun,10 oz Revolving Skeleton Frame Smooth Rod Caulking Gun
817|26731,Epoxy|Concrete Epoxy Injection,535 XSP,2 Part Epoxy Gun,Epoxy Gun,E:\IMAGES\ITEMS\product\5\3\2-Part-Epoxy.jpg,Newborn Brothers Co.,Epoxy Gun,2 Part Epoxy GunComfort grip handle,,,Newborn Brothers - 2 Part Epoxy Gun,2 Part Epoxy Gun
19530,Caulk Guns,624 GTS,Caulking Gun for Bulk/Sausage,Caulking gun for 24 Oz. Sausage/Bulk Pack,E:\IMAGES\ITEMS\product\6\2\Caulking-Gun-for- 1.jpg,Newborn Brothers Co.,Caulking gun for 24 Oz. Sausage/Bulk Pack,24 Oz. CapacityComfort Grip Handle,,,Newborn Brothers - Caulking Gun for Bulk/Sausage,Caulking Gun for Bulk/Sausage
19530,Caulk Guns,750 XSP,750 ML Dual Comp. Gun Manual,Manual Dual Comp Gun,E:\IMAGES\ITEMS\product\7\5\750-ML-Dual-Comp-Gun.jpg,Newborn Brothers Co.,Manual Dual Comp Gun,Comfort Grip Handle,,,Newborn Brothers - 750 ML Dual Comp. Gun Manual,750 ML Dual Comp. Gun Manual
19533,Epoxy Applicator Accessories,FPT 02,Follow Plate for 2 Gallons,Follow Plate,E:\IMAGES\ITEMS\product\F\P\Follow-Plate-for-2.jpg,Newborn Brothers Co.,Follow Plate,Metal Follow Plate,,,Follow Plate for 2 Gallons,Follow Plate for 2 Gallons
19533,Epoxy Applicator Accessories,FPT 05,Follow Plate for 5 Gallons,Follow Plate,E:\IMAGES\ITEMS\product\F\P\Follow-Plate-for-5.jpg,Newborn Brothers Co.,Follow Plate,Metal Follow PlateWith Quick Connect and Disconnect,,,Follow Plate for 5 Gallons,Follow Plate for 5 Gallons
19533,Epoxy Applicator Accessories,LC2,"2"" Leather Piston Packing Kit",Leather Piston Packing Kit,E:\IMAGES\ITEMS\product\L\C\2-Leather-Piston-Packing.jpg,Newborn Brothers Co.,Leather Piston Packing Kit,Two Leather Cups with Washer,,,"2"" Leather Piston Packing Kit","2"" Leather Piston Packing Kit"
19533,Epoxy Applicator Accessories,LH36A,Bulk Gun Ladder Hook,Ladder Hook,E:\IMAGES\ITEMS\product\L\H\Bulk-Gun-Ladder.jpg,Newborn Brothers Co.,Ladder Hook,Black Bulk Gun Ladder Hook,,,Bulk Gun Ladder Hook,Bulk Gun Ladder Hook
24074,Mud and Paint Mixer Attachments,MX02,"22""Tall 4""Wide Catalyst Mixer",Catalyst Mixer,E:\IMAGES\ITEMS\product\M\X\22Tall-4Wide-Catalyst.jpg,Newborn Brothers Co.,Catalyst Mixer,Metal Catalyst Mixer,,,"22""Tall 4""Wide Catalyst Mixer","22""Tall 4""Wide Catalyst Mixer"
19530,Caulk Guns,OV18,"1/4"" Oval End Metal Nozzle",Oval End Metal Caulking Nozzle,E:\IMAGES\ITEMS\product\O\V\14-Oval-End-Metal.jpg,Newborn Brothers Co.,Oval End Metal Caulking Nozzle,Metal Nozzle,,,"1/4"" Oval End Metal Nozzle","1/4"" Oval End Metal Nozzle"
19530,Caulk Guns,OV21,"3/8"" Oval End Metal Nozzle",Oval End Caulking Nozzle,E:\IMAGES\ITEMS\product\O\V\38-Oval-End-Metal.jpg,Newborn Brothers Co.,Oval End Caulking Nozzle,Oval Ended Metal Caulking Nozzle,,,"3/8"" Oval End Metal Nozzle","3/8"" Oval End Metal Nozzle"
19530,Caulk Guns,OV25,"1/2"" Oval End Metal Nozzle",Oval End Metal Nozzle,E:\IMAGES\ITEMS\product\O\V\12-Oval-End-Metal.jpg,Newborn Brothers Co.,Oval End Metal Nozzle,Oval End Metal Caulking Nozzle,,,"1/2"" Oval End Metal Nozzle","1/2"" Oval End Metal Nozzle"
19530,Caulk Guns,PC58,Green Plastic Cone,Green Plastic Caulking Cone,E:\IMAGES\ITEMS\product\P\C\Green-Plastic.jpg,Newborn Brothers Co.,Green Plastic Caulking Cone,"Green Plastic to be used with 2"" Barrel (with RCP-60 Ring Cap)",,,Newborn Brothers - Green Plastic Cone,Green Plastic Cone
19530,Caulk Guns,PC620,Yellow Plastic Cone,Yellow Plastic Caulking Cone,E:\IMAGES\ITEMS\product\P\C\Yellow-Plastic.jpg,Newborn Brothers Co.,Yellow Plastic Caulking Cone,Yellow Plastic Cone to be used with Model 620-AL,,,Newborn Brothers - Yellow Plastic Cone,Yellow Plastic Cone
19530,Caulk Guns,R9,Round End Metal Nozzle,"1/2"" Round End Metal Nozzle",E:\IMAGES\ITEMS\product\R\9\Round-End-Metal.jpg,Newborn Brothers Co.,"1/2"" Round End Metal Nozzle",Round End Caulking Nozzle,,,Newborn Brothers - Round End Metal Nozzle,Round End Metal Nozzle
