category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
19675|28278,Cleaning Floor Polishers|Rental Floor Equipment,SPINTEC 343H,SPINTEC 343 H High Speed Single Disc Polisher,Nilfisk-Alto SPINTEC 343 H High Speed Single Disc Polisher,E:\IMAGES\ITEMS\product\S\P\Nilfisk-Alto-SPINTEC-343-H-High-Speed-Single-Disc.jpg,Nilfisk-Alto,Nilfisk-Alto SPINTEC 343 H High Speed Single Disc Polisher,"Belt driven with offset motor. Rugged steel tube and frame resist knocks and bumps without breaking. Long life with a minimum of service costs. Cable hook, where the cable can be easily wind up on the machine. Extruded vinyl bumper protects the inventory and machine from damages. Adjustable handle.","This SPINTEC 343 H polisher is designed for medium-duty usage suitable for scrubbing and high speed floor polishing.  This SPINTEC 343 polisher is designed for medium-duty usage suitable for scrubbing, wet/dry polishing, shampooing and floor polishing.",,High Speed,SPINTEC 343 H High Speed Single Disc Polisher
19675|28278,Cleaning Floor Polishers|Rental Floor Equipment,SPINTEC 343,Low Speed Single Disc Polisher,Nilfisk-Alto SPINTEC 343 Low Speed Single Disc Polisher,E:\IMAGES\ITEMS\product\S\P\Nilfisk-Alto-SPINTEC-343-Low-Speed-Single-Disc.jpg,Nilfisk-Alto,Nilfisk-Alto SPINTEC 343 Low Speed Single Disc Polisher,"Belt driven with offset motor. Rugged steel tube and frame resist knocks and bumps without breaking. Long life with a minimum of service costs. Cable hook, where the cable can be easily wind up on the machine. Extruded vinyl bumper protects the inventory and machine from damages. Adjustable handle","This SPINTEC 343 polisher is designed for medium-duty usage suitable for scrubbing, wet/dry polishing, shampooing and floor polishing.  This SPINTEC 343 H polisher is designed for medium-duty usage suitable for scrubbing and high speed floor polishing.",,Low Speed,Low Speed Single Disc Polisher
19675|28278,Cleaning Floor Polishers|Rental Floor Equipment,SPIN 43 LOW SPEED,Single Disc Polisher,Nilfisk-Alto SPIN 43 Low Speed Single Disc Polisher,E:\IMAGES\ITEMS\product\S\P\Nilfisk-Alto-SPIN-43-Low-Speed-Single-Disc.jpg,Nilfisk-Alto,Nilfisk-Alto SPIN 43 Low Speed Single Disc Polisher,"Belt driven with offset motor. Rugged steel tube and frame resist knocks and bumps without breaking. Long life with a minimum service cost. Cable hook, where the cable can be easily wind up on the machine. Extruded vinyl bumper protects the inventory and machine from damages. Adjustable handle","430 mm disc polisher - exceeds the toughest demands  This ALTO SPIN 43 polisher exceeds the demands for stripping, scrubbing, wet/dry polishing, shampooing and floor polishing. Leaves a clean floor with high gloss.",,Nilfisk-Alto SPIN 43 Low Speed Single Disc Polisher,Single Disc Polisher
19675|28278,Cleaning Floor Polishers|Rental Floor Equipment,SPIN 43 HIGH SPEED,Single Disc Polisher,Nilfisk-Alto SPIN 43 High Speed Single Disc Polisher,E:\IMAGES\ITEMS\product\S\P\Nilfisk-Alto-SPIN-43-High-Speed-Single-Disc.jpg,Nilfisk-Alto,Nilfisk-Alto SPIN 43 High Speed Single Disc Polisher,"Belt driven with offset motor. Rugged steel tube and frame resist knocks and bumps without breaking. Long life with a minimum of service costs. Cable hook, where the cable can be easily wind up on the machine. Extruded vinyl bumper protects the inventory and machine from damage. Adjustable handle","430 mm disc polisher - exceeds the toughest demands  This ALTO SPIN 43 polisher exceeds the demands for stripping, scrubbing, wet/dry polishing, shampooing and floor polishing. Leaves a clean floor with high gloss.",,Nilfisk-Alto SPIN 43 High Speed Single Disc Polisher,Single Disc Polisher
945|19675|28278,Floor Care|Cleaning Floor Polishers|Rental Floor Equipment,SPIN 43 DUO SPEED,Single Disc Polisher,Nilfisk-Alto SPIN 43 Duo Speed Single Disc Polisher,E:\IMAGES\ITEMS\product\S\P\Nilfisk-Alto-SPIN-43-Duo-Speed-Single-Disc.jpg,Nilfisk-Alto,Nilfisk-Alto SPIN 43 Duo Speed Single Disc Polisher,"Belt driven with offset motor. Rugged steel tube and frame resist knocks and bumps without breaking. Long life with a minimum of service costs. Cable hook, where the cable can be easily wind up on the machine. Extruded vinyl bumper protects the inventory and machine from damage. Adjustable handle","430 mm disc polisher - exceeds the toughest demands  This ALTO SPIN 43 polisher exceeds the demands for stripping, scrubbing, wet/dry polishing, shampooing and floor polishing. Leaves a clean floor with high gloss.",,Nilfisk-Alto SPIN 43 Duo Speed Single Disc Polisher,Single Disc Polisher
29054,Shop Vacuums,GM-80,SILVER BULLET HEPA VACUUM 38018 GAL / 120V / 1790132,,E:\IMAGES\ITEMS\product\G\M\nilfisk-alto-gm-80-silver-bullet-hepa-vacuum-38018-gal-120v-1790132.jpg,Nilfisk-Alto,"Nilfisk Model GM-80 HEPA-Filter Vacuum Includes: 30' Power Cord, 32MM Tapered Plastic Hose w/Curved Plastic Tube, 2 Straight Steel Wands and a package of 5 Paper Bags",,"Lightweight and portable, the Nilfisk GM 80 is a versatile machine providing the durability and performance required by dust control professionals. Featuring a 3 1/4-gallon tank capacity, it can be used in both portable and stationary applications. It features a standard multi-stage filtration system with a paper dust bag, main filter, microfilter and HEPA exhaust filter. The GM 80 has become a vacuum cleaner icon in a variety of industries.",,,SILVER BULLET HEPA VACUUM 38018 GAL / 120V / 1790132
29054,Shop Vacuums,11730410,MICRO FILTER FOR GM80,,E:\IMAGES\ITEMS\product\1\1\nilfisk-alto-11730410-cotton-micro-filter.jpg,Nilfisk-Alto,,,,,,MICRO FILTER FOR GM80
25948,Respiratory,61543000,REPLACEMENT STANDARD COTTON MAIN FILTER [RETAINS 0.998 @ 3 MICRONS],,E:\IMAGES\ITEMS\product\6\1\nilfisk-alto-61543000-replacement-standard-cotton-main-filter-retains-0998-3-microns.jpg,Nilfisk-Alto,,,,5715492004100.0,,REPLACEMENT STANDARD COTTON MAIN FILTER [RETAINS 0.998 @ 3 MICRONS]
29054,Shop Vacuums,81620000,FILTER BAGS FOR GM80 [5 BAGS PER PKT],,E:\IMAGES\ITEMS\product\8\1\nilfisk-alto-81620000-filter-bags-for-gm80-5-bags-per-pkt.jpg,Nilfisk-Alto,,,,,,FILTER BAGS FOR GM80 [5 BAGS PER PKT]
27689,Vacuum Hose,15805,10' HOSE COMPLETE,,E:\IMAGES\ITEMS\product\1\5\nilfisk-alto-15805-10-hose-complete.jpg,Nilfisk-Alto,,,,,,10' HOSE COMPLETE
19687,Vacuum Cleaner Attachments and Accessories,302000528,CHROME CURVED WAND,,E:\IMAGES\ITEMS\product\3\0\nilfisk-alto-302000528-chrome-curved-wand.jpg,Nilfisk-Alto,,,,,,CHROME CURVED WAND
19683,Shop Vacuum Cleaners,302004229,ATTIX 30 [8 GALLON] WET/DRY VACUUM 135CFM / 80SWLI [302000405],,E:\IMAGES\ITEMS\product\3\0\nilfisk-alto-302004229-attix-30-8-gallon-wetdry-vacuum-135cfm-80swli-302000405.jpg,Nilfisk-Alto,,,"The Nilfisk-ALTO Attix 30 is an 8 Gallon, wet/dry vacuum built to last. Equipped with Push & Clean semi-automatic filter cleaning system, the Attix 30 can handle the dustiest applications and outperform other shop-style vacuums by years. Contractors prefe",,,ATTIX 30 [8 GALLON] WET/DRY VACUUM 135CFM / 80SWLI [302000405]
19687,Vacuum Cleaner Attachments and Accessories,302000490,FILTER ELEMENT 8-12 GALLON FILTER [302000461],,E:\IMAGES\ITEMS\product\3\0\nilfisk-alto-302000490-filter-element-8-12-gallon-filter-302000461.jpg,Nilfisk-Alto,,PET fleece filterFor use with Nilfisk ALTO Attix 30 and Attix 50,,,,FILTER ELEMENT 8-12 GALLON FILTER [302000461]
19687,Vacuum Cleaner Attachments and Accessories,302004000,FILTER BAG NEUTRAL ATTIX 30 AND ATTIX 8 [5 PER PACK][SOLD BY THE PACK] [302000449],,E:\IMAGES\ITEMS\product\3\0\nilfisk-alto-302004000-filter-bag-neutral-attix-30-and-attix-8-5-per-packsold-by-the-pack-302000449.jpg,Nilfisk-Alto,,,"This fleece filter bag is constructed of materials which allow for greater resistance to wet materials than a paper bag. Using a filter bag will extend the life of of your vacuum, protecting the unit from dust and debris.",,,FILTER BAG NEUTRAL ATTIX 30 AND ATTIX 8 [5 PER PACK][SOLD BY THE PACK] [302000449]
19687,Vacuum Cleaner Attachments and Accessories,302004004,FILTER BAGS FOR ATTIX 50 AND ATTIX 12 VACUUM [302000527] [5/BOX][SOLD PER PACK],,E:\IMAGES\ITEMS\product\3\0\nilfisk-alto-302004004-filter-bags-for-attix-50-and-attix-12-vacuum-302000527-5boxsold-per-pack.jpg,Nilfisk-Alto,,,"This filter bag is constructed using material which is more resistant to wet or damp materials than a paper bag. Using a filter will extend the life of your vacuum, protecting the unit from dust and debris.",,,FILTER BAGS FOR ATTIX 50 AND ATTIX 12 VACUUM [302000527] [5/BOX][SOLD PER PACK]
29054,Shop Vacuums,ALTO AERO 21-01-PC,AERO 21-01-PC 5 GAL WET/DRY VAC PUSH&CLEAN 120V/100W/127CFM [107406620],,E:\IMAGES\ITEMS\product\A\L\nilfisk-alto-alto-aero-21-01-pc-aero-21-01-pc-5-gal-wetdry-vac-pushclean-120v100w127cfm-107406620.jpg,Nilfisk-Alto,,It features a 127 maximum CFM and 84-inch maximum waterlift Push & Clean system features semi-automatic filter cleaning for quick and easy maintenance. HEPA filtration removes up to 99.97% of airborne particles down to .3 microns. A standard outlet powers,,,,AERO 21-01-PC 5 GAL WET/DRY VAC PUSH&CLEAN 120V/100W/127CFM [107406620]
29054,Shop Vacuums,GWD 255,55 GALLON DRUM VAC DUAL MOTOR M90033,,E:\IMAGES\ITEMS\product\G\W\nilfisk-alto-gwd-255-55-gallon-drum-vac-dual-motor-m90033.jpg,Nilfisk-Alto,,,"Critical Wet/Dry Drum Top Vacuum, Drum Not Included, 2.4 HP, Amps @ 120V 12, Hz 60, 1000 hr., Air Flow 220 cfm, Static Pressure 80 In., Tank Type Painted Metal, Length 24 In., Width 24 In., Height 26 In., Power Cord Length 50 ft., Includes Drum Ring, Conversion Kit, HEPA Filter, Inlet Coupler, 10 Ft. Gray PVC Hose, Curved Aluminum Wand, 16 In. Wheeled, Floor tool, Squeegee Brush Inserts, Crevice Nozzle, Dust Brush and .058 Capacity Dust Bag Critical Area Vacuums, Tool Kits, Filters, and BagsGWD 255Powered by 2 independent bypass motors and can fit both 30- and 55-gal. drums. Washable main sack filter helps extend filter life.",,,55 GALLON DRUM VAC DUAL MOTOR M90033
29054,Shop Vacuums,302000447,WAP 302000447 HAND TUBE CURVED W QUICK SNAP,,E:\IMAGES\ITEMS\product\3\0\nilfisk-alto-302000447-wap-302000447-hand-tube-curved-w-quick-snap.jpg,Nilfisk-Alto,,,WAP 302000447 HAND TUBE CURVED W QUICK SNAP,5337682536.0,,WAP 302000447 HAND TUBE CURVED W QUICK SNAP
29054,Shop Vacuums,302001493,WAP 302001493 FILTER BAG SQ10 5PKG REPLACES 29739,,E:\IMAGES\ITEMS\product\3\0\nilfisk-alto-302001493-wap-302001493-filter-bag-sq10-5pkg-replaces-29739.jpg,Nilfisk-Alto,,,WAP 302001493 FILTER BAG SQ10 5PKG REPLACES 29739,5337060914.0,,WAP 302001493 FILTER BAG SQ10 5PKG REPLACES 29739
29054,Shop Vacuums,ALTO,WAP ALTO 302004230 ATTIX 30 LITER 8GL VAC WITH PUSH TO CLEAN FILTER,,E:\IMAGES\ITEMS\product\A\L\nilfisk-alto-alto-wap-alto-302001095-hepa-filter-for-attix-30-50.jpg,Nilfisk-Alto,"The Attix 30 wet/dry vacuum cleaner - the latest compact generation of the Attix line (formerly WAP) - representing a new possibility of achieving superior suction power in a durable and flexible solution. Choose from 8 different models with features like, filter cleaning systems, electric/pneumatic tool start, and the MultiFit accessory system for all tools and accessories. These vacuums are favored by contractors for general clean-up, “at-the-source” dust control during sanding/drilling operations, and so much more!",,"Powerful vacuum motor generates 135 cfm and 92 inches of water lift  Quiet motor technology generates low noise rating of 59 dB(A)  8- gallon (Attix 30) tank capacities • Ergonomic hand grip allows easy cable storage  Standard accessory kit, featuring, hose, wand, floor tool, and attachments  Push & Clean filter cleaning system • Xtreme Clean filter cleaning technology (select models)  Washable PET-fleece filter cartridge for long life • Tool storage area on cover",5337155511.0,,WAP ALTO 302004230 ATTIX 30 LITER 8GL VAC WITH PUSH TO CLEAN FILTER
