category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
29018,Concrete Cutting,C1320P,Gasoline Small Push Saw,Norton C1320P Gasoline Small Push Saw,E:\IMAGES\ITEMS\product\C\1\Norton-C1320P-Gasoline-Small-Push.jpg,Norton,Norton C1320P Gasoline Small Push Saw,Uncomplicated motor tensioning for reduced labor time with belt changes Four V-belts to transferring maximum power to the blade shaft Reinforced frame and axle is the strongest in its class,Small to medium contractor work demands performance with an economical solution. The C1320P brings the contractor the ideal saw with a heavy-duty box frame that resists bending and supported with the high-performing Honda 13HP engine. The heavy frame also provides a straighter cut. Changing or adjusting belts is simple with the single screw tensioner. The C1320P is in a class by itself.,,Norton C1320P Gasoline Small Push Saw,Gasoline Small Push Saw
29018,Concrete Cutting,C1318P,Gasoline Small Push Saw,Norton C1318P Gasoline Small Push Saw,E:\IMAGES\ITEMS\product\C\1\Norton-C1318P-Gasoline-Small-Push.jpg,Norton,Norton C1318P Gasoline Small Push Saw,"Quick belt tensioning feature provides fast and accurate belt tensioning Shock-absorbing handle bars reduce vibrations up to 40% No hassle, fast, blade guard securing lock","The next generation of 13HP saws, the Norton Clipper C1318P features shock-absorbing handle bars. the new sleek design of the water tank, with increased capacity and improved securing, adds an additional 1.5 gallons of water over the cut. And, a newly-designed belt tensioning system helps keep the saw cutting tried and true. All these features, coupled with the Honda 13HP engine, makes the C1318P the premiere choice for rental and service work.",,Norton C1318P Gasoline Small Push Saw,Gasoline Small Push Saw
1729|22689,Abrasive Wheels|Abrasive Wheel Adapters,02757,Abrasive Blade - Metal - Aluminum Oxide,Standard aluminum oxide with good performance and life when cutting metal.,E:\IMAGES\ITEMS\product\0\2\Abrasive-Blade-Metal-Aluminum.png,Norton,Standard aluminum oxide with good performance and life when cutting metal.,Size: 6 x .040 x 7/8 Max RPM: 10185,,,Abrasive Blade - Metal - Aluminum Oxide,Abrasive Blade - Metal - Aluminum Oxide
28175,Coring Drills and Machines,701846 00917 1,HHDETOL Hand-Held Core Drill,,E:\IMAGES\ITEMS\product\H\H\Hand-Held-Core.jpg,Norton,"Weighing only 13 pounds, the Norton Clipper HHDETOL is a Cardi hand-held core drill, with a 15 amp motor.","1-1/4"" – 7 spindle with 5/8-11 threaded adaptor allows additional bit types to be used. Heavy-duty, light-weight, high-impact plastic carrying case protects drill during transportation. Optional stand provides additional drilling flexibility, and a sturdy column and carriage for smooth drilling. The “Smart Electronic” system protects it from system overload. Ideal for electricians, plumbers and the professional contractor. Includes: a durable plastic carrying case, safety clutch, 5/8-11 threaded adapter and 1-1/4-7 threaded spindle.","Gears: 2 Motor Type: Electric Voltage: 115 volts Cycle*/Current/Phase: 60Hz/AC/1 Amperage*: 15 Amps RPM (No Load): 1,180/2,150 Smart Electronics: YES Weight Crated - lbs.(kg): 19(8.6) Weight Uncrated - lbs.(kg): 13(5.9) Recommended Bit Sizes:  &emsp;&emsp;Low-in.(mm) - 2"" to 4"" (50 to 102) &emsp;&emsp;High-in.(mm) - 1/2"" to 2"" (12 to 50)  *=DATA PROVIDED BY MOTOR MANUFACTURER",,HHDETOL Hand-Held Core Drill,HHDETOL Hand-Held Core Drill
28|24978,Masonry Saws|Masonry Saws,BBM307,Blockbuster Mini Masonry Saw,"The innovative design of these small masonry saws has been copied many times due to its compact, all-steel unibody construction, giving the best weight-to-strength distribution.",E:\IMAGES\ITEMS\product\B\B\Blockbuster-Mini-Masonry.png,Norton,"The innovative design of these small masonry saws has been copied many times due to its compact, all-steel unibody construction, giving the best weight-to-strength distribution.",All Steel Construction - All welded strong honeycomb reinforcement design. Pivoting Locking Head - Plunge/step cutting and jam cutting (all the way down). Clear View Cutting System - Offset of motor and blade allows operator to see the complete cutting surface. Wet or Dry Cutting - Quick attach garden hose water system.,,,Blockbuster Mini Masonry Saw,Blockbuster Mini Masonry Saw
27764,Cut-Off and Chop Wheels,07660701617,4-1/2 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23101,,E:\IMAGES\ITEMS\product\0\7\norton-07660701617-4-12-x-045-x-78-metal-cut-off-wheel-a60s-23101.jpg,Norton,,"Norton 4-1/2 in. Metal cut-off blade is extra thin and designed for fast, quick cutting using right angle grinders. Has a .040 in. thickness and 7/8 in. arbor. Max RPM: 13,580 Unique, thin design for:  Cleaning, slotting, cutting metal Cutting metal studs, angle iron, tubing Cutting autobody panels Cutting sheet metal",,,,4-1/2 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23101
27764,Cut-Off and Chop Wheels,7660702757,6 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23106,,E:\IMAGES\ITEMS\product\7\6\norton-7660702757-6-x-045-x-78-metal-cut-off-wheel-a60s-23106.jpg,Norton,,6X.040X7/8 METAL ALUM OX TY1,,,,6 X .045 X 7/8 METAL CUT OFF WHEEL A60S 23106
27764,Cut-Off and Chop Wheels,07660775938,9 X 1/4 X 5/8-11 METAL DISC TYPE 27 20096,,E:\IMAGES\ITEMS\product\0\7\norton-07660775938-9-x-14-x-58-11-metal-disc-type-27-20096.jpg,Norton,,"Norton Metal Wheels - 07660775938 Low initial cost per wheel. Ideal for grinding alloys, metals, steels and ferrous metals. Ideal for on-site and small-unit jobs.",,,,9 X 1/4 X 5/8-11 METAL DISC TYPE 27 20096
27764,Cut-Off and Chop Wheels,7660789088,7 X 3/32 X 5/8 METAL CUT OFF WHEEL A24R 23234,,E:\IMAGES\ITEMS\product\7\6\norton-7660789088-7-x-332-x-58-metal-cut-off-wheel-a24r-23234.jpg,Norton,,7X1/8XDM-5/8 MASNRY SILCAR TY1,,,,7 X 3/32 X 5/8 METAL CUT OFF WHEEL A24R 23234
27764,Cut-Off and Chop Wheels,07660789405,14 X 3/32 X 1 METAL CUTTING BLADE 24039,,E:\IMAGES\ITEMS\product\0\7\norton-07660789405-14-x-332-x-1-metal-cutting-blade-24039.jpg,Norton,,"Norton® GEMINI® Reinforced Cut Off Wheel of 14"" Dia is ideally designed for cutting steel studs masonry or steel and is used with chop saw on steel studs. Type 1 cut off wheel of thickness 7/64"" is able to rotate at 4365 RPM using 1"" arbors for delivering high performance with fast cutting and is made from aluminum oxide abrasive with thin side reinforcement for enhanced durability, sold as 10 per pack.",,,,14 X 3/32 X 1 METAL CUTTING BLADE 24039
