category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
19596,Duct and Cloth Tapes,B00ATDDZGY,General Purpose Duct Tape,,E:\IMAGES\ITEMS\product\B\0\ors-nasco-b00atddzgy-general-purpose-duct-tape.jpg,ORS Nasco,,Ideal for hazardous materials handling to secure protective clothing,,,,General Purpose Duct Tape
21633,C Clamps,ANCHOR 102-404C,"4"" DROPPED FORGED C CLAMP",,E:\IMAGES\ITEMS\product\A\N\ors-nasco-anchor-102-404c-4-dropped-forged-c-clamp.jpg,ORS Nasco,,Extra throat depth Individually boxed for easy storage and protection Non-slip clamping on all shapes Steel spindles are copper plated for spatter protection Swivel pads adjust freely to bear evenly on clamped part,,,,"4"" DROPPED FORGED C CLAMP"
21633,C Clamps,ANCHOR 406P,"6"" DROP FORGED C-CLAMP 102-406C",,E:\IMAGES\ITEMS\product\A\N\ors-nasco-anchor-406p-6-drop-forged-c-clamp-102-406c.jpg,ORS Nasco,,,"Wilton 14257 406-P, 400-P Series C-Clamp, 0-Inch-6-1/16-Inch Jaw Opening, 4-1/8-Inch Throat Depth",,,"6"" DROP FORGED C-CLAMP 102-406C"
21633,C Clamps,ANCHOR 408P,"8"" DROP FORGED C-CLAMP 102-408C",,E:\IMAGES\ITEMS\product\A\N\ors-nasco-anchor-408p-8-drop-forged-c-clamp-102-408c.jpg,ORS Nasco,,,"Wilton 14271 408-P, 400-P Series C-Clamp, 0-Inch-8-1/4-Inch Jaw Opening, 5-Inch Throat Depth",,,"8"" DROP FORGED C-CLAMP 102-408C"
21633,C Clamps,ANCHOR 410P,"10"" DROP FORGED C-CLAMP 102-410C",,E:\IMAGES\ITEMS\product\A\N\ors-nasco-anchor-410p-10-drop-forged-c-clamp-102-410c.jpg,ORS Nasco,,,"Wilton 14285 410-P, 400-P Series C-Clamp 2-Inch-10-1/8-Inch Jaw Opening, 6-Inch Throat Depth",,,"10"" DROP FORGED C-CLAMP 102-410C"
21633,C Clamps,ANCHOR 412P,"12"" DROP FORGED C-CLAMP 102-412C",,E:\IMAGES\ITEMS\product\A\N\ors-nasco-anchor-412p-12-drop-forged-c-clamp-102-412c.jpg,ORS Nasco,,,"Wilton 14299 412-P, 400-P Series C-Clamp, 2-Inch-12-1/4-Inch Jaw Opening, 6-5/16-Inch Throat Depth",,,"12"" DROP FORGED C-CLAMP 102-412C"
25945,Rainsuits,ANCHOR 3-PC RAIN SUIT YELLOW PVC,35MIL X-LARGE 101-9000-XL,,E:\IMAGES\ITEMS\product\A\N\ors-nasco-anchor-3-pc-rain-suit-yellow-pvc-35mil-x-large-101-9000-xl.jpg,ORS Nasco,,,,,,35MIL X-LARGE 101-9000-XL
25841,Hard Hat Suspensions,3RW2,SUSPENSION WEB W/ RATCHET,,E:\IMAGES\ITEMS\product\3\R\ors-nasco-3rw2-suspension-web-w-ratchet.jpg,ORS Nasco,Fibre-Metal® offers three headband adjustments for hard hat suspensions The 360 degree degree padded sweatband provides extra comfort for all day wear The patented SwingStrap™ combines the benefits of both the ratchet and the 360 padded sweatband with the added ability to convert from forward to reverse wearing position without having to remove and reinstall the suspension The ratchet headband is strip proof and provides easy adjustment,,,,,SUSPENSION WEB W/ RATCHET
25842,Hard Hats,FMPSB1,SUNBRERO SUNSHIELD HAT S (FULL BRIM),,E:\IMAGES\ITEMS\product\F\M\ors-nasco-fmpsb1-sunbrero-sunshield-hat-s-full-brim.jpg,ORS Nasco,,,"One piece, requires no assembly Gray tint blocks 99% of UV rays Available for both hat and cap style hard hats",,,SUNBRERO SUNSHIELD HAT S (FULL BRIM)
25936,Sports Drinks and Thirst Quenchers,3944,"VARIETY PK - LIME, GRAPE ORANGE,FRUIT PUNCH 2.5GL",,E:\IMAGES\ITEMS\product\3\9\ors-nasco-3944-variety-pk-lime-grape-orangefruit-punch-25gl.jpg,ORS Nasco,,,,,,"VARIETY PK - LIME, GRAPE ORANGE,FRUIT PUNCH 2.5GL"
