category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
26136,Tool and Work Belts,5080,Pro Framer Tool Belt Package,,E:\IMAGES\ITEMS\product\5\0\Pro-Framer-Tool-Belt- 1.jpg,Occidental Leather,,"For more than 30 years, the Pro Framer has been the benchmark by which all other tool belts have been measured. Designed by and for the professional builder, this traditional belt set is fine tuned for optimum efficiency and comfort.The Pro Leather Series is constructed of premium top grain cow hides tanned to stringent specifications with a special blend of oils and waxes that meet the demands of heavy outdoor use. Features Premium Top-Grain LeatherHand-Specific Tool Holders Promote Maximum Working Rhythm on the JobCopper Rivets Reinforce Main BagsNoSpill Tool Holder SystemFunction Engineered for the Modern Builder Made in USA!SpecificationsPockets &amp; Tool Holders : 21Belt Sizes : SM-XXXLWeight : 5.4 lbs.Available for lefties in LH option with double outer bags as 5080DBLH","For more than 30 years, the Pro Framer™ has been the benchmark by which all other tool belts have been measured. Designed by and for the professional builder, this traditional belt set is fine tuned for optimum efficiency and comfort.  The Pro Leather™ Series is constructed of premium top grain cow hides tanned to stringent specifications with a special blend of oils and waxes that meet the demands of heavy outdoor use.  Specifications  Pockets & Tool Holders : 21 Available for lefties in LH option with double outer bags as 5080DBLH",,Belt Sizes : SM-XXXL,Pro Framer Tool Belt Package
26136,Tool and Work Belts,8585,Heritage Fat Lip Tool Belt Set,,E:\IMAGES\ITEMS\product\8\5\Heritage-Fat-Lip-Tool-Belt.jpg,Occidental Leather,The FatLip™ Tool Belt Set style bags are available in our Adjustable Series as the 9850 Adjust-to-Fit™ FatLip™ Tool Bag Set - Black.,"A new, unique design for production carpenters. These bags are 10"" deep and feature a full leather boot along with a distinctive leather FatLip bag mouth. The leather FatLip keeps the bag formed, open, and protected against abrasion.The FatLip Tool Belt Set style bags are available in our Adjustable Series as the 9850 Adjust-to-Fit FatLip Tool Bag Set - Black.*Patent No.: US D531,401 SFeaturesDesigned with Hand Specific Tool HoldersPadded Two Ply Tool Bags Keep Their ShapeExtremely Abrasion Resistant Industrial NylonLeather Tool Holders and Corner ReinforcingAvailable for Left Handed builders as 8585LHMade in USA!SpecificationsPockets &amp; Tool Holders : 25Belt Sizes : SM-XXXLWeight : 5.2 lbs.","A new, unique design for production carpenters. These bags are 10"" deep and feature a full leather boot along with a distinctive leather FatLip™ bag mouth. The leather FatLip™ keeps the bag formed, open, and protected against abrasion.  The FatLip™ Tool Belt Set style bags are available in our Adjustable Series as the 9850 Adjust-to-Fit™ FatLip™ Tool Bag Set - Black.  Specifications  Pockets & Tool Holders : 25",,Belt Sizes : SM-XXXL,Heritage Fat Lip Tool Belt Set
26136,Tool and Work Belts,9596,Adjust-to-Fit Industrial Pro Electrician,,E:\IMAGES\ITEMS\product\9\5\Adjust-to-Fit-Industrial-Pro.jpg,Occidental Leather,Adjust To Fit Pro Electrician,"Top of the line all leather bag Adjust-to-Fit set for the commercial electrician provides a full range of adjustment from pant waist size 32"" to 40"". Efficient, hand specific tool and fastener organization, function engineered. The leather NoSpill&amp;Trade; tool holders form to your tools and give years of durable service. For the journeyman that requires the highest quality available.SpecificationsBelt Sizes : AdjustableWeight : 5.2 lbs.Made in the USA!","Description Top of the line all leather bag Adjust-to-Fit set for the commercial electrician provides a full range of adjustment from pant waist size 32"" to 40"".Efficient, hand specific tool and fastener organization, function engineered.The leather NoSpill &Trade; tool holders form to your tools and give years of durable service.For the journeyman that requires the highest quality available.",,Adjust-to-Fit™ Industrial Pro Electrician,Adjust-to-Fit Industrial Pro Electrician
26136,Tool and Work Belts,8385,Black Belt Rough Framer Tool Belt Set,"Strong, hard working, and light weight! Nylon and leather combined to give the ultimate in performance in a cost effective comfortable design suited for simple carpentry and rough framing.",E:\IMAGES\ITEMS\product\8\3\Black-Belt-Rough-Framer-Tool-Belt.jpg,Occidental Leather,"Strong, hard working, and light weight! Nylon and leather combined to give the ultimate in performance in a cost effective comfortable design suited for simple carpentry and rough framing.","Strong, hard working, and light weight! Nylon and leather combined to give the ultimate in performance in a cost effective comfortable design suited for simple carpentry and rough framing. Tool holders for common tools with a back bag that accepts a speed square. FeaturesLightweight Professional Design3"" Padded Nylon &amp; Leather Work Belt Provides ComfortLeather Reinforced CornersDurable Double Walled Commercial Nylon BagsProfessional System Maximizes Working RhythmMade in USA!SpecificationsPockets &amp; Tool Holders : 20Belt Sizes : SM-XXLWeight : 3.5 lbs.","Strong, hard working, and light weight! Nylon and leather combined to give the ultimate in performance in a cost effective comfortable design suited for simple carpentry and rough framing. Tool holders for common tools with a back bag that accepts a speed square.  Specifications  Pockets & Tool Holders : 20",,Belt Sizes : SM-XXL,Black Belt Rough Framer Tool Belt Set
26136,Tool and Work Belts,5017,2 Pouch Pro Tool Bag,"The most popular tool bag design with all the features of the 5018DB without an extra outer pouch and tape pocket. Holders for pencils, work knife, lumber crayon, chisel, torpedo level, hammer.",E:\IMAGES\ITEMS\product\5\0\2-Pouch-Pro-Tool.jpg,Occidental Leather,2 Pouch Pro Tool Bag,"The most popular tool bag design with all the features of the 5018DB without an extra outer pouch and tape pocket.Holders for pencils, work knife, lumber crayon, chisel, torpedo level, hammer.Specifications:Pockets &amp; Tool Holders: 9Weight: 1.7 lbs.Main Bag: 9"" x 8""Outer Bag: 5.5"" x 5.5""Tool Bags hold the tools most often accessed with the right hand (hammer, pencils, utility knife, chisels, etc.) and are worn on the right side of the body.Made in the USA","Description Main bag - 10""W x 8""D. Outer bag - 6""W x 5""D. All the holders of the 5016, pus 2 more for chisel and torpedo level.",,"Main Bag: 9"" x 8"" Outer Bag: 5.5"" x 5.5""",2 Pouch Pro Tool Bag
26136,Tool and Work Belts,5060,3 Pouch Pro Fastener Bag,"The most popular leather fastener bag. Highly recommended for framing and general carpentry applications. Holders for 1” blade square, angle square, cat’s paw loop, driver bits, etc.",E:\IMAGES\ITEMS\product\5\0\3-Pouch-Pro-Fastener.jpg,Occidental Leather,3 Pouch Pro Fastener Bag,"The most popular leather fastener bag.Highly recommended for framing and general carpentry applications.Holders for 1” blade square, angle square, cat’s paw loop, driver bits, etc.Specifications:Pockets &amp; Tool Holders: 9Weight: 1.9 lbs.Main Bag: 9"" x 8""Outer Bag: 7"" x 6""Upper Bag: 4.5"" x 4.5""Also available for left hand builders as 5060LHFastener Bags hold the tools and fasteners most often accessed with the left hand (nail sets, tri-square, cat\'s paw, driver bits, angle square, etc.) and are worn on the left side of the body.Made in the USA",Description Highly recommended for framing and general carpentry applications.  Product Available Standard (Fastener bags are worn on the left side) Left Handed (Left Handed Fastener bags are worn on the Right Side),,"Main Bag: 9"" x 8"" Outer Bag: 7"" x 6"" Upper Bag: 4.5"" x 4.5""",3 Pouch Pro Fastener Bag
26136,Tool and Work Belts,8582,FatLip Tool Bag,"These bags are 10"" deep and feature a full leather boot along with a distinctive leather FatLip™ bag mouth. The leather FatLip™ keeps the bag formed, open, and protected against abrasion.",E:\IMAGES\ITEMS\product\8\5\FatLip-Tool.jpg,Occidental Leather,"These bags are 10"" deep and feature a full leather boot along with a distinctive leather FatLip™ bag mouth. The leather FatLip™ keeps the bag formed, open, and protected against abrasion.","These bags are 10"" deep and feature a full leather boot along with a distinctive leather FatLip bag mouth. The leather FatLip keeps the bag formed, open, and protected against abrasion.Specifications:Pockets &amp; Tool Holders: 13Weight: 1.9 lbs.Main Tool Bag: 10"" x 10""Outer Bag: 6.5"" x 5.5""Not available in left hand model. Tool Bags hold the tools most often accessed with the right hand (hammer, pencils, utility knife, chisels, etc.) and are worn on the right side of the body.Made in the USA","These bags are 10"" deep and feature a full leather boot along with a distinctive leather FatLip™ bag mouth. The leather FatLip™ keeps the bag formed, open, and protected against abrasion.  Tool Bags hold the tools most often accessed with the right hand (hammer, pencils, utility knife, chisels, etc.) and are worn on the right side of the body.",,"Main Tool Bag: 10"" x 10"" Outer Bag: 6.5"" x 5.5""",FatLip Tool Bag
26136,Tool and Work Belts,5019,Pro Leather Utility Bag,Made in the USA,E:\IMAGES\ITEMS\product\5\0\Pro-Leather-Utility.jpg,Occidental Leather,Universal Bag,"All leather compact pouch.No tool holders.Great for that third bag in the back.Specifications:Weight: 0.7 lbs.Main Bag: 7.5"" x 8""Made in the USA",Description All leather compact pouch. Great for that third bag in back.,,"Main Bag: 7.5"" x 8""",Pro Leather Utility Bag
26136,Tool and Work Belts,5523,Clip-On 4 in 1 Tool/Tape Holder,"4 times the tool capacity in the belt space of one holder.Holders for tape, lumber crayon or screw driver, pencil, plus, it features a FREE 2003 Oxy Tool Shield™ for sharp tools such as chisel or work knife",E:\IMAGES\ITEMS\product\5\5\Clip-On-4-in-1-ToolTape.jpg,Occidental Leather,Tool Holder - Clip On,"4 times the tool capacity in the belt space of one holder.Holders for tape, lumber crayon or screw driver, pencil, plus, it features a FREE 2003 Oxy Tool Shield for sharp tools such as chisel or work knife. Designed for professionals and weekend warriors. Extra heavy duty steel clip accommodates up to 2"" belt.Sturdy American leather ensures years of endurance in the field.Made in USA!","Description Holders for tape, lumber crayon or screw driver, pencil, plus, it features a 2003 Oxy Tool Shield for sharp tools such as chisels or work knife. Designed for professionals and weekend warriors",,Type - Clip On,Clip-On 4 in 1 Tool/Tape Holder
162|26136,Tool Belts|Tool and Work Belts,5191-M,Pro Carpenter 5 Bag Assembly - Medium,,E:\IMAGES\ITEMS\product\5\1\occidental-leather-5191-m-pro-carpenter-5-bag-assembly-medium.jpg,Occidental Leather,Pro Carpenter 5 Bag Assembly - Medium,Pro Carpenter 5 Bag Assembly Fully loaded with 21 pockets and tool holders sheepskin lining and other features.,"Description This one-piece leather design forms to your body distributing the load evenly. This handcrafted, classic American design is sure to become one of your most valued and trusted tools. Components Single Piece Construction",759244149750.0,Size - Medium,Pro Carpenter 5 Bag Assembly - Medium
