category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2593|27232,Specialty Safety Products|Simpson Specialty Products,LUX-900,Value Seat Belt Cover,,E:\IMAGES\ITEMS\product\L\U\occunomix-lux-900-value-seat-belt-cover.jpg,OccuNomix,,Hook & loop closure 100% Polyester Tricot,,,Color: Orange or Yellow,Value Seat Belt Cover
2593|26144,Specialty Safety Products|Hats,LUX-BCAP,Hi-Viz Ball Cap,,E:\IMAGES\ITEMS\product\L\U\occunomix-lux-bcap-hi-viz-ball-cap.jpg,OccuNomix,,100% polyester with 100% cotton sweatband Mesh side and back panels for cooling air flow Hard bill Adjustable snap closure,,,Color: Orange or Yellow,Hi-Viz Ball Cap
2593|26144,Specialty Safety Products|Hats,LUX-RNG,Hi-Viz Ranger Hat,,E:\IMAGES\ITEMS\product\L\U\occunomix-lux-rng-hi-viz-ranger-hat.jpg,OccuNomix,,2” Silver reflective tape: backed by contrasting fabric 100% Polyester Mesh,,,Color: Yellow; Size: M/L/XL,Hi-Viz Ranger Hat
2605,Specialty Protective & Safety Clothing,LUX-SG,Value Leg Gaiter,,E:\IMAGES\ITEMS\product\L\U\occunomix-lux-sg-value-leg-gaiter.jpg,OccuNomix,,2” Silver reflective tape 100% lightweight Polyester Mesh Hook and loop closure,,,Color: Orange or Yellow,Value Leg Gaiter
26141,High Visibility & Cooling Vests,SP-TBV,Speed Collection Premium Tool Belt Vest,,E:\IMAGES\ITEMS\product\S\P\occunomix-sp-tbv-speed-collection-premium-tool-belt-vest.jpg,OccuNomix,,"Reflexite™ prismatic yellow gloss tape 65/35 ANSI Polyester/ Cotton 600 Denier Oxford ripstop foam-lined tool pockets 600 Denier Oxford polyester for inner lining support and belt Expandable chest with 2 zippers Easy carry handle/loop design offers easy storage without spilling contents Tool belt system: front right – 1 nail pouch with 8 outer side and 3 inner tool pockets, metal padded hammer holder, metal chain tape thong, front left - 1 main pocket with metal tape clip holder, 4 outer side and 1 inner pocket, back – 1 nail/screw pouch. Heavy weight loop with carabiner Pockets: 1 phone pocket",,,"Color: Yellow; Size: 3/4X, M/L, XL/2X",Speed Collection Premium Tool Belt Vest
26141,High Visibility & Cooling Vests,ECO-G,Value Solid Standard Safety Vest,,E:\IMAGES\ITEMS\product\E\C\occunomix-eco-g-value-solid-standard-safety-vest.jpg,OccuNomix,,Class 2 2” Silver reflective tape 100% ANSI Polyester Tricot Hook & loop closure,,,"Color: Orange or Yellow; Size: 2/3X, 4/5X, S/M, L/XL",Value Solid Standard Safety Vest
26141,High Visibility & Cooling Vests,ECO-GC,Value Mesh Standard Safety Vest,,E:\IMAGES\ITEMS\product\E\C\occunomix-eco-gc-value-mesh-standard-safety-vest.jpg,OccuNomix,,Class 2 2” Silver reflective tape 100% ANSI Polyester Mesh Pockets: 1 inside left chest w/ hook & loop closure Hook & Loop closure,,,"Color: Orange or Yellow; Size: 2/3X, 4/5X, S/M, L/XL",Value Mesh Standard Safety Vest
26141,High Visibility & Cooling Vests,ECO-GC2T,Value Mesh Two-Tone Safety Vest,,E:\IMAGES\ITEMS\product\E\C\occunomix-eco-gc2t-value-mesh-two-tone-safety-vest.jpg,OccuNomix,,Class 2 2” Silver reflective tape backed by contrasting ANSI compliant trim 100% ANSI Polyester Mesh Pockets: 1 left inner chest Hook & loop closure,,,"Color: Orange or Yellow; Size: 2/3X, 4/5X, S/M, L/XL",Value Mesh Two-Tone Safety Vest
26141,High Visibility & Cooling Vests,ECO-GCB,Value Mesh 5-pt. Break-Away Safety Vest,,E:\IMAGES\ITEMS\product\E\C\occunomix-eco-gcb-value-mesh-5-pt-break-away-safety-vest.jpg,OccuNomix,,Class 2 2” Silver reflective tape 100% ANSI Polyester Mesh Pockets: 2 inner chest,,,"Color: Orange or Yellow; Size: 2/3X, 4/5X, S/M, L/XL",Value Mesh 5-pt. Break-Away Safety Vest
26141,High Visibility & Cooling Vests,ECO-GCS,Value Mesh Surveyor Safety Vest,,E:\IMAGES\ITEMS\product\E\C\occunomix-eco-gcs-value-mesh-surveyor-safety-vest.jpg,OccuNomix,,"Class 2 2” Silver reflective tape 100% ANSI Polyester Mesh Pockets: 2 inner lower w/ pen compartment, 4 pen on outer right chest, 1 outer left double w/ 4 pen compartments Zipper closure",,,"Color: Orange or Yellow; Size: 2/3X, 4/5X, S/M, L/XL",Value Mesh Surveyor Safety Vest
