category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
24970,Diamond Saw Blades,DIA08CSP,"- P5 8"" General Purpose Segmented Blade",General Purpose Waved Core Turbo Blade,E:\IMAGES\ITEMS\product\D\I\Pearl-Abrasive-Company-P5-Granite-Turbo.jpg,Pearl Abrasive Company,"Pearl Abrasive Company - P5 8"" General Purpose Segmented Blade","4 x .070 x 20mm, 5/8"" Max RPM: 13,700",,,"Pearl Abrasive Company - P5 8"" General Purpose Segmented Blade","- P5 8"" General Purpose Segmented Blade"
24970,Diamond Saw Blades,DIA045SEC,- P5 4-1/2 General Purpose Turbo,General Purpose Waved Core Turbo Blade,E:\IMAGES\ITEMS\product\D\I\Pearl-Abrasive-Company-P5-Granite-Turbo.jpg,Pearl Abrasive Company,Pearl Abrasive Company - P5 4-1/2 General Purpose Turbo,"4 x .070 x 20mm, 5/8"" Max RPM: 13,700",,,Pearl Abrasive Company - P5 4-1/2 General Purpose Turbo,- P5 4-1/2 General Purpose Turbo
1729|24964,Abrasive Wheels|Circular Saw Blades,DIA045MC,Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade,,E:\IMAGES\ITEMS\product\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,Pearl Abrasive Company,,"Excellent for metal studs and ductile iron. Provides up to 100X more life than traditional abrasive wheels when cutting meatls.   Extra long life Fast clean cut 12"" to 16"" blades have diamond electroplated side protection which protects the core, reduces heat and prevents binding. Vacuum brazed technology fused to steel core for protection, durability and heat resistance. Designed to be used on a variety of materials Excellent for emergency situations Dry cutting",,,"4-1/2 x .080 x 7/8, 5/8",Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade
1729|24964,Abrasive Wheels|Circular Saw Blades,DIA005MC,Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade,,E:\IMAGES\ITEMS\product\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,Pearl Abrasive Company,Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade,"Excellent for metal studs and ductile iron. Provides up to 100X more life than traditional abrasive wheels when cutting meatls.   Extra long life Fast clean cut 12"" to 16"" blades have diamond electroplated side protection which protects the core, reduces heat and prevents binding. Vacuum brazed technology fused to steel core for protection, durability and heat resistance. Designed to be used on a variety of materials Excellent for emergency situations Dry cutting",,,"5 x .080 x 7/8, 5/8",Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade
1729|24964,Abrasive Wheels|Circular Saw Blades,DIA007MC,Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade,,E:\IMAGES\ITEMS\product\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,Pearl Abrasive Company,Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade,"Excellent for metal studs and ductile iron. Provides up to 100X more life than traditional abrasive wheels when cutting meatls.   Extra long life Fast clean cut 12"" to 16"" blades have diamond electroplated side protection which protects the core, reduces heat and prevents binding. Vacuum brazed technology fused to steel core for protection, durability and heat resistance. Designed to be used on a variety of materials Excellent for emergency situations Dry cutting",,,"7 x .095 x 7/8, 5/8",Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade
1729|24964,Abrasive Wheels|Circular Saw Blades,DIA012MC,Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade,,E:\IMAGES\ITEMS\product\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,Pearl Abrasive Company,Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade,"Excellent for metal studs and ductile iron. Provides up to 100X more life than traditional abrasive wheels when cutting meatls.   Extra long life Fast clean cut 12"" to 16"" blades have diamond electroplated side protection which protects the core, reduces heat and prevents binding. Vacuum brazed technology fused to steel core for protection, durability and heat resistance. Designed to be used on a variety of materials Excellent for emergency situations Dry cutting",,,"12 x .125 x 1, 20mm w/ side protection",Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade
1729|24964,Abrasive Wheels|Circular Saw Blades,DIA014MC,Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade,,E:\IMAGES\ITEMS\product\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,Pearl Abrasive Company,Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade,"Excellent for metal studs and ductile iron. Provides up to 100X more life than traditional abrasive wheels when cutting meatls.   Extra long life Fast clean cut 12"" to 16"" blades have diamond electroplated side protection which protects the core, reduces heat and prevents binding. Vacuum brazed technology fused to steel core for protection, durability and heat resistance. Designed to be used on a variety of materials Excellent for emergency situations Dry cutting",,,"14 x .125 x 1, 20mm w/ side protection",Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade
1729|24964,Abrasive Wheels|Circular Saw Blades,DIA016MC,Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade,,E:\IMAGES\ITEMS\product\D\I\Pearl-Abrasives-P4-Multi-Cut-Rescue-Utility-Abrasive.jpg,Pearl Abrasive Company,Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade,"Excellent for metal studs and ductile iron. Provides up to 100X more life than traditional abrasive wheels when cutting meatls.   Extra long life Fast clean cut 12"" to 16"" blades have diamond electroplated side protection which protects the core, reduces heat and prevents binding. Vacuum brazed technology fused to steel core for protection, durability and heat resistance. Designed to be used on a variety of materials Excellent for emergency situations Dry cutting",,,"16 x .125 x 1, 20mm w/ side protection",Pearl Abrasives P4 Multi-Cut Rescue Utility Abrasive Blade
1732|19483,Flap Discs|Flap Discs,MX6040ZT,"Pearl Abrasives 6"" Zirconia Silver Line Maxidisc Flap Disc",,E:\IMAGES\ITEMS\product\M\X\Pearl-Abrasives-6-Zirconia-Silver-Line-Maxidisc-Flap.jpg,Pearl Abrasive Company,,"Max RPM: 10,200",,,6 x 7/8 - Z40 Grit,"Pearl Abrasives 6"" Zirconia Silver Line Maxidisc Flap Disc"
1732|19483,Flap Discs|Flap Discs,MX640ZTH,"Pearl Abrasives 6"" Zirconia Silver Line Maxidisc Flap Disc",,E:\IMAGES\ITEMS\product\M\X\Pearl-Abrasives-6-Zirconia-Silver-Line-Maxidisc-Flap.jpg,Pearl Abrasive Company,"Pearl Abrasives 6"" Zirconia Silver Line Maxidisc Flap Disc","Max RPM: 10,200",,,6 x 5/8-11 - Z40 Grit,"Pearl Abrasives 6"" Zirconia Silver Line Maxidisc Flap Disc"
