category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61000,"1/4"" Grinding Wheels for Steel and Cast Iron",,E:\IMAGES\ITEMS\product\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,Pferd,,"General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure. Abrasive: Aluminum Oxide INOX: Manufactured without addition of ferrous, sulphurous or chlorinated fillers. Application: Surface grinding, edge grinding Recommendation for Use: Recommended for angle grinders of all power output levels.",,,"4"" - 5/8 A.H. - 15,300 Max RPM","1/4"" Grinding Wheels for Steel and Cast Iron"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61002,"4-1/2"" - 7/8 A.H. - 13,300 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,Pferd,"4-1/2"" - 7/8 A.H. - 13,300 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure. Abrasive: Aluminum Oxide INOX: Manufactured without addition of ferrous, sulphurous or chlorinated fillers. Application: Surface grinding, edge grinding Recommendation for Use: Recommended for angle grinders of all power output levels.",,,"4-1/2"" - 7/8 A.H. - 13,300 Max RPM","4-1/2"" - 7/8 A.H. - 13,300 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61001,"4-1/2"" - 5/8-11 Thread - 13,300 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,Pferd,"4-1/2"" - 5/8-11 Thread - 13,300 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure. Abrasive: Aluminum Oxide INOX: Manufactured without addition of ferrous, sulphurous or chlorinated fillers. Application: Surface grinding, edge grinding Recommendation for Use: Recommended for angle grinders of all power output levels.",,,"4-1/2"" - 5/8-11 Thread - 13,300 Max RPM","4-1/2"" - 5/8-11 Thread - 13,300 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61003,"5"" - 7/8 A.H. - 12,200 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,Pferd,"5"" - 7/8 A.H. - 12,200 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure. Abrasive: Aluminum Oxide INOX: Manufactured without addition of ferrous, sulphurous or chlorinated fillers. Application: Surface grinding, edge grinding Recommendation for Use: Recommended for angle grinders of all power output levels.",,,"5"" - 7/8 A.H. - 12,200 Max RPM","5"" - 7/8 A.H. - 12,200 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61008,"5"" - 5/8-11 Thread - 12,200 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,Pferd,"5"" - 5/8-11 Thread - 12,200 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure. Abrasive: Aluminum Oxide INOX: Manufactured without addition of ferrous, sulphurous or chlorinated fillers. Application: Surface grinding, edge grinding Recommendation for Use: Recommended for angle grinders of all power output levels.",,,"5"" - 5/8-11 Thread - 12,200 Max RPM","5"" - 5/8-11 Thread - 12,200 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61011,"6"" - 7/8 A.H. - 10,200 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,Pferd,"6"" - 7/8 A.H. - 10,200 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure. Abrasive: Aluminum Oxide INOX: Manufactured without addition of ferrous, sulphurous or chlorinated fillers. Application: Surface grinding, edge grinding Recommendation for Use: Recommended for angle grinders of all power output levels.",,,"6"" - 7/8 A.H. - 10,200 Max RPM","6"" - 7/8 A.H. - 10,200 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61012,"6"" - 5/8-11 Thread - 10,200 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,Pferd,"6"" - 5/8-11 Thread - 10,200 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure. Abrasive: Aluminum Oxide INOX: Manufactured without addition of ferrous, sulphurous or chlorinated fillers. Application: Surface grinding, edge grinding Recommendation for Use: Recommended for angle grinders of all power output levels.",,,"6"" - 5/8-11 Thread - 10,200 Max RPM","6"" - 5/8-11 Thread - 10,200 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61004,"7"" - 7/8 A.H. - 8,600 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,Pferd,"7"" - 7/8 A.H. - 8,600 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure. Abrasive: Aluminum Oxide INOX: Manufactured without addition of ferrous, sulphurous or chlorinated fillers. Application: Surface grinding, edge grinding Recommendation for Use: Recommended for angle grinders of all power output levels.",,,"7"" - 7/8 A.H. - 8,600 Max RPM","7"" - 7/8 A.H. - 8,600 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61006,"7"" - 5/8-11 Thread - 8,600 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,Pferd,"7"" - 5/8-11 Thread - 8,600 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure. Abrasive: Aluminum Oxide INOX: Manufactured without addition of ferrous, sulphurous or chlorinated fillers. Application: Surface grinding, edge grinding Recommendation for Use: Recommended for angle grinders of all power output levels.",,,"7"" - 5/8-11 Thread - 8,600 Max RPM","7"" - 5/8-11 Thread - 8,600 Max RPM"
117|28006,Grinders | Polishers|Flat Angle Grinder Wheels,61005,"9"" - 7/8 A.H. - 6,600 Max RPM",,E:\IMAGES\ITEMS\product\6\1\Pferd-14-Grinding-Wheels-for-Steel-and-Cast.jpg,Pferd,"9"" - 7/8 A.H. - 6,600 Max RPM","General purpose grinding wheel for use on all metals. Smooth grinding action and fast removal rates with minimal contact pressure. Abrasive: Aluminum Oxide INOX: Manufactured without addition of ferrous, sulphurous or chlorinated fillers. Application: Surface grinding, edge grinding Recommendation for Use: Recommended for angle grinders of all power output levels.",,,"9"" - 7/8 A.H. - 6,600 Max RPM","9"" - 7/8 A.H. - 6,600 Max RPM"
