category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1326|19789,Cleaning Supplies|Recycled Trash Bags and Liners,55030,55 gal Drum Liner,"2' 11-3/4"" x 4' 5-7/8"" x 1 Mil.",E:\IMAGES\ITEMS\product\5\5\55030-Poly-America-Inc-55-gal-Drum.jpg,Poly-America Inc,"2' 11-3/4"" x 4' 5-7/8"" x 1 Mil.",ONE-BY-ONE DISPENSING TRUE TIE FLAPS 30 Bags - Boxed Cap. Gals.=55 Color=Black,,,55030 Poly-America Inc 55 gal Drum Liner,55 gal Drum Liner
417|24122,Poly|Drop Cloths,CF0820C,Polyethylene Sheeting,,E:\IMAGES\ITEMS\product\C\F\poly-america-inc-cf0820c-polyethylene-sheeting.jpg,Poly-America Inc,Polyethylene Sheeting,"Clear Polyethylene Sheeting Clear polyethylene sheeting comes on rolls up to 200 ft. in length. This plastic sheeting is commonly used as a vapor barrier, a drop cloth, or to cover and protect a variety of items.","Description All rolls come on a 3” core, and up to a 6 mil thickness. Our clear sheeting comes with a milky transparency that is easy to see through. All sheeting comes folded in half on the roll.   All orders over 5 rolls come with quantity based pricing that offers great discounts from website prices. We can have custom sizes made with a minimum order required. Call our sales department to inquire about this product or any other packaging products we offer. Product Details:   Product CodeRoll SizeThickness  CF0820C20'X100' (2000ft2)8 Mil",73257051972.0,,Polyethylene Sheeting
417|24122,Poly|Drop Cloths,CF0610C,Polyethylene Sheeting,,E:\IMAGES\ITEMS\product\C\F\poly-america-inc-cf0610c-polyethylene-sheeting.jpg,Poly-America Inc,Polyethylene Sheeting,"Clear Polyethylene Sheeting Clear polyethylene sheeting comes on rolls up to 200 ft. in length. This plastic sheeting is commonly used as a vapor barrier, a drop cloth, or to cover and protect a variety of items.","Description All rolls come on a 3” core, and up to a 6 mil thickness. Our clear sheeting comes with a milky transparency that is easy to see through. All sheeting comes folded in half on the roll.   All orders over 5 rolls come with quantity based pricing that offers great discounts from website prices. We can have custom sizes made with a minimum order required. Call our sales department to inquire about this product or any other packaging products we offer. Product Details:   Product CodeRoll SizeThicknessWeight  CF0610C10'X100' (1000ft2)6 Mil30 LBS",73257051651.0,,Polyethylene Sheeting
417|24122,Poly|Drop Cloths,CF0410C,Polyethylene Sheeting,,E:\IMAGES\ITEMS\product\C\F\poly-america-inc-cf0410c-polyethylene-sheeting.jpg,Poly-America Inc,Polyethylene Sheeting,"Clear Polyethylene Sheeting Clear polyethylene sheeting comes on rolls up to 200 ft. in length. This plastic sheeting is commonly used as a vapor barrier, a drop cloth, or to cover and protect a variety of items.","Description All rolls come on a 3” core, and up to a 6 mil thickness. Our clear sheeting comes with a milky transparency that is easy to see through. All sheeting comes folded in half on the roll.   All orders over 5 rolls come with quantity based pricing that offers great discounts from website prices. We can have custom sizes made with a minimum order required. Call our sales department to inquire about this product or any other packaging products we offer. Product Details:   Product CodeRoll SizeThicknessWeight  CF0410C10'X100' (1000ft2)4 Mil19 LBS",73257009355.0,,Polyethylene Sheeting
417|24122,Poly|Drop Cloths,CF0412C,Polyethylene Sheeting,,E:\IMAGES\ITEMS\product\C\F\poly-america-inc-cf0412c-polyethylene-sheeting.jpg,Poly-America Inc,Polyethylene Sheeting,"Clear Polyethylene Sheeting Clear polyethylene sheeting comes on rolls up to 200 ft. in length. This plastic sheeting is commonly used as a vapor barrier, a drop cloth, or to cover and protect a variety of items.","Description All rolls come on a 3” core, and up to a 6 mil thickness. Our clear sheeting comes with a milky transparency that is easy to see through. All sheeting comes folded in half on the roll.   All orders over 5 rolls come with quantity based pricing that offers great discounts from website prices. We can have custom sizes made with a minimum order required. Call our sales department to inquire about this product or any other packaging products we offer. Product Details:   Product CodeRoll SizeThicknessWeight  CF0412C12'X100' (1200ft2)4 Mil25 LBS",73257050869.0,,Polyethylene Sheeting
417|24122,Poly|Drop Cloths,CF0640B,Polyethylene Sheeting,,E:\IMAGES\ITEMS\product\C\F\poly-america-inc-cf0640b-polyethylene-sheeting.jpg,Poly-America Inc,Polyethylene Sheeting,"Clear Polyethylene Sheeting Clear polyethylene sheeting comes on rolls up to 200 ft. in length. This plastic sheeting is commonly used as a vapor barrier, a drop cloth, or to cover and protect a variety of items.","Description All rolls come on a 3” core, and up to a 6 mil thickness. Our clear sheeting comes with a milky transparency that is easy to see through. All sheeting comes folded in half on the roll.   All orders over 5 rolls come with quantity based pricing that offers great discounts from website prices. We can have custom sizes made with a minimum order required. Call our sales department to inquire about this product or any other packaging products we offer. Product Details:   Product CodeRoll SizeThickness  CF0640B40'X100' (4000ft2)6 Mil",73257051941.0,,Polyethylene Sheeting
417|24122,Poly|Drop Cloths,CFFR0620,Polyethylene Sheeting,,E:\IMAGES\ITEMS\product\C\F\poly-america-inc-cffr0620-polyethylene-sheeting.jpg,Poly-America Inc,Polyethylene Sheeting,"Clear Polyethylene Sheeting Clear polyethylene sheeting comes on rolls up to 200 ft. in length. This plastic sheeting is commonly used as a vapor barrier, a drop cloth, or to cover and protect a variety of items.","Description All rolls come on a 3” core, and up to a 6 mil thickness. Our clear sheeting comes with a milky transparency that is easy to see through. All sheeting comes folded in half on the roll.   All orders over 5 rolls come with quantity based pricing that offers great discounts from website prices. We can have custom sizes made with a minimum order required. Call our sales department to inquire about this product or any other packaging products we offer. Product Details:   Product CodeRoll SizeThickness  CFFR062020'X100' (2000ft2)6 Mil",73257051859.0,,Polyethylene Sheeting
417|24122,Poly|Drop Cloths,CF0612C,Polyethylene Sheeting - Clear,,E:\IMAGES\ITEMS\product\C\F\poly-america-inc-cf0612c-polyethylene-sheeting-clear.jpg,Poly-America Inc,Polyethylene Sheeting - Clear,"Clear Polyethylene Sheeting Clear polyethylene sheeting comes on rolls up to 200 ft. in length. This plastic sheeting is commonly used as a vapor barrier, a drop cloth, or to cover and protect a variety of items.","Description All rolls come on a 3” core, and up to a 6 mil thickness. Our clear sheeting comes with a milky transparency that is easy to see through. All sheeting comes folded in half on the roll.   All orders over 5 rolls come with quantity based pricing that offers great discounts from website prices. We can have custom sizes made with a minimum order required. Call our sales department to inquire about this product or any other packaging products we offer. Product Details:   Product CodeRoll SizeThickness  CF0612C12'X100' (1200ft2)6 Mil",73257051705.0,Finish - Clear,Polyethylene Sheeting - Clear
417|24122,Poly|Drop Cloths,CF0612B,Polyethylene Sheeting - Black,,E:\IMAGES\ITEMS\product\C\F\poly-america-inc-cf0612b-polyethylene-sheeting-black.jpg,Poly-America Inc,Polyethylene Sheeting - Black,"Clear Polyethylene Sheeting Clear polyethylene sheeting comes on rolls up to 200 ft. in length. This plastic sheeting is commonly used as a vapor barrier, a drop cloth, or to cover and protect a variety of items.","Description All rolls come on a 3” core, and up to a 6 mil thickness. Our clear sheeting comes with a milky transparency that is easy to see through. All sheeting comes folded in half on the roll.   All orders over 5 rolls come with quantity based pricing that offers great discounts from website prices. We can have custom sizes made with a minimum order required. Call our sales department to inquire about this product or any other packaging products we offer. Product Details:   Product CodeRoll SizeThickness  CF0612B12'X100' (1200ft2)6 Mil",73257051699.0,Finish - Black,Polyethylene Sheeting - Black
417|24122,Poly|Drop Cloths,CF0406C,Polyethylene Sheeting - Clear,,E:\IMAGES\ITEMS\product\C\F\poly-america-inc-cf0406c-polyethylene-sheeting-clear.jpg,Poly-America Inc,Polyethylene Sheeting - Clear,"Clear Polyethylene Sheeting Clear polyethylene sheeting comes on rolls up to 200 ft. in length. This plastic sheeting is commonly used as a vapor barrier, a drop cloth, or to cover and protect a variety of items.","Description All rolls come on a 3” core, and up to a 6 mil thickness. Our clear sheeting comes with a milky transparency that is easy to see through. All sheeting comes folded in half on the roll.   All orders over 5 rolls come with quantity based pricing that offers great discounts from website prices. We can have custom sizes made with a minimum order required. Call our sales department to inquire about this product or any other packaging products we offer. Product Details:   Product CodeRoll SizeThicknessWeight  CF0406C6'X100' (600ft2)4 Mil12 LBS",73257050722.0,Finish - Clear,Polyethylene Sheeting - Clear
