category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
628|24124,Carpet|Surface Protection Films,Carpet Mask,Self Adhesive Carpet Protection,Self Adhesive Carpet Protection,E:\IMAGES\ITEMS\product\C\a\PolyTak-Carpet-Mask-Self-Adhesive-Carpet.jpg,PolyTak,Self Adhesive Carpet Protection,"The most effective way to temporarily protect synthetic carpets from damage during high traffic times. Carpet Protection Film brand is the choice of professional contractors, home builders and property managers. A tough, 3mil linear low density polyethylene film with a solvent based adhesive applied to one side. The product is highly resistant to tearing and puncturing, stays in place, has a skid resistant surface and is easy to remove.",,,PolyTak Carpet Mask Self Adhesive Carpet Protection,Self Adhesive Carpet Protection
2663|24124,General Surface Protection|Surface Protection Films,Eco-Board,Environmentally Friendly Surface Protection,Environmentally safe surface protection.,E:\IMAGES\ITEMS\product\E\c\PolyTak-Eco-Board-Environmentally-Friendly-Surface.jpg,PolyTak,Environmentally safe surface protection.,"An environmentally friendly, heavy-duty temporary floor protection. It is manufactured with Reinforced Fiber-Flex Technology and protects new and existing floors while allowing moisture and vapors to escape for curing. Designed to protect Wood Floors, Tile, Concrete (including Colored or Stamped), Marble, Stone, Linoleum, Vinyl and many others from damage of foot traffic, hand trucks, fork lifts, scissor lifts etc, during construction and finishing. Roll Size: 38"" x 100'(317 sf) Weight (approx): 50 lbs Thinkness (approx): 50 mil Heavy-Duty surface protection Reinforced Fiber-Flex Technology Installs fast and flat 100% Recyclable - green product Reusable Saves time and money from damage, repairs and clean up",,,PolyTak Eco-Board - Environmentally Friendly Surface Protection,Environmentally Friendly Surface Protection
567|27772,Plastic Tape|Fiberglass Tapes,250AR,- 2.5 oz Fiberglass Mesh Tape - White,,E:\IMAGES\ITEMS\product\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak,,"Special adhesive formulation to work in a variety of conditions. Self-Adhesive saves time by eliminating the pre-bedding step. Fiberglass mesh adds strength and eliminates bubbles and blisters. Mold resistant - unlike paper tape Available in 3 Colors  - White, Yellow, Blue Alkaline Resistant available for cement board application(A/R) Wide widths available from 6"" - 36"" for superior crack stopping and plaster wall repairs.",,,"2"" x 50' - A/R",- 2.5 oz Fiberglass Mesh Tape - White
567|27772,Plastic Tape|Fiberglass Tapes,2300ARW,- 2.5 oz Fiberglass Mesh Tape - White,,E:\IMAGES\ITEMS\product\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak,PolyTak - 2.5 oz Fiberglass Mesh Tape - White,"Special adhesive formulation to work in a variety of conditions. Self-Adhesive saves time by eliminating the pre-bedding step. Fiberglass mesh adds strength and eliminates bubbles and blisters. Mold resistant - unlike paper tape Available in 3 Colors  - White, Yellow, Blue Alkaline Resistant available for cement board application(A/R) Wide widths available from 6"" - 36"" for superior crack stopping and plaster wall repairs.",,,"2"" x 300' - A/R",- 2.5 oz Fiberglass Mesh Tape - White
567|27772,Plastic Tape|Fiberglass Tapes,2150W,- 2.5 oz Fiberglass Mesh Tape - White,,E:\IMAGES\ITEMS\product\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak,PolyTak - 2.5 oz Fiberglass Mesh Tape - White,"Special adhesive formulation to work in a variety of conditions. Self-Adhesive saves time by eliminating the pre-bedding step. Fiberglass mesh adds strength and eliminates bubbles and blisters. Mold resistant - unlike paper tape Available in 3 Colors  - White, Yellow, Blue Alkaline Resistant available for cement board application(A/R) Wide widths available from 6"" - 36"" for superior crack stopping and plaster wall repairs.",,,"2"" x 150'",- 2.5 oz Fiberglass Mesh Tape - White
567|27772,Plastic Tape|Fiberglass Tapes,2300W,- 2.5 oz Fiberglass Mesh Tape - White,,E:\IMAGES\ITEMS\product\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak,PolyTak - 2.5 oz Fiberglass Mesh Tape - White,"Special adhesive formulation to work in a variety of conditions. Self-Adhesive saves time by eliminating the pre-bedding step. Fiberglass mesh adds strength and eliminates bubbles and blisters. Mold resistant - unlike paper tape Available in 3 Colors  - White, Yellow, Blue Alkaline Resistant available for cement board application(A/R) Wide widths available from 6"" - 36"" for superior crack stopping and plaster wall repairs.",,,"2"" x 300'",- 2.5 oz Fiberglass Mesh Tape - White
567|27772,Plastic Tape|Fiberglass Tapes,2500W,- 2.5 oz Fiberglass Mesh Tape - White,,E:\IMAGES\ITEMS\product\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak,PolyTak - 2.5 oz Fiberglass Mesh Tape - White,"Special adhesive formulation to work in a variety of conditions. Self-Adhesive saves time by eliminating the pre-bedding step. Fiberglass mesh adds strength and eliminates bubbles and blisters. Mold resistant - unlike paper tape Available in 3 Colors  - White, Yellow, Blue Alkaline Resistant available for cement board application(A/R) Wide widths available from 6"" - 36"" for superior crack stopping and plaster wall repairs.",,,"2"" x 500'",- 2.5 oz Fiberglass Mesh Tape - White
567|27772,Plastic Tape|Fiberglass Tapes,25300W,- 2.5 oz Fiberglass Mesh Tape - White,,E:\IMAGES\ITEMS\product\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak,PolyTak - 2.5 oz Fiberglass Mesh Tape - White,"Special adhesive formulation to work in a variety of conditions. Self-Adhesive saves time by eliminating the pre-bedding step. Fiberglass mesh adds strength and eliminates bubbles and blisters. Mold resistant - unlike paper tape Available in 3 Colors  - White, Yellow, Blue Alkaline Resistant available for cement board application(A/R) Wide widths available from 6"" - 36"" for superior crack stopping and plaster wall repairs.",,,"2.5"" x 300'",- 2.5 oz Fiberglass Mesh Tape - White
567|27772,Plastic Tape|Fiberglass Tapes,3150W,- 2.5 oz Fiberglass Mesh Tape - White,,E:\IMAGES\ITEMS\product\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak,PolyTak - 2.5 oz Fiberglass Mesh Tape - White,"Special adhesive formulation to work in a variety of conditions. Self-Adhesive saves time by eliminating the pre-bedding step. Fiberglass mesh adds strength and eliminates bubbles and blisters. Mold resistant - unlike paper tape Available in 3 Colors  - White, Yellow, Blue Alkaline Resistant available for cement board application(A/R) Wide widths available from 6"" - 36"" for superior crack stopping and plaster wall repairs.",,,"3"" x 150'",- 2.5 oz Fiberglass Mesh Tape - White
567|27772,Plastic Tape|Fiberglass Tapes,3300W,- 2.5 oz Fiberglass Mesh Tape - White,,E:\IMAGES\ITEMS\product\2\5\PolyTak-25-oz-Fiberglass-Mesh-Tape.jpg,PolyTak,PolyTak - 2.5 oz Fiberglass Mesh Tape - White,"Special adhesive formulation to work in a variety of conditions. Self-Adhesive saves time by eliminating the pre-bedding step. Fiberglass mesh adds strength and eliminates bubbles and blisters. Mold resistant - unlike paper tape Available in 3 Colors  - White, Yellow, Blue Alkaline Resistant available for cement board application(A/R) Wide widths available from 6"" - 36"" for superior crack stopping and plaster wall repairs.",,,"3"" x 300'",- 2.5 oz Fiberglass Mesh Tape - White
