category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
29050,Air Hoses,60350,"3/8"" x 50' Rubber Air Hose 1/4"" NPT Male Brass Fittings","3/8"" x 50' Rubber Air Compressor",E:\IMAGES\ITEMS\product\6\0\DeWalt-60350-38-x-50-Rubber-Air-Hose-14-NPT-Male-Brass.jpg,Porter Cable,"3/8"" x 50' Rubber Air Compressor","Premium PVC cover with heavy-duty spiral reinforcement Abrasion resistant, non-marring 1/4"" NPT male brass fittings with ferrules on both ends",,,"DeWalt 60350 3/8"" x 50' Rubber Air Hose 1/4"" NPT Male Brass Fittings","3/8"" x 50' Rubber Air Hose 1/4"" NPT Male Brass Fittings"
94|28346,Reciprocating Saws | Blades|Reciprocating Saws,PC75TRS,7.5 Amp Reciprocating Saw,"Corded, Reciprocating Saw.",E:\IMAGES\ITEMS\product\P\C\Porter-Cable-PC75TRS-75-Amp-Reciprocating.jpg,Porter Cable,"Corded, Reciprocating Saw.",Heavy-duty 7.5 Amp motor for fast cutting in a variety of applications. Twist lock tool-free blade change for quick & easy blade changes. Variable-speed trigger maintains speed for multiple cutting tasks. Pivoting shoe easily maneuvers around objects while cutting. Tooled shoe adjustment easily allows depth adjustment and extends blade life. Compact and lightweight design prevents user fatigue.,"Specifications: Amps: 7.5 Amps, Voltage: 120v, Strokes/Min:3,200 spm, Stroke length: 1-1/8"", Keyless Blade Clamp: Yes, Orbital Action: No, Adjustable Shoe: Yes, Variable-Speed Trigger: Yes, Anti-Slip Comfort Grip: Yes, Weight: 6.8 lbs.",,Porter Cable PC75TRS 7.5 Amp Reciprocating Saw,7.5 Amp Reciprocating Saw
94|28346,Reciprocating Saws | Blades|Reciprocating Saws,PC85TRSOK,8.5 Amp Orbital Reciprocating Tigersaw,"Corded, 8.5 amp, Orbital Reciprocating Saw.",E:\IMAGES\ITEMS\product\P\C\Porter-Cable-PC85TRSOK-85-Amp-Orbital-Reciprocating.jpg,Porter Cable,"Corded, 8.5 amp, Orbital Reciprocating Saw.","Heavy-duty 8.5 Amp, 3,200 SPM motor for effective cutting in a variety of applications. Orbital action allows for more aggressive cutting tasks. Twist lock tool-free blade change for quick & easy blade change. Variable speed trigger allows quick speed adjustment for every task. Tool-free adjustable shoe depth prolongs blade life and helps with demolition jobs. Pivoting shoe easily maneuvers around objects while cutting.","Specifications: Amps: 8.5 Amps, Voltage: 120V, Strokes/Min: 3,200 spm, Stroke Length: 1-1/8"", Keyless Blade Clamp: Yes, Orbital Action: Yes, Adjustable Shoe: Yes,  Variable-Speed trigger: Yes, Anti-Slip Comfort Grip: Yes, Weight: 7.4 lbs",,Porter Cable PC85TRSOK 8.5 Amp Orbital Reciprocating Tigersaw,8.5 Amp Orbital Reciprocating Tigersaw
2705|24961,Standard Band Saws|Band Saws,PCB330BS,"2-Speed 14"" Band Saw",,E:\IMAGES\ITEMS\product\P\C\Porter-Cable-PCB330BS-2-Speed-14-Band.jpg,Porter Cable,,"Two operating speeds (1630/2730 FPM) for cutting different materials such as soft and hard woods. Cabinet style base for storage of accessories or extra blades.  Large cast iron work table (16"" x 16"") provides a stable work support suface. Work table tilts up to 45 degree for accurate bevel cutting. Sawdust port (2-1/2"" diameter) designed for hookup to wet/dry vacuum. Miter slot is t-slotted for provided Miter Gauge. Provides support for accurate crosscutting. Dual Voltage (120/230V) 10.0/5.0A Induction motor for different shop electrical setups.","Specifications: Motor: 10/5 Amp (120/240V), Motor Control: On/Off Toggle, Blade Width: 1/8-1/2"", Speeds: 1630/2730 FPM, Capacity Blade to Frame: 14"", Capacity Under Guide And Wheel: 6"", Table Size: 16 x 16"", Table Tilt: 0-45&deg;, Table Height: 43"", Height: 66"", Width: 21"", Depth: 25-1/2"", Weight: 190.97 lbs., Shipping Weight: 207.05 lbs.",,"Porter Cable PCB330BS 2-Speed 14"" Band Saw","2-Speed 14"" Band Saw"
28005,Corded Circular Saws,314,"4-1/2"" Trim Saw","Corded, Circular Saw.",E:\IMAGES\ITEMS\product\3\1\Porter-Cable-314-4-12-Trim.jpg,Porter Cable,"Corded, Circular Saw.","Rugged worm gear drive. 100% ball bearings. Cuts 1-5/16"" at 90° & 1-1/16"" at 45°","Specifications: Motor: 120 VAC, 25-60 HZ/120 VDC, Blade Diameter: 4-1/2"", Amps: 4.5 AC/DC Amps, Speed: 4,500 rpm, Capacity at 45° Cut: 1-1/16"", Capacity at 90° Cut: 1-5/16"", Arbor: 3/8, Weight: 7 lbs.",,"Porter Cable 314 4-1/2"" Trim Saw","4-1/2"" Trim Saw"
28005,Corded Circular Saws,PC13CSL,"13 Amp 1-1/4"" Circular Laser Saw","Corded, Circular Laser Saw.",E:\IMAGES\ITEMS\product\P\C\Porter-Cable-PC13CSL-13-Amp-1-14-Circular-Laser- 2.jpg,Porter Cable,"Corded, Circular Laser Saw.",Heavy-duty 13 amp motor provides power and torque for any job. Laser cutting guide aligns the blade to the cut line. Bevel adjustment allows for a variety of cutting applications and uses. Depth adjustment allows for cutting depth control. Ball bearing construction provides longer tool life and accuracy. Kerf cut indicator aligns the blade to the indicator for accurate line cuts. Soft grips rear handle and boot minimizes vibration for prolonged cutting.,"Specifications: Motor: 120VAC, 25-60 HZ/120 VDC, Blade Diameter: 7-1/4"", Amps: 13 Amps, Speed: 5,000 rpm, Capacity at 45° Cut: 1-1/16"", Capacity at 90° Cut: 2-3/8"", Arbor: Standard, Weight: 11.7 lbs.",,"Porter Cable PC13CSL 13 Amp 1-1/4"" Circular Laser Saw","13 Amp 1-1/4"" Circular Laser Saw"
28005,Corded Circular Saws,PC15CSLK,"15 Amp 7-1/4"" Circular Laser Saw","Corded, Circular Laser Saw.",E:\IMAGES\ITEMS\product\P\C\Porter-Cable-PC15CSLK-15-Amp-7-14-Circular-Laser.jpg,Porter Cable,"Corded, Circular Laser Saw.",Heavy-duty 15 Amp motor provides power and torque for any job. Ball bearing construction provides longer tool life and accuracy. Spindle lock feature allows for single wrench bit changes. Kerf cut indicator aligns the blade to the indicator for accurate line cuts. Bevel adjustment allows for a variety of cutting applications and uses. Depth adjustment allows for cutting depth control. Soft grips rear handle and boot minimizes vibration for prolonged cutting. 24-tooth carbide blade provides best cutting performance in a variety of materials. Laser guide aligns the blade to the cut line.,"Specifications: Motor: 120 VAC, 25-60 HZ/120 VDC, Blade Diameter: 7-1/4 "", Amps: 15 Amps, Speed: 5,000 rpm, Capacity at 45° Cut: 1-13/16 "", Capacity at 90° Cut: 2-3/8 "", Arbor: Standard, Weight: 11.7 lbs.",,"Porter Cable PC15CSLK 15 Amp 7-1/4"" Circular Laser Saw","15 Amp 7-1/4"" Circular Laser Saw"
28005,Corded Circular Saws,PC15TCSMK,"15 Amp 7-1/4"" Heavy-Duty Circular Saw","Corded, Heavy-Duty, Circular Saw.",E:\IMAGES\ITEMS\product\P\C\Porter-Cable-PC15TCSMK-15-Amp-7-14-Heavy-Duty-Circular.jpg,Porter Cable,"Corded, Heavy-Duty, Circular Saw.",Heavy-duty 15 amp motor delivers power and torque through the toughest applications. 9.5 lb. Lightweight saw reduces fatigue & improves user handling.  55 degree bevel capacity with stops at 22.5 and 45 degrees provide quick and accurate bevel adjustments. Cast magnesium shoe with optimum line of sight provides an accurate and lightweight construction. Outside mounted depth of cut lever is easy to reach even with gloves. Cast bevel and depth cut levers provide a larger grabbing surface made of durable material. 10 ft. high grade cord reaches past a 4 x 8 sheet of material and reacts well in all weather climates.,"Specifications: Motor: 120 VAC, 25-60 HZ/120 VDC, Blade Diameter: 7-1/4 "", Amps: 15 Amps, Speed: 5,600 rpm, Capacity at 45° Cut: 1-13/16 "", Capacity at 90° Cut: 2-3/8 "", Arbor: Standard, Weight: 9.5 lbs",,"Porter Cable PC15TCSMK 15 Amp 7-1/4"" Heavy-Duty Circular Saw","15 Amp 7-1/4"" Heavy-Duty Circular Saw"
121|24882,Sanders | Accessories|Belt Sanders,352VS,"3"" X 21"" Variable-Speed Belt Sander",,E:\IMAGES\ITEMS\product\3\5\3-X-21-Variable-Speed-Belt.jpg,Porter Cable,"3"" X 21"" Variable-Speed Belt Sander","8 Amp motor, AC only Variable-speed dial 850-1,300 SFPM Belt and gear drive system transfers power from the motor to the sanding belt Designed for flush sanding up to vertical surfaces Dust Bag Swivels 360° Fingertip belt-tracking knob Quick-release belt-change lever Motor is located over platen for maximum performance and perfect balance Includes: 100g ceramic aluminum oxide belt and Dust Bag Assembly #39334.","Power: 120 VAC, 25-60 HZ Amps: 8 Amps SFPM: 850-1,300 Belt Size: 3"" x 21"" Length: 12.5 "" Width: 5.75 "" Height: 10.38 "" Weight: 10.75 lbs Shipping Weight: 12.5 lbs",,"3"" X 21"" Variable-Speed Belt Sander","3"" X 21"" Variable-Speed Belt Sander"
,,9748,"11.5 Amp Variable-Speed, Dual Action Quik-Change TIGER SAW",,E:\IMAGES\ITEMS\product\9\7\porter-cable-9748-tiger-recip-saw-kit-wquick-change-blade-clamp-9747.jpg,Porter Cable,,"Extra-heavy-duty 11.5 AMP motor provides maximum power for all cutting applications Ergonomic handle with soft grip Electronic variable speed, 0-2,600 SPM, maintains speed under load for smooth consistent cutting Quik-Change blade clamp for keyless blade changes in seconds Quik-Change front shoe can be extended to utilize more of the blade's teeth in the cutting action Allows for orbital cutting in wood and reciprocating cutting in metal for increased versatility Full 1 1/8"" cutting stroke length cuts more stock in less time than shorted stroke saws","Specifications                                                                                                                                                           Display SKU                 9748                                                               UPC / ISBN                 028877559254                                                               Brand                 Porter Cable                                                                                       Shipping Weight                 18.0000                                                               Condition                 New                                                                           Manufacturer's Warranty                 3 Years                                                               Return Policy                 90 Days                                                               Addl Specs                  Stroke (Orbital/Recip.): 1 1/8"" Motor Amps: 11.5 No-load Speed (SPM): 0-2,600 Weight: 9.3 lbs.                                                                                                                            Package Type                 Individual                                                               Power Source                 Electric - Corded",,,"11.5 Amp Variable-Speed, Dual Action Quik-Change TIGER SAW"
