category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
995|417|24124,Fire Barrier (INACTIVE)|Poly|Surface Protection Films,0620RENFR,Re-Enforced Fire Retardant 6 Mil Poly 20' x 100',Flame-Retardant 20x100 ft,E:\IMAGES\ITEMS\product\0\6\PrimeSource-Building-Products-Re-Enforced-Fire-Retardant-6.jpg,PrimeSource Building Products,Flame-Retardant 20x100 ft,,,,PrimeSource Building Products Re-Enforced Fire Retardant 6 Mil Poly 20' x 100',Re-Enforced Fire Retardant 6 Mil Poly 20' x 100'
1778|26962,Concrete Screws|Concrete Screws,CB114,"Cement Board Screw 8"" x 1-1/4""",,E:\IMAGES\ITEMS\product\C\B\PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x.jpg,PrimeSource Building Products,,Cement Board to Wood or Light Gauge Steel Studs,"Designed to fasten cement board to wood or light gauge steel studs (25-20 gauge). Nibs under the head allow it to countersink into the board. The spade point penetrates the board without cracking and high-low threads ensure high withdrawal resistance. No. 2 Reduced Phillips Recess with nibs. 1,000 hour exterior all weather coating.",,"8"" x 1-1/4""","Cement Board Screw 8"" x 1-1/4"""
1778|26962,Concrete Screws|Concrete Screws,CB158,"Cement Board Screw 8"" x 1-5/8""",,E:\IMAGES\ITEMS\product\C\B\PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x.jpg,PrimeSource Building Products,"PrimeSource Building Products CB158 Cement Board Screw 8"" x 1-5/8""",Cement Board to Wood or Light Gauge Steel Studs,"Designed to fasten cement board to wood or light gauge steel studs (25-20 gauge). Nibs under the head allow it to countersink into the board. The spade point penetrates the board without cracking and high-low threads ensure high withdrawal resistance. No. 2 Reduced Phillips Recess with nibs. 1,000 hour exterior all weather coating.",,"8"" x 1-5/8""","Cement Board Screw 8"" x 1-5/8"""
1778|26962,Concrete Screws|Concrete Screws,CB214,"Cement Board Screw 8"" x 2-1/4""",,E:\IMAGES\ITEMS\product\C\B\PrimeSource-Building-Products-CB114-Cement-Board-Screw-8-x.jpg,PrimeSource Building Products,"PrimeSource Building Products CB214 Cement Board Screw 8"" x 2-1/4""",Cement Board to Wood or Light Gauge Steel Studs,"Designed to fasten cement board to wood or light gauge steel studs (25-20 gauge). Nibs under the head allow it to countersink into the board. The spade point penetrates the board without cracking and high-low threads ensure high withdrawal resistance. No. 2 Reduced Phillips Recess with nibs. 1,000 hour exterior all weather coating.",,"8"" x 2-1/4""","Cement Board Screw 8"" x 2-1/4"""
1227|20525,Self Drilling Screws|Self Drilling Screws,CBD114,"Self-Drilling Cement Board Screw with Nib 8"" x 1-1/4""",,E:\IMAGES\ITEMS\product\C\B\PrimeSource-Building-Products-Self-Drilling-Cement-Board.jpg,PrimeSource Building Products,,Cement Board to Steel Studs,"Designed to fasten cement board to metal studs (20-14 gauge). Nibs under the heal allow it to countersink into the board. No. 2 Reduced Phillips Recess with nibs. 1,000 hour exterior all weather coating.",,"8"" x 1-1/4""","Self-Drilling Cement Board Screw with Nib 8"" x 1-1/4"""
1227|20525,Self Drilling Screws|Self Drilling Screws,CBD158,"Self-Drilling Cement Board Screws with Nibs 8"" x 1-5/8""",,E:\IMAGES\ITEMS\product\C\B\PrimeSource-Building-Products-Self-Drilling-Cement-Board.jpg,PrimeSource Building Products,"PrimeSource Building Products Self-Drilling Cement Board Screws with Nibs 8"" x 1-5/8""",Cement Board to Steel Studs,"Designed to fasten cement board to metal studs (20-14 gauge). Nibs under the heal allow it to countersink into the board. No. 2 Reduced Phillips Recess with nibs. 1,000 hour exterior all weather coating.",,"8"" x 1-5/8""","Self-Drilling Cement Board Screws with Nibs 8"" x 1-5/8"""
24147,Ceiling Tiles,GWH1212,Hanger Wire 12 Gauge 12',,E:\IMAGES\ITEMS\product\G\W\PrimeSource-Building-Products-GWH1212-Hanger-Wire-12-Gauge.jpg,PrimeSource Building Products,,For hanging suspended ceiling grid,,,PrimeSource Building Products GWH1212 Hanger Wire 12 Gauge 12',Hanger Wire 12 Gauge 12'
27879,Collated Plastic Strip Nails,GR408HG,"21° Round Head Plastic Stick Nail 3"" x .120","3"" x 120",E:\IMAGES\ITEMS\product\G\R\PrimeSource-Building-Products-GR408HG-21-Round-Head-Plastic.jpg,PrimeSource Building Products,"3"" x 120","Size: 10D 3""x.120 Shank Style: Ring Nail Type: Sinker Quantity: 4M Carton",,,"PrimeSource Building Products GR408HG 21° Round Head Plastic Stick Nail 3"" x .120","21° Round Head Plastic Stick Nail 3"" x .120"
1207|20515,Drywall Bugle Head|Drywall Screws,CS200,"Bugle Head Course Drywall Screw #7 x 2""",,E:\IMAGES\ITEMS\product\C\S\PrimeSource-Building-Products-CS200-Bugle-Head-Course.jpg,PrimeSource Building Products,,,For attaching gypsum board to wood studs. Bugle head No. 2 Reduced Phillips Recess.,,"#7 x 2""","Bugle Head Course Drywall Screw #7 x 2"""
1207|20515,Drywall Bugle Head|Drywall Screws,CS312,"Bugle Head Course Drywall Screw #10 x 3-1/2""",,E:\IMAGES\ITEMS\product\C\S\PrimeSource-Building-Products-CS200-Bugle-Head-Course.jpg,PrimeSource Building Products,"PrimeSource Building Products CS312 Bugle Head Course Drywall Screw #10 x 3-1/2""",,For attaching gypsum board to wood studs. Bugle head No. 2 Reduced Phillips Recess.,,"#10 x 3-1/2""","Bugle Head Course Drywall Screw #10 x 3-1/2"""
1207|20515,Drywall Bugle Head|Drywall Screws,CS400,"Bugle Head Course Drywall Screw #10 x 4""",,E:\IMAGES\ITEMS\product\C\S\PrimeSource-Building-Products-CS200-Bugle-Head-Course.jpg,PrimeSource Building Products,"PrimeSource Building Products CS400 Bugle Head Course Drywall Screw #10 x 4""",,For attaching gypsum board to wood studs. Bugle head No. 2 Reduced Phillips Recess.,,"#10 x 4""","Bugle Head Course Drywall Screw #10 x 4"""
1207|20515,Drywall Bugle Head|Drywall Screws,CS412,"Bugle Head Course Drywall Screw #10 x 4-1/2""",,E:\IMAGES\ITEMS\product\C\S\PrimeSource-Building-Products-CS200-Bugle-Head-Course.jpg,PrimeSource Building Products,"PrimeSource Building Products CS412 Bugle Head Course Drywall Screw #10 x 4-1/2""",,For attaching gypsum board to wood studs. Bugle head No. 2 Reduced Phillips Recess.,,"#10 x 4-1/2""","Bugle Head Course Drywall Screw #10 x 4-1/2"""
1207|20515,Drywall Bugle Head|Drywall Screws,CS500,"Bugle Head Course Drywall Screw #10 x 5""",,E:\IMAGES\ITEMS\product\C\S\PrimeSource-Building-Products-CS200-Bugle-Head-Course.jpg,PrimeSource Building Products,"PrimeSource Building Products CS500 Bugle Head Course Drywall Screw #10 x 5""",,For attaching gypsum board to wood studs. Bugle head No. 2 Reduced Phillips Recess.,,"#10 x 5""","Bugle Head Course Drywall Screw #10 x 5"""
1207|20515,Drywall Bugle Head|Drywall Screws,CS600,"Bugle Head Course Drywall Screw #10 x 6""",,E:\IMAGES\ITEMS\product\C\S\PrimeSource-Building-Products-CS200-Bugle-Head-Course.jpg,PrimeSource Building Products,"PrimeSource Building Products CS600 Bugle Head Course Drywall Screw #10 x 6""",,For attaching gypsum board to wood studs. Bugle head No. 2 Reduced Phillips Recess.,,"#10 x 6""","Bugle Head Course Drywall Screw #10 x 6"""
27800,Collated Paper Strip Nails,Hanger 50lb,"HDG 1-1/2"" Joist Hanger Nail 9 Gauge 50-lb Box",Smooth Shank,E:\IMAGES\ITEMS\product\H\a\PrimeSource-Building-Products-HDG-1-12-Joist-Hanger-Nail-9.jpg,PrimeSource Building Products,Smooth Shank,Primary applications include: Designed specifically for hanger plates.,,,50-lb Box,"HDG 1-1/2"" Joist Hanger Nail 9 Gauge 50-lb Box"
27800,Collated Paper Strip Nails,Hanger 5lb,"HDG 1-1/2"" Joist Hanger Nail 9 Gauge 5-lb Box",Smooth Shank,E:\IMAGES\ITEMS\product\H\a\PrimeSource-Building-Products-HDG-1-12-Joist-Hanger-Nail-9.jpg,PrimeSource Building Products,"PrimeSource Building Products HDG 1-1/2"" Joist Hanger Nail 9 Gauge 5-lb Box",Primary applications include: Designed specifically for hanger plates.,,,5-lb Box,"HDG 1-1/2"" Joist Hanger Nail 9 Gauge 5-lb Box"
1218|26959,Hex Screws|Hex Flange Screws,HW4712,"Slotted Hex Washer Head 7"" x 1/2""",,E:\IMAGES\ITEMS\product\H\W\PrimeSource-Building-Products-HW4812-Slotted-Hex-Washer.jpg,PrimeSource Building Products,,"Penetrates Sheet Metal 1/4"" Drive","Self-piercing need point penetrates sheet metal from .0209"" to .0358"". Twin lead threads assure fast action and reduce driving torque and strip-out problems. Recommended for H.V.A.C. electrical, plumbing, framing and sheet metal Zinc plated.",,"7"" x 1/2""","Slotted Hex Washer Head 7"" x 1/2"""
1218|26959,Hex Screws|Hex Flange Screws,HW4812,"Slotted Hex Washer Head 8"" x 1/2""",,E:\IMAGES\ITEMS\product\H\W\PrimeSource-Building-Products-HW4812-Slotted-Hex-Washer.jpg,PrimeSource Building Products,"PrimeSource Building Products HW4812 Slotted Hex Washer Head 8"" x 1/2""","Penetrates Sheet Metal 1/4"" Drive","Self-piercing need point penetrates sheet metal from .0209"" to .0358"". Twin lead threads assure fast action and reduce driving torque and strip-out problems. Recommended for H.V.A.C. electrical, plumbing, framing and sheet metal Zinc plated.",,"8"" x 1/2""","Slotted Hex Washer Head 8"" x 1/2"""
1227|795|20525,Self Drilling Screws|Sheet Metal Screws|Self Drilling Screws,HWD1034,"Zinc HWH Self-Drilling Screw 10"" x 3/4""",,E:\IMAGES\ITEMS\product\H\W\PrimeSource-Building-Products-HWD1034-Zinc-HWH-Self.jpg,PrimeSource Building Products,,,Metal to metal fastening for various gauges of metals.,,"10"" x 3/4"" with 5/16"" Drive","Zinc HWH Self-Drilling Screw 10"" x 3/4"""
1227|795|20525,Self Drilling Screws|Sheet Metal Screws|Self Drilling Screws,HWD12034,"Zinc HWH Self-Drilling Screw 12"" x 3/4""",,E:\IMAGES\ITEMS\product\H\W\PrimeSource-Building-Products-HWD1034-Zinc-HWH-Self.jpg,PrimeSource Building Products,"PrimeSource Building Products HWD12034 Zinc HWH Self-Drilling Screw 12"" x 3/4""",,Metal to metal fastening for various gauges of metals.,,"12"" x 3/4"" with 5/16"" Drive","Zinc HWH Self-Drilling Screw 12"" x 3/4"""
1227|795|20525,Self Drilling Screws|Sheet Metal Screws|Self Drilling Screws,HWD12112,"Zinc HWH Self-Drilling Screw 12"" x 1-1/2""",,E:\IMAGES\ITEMS\product\H\W\PrimeSource-Building-Products-HWD1034-Zinc-HWH-Self.jpg,PrimeSource Building Products,"PrimeSource Building Products HWD12112 Zinc HWH Self-Drilling Screw 12"" x 1-1/2""",,Metal to metal fastening for various gauges of metals.,,"12"" x 1-1/2"" with 5/6"" Drive","Zinc HWH Self-Drilling Screw 12"" x 1-1/2"""
1227|795|20525,Self Drilling Screws|Sheet Metal Screws|Self Drilling Screws,HWD14114,"Zinc HWH Self-Drilling Screw 14"" x 1-1/4""",,E:\IMAGES\ITEMS\product\H\W\PrimeSource-Building-Products-HWD1034-Zinc-HWH-Self.jpg,PrimeSource Building Products,"PrimeSource Building Products HWD14114 Zinc HWH Self-Drilling Screw 14"" x 1-1/4""",,Metal to metal fastening for various gauges of metals.,,"14"" x 1-1/4"" with 3/8"" Drive","Zinc HWH Self-Drilling Screw 14"" x 1-1/4"""
1227|795|20525,Self Drilling Screws|Sheet Metal Screws|Self Drilling Screws,HWD834,"Zinc HWH Self-Drilling Screw 8"" x 3/4""",,E:\IMAGES\ITEMS\product\H\W\PrimeSource-Building-Products-HWD1034-Zinc-HWH-Self.jpg,PrimeSource Building Products,"PrimeSource Building Products HWD834 Zinc HWH Self-Drilling Screw 8"" x 3/4""",,Metal to metal fastening for various gauges of metals.,,"8"" x 3/4"" with 1/4"" Drive","Zinc HWH Self-Drilling Screw 8"" x 3/4"""
1206|20515,Drywall Laminating Screw|Drywall Screws,LS10112,"Drywall Laminator 10"" x 1-1/2""","10"" x 1-1/2""",E:\IMAGES\ITEMS\product\L\S\PrimeSource-Building-Products-LS10112-Drywall-Laminator-10.jpg,PrimeSource Building Products,"10"" x 1-1/2""",,For attaching gypsum board to gypsum board. No. 2 Phillips Recess,,"PrimeSource Building Products LS10112 Drywall Laminator 10"" x 1-1/2""","Drywall Laminator 10"" x 1-1/2"""
1227|20525,Self Drilling Screws|Self Drilling Screws,MT100,Modified Truss Screw,,E:\IMAGES\ITEMS\product\M\T\PrimeSource-Building-Products-MT100-Modified-Truss.jpg,PrimeSource Building Products,,Metal Lath in Stucco to Wood or Light Gauge Steel Studs,For attaching metal lath in stucco and other applications to wood or 25-20 gauge steel studs. No. 2 Reduced Philips Recess.,,"8"" x 1"" 5M Box",Modified Truss Screw
