category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1752|26816,Stamps|Stamps,Proline Seamless Old Granite Cleft Stone,Seamless Old Granite Cleft Stone,Proline Seamless Old Granite Cleft Stone,E:\IMAGES\ITEMS\product\P\r\Proline-Seamless-Old-Granite-Cleft.jpg,Proline,,Seamless Skins,"Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20"" x 20"" for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.",,Proline Seamless Old Granite Cleft Stone,Seamless Old Granite Cleft Stone
1752|26816,Stamps|Stamps,Proline Seamless Roman Slate,Seamless Roman Slate,Proline Seamless Roman Slate,E:\IMAGES\ITEMS\product\P\r\Proline-Seamless-Roman.jpg,Proline,,Seamless Skins,"Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20"" x 20"" for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.",,Proline Seamless Roman Slate,Seamless Roman Slate
1752|26816,Stamps|Stamps,Proline Seamless Italian Slate,Seamless Italian Slate,,E:\IMAGES\ITEMS\product\P\r\Proline-Seamless-Italian.jpg,Proline,,Seamless Skins,"Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20"" x 20"" for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.",,Proline Seamless Italian Slate,Seamless Italian Slate
1752|26816,Stamps|Stamps,Proline Seamless Belgium Slate,Seamless Belgium Slate,Proline Seamless Belgium Slate,E:\IMAGES\ITEMS\product\P\r\Proline-Seamless-Belgium.jpg,Proline,,Seamless Skins,"Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20"" x 20"" for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.",,Proline Seamless Belgium Slate,Seamless Belgium Slate
1752|26816,Stamps|Stamps,Proline Seamless Sandstone Light,Seamless Sandstone Light,Proline Seamless Sandstone Light,E:\IMAGES\ITEMS\product\P\r\Proline-Seamless-Sandstone.jpg,Proline,,Seamless Skins,"Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20"" x 20"" for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.",,Proline Seamless Sandstone Light,Seamless Sandstone Light
1752|26816,Stamps|Stamps,Proline Seamless Sandstone Course,Seamless Sandstone Course,Proline Seamless Sandstone Course,E:\IMAGES\ITEMS\product\P\r\Proline-Seamless-Sandstone- 1.jpg,Proline,,Seamless Skins,"Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20"" x 20"" for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.",,Proline Seamless Sandstone Course,Seamless Sandstone Course
1752|26816,Stamps|Stamps,Proline Seamless Coquina Stone,Seamless Coquina Stone,Proline Seamless Coquina Stone,E:\IMAGES\ITEMS\product\P\r\Proline-Seamless-Coquina.jpg,Proline,,Seamless Skins,"Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20"" x 20"" for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.",,Proline Seamless Coquina Stone,Seamless Coquina Stone
1752|26816,Stamps|Stamps,Proline Seamless Coquina Stone with Sea Shells,Seamless Coquina Stone with Sea Shells,Proline Seamless Coquina Stone with Sea Shells,E:\IMAGES\ITEMS\product\P\r\Proline-Seamless-Coquina-Stone-with-Sea.jpg,Proline,,Seamless Skins,"Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20"" x 20"" for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.",,Proline Seamless Coquina Stone with Sea Shells,Seamless Coquina Stone with Sea Shells
1752|26816,Stamps|Stamps,Proline Seamless Limestone,Seamless Limestone,Proline Seamless Limestone,E:\IMAGES\ITEMS\product\P\r\Proline-Seamless.jpg,Proline,,Seamless Skins,"Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20"" x 20"" for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.",,Proline Seamless Limestone,Seamless Limestone
1752|26816,Stamps|Stamps,Proline Seamless Flamed Granite,Seamless Flamed Granite,Proline Seamless Flamed Granite,E:\IMAGES\ITEMS\product\P\r\Proline-Seamless-Flamed.jpg,Proline,,Seamless Skins,"Proline is the innovator of the Seamless Texturing system. The very first Seamless Texture to roll of a production line was Proline's Old Granite Cleft Stone. It was followed by Roman Slate, especially designed for Caesar Palace in Las Vegas. Now, these are the standards in the industry. All others are imitations of the original. All Proline skins are made of the highest grade urethane in a unique process that resuls in highly durable stamping tools. Proline tools are carefully hand-built and represent a life-like stone and texture. As an applicator, you will appreciate how light and easy our mats are to use. All Seamless Textures include handles, with the exception of touch up mats. All patterns are available in 5' x 5', 4' x 4', 3' x 3', 2' x 4' and 20"" x 20"" for touch up. We also offer our touch up mats in a super-flex material for added flexiblility into tight places. You can have the look of natural stone, with the durability and low cost of concrete. Check out our many patterns. Easy to install - the only hard part is choosing between all the beautiful patterns.",,Proline Seamless Flamed Granite,Seamless Flamed Granite
