category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
164|25635,Safety Glasses|Safety Glasses,SGM1820S,Pyramex Model V2-Metal Safety Glasses,"Model: V2 Metal, Gray Lens",E:\IMAGES\ITEMS\product\S\G\Pyramex-SGM1820S-Model-V2-Metal-Safety.jpg,Pyramex Safety,"Model: V2 Metal, Gray Lens",9.75 Base Curved Lens Provides Full Side Protection. Spring Loaded Temples Make This Eyewear Easy To Position. Exceeds ANSI Z87.1 High Impact Requirements Commonly Used In Outdoor Applications. Offers Protection From Excessive Glare. Provides 99% Protection From Harmful UV-A And UV-B Rays. 100% Polycarbonate Scratch-Resistant Lenses.,,,Pyramex SGM1820S Model V2-Metal Safety Glasses,Pyramex Model V2-Metal Safety Glasses
164|25635,Safety Glasses|Safety Glasses,S2510S,Pyramex Model Ztek Safety Glasses,"Model: Ztek, Clear, Anti-Fog",E:\IMAGES\ITEMS\product\S\2\Pyramex-S2510S-Model-Ztek-Safety.jpg,Pyramex Safety,,Economical Wrap-Around Single Lens Provides Full Panoramic View Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit. Integrated Nose Piece. Exceeds ANSI Z87.1 High Impact Requirements General Purposes For Indoor Applications That Require Impact Protection. Offers Protection From Excessive Glare Provides 99% Protection From Harmful UV-A And UV-B Rays. 100% Polycarbonate Lenses Scratch-Resistant Lenses,,,Clear,Pyramex Model Ztek Safety Glasses
164|25635,Safety Glasses|Safety Glasses,S2510ST,Pyramex Model Ztek Safety Glasses,"Model: Ztek, Clear, Anti-Fog",E:\IMAGES\ITEMS\product\S\2\Pyramex-S2510S-Model-Ztek-Safety.jpg,Pyramex Safety,Pyramex Model Ztek Safety Glasses,Economical Wrap-Around Single Lens Provides Full Panoramic View Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit. Integrated Nose Piece. Exceeds ANSI Z87.1 High Impact Requirements General Purposes For Indoor Applications That Require Impact Protection. Offers Protection From Excessive Glare Provides 99% Protection From Harmful UV-A And UV-B Rays. 100% Polycarbonate Lenses Scratch-Resistant Lenses,,,Anti-Fog,Pyramex Model Ztek Safety Glasses
164|25635,Safety Glasses|Safety Glasses,S2520S,Pyramex Model Ztek Gray Safety Glasses,,E:\IMAGES\ITEMS\product\S\2\Pyramex-S2510S-Model-Ztek-Gray-Safety.jpg,Pyramex Safety,,Economical Wrap-Around Single Lens Provides Full Panoramic View. Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit. Integrated Nose Piece. Exceeds ANSI Z87.1 High Impact Requirements. Commonly Used In Outdoor Applications. Offers Protection From Excessive Glare. Provides 99% Protection From Harmful UV-A And UV-B Rays. 100% Polycarbonate Lenses. Scratch-Resistant Lenses.,,,Gray,Pyramex Model Ztek Gray Safety Glasses
164|25635,Safety Glasses|Safety Glasses,S250ST,Pyramex Model Ztek Gray Safety Glasses,,E:\IMAGES\ITEMS\product\S\2\Pyramex-S2510S-Model-Ztek-Gray-Safety.jpg,Pyramex Safety,Pyramex Model Ztek Gray Safety Glasses,Economical Wrap-Around Single Lens Provides Full Panoramic View. Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit. Integrated Nose Piece. Exceeds ANSI Z87.1 High Impact Requirements. Commonly Used In Outdoor Applications. Offers Protection From Excessive Glare. Provides 99% Protection From Harmful UV-A And UV-B Rays. 100% Polycarbonate Lenses. Scratch-Resistant Lenses.,,,Anti-Fog,Pyramex Model Ztek Gray Safety Glasses
164|25635,Safety Glasses|Safety Glasses,S2570S,Pyramex Model: Ztek Silver Mirror Safety Glasses,"Model: Ztek, Silver Mirror Coating",E:\IMAGES\ITEMS\product\S\2\Pyramex-S2570S-Model-Ztek-Silver-Mirror-Safety.jpg,Pyramex Safety,"Model: Ztek, Silver Mirror Coating",Economical Wrap-Around Single Lens Provides Full Panoramic View. Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit. Integrated Nose Piece. Exceeds ANSI Z87.1 High Impact Requirements Gray Polycarbonate Lens With Silver Mirror Coating. Offers Protection From Excessive Glare Provides 99% Protection From Harmful UV-A And UV-B Rays. 100% Polycarbonate Lenses Scratch-Resistant Lenses,,,Pyramex S2570S Model: Ztek Silver Mirror Safety Glasses,Pyramex Model: Ztek Silver Mirror Safety Glasses
164|25635,Safety Glasses|Safety Glasses,S2575S,Pyramex Model: Ztek Blue Mirror Safety Glasses,"Model: Ztek, Blue Mirror Coating",E:\IMAGES\ITEMS\product\S\2\Pyramex-S2575S-Model-Ztek-Blue-Mirror-Safety.jpg,Pyramex Safety,"Model: Ztek, Blue Mirror Coating",Economical Wrap-Around Single Lens Provides Full Panoramic View Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit. Integrated Nose Piece. Exceeds ANSI Z87.1 High Impact Requirements CE EN166 Certified Gray Polycarbonate Lens With Blue Mirror Coating. Offers Protection From Excessive Glare Provides 99% Protection From Harmful UV-A And UV-B Rays. 100% Polycarbonate Lenses Scratch-Resistant Lenses,,,Pyramex S2575S Model: Ztek Blue Mirror Safety Glasses,Pyramex Model: Ztek Blue Mirror Safety Glasses
164|25635,Safety Glasses|Safety Glasses,S2580S,Pyramex Model Ztek Indoor/Outdoor Safety Glasses,"Model: Ztek, Indoor/Outdoor Lens",E:\IMAGES\ITEMS\product\S\2\Pyramex-S2580S-Model-Ztek-IndoorOutdoor-Safety.jpg,Pyramex Safety,"Model: Ztek, Indoor/Outdoor Lens",Economical Wrap-Around Single Lens Provides Full Panoramic View Soft Non-Slip Rubber Temple Tips Provide Non-Binding Fit. Integrated Nose Piece. Exceeds ANSI Z87.1 High Impact Requirements Commonly Used Where It Is Required To Move Between Indoor Applications To Outdoor Applications. Offers Protection From Excessive Glare Provides 100% Protection From Harmful UV-A And UV-B Rays. 100% Polycarbonate Lenses Scratch-Resistant Lenses,,,Pyramex S2580S Model Ztek Indoor/Outdoor Safety Glasses,Pyramex Model Ztek Indoor/Outdoor Safety Glasses
164|25635,Safety Glasses|Safety Glasses,SB1810R15,V2 Readers Safety Glasses,,E:\IMAGES\ITEMS\product\S\B\Pyramex-V2-Readers-Safety.jpg,Pyramex Safety,,Nose Buds Secure The Glass And Prevent Slipping While Providing A Pillow Soft Fit. Strategic Placement Of Lens Insert Is Out Of User’s Direct Line Of Vision. General Purposes For Indoor Applications That Require Impact Protection. 9.75 Base Curved Lens Provides Full Side Protection. Offers Protection From Excessive Glare Provides 99% Protection From Harmful UV-A And UV-B Rays. 100% Polycarbonate Scratch-Resistant Lenses,,,+1.5,V2 Readers Safety Glasses
164|25635,Safety Glasses|Safety Glasses,SB1810R20,V2 Readers Safety Glasses,,E:\IMAGES\ITEMS\product\S\B\Pyramex-V2-Readers-Safety.jpg,Pyramex Safety,Pyramex V2 Readers Safety Glasses,Nose Buds Secure The Glass And Prevent Slipping While Providing A Pillow Soft Fit. Strategic Placement Of Lens Insert Is Out Of User’s Direct Line Of Vision. General Purposes For Indoor Applications That Require Impact Protection. 9.75 Base Curved Lens Provides Full Side Protection. Offers Protection From Excessive Glare Provides 99% Protection From Harmful UV-A And UV-B Rays. 100% Polycarbonate Scratch-Resistant Lenses,,,+2.0,V2 Readers Safety Glasses
164|25635,Safety Glasses|Safety Glasses,SB1810R25,V2 Readers Safety Glasses,,E:\IMAGES\ITEMS\product\S\B\Pyramex-V2-Readers-Safety.jpg,Pyramex Safety,Pyramex V2 Readers Safety Glasses,Nose Buds Secure The Glass And Prevent Slipping While Providing A Pillow Soft Fit. Strategic Placement Of Lens Insert Is Out Of User’s Direct Line Of Vision. General Purposes For Indoor Applications That Require Impact Protection. 9.75 Base Curved Lens Provides Full Side Protection. Offers Protection From Excessive Glare Provides 99% Protection From Harmful UV-A And UV-B Rays. 100% Polycarbonate Scratch-Resistant Lenses,,,+2.5,V2 Readers Safety Glasses
