category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
609|19527,Cement | Concrete Mix|Concrete Mix,Quikrete Concrete Mix,Concrete Mix,"QUIKRETE® Concrete Mix (No. 1101) is the original 4000 psi average compressive strength blend of portland cement, sand, and gravel or stone. Just add water. Use for any general concrete work.",E:\IMAGES\ITEMS\product\c\o\Quikrete-Concrete.jpg,Quikrete,Quikrete Concrete Mix,"Available in the following sizes :40 lb. bags60 lb. bags80 lb. bagsUse For Construction & Repair of Brick, Block & Stone:SidewalksFloorsStepsPatiosCurbsDownspout Troughs","QUIKRETE® Concrete Mix (No. 1101) is the original 4000 psi average compressive strength blend of portland cement, sand, and gravel or stone. Just add water. Use for any general concrete work.",,Quikrete Concrete Mix,Concrete Mix
610|26076,Sand | Gravel|Stormwater Management,Quikrete Gravel - All-Purpose,Gravel - All-Purpose,QUIKRETE® All-Purpose Gravel (No. 1151) is a multi-use product for a variety of decorative and landscaping applications. Also for making concrete.,E:\IMAGES\ITEMS\product\g\r\Quikrete-Gravel-All.jpg,Quikrete,Quikrete Gravel - All-Purpose,"Available in the following size :50 lb. bagsUse For:Landscaping, Gardening, Patios, Tree Wells, Walks, Rooftops, Fish Ponds and AquariumsAs a Decorative Extension to Stucco WallcoatingMixing with Portland Cement and All Purpose Sand to Make Concrete",QUIKRETE® All-Purpose Gravel (No. 1151) is a multi-use product for a variety of decorative and landscaping applications. Also for making concrete.,,Quikrete Gravel - All-Purpose,Gravel - All-Purpose
299,Fast Set,Quikrete Hydraulic Water-Stop Cement,Hydraulic Water-Stop Cement,"QUIKRETE® Hydraulic Water-Stop Cement (no. 1126) is a rapid setting, high strength repair material designed to plug leaks instantly in concrete and masonry. Sets in 3-5 minutes and can be used above and below grade.Designed to block running water",E:\IMAGES\ITEMS\product\h\y\Quikrete-Hydraulic-Water-Stop.jpg,Quikrete,Quikrete Hydraulic Water-Stop Cement,Available in the following sizes :10 lb. pails20 lb. pails50 lb. pailsUse For:Swimming poolsFoundationsSealing around concrete pipe,"QUIKRETE® Hydraulic Water-Stop Cement (no. 1126) is a rapid setting, high strength repair material designed to plug leaks instantly in concrete and masonry. Sets in 3-5 minutes and can be used above and below grade.Designed to block running water or leaks in cracked masonry or concrete surfaces.",,Quikrete Hydraulic Water-Stop Cement,Hydraulic Water-Stop Cement
609|19527,Cement | Concrete Mix|Concrete Mix,Quikrete Mortar Mix,Mortar Mix,"QUIKRETE® Mortar Mix (No. 1102) is a blend of masonry cement and graded sand , designed to meet ASTM C 270 for Type N Mortar. Just add water.",E:\IMAGES\ITEMS\product\m\o\Quikrete-Mortar.jpg,Quikrete,Quikrete Mortar Mix,"Available in the following sizes :40 lb. bags - 80 per pallet60 lb. bags - 56 per pallet80 lb. bags - 42 per palletUse For Construction & Repair of Brick, Block & Stone:Use For Construction & Repair of Brick, Block & Stone:BarbecuesPillarsWallsTuck-pointing mortar jointsPlanters","QUIKRETE® Mortar Mix (No. 1102) is a blend of masonry cement and graded sand , designed to meet ASTM C 270 for Type N Mortar. Just add water.",,Quikrete Mortar Mix,Mortar Mix
609|19527,Cement | Concrete Mix|Concrete Mix,Quikrete Plastic Cement,Plastic Cement,QUIKRETE® Plastic Cement (No. 2121) complies with ASTM C 1328 Type M and S. Blended cement specifically designed for use with plaster sand to make Base Coat Stucco. Available Regionally.,E:\IMAGES\ITEMS\product\p\l\Quikrete-Plastic.jpg,Quikrete,Quikrete Plastic Cement,Available in the following size :94lb. bags - 35 per palletTo make Scratch and Base Coat Stucco Mix:3 to 4 parts Plaster Sand1 part Plastic Cement (by volume),QUIKRETE® Plastic Cement (No. 2121) complies with ASTM C 1328 Type M and S. Blended cement specifically designed for use with plaster sand to make Base Coat Stucco. Available Regionally.,,Quikrete Plastic Cement,Plastic Cement
609|19527,Cement | Concrete Mix|Concrete Mix,Quikrete Portland Cement,Portland Cement,"QUIKRETE® Portland Cement (No. 1124) complies with current ASTM C150 and Federal Specifications for portland cement. Can be mixed with aggregate and other ingredients to make concrete mix, mortar mix, and base coat stucco. Available in Type I, Type I/II a",E:\IMAGES\ITEMS\product\p\o\Quikrete-Portland.jpg,Quikrete,Quikrete Portland Cement,Available in the following sizes :47lb. bags - 63 per pallet94lb. bags - 35 per palletTo make Concrete Mix:3 parts All-Purpose Gravel (No. 1151)2 parts All-Purpose Sand (No. 1152)1 part Portland Cement (by volume)To make Type S Mortar Mix:3 1/2 to 4 1/2 parts Mason Sand (No. 1952)1/2 part Hydrated Lime1 part Portland Cement (by volume),"QUIKRETE® Portland Cement (No. 1124) complies with current ASTM C150 and Federal Specifications for portland cement. Can be mixed with aggregate and other ingredients to make concrete mix, mortar mix, and base coat stucco. Available in Type I, Type I/II and Type III.",,Quikrete Portland Cement,Portland Cement
610|24006,Sand | Gravel|Ice Melting Compounds,Quikrete Rock Salt,Rock Salt,"QUIKRETE® Rock Salt (No. 9002) is perfect for melting snow on stairs, sidewalks and driveways or virtually any outside surface.",E:\IMAGES\ITEMS\product\r\o\Quikrete-Rock.jpg,Quikrete,Quikrete Rock Salt,Available in the following sizes :25 lb. bags80 lb. bags,"QUIKRETE® Rock Salt (No. 9002) is perfect for melting snow on stairs, sidewalks and driveways or virtually any outside surface.",,Quikrete Rock Salt,Rock Salt
610|26076,Sand | Gravel|Stormwater Management,Quikrete Sand - All-Purpose 50,Sand - All-Purpose,"QUIKRETE® All-Purpose Sand (No. 1152) is a washed, properly graded coarse sand with multi-purpose uses. Meets ASTM C 33 specifications.",E:\IMAGES\ITEMS\product\s\a\Quikrete-Sand-All.jpg,Quikrete,Quikrete Sand - All-Purpose,Available in the following sizes :50 lb. bags70 lb. bagsUse For:Underlayment for Brick PaversMixing with portland cement and gravel to make concreteTraction on Snow and IceMixing with potting soil,"QUIKRETE® All-Purpose Sand (No. 1152) is a washed, properly graded coarse sand with multi-purpose uses. Meets ASTM C 33 specifications.",,50 lb bag,Sand - All-Purpose
609|19527,Cement | Concrete Mix|Concrete Mix,Quikrete Thin Set Multi-Purpose,Thin Set Multi-Purpose,"QUIKRETE® Thin Set™ Multi-Purpose (No. 1550) is a blend of portland cement, sand and special polymer additives for the installation of tiles over a variety of surfaces, including properly prepared exterior grade plywood. Requires no additional latex or fo",E:\IMAGES\ITEMS\product\t\h\Quikrete-Thin-Set-Multi.jpg,Quikrete,Quikrete Thin Set Multi-Purpose,Available in the following sizes :7 lb. pails25 lb. bags50 lb. bagsApply over:PlywoodConcreteConcrete blockCementicious backer unitsWall boardPortland Cement Plaster,"QUIKRETE® Thin Set™ Multi-Purpose (No. 1550) is a blend of portland cement, sand and special polymer additives for the installation of tiles over a variety of surfaces, including properly prepared exterior grade plywood. Requires no additional latex or fortifiers.Available in gray and white.",,Quikrete Thin Set Multi-Purpose,Thin Set Multi-Purpose
609|19527,Cement | Concrete Mix|Concrete Mix,BHM 5000 PSI CON,80 Lb Concrete Mix .66 Cu Ft,5000 PSI High Strength,E:\IMAGES\ITEMS\product\B\H\Quikrete-80-Lb-Concrete-Mix-66-Cu.jpg,Quikrete,5000 PSI High Strength,"80 lb. bags - 42 per pallet</br Use For 	Driveway aprons 	Deck supports 	Patios 	Sign footings 	Concrete projects 2"" thick or more that require high strength","QUIKRETE® 5000 Concrete Mix (No. 1007) is a commercial grade blend of stone or gravel, sand and cement specially designed for higher early strength. Ideal for cold weather application. Achieves 5000 psi after 28 days.",,Quikrete BHM 5000 PSI CON 80 Lb Concrete Mix .66 Cu Ft,80 Lb Concrete Mix .66 Cu Ft
