category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2594|25943,Safety Jackets|Rain Jackets and Coats,SJ11-3,Two-In-One Bomber Jacket,Radians SJ11 Class 3 Two-In-One Bomber Jacket,E:\IMAGES\ITEMS\product\S\J\Radians-SJ11-3-Two-In-One-Bomber.jpg,Radians,Radians SJ11 Class 3 Two-In-One Bomber Jacket,"Zip Out Removable Fleece Liner 2"" Silver Reflective Tape PU Coated Waterproof Polyester Shell Concealed Detachable Hood Black Elastic Knit Waistband & Cuffs Zippered Fleece Lined Slash Pockets Cell Phone / Radio Chest Pocket Two Inside Fleece Pockets Two Left Sleeve Pencil Pockets Mic Tabs on Both Shoulders","SJ11-3OS-Orange SJ11-3GS-Green Sizes: M,L,XL,2X,3X,4X,5X",,Radians SJ11-3 Two-In-One Bomber Jacket,Two-In-One Bomber Jacket
2594|25943,Safety Jackets|Rain Jackets and Coats,SJ21-3,Three-In-One Deluxe Bomber Jacket,Three-In-One Deluxe Bomber Jacket,E:\IMAGES\ITEMS\product\S\J\Radians-SJ21-3-Three-In-One-Deluxe-Bomber- 1.jpg,Radians,Three-In-One Deluxe Bomber Jacket,"Zip Out Removable Fleece Jacket 2"" Silver Reflective Tape PU Coated Waterproof Polyester Shell Concealed Detachable Hood Yellow Elasticized Waistband Yellow Elasticized Cuffs with Hook & Loop Closures Zippered Fleece Lined Slash Pockets Cell Phone / Radio Chest Pocket Fleece Lined Chest Pocket with Zipper Three Outside Pockets on Fleece Jacket Clear Chest Badge Holder Two Left Sleeve Pencil Pockets Mic Tabs on Both Shoulders","SJ21-3OS-Orange SJ21-3GS-Green Sizes: M,L,XL,2X,3X,4X,5X",,Radians SJ21-3 Three-In-One Deluxe Bomber Jacket,Three-In-One Deluxe Bomber Jacket
2594|25943,Safety Jackets|Rain Jackets and Coats,SJ31-3,Tri-Lam Soft Shell Jacket,Radians SJ31 Class 3 Tri-Lam Soft Shell Jacket,E:\IMAGES\ITEMS\product\S\J\Radians-SJ31-3-Tri-Lam-Soft-Shell.jpg,Radians,Radians SJ31 Class 3 Tri-Lam Soft Shell Jacket,"Three Layers of Protection  1. Soft Outer Shell  2. Weather Resistant Inner Liner  3. Insulating Fleece Liner 2"" Heat Transfer Reflective Tape Two Lower, Fleece Lined Pockets with Zipper Cell Phone / Radio Chest Pocket Two Large Onside Double Pockets Zippered Chest Pocket Internal Wrist Cuffs with Closure","SJ31-3ZGS-Hi-Viz Green Sizes: M,L,XL,2X,3X,4X,5X",,Radians SJ31-3 Tri-Lam Soft Shell Jacket,Tri-Lam Soft Shell Jacket
25743,Flame Resistant and Arc Flash Pants and Overalls,SP41,SP41 Class E Sealed Waterproof Safety Pants,Radians SP41-3 Class E Sealed Waterproof Pants,E:\IMAGES\ITEMS\product\S\J\Radians-SP41-3-Sealed-Waterproof.jpg,Radians,Radians SP41 Class E Sealed Waterproof Safety Pants are Hi-Viz durable waterpoof pants. 300 denier yellow oxford polyester upper portion for visibility and darker lower portion to hide dirt. Elastic waist band with slash pockets for easy access to pants. Class E stripe configuration.,"Features  100% polyester. 2” silver tape reflective material, 2 horizontal stripes per leg. Slash through pockets. Full elastic waist. Lower leg cuff snap. 300 denier. Colors: Hi-Viz Green. 3rd Party Certified – Meets ANSI/ISEA 107-2010 Standards.   VIEW PRODUCT FLYER",SP41-EPGS-ML SP41-EPGS-XL2X SP41-EPGS-3X4X SP41-EPGS-5X6X,,Radians SP41-3 Sealed Waterproof Pants,SP41 Class E Sealed Waterproof Safety Pants
2601|25943,Protective Parkas|Rain Jackets and Coats,SJ41-3,Class 3 Three-In-One WeatherProof Parka,Radians SJ41 Class 3 Three-In-One WeatherProof Parka,E:\IMAGES\ITEMS\product\S\J\Radians-SJ41-Class-3-Three-In-One-WeatherProof.jpg,Radians,Three-In-One Weatherproof Parka with Removable Fleece Jacket,"Wind and Water Resistant Shell Removable Inner Fleece Jacket 2"" Silver Reflective Tape Mic Tabs on Both Shoulders Four Lower, Fleece Lined Pockets with Zipper Fleece Lined Chest Pocket Hidden Inside Side Pocket Two Large Inside Pockets Concealed Hood Pass Through on Back for Fall Protection Wrist Cuffs with Closure",Interchange your Inner Fleece by zipping the SJ31 Soft Shell Fleece Jacket into the SJ41 Parka for the highest level of warmth and protection. (SJ31 sold separately) Part Numbers SJ41-3ZGS - Hi-Viz Green,,Radians SJ41-3 Class 3 Three-In-One WeatherProof Parka,Class 3 Three-In-One WeatherProof Parka
164|25635,Safety Glasses|Safety Glasses,MR0110ID,Clear Mirage Safety Glasses,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",E:\IMAGES\ITEMS\product\M\R\Radians-MR0110ID-Clear-Mirage-Safety.jpg,Radians,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",Optically correct and distortion free lenses Economical dual wraparound 9.75 base lens provides near perfect orbital seal Weighs less than 1 ounce,,,Radians MR0110ID Clear Mirage Safety Glasses,Clear Mirage Safety Glasses
164|25635,Safety Glasses|Safety Glasses,MR0111ID,Clear Anti-Fog Safety Glasses,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",E:\IMAGES\ITEMS\product\M\R\Radians-MR0111ID-Clear-Anti-Fog-Safety.jpg,Radians,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",Optically correct and distortion free lenses Economical dual wraparound 9.75 base lens provides near perfect orbital seal Weighs less than 1 ounce,,,Radians MR0111ID Clear Anti-Fog Safety Glasses,Clear Anti-Fog Safety Glasses
164|25635,Safety Glasses|Safety Glasses,MR0120ID,Smoke Mirage Safety Glasses,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",E:\IMAGES\ITEMS\product\M\R\Radians-MR0120ID-Smoke-Mirage-Safety.jpg,Radians,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",Optically correct and distortion free lenses Economical dual wraparound 9.75 base lens provides near perfect orbital seal Weighs less than 1 ounce,,,Radians MR0120ID Smoke Mirage Safety Glasses,Smoke Mirage Safety Glasses
164|25635,Safety Glasses|Safety Glasses,MR0121ID,Smoke Anti-Fog Mirage Safety Glasses,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",E:\IMAGES\ITEMS\product\M\R\Radians-MR0121ID-Smoke-Anti-Fog-Mirage-Safety.jpg,Radians,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",Optically correct and distortion free lenses Economical dual wraparound 9.75 base lens provides near perfect orbital seal Weighs less than 1 ounce,,,Radians MR0121ID Smoke Anti-Fog Mirage Safety Glasses,Smoke Anti-Fog Mirage Safety Glasses
164|25635,Safety Glasses|Safety Glasses,MR0190ID,Indoor / Outdoor Safety Glasses,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",E:\IMAGES\ITEMS\product\M\R\Radians-MR0190ID-Indoor-Outdoor-Safety.jpg,Radians,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",Optically correct and distortion free lenses Economical dual wraparound 9.75 base lens provides near perfect orbital seal Weighs less than 1 ounce,,,Radians MR0190ID Indoor / Outdoor Safety Glasses,Indoor / Outdoor Safety Glasses
164|25635,Safety Glasses|Safety Glasses,MR0191ID,Indoor / Outdoor Anti-Fog Mirage Safety Glasses,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",E:\IMAGES\ITEMS\product\M\R\Radians-MR0191ID-Indoor-Outdoor-Anti-Fog-Mirage-Safety.jpg,Radians,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",Optically correct and distortion free lenses Economical dual wraparound 9.75 base lens provides near perfect orbital seal Weighs less than 1 ounce,,,Radians MR0191ID Indoor / Outdoor Anti-Fog Mirage Safety Glasses,Indoor / Outdoor Anti-Fog Mirage Safety Glasses
164|25635,Safety Glasses|Safety Glasses,MR0140ID,Amber Mirage Safety Glasses,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",E:\IMAGES\ITEMS\product\M\R\Radians-MR0140ID-Amber-Mirage-Safety.jpg,Radians,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",Optically correct and distortion free lenses Economical dual wraparound 9.75 base lens provides near perfect orbital seal Weighs less than 1 ounce,,,Radians MR0140ID Amber Mirage Safety Glasses,Amber Mirage Safety Glasses
164|25635,Safety Glasses|Safety Glasses,MR0160ID,Silver Mirror Mirage Safety Glasses,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",E:\IMAGES\ITEMS\product\M\R\Radians-MR0160ID-Silver-Mirror-Mirage-Safety.jpg,Radians,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",Optically correct and distortion free lenses Economical dual wraparound 9.75 base lens provides near perfect orbital seal Weighs less than 1 ounce,,,Radians MR0160ID Silver Mirror Mirage Safety Glasses,Silver Mirror Mirage Safety Glasses
164|25635,Safety Glasses|Safety Glasses,MR01B0ID,Light Blue Mirage Safety Glasses,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",E:\IMAGES\ITEMS\product\M\R\Radians-MR01B0ID-Light-Blue-Mirage-Safety.jpg,Radians,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",Optically correct and distortion free lenses Economical dual wraparound 9.75 base lens provides near perfect orbital seal Weighs less than 1 ounce,,,Radians MR01B0ID Silver Mirror Mirage Safety Glasses,Light Blue Mirage Safety Glasses
164|25635,Safety Glasses|Safety Glasses,MR01R0ID,Rainbow Mirage Safety Glasses,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",E:\IMAGES\ITEMS\product\M\R\Radians-MR01R0ID-Rainbow-Mirage-Safety.jpg,Radians,"Sleek design allows for a perfect fit for both men and women, ensuring worker acceptance",Optically correct and distortion free lenses Economical dual wraparound 9.75 base lens provides near perfect orbital seal Weighs less than 1 ounce,,,Radians MR01R0ID Rainbow Mirage Safety Glasses,Rainbow Mirage Safety Glasses
1249|25635,Safety Glasses - Foam Lined|Safety Glasses,MRF111ID,Clear Anti Fog Safety Foam Glasses,"Foam lined safety eyewear designed to block debris, airborne particles and eye irritants",E:\IMAGES\ITEMS\product\M\R\Radians-MRF111ID-Clear-Anti-Fog-Safety-Foam.jpg,Radians,"Foam lined safety eyewear designed to block debris, airborne particles and eye irritants",Closed cell foam construction for extra protection from debris Full wraparound frame allows for unobstructed peripheral vision Foam lined pockets/vents provide extra fog control Polycarbonate lens provides impact protection Mirage Foam Small also available - 10% smaller frame to fit a wider range of individuals,,,Radians MRF111ID Clear Anti Fog Safety Foam Glasses,Clear Anti Fog Safety Foam Glasses
1249|25635,Safety Glasses - Foam Lined|Safety Glasses,MRF121ID,Smoke Anti Fog Mirage Foam Safety Glasses,"Foam lined safety eyewear designed to block debris, airborne particles and eye irritants",E:\IMAGES\ITEMS\product\M\R\Radians-MRF121ID-Smoke-Anti-Fog-Mirage-Foam-Safety.jpg,Radians,"Foam lined safety eyewear designed to block debris, airborne particles and eye irritants",Closed cell foam construction for extra protection from debris Full wraparound frame allows for unobstructed peripheral vision Foam lined pockets/vents provide extra fog control Polycarbonate lens provides impact protection Mirage Foam Small also available - 10% smaller frame to fit a wider range of individuals,,,Radians MRF121ID Smoke Anti Fog Mirage Foam Safety Glasses,Smoke Anti Fog Mirage Foam Safety Glasses
