category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
585|26914,House Wraps|Above Grade,Rufco-Wrap House Wrap,Rufco-Wrap House Wrap,Made of strong cross-laminated polyethylene,E:\IMAGES\ITEMS\product\r\u\Rufco-Wrap-House.jpg,Raven Industries,Rufco-Wrap House Wrap,More breathable than Grade-D Building PaperSee-through design allows for location of sheathing and stud markingsSuperior in strength - cross-laminated for more holding powerAvailable in the following size : 9'×195',Made of strong cross-laminated polyethylene,,Rufco-Wrap House Wrap,Rufco-Wrap House Wrap
358|26914,Vapor Barrier|Above Grade,Raven VB6,VaporBlock 6 Blue/Blue 6 Mil Co-Extruded Polyolefin,Raven VB6 VaporBlock 6 Blue/Blue 6 Mil Co-Extruded Polyolefin,E:\IMAGES\ITEMS\product\R\a\Raven-VB6-VaporBlock-6-BlueBlue-6-Mil-Co-Extruded.jpg,Raven Industries,High Performance Underslab Vapor Barrier,Raven VB6 VaporBlock 6,"Product Description VaporBlock® is a high performance underslab vapor barrier designed to retard moisture migration through concrete slabs-ongrade.  This product is made from state-of-the-art polyethylene resins that provide superior physical and performance properties that far exceed ASTM E-1745 (Plastic Water Vapor Retarders Used in Contact with Soil or Granular Fill Under Concrete Slabs) Class A, B and C requirements. High tensile strength, unequaled puncture resistance, ultralow moisture vapor permeability as well as resistance to decay make VaporBlock® one of the most effective underslab vapor barriers on the market today!  Available in 6,10 and 15 mil thicknesses to best meet required performance specifications. Product Use VaporBlock® impedes the transmission of water vapor from traveling upward through a concrete slab-on-grade or through a concrete wall when properly installed. It is extremely important to avoid puncturing a vapor retarder during installation to assure proper performance. VaporBlock's puncture strength is second to none, withstanding even the most demanding installation conditions. VaporBlock® protects your flooring and other moisture sensitive furnishings in your building's interior from moisture migration. VaporBlock can also greatly reduce condensation, mold and degradation by controlling water vapor migration.  Size & Packaging VaporBlock® 6 &10 are available in 15' wide rolls by 200' long for ease of installation and maximum coverage. VaporBlock® 15 is available in 12' wide rolls by 200' long. Other custom sizes are available depending upon size and volume requirements.  All rolls are folded and rolled on heavy-duty cores for ease in handling and installation. Installation instructions and ASTM E-1745 classifications accompany each roll. Applications Underslab Vapor Retarder/Barrier Foundation Wall Vapor Retarder Radon Retarder",,Raven VB6 VaporBlock 6 Blue/Blue 6 Mil Co-Extruded Polyolefin,VaporBlock 6 Blue/Blue 6 Mil Co-Extruded Polyolefin
358|26914,Vapor Barrier|Above Grade,Raven VB10,VaporBlock 10 Blue/Blue 10 Mil Co-Extruded Polyolefin,Raven VB10 VaporBlock 10 Blue/Blue 10 Mil Co-Extruded Polyolefin,E:\IMAGES\ITEMS\product\R\a\Raven-VB10-VaporBlock-10-BlueBlue-10-Mil-Co-Extruded- 3.jpg,Raven Industries,High Performance Underslab Vapor Barrier,Raven VB10 VaporBlock 10,"Product Description VaporBlock® is a high performance underslab vapor barrier designed to retard moisture migration through concrete slabs-ongrade.  This product is made from state-of-the-art polyethylene resins that provide superior physical and performance properties that far exceed ASTM E-1745 (Plastic Water Vapor Retarders Used in Contact with Soil or Granular Fill Under Concrete Slabs) Class A, B and C requirements. High tensile strength, unequaled puncture resistance, ultralow moisture vapor permeability as well as resistance to decay make VaporBlock® one of the most effective underslab vapor barriers on the market today!  Available in 6,10 and 15 mil thicknesses to best meet required performance specifications. Product Use VaporBlock® impedes the transmission of water vapor from traveling upward through a concrete slab-on-grade or through a concrete wall when properly installed. It is extremely important to avoid puncturing a vapor retarder during installation to assure proper performance. VaporBlock's puncture strength is second to none, withstanding even the most demanding installation conditions. VaporBlock® protects your flooring and other moisture sensitive furnishings in your building's interior from moisture migration. VaporBlock can also greatly reduce condensation, mold and degradation by controlling water vapor migration.  Size & Packaging VaporBlock® 6 &10 are available in 15' wide rolls by 200' long for ease of installation and maximum coverage. VaporBlock® 15 is available in 12' wide rolls by 200' long. Other custom sizes are available depending upon size and volume requirements.  All rolls are folded and rolled on heavy-duty cores for ease in handling and installation. Installation instructions and ASTM E-1745 classifications accompany each roll. Applications Underslab Vapor Retarder/Barrier Foundation Wall Vapor Retarder Radon Retarder",,Raven VB10 VaporBlock 10 Blue/Blue 10 Mil Co-Extruded Polyolefin,VaporBlock 10 Blue/Blue 10 Mil Co-Extruded Polyolefin
358|26914,Vapor Barrier|Above Grade,Raven VB15,VaporBlock 15 Blue/Blue 15 Mil Co-Extruded Polyolefin,High Performance Underslab Vapor Barrier,E:\IMAGES\ITEMS\product\R\a\Raven-VB15-VaporBlock-15-BlueBlue-15-Mil-Co-Extruded.jpg,Raven Industries,High Performance Underslab Vapor Barrier,Raven VB15 VaporBlock 15,"Product Description VaporBlock® is a high performance underslab vapor barrier designed to retard moisture migration through concrete slabs-ongrade.  This product is made from state-of-the-art polyethylene resins that provide superior physical and performance properties that far exceed ASTM E-1745 (Plastic Water Vapor Retarders Used in Contact with Soil or Granular Fill Under Concrete Slabs) Class A, B and C requirements. High tensile strength, unequaled puncture resistance, ultralow moisture vapor permeability as well as resistance to decay make VaporBlock® one of the most effective underslab vapor barriers on the market today!  Available in 6,10 and 15 mil thicknesses to best meet required performance specifications. Product Use VaporBlock® impedes the transmission of water vapor from traveling upward through a concrete slab-on-grade or through a concrete wall when properly installed. It is extremely important to avoid puncturing a vapor retarder during installation to assure proper performance. VaporBlock's puncture strength is second to none, withstanding even the most demanding installation conditions. VaporBlock® protects your flooring and other moisture sensitive furnishings in your building's interior from moisture migration. VaporBlock can also greatly reduce condensation, mold and degradation by controlling water vapor migration.  Size & Packaging VaporBlock® 6 &10 are available in 15' wide rolls by 200' long for ease of installation and maximum coverage. VaporBlock® 15 is available in 12' wide rolls by 200' long. Other custom sizes are available depending upon size and volume requirements.  All rolls are folded and rolled on heavy-duty cores for ease in handling and installation. Installation instructions and ASTM E-1745 classifications accompany each roll. Applications Underslab Vapor Retarder/Barrier Foundation Wall Vapor Retarder Radon Retarder",,Raven VB15 VaporBlock 15 Blue/Blue 15 Mil Co-Extruded Polyolefin,VaporBlock 15 Blue/Blue 15 Mil Co-Extruded Polyolefin
358|26914,Vapor Barrier|Above Grade,Raven VBP20,VaporBlock Plus 20 White/Gold 20 Mil Co-Extruded 7-Layer,Under-Slab Vapor / Gas Barrier,E:\IMAGES\ITEMS\product\R\a\Raven-VBP20-VaporBlock-Plus-20-WhiteGold-20-Mil-Co-Extruded- 1.jpg,Raven Industries,Under-Slab Vapor / Gas Barrier,Raven VBP20 VaporBlock Plus 20,"Product Description VaporBlock® Plus™ 20 is a seven-layer co-extruded barrier made from state-of-the-art polyethylene and EVOH resins to provide unmatched impact strength as well as superior resistance to gas and moisture transmission. VaporBlock® Plus™ 20 is a highly resilient underslab / vertical wall barrier designed to restrict naturally occurring gases such as radon and/or methane from migrating through the ground and concrete slab. VaporBlock® Plus™ 20 is more than 100 times less permeable than typical high-performance polyethylene vapor retarders against Methane, Radon and other harmful VOCs. VaporBlock® Plus™ 20 is one of the most effective underslab gas barriers in the building industry today far exceeding ASTM E-1745 (Plastic Water Vapor Retarders Used in Contact with Soil or Granular Fill Under Concrete Slabs) Class A, B and C requirements. Available in a 20 (Class A) mil thicknesses designed to meet the most stringent requirements. VaporBlock® Plus™ 20 is produced within the strict guidelines of our ISO 9001:2008 Certified Management System. Product Use VaporBlock® Plus™ 20 resists gas and moisture migration into the building envelop when properly installed to provide protection from toxic/harmful chemicals. It can be installed as part of a passive or active control system extending across the entire building including floors, walls and crawl spaces. When installed as a passive system it is recommended to also include a ventilated system with sump(s) that could be converted to an active control system with properly designed ventilation fans. VaporBlock® Plus™ 20 works to protect your flooring and other moisture-sensitive furnishings in the building's interior from moisture and water vapor migration, greatly reducing condensation, mold and degradation. Size & Packaging VaporBlock® Plus™ 20 is available in 10' x 150' rolls to maximize coverage. All rolls are folded on heavy-duty cores for ease in handling and installation. Other custom sizes with factory welded seams are available based on minimum volume requirements. Installation instructions and ASTM E-1745 classifications accompany each roll. Applications Radon Barrier Methane Barrier VOC Barrier Under-Slab Vapor Retarder Foundation Wall Vapor Retarder",,Raven VBP20 VaporBlock Plus 20 White/Gold 20 Mil Co-Extruded 7-Layer,VaporBlock Plus 20 White/Gold 20 Mil Co-Extruded 7-Layer
358|26914,Vapor Barrier|Above Grade,ABS,Raven Absolute Barrier Series,Multi-Layer EVOH Linear Low-Density Barrier with Enhanced Grip Surface,E:\IMAGES\ITEMS\product\A\B\Raven-ABS-Absolute-Barrier.jpg,Raven Industries,Multi-Layer EVOH Linear Low-Density Barrier with Enhanced Grip Surface,"ABSOLUTE BARRIER™ Series are seven-layer co-extruded geomembrane consisting of a very flexible, linear low-density polyethylene (LLDPE) and an inner core of chemically resistant EVOH, designed specifically as a barrier against radon, methane and VOCs.  High strength LLDPE provides exceptional tear and impact resistance.  A robust stabilization package that exceeds the industry standard; provides long-term protection from thermal oxidation and ultraviolet degradation in exposed applications.  A lightly textured surface provides enhanced grip for ease of installation and worker safety.",,,Raven ABS Absolute Barrier Series,Raven Absolute Barrier Series
358|26914,Vapor Barrier|Above Grade,RCVB,Raven Canvex Vapor Barrier,High-Density Woven Polyethylene,E:\IMAGES\ITEMS\product\R\C\Raven-RCVB-Canvex-Vapor.jpg,Raven Industries,High-Density Woven Polyethylene,"CANVEX® is a woven reinforced plastic sheeting manufactured by weaving high-density polyethylene ribbons and coating them with a low-density polyethylene.  Canvex provides a durable tear resistant film option for a variety of applications.  The low-density coating is applied to one side in black and the opposite side white, the black side maximizes longevity, while the white side greatly reduces heat buildup and condensation.",,,Raven RCVB Canvex Vapor Barrier,Raven Canvex Vapor Barrier
358|26914,Vapor Barrier|Above Grade,RVBC,Raven Conkure Vapor Barrier,Wet Concrete Curing Blanket,E:\IMAGES\ITEMS\product\R\V\Raven-RVBC-Conkure-Vapor.jpg,Raven Industries,Wet Concrete Curing Blanket,"CONKURE™ Wet Curing Blanket consists of a highly absorbent synthetic needle punched fabric coated with a white reflective film.  Unlike burlap, it will not rot or mildew.  Conkure Blankets are lightweight and disposable making them an economical choice in concrete curing and yet are versatile and strong enough to be reused when cared for properly.  Conkure Wet Curing Blanket is a reflective blanket specifically designed to be hydrated and inhibit moisture loss during the curing process of concrete.  Conkure Wet Curing Blanket meets and exceeds AASHTO M-171 and ASTM C-171, “Standard Specification for Sheet Materials for Curing Concrete” for moisture retention and daylight reflection.",,,Raven RVBC Conkure Vapor Barrier,Raven Conkure Vapor Barrier
358|26914,Vapor Barrier|Above Grade,DSJS,Raven Dura-Skrim J Series,Tri-Directional Scrim Reinforced Polyethylene - 6-25-30 Mil,E:\IMAGES\ITEMS\product\D\S\Raven-DSJS-Dura-Skrim-J.jpg,Raven Industries,Tri-Directional Scrim Reinforced Polyethylene - 6-25-30 Mil,"DURA-SKRIM® J Series is available in a lighter weight reinforced film and a geomembranes are linear-low density polyethylene reinforced with a dense encapsulated high strength polyester reinforcement. In addition to excellent dimensional stability, the Tri-directional reinforcement provides exceptional tear and tensile strength. Dura-Skrim J-Series membranes are formulated with thermal and UV stabilizers to assure a long service life. Custom colors are available based on minimum volume requirements.",,,Raven DSJS Dura-Skrim J Series,Raven Dura-Skrim J Series
358|26914,Vapor Barrier|Above Grade,DSKS,Raven Dura-Skrim K Series Vapor Barrier,Cross-Directional Scrim Reinforced Polyethylene (Smooth or Textured) - 30-45 Mil Smooth and 36-45 Mil Textured,E:\IMAGES\ITEMS\product\D\S\Raven-DSKS-Dura-Skrim-K-Series-Vapor.jpg,Raven Industries,Cross-Directional Scrim Reinforced Polyethylene (Smooth or Textured) - 30-45 Mil Smooth and 36-45 Mil Textured,"DURA-SKRIM® K Series geomembranes consist of linear low density polyethylene reinforced with dense cross-directional scrim reinforcement.  In addition to excellent dimensional stability the K-Series reinforcement provides unmatched tear and puncture strength.  Dura-Skrim K-Series membranes areformulated with thermal and UV stabilizers to assure a long service life.  Dura-Skrim K Series is produced in a reinforced smooth or textured surface geomembrane.  Textured K-Series combines both the exceptional performance characteristics of smooth K-Series with Raven’s exclusive GeoGrip™ surface texture consisting of durable random spikes and bidirectional bars for uniform stabilization and support.  Large diameter mill rolls are available to assure an efficient seaming process.  Factory welded panels are accordion folded and tightly rolled on a heavy-duty core for ease of handling and time saving installation.  Super stabilized Dura-Skrim covers, meeting GRI-GM22 standard specifications, are also available for exposed application requiring a life expectancy of 5 years or more.",,,Raven DSKS Dura-Skrim K Series Vapor Barrier,Raven Dura-Skrim K Series Vapor Barrier
