category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
152|22494,Flashlights - All|Rechargeable Flashlights,ISL2D-B,Swivel-Lite™ Industrial™ Flashlight,,E:\IMAGES\ITEMS\product\I\S\Swivel-Lite-Industrial.jpg,Rayovac,,90° or 360° swivel head puts light exactly where you need it. Sure grip handle clips onto belt or visor. Batteries included.,,,Batteries/Size: Two D,Swivel-Lite™ Industrial™ Flashlight
152|22494,Flashlights - All|Rechargeable Flashlights,ILJ2AA-B,Rayovac ILJ2AA-B Swivel-Lite™ Industrial™ Flashlight,,E:\IMAGES\ITEMS\product\I\S\Swivel-Lite-Industrial.jpg,Rayovac,Rayovac ILJ2AA-B Swivel-Lite™ Industrial™ Flashlight,90° or 360° swivel head puts light exactly where you need it. Sure grip handle clips onto belt or visor. Batteries included.,,,Batteries/Size: Two AA,Rayovac ILJ2AA-B Swivel-Lite™ Industrial™ Flashlight
152|22494,Flashlights - All|Rechargeable Flashlights,I2D-B,I2D-B 2D Tool-Lite™ Industrial™ Flashlight,,E:\IMAGES\ITEMS\product\I\2\Rayovac-I2D-B-2D-Tool-Lite-Industrial.jpg,Rayovac,,"Case is gas-, grease-, chemical- and water-resistant. Ergonomic Switch and grip. Includes ring hanger and spare bulb holder. Batteries included.",,,Rayovac I2D-B 2D Tool-Lite™ Industrial™ Flashlight,I2D-B 2D Tool-Lite™ Industrial™ Flashlight
152|22494,Flashlights - All|Rechargeable Flashlights,KFL,KFL Industrial Lantern,,E:\IMAGES\ITEMS\product\K\F\Rayovac-KFL-Industrial.jpg,Rayovac,,"Combines the power of a lantern with flashlight convenience. ""Toolbox tough"" lantern has an adjustable stand for handsfree use. Lang-range beam. Rubber protected body, push-button switch. Uses krypton bulb; includes spare bulb holder and 4D adapter. Accepts 6V lantern battery for additional power. Batteries not included.",,,Rayovac KFL Industrial Lantern,KFL Industrial Lantern
665,Batteries,815-4F,AA 4 Pack,,E:\IMAGES\ITEMS\product\8\1\AA-24.jpg,Rayovac,,Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max® 100% Money Back Guarantee Proudly made in the USA Mercury Free formula Guaranteed fresh for 10 years (5 years for 9V) Best used before date on battery,,,4 Pack,AA 4 Pack
665,Batteries,815-8CF,AA 8 Pack,,E:\IMAGES\ITEMS\product\8\1\AA-24.jpg,Rayovac,AA 8 Pack,Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max® 100% Money Back Guarantee Proudly made in the USA Mercury Free formula Guaranteed fresh for 10 years (5 years for 9V) Best used before date on battery,,,8 Pack,AA 8 Pack
665,Batteries,815-24CF2,AA 24 Pack,,E:\IMAGES\ITEMS\product\8\1\AA-24.jpg,Rayovac,AA 24 Pack,Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max® 100% Money Back Guarantee Proudly made in the USA Mercury Free formula Guaranteed fresh for 10 years (5 years for 9V) Best used before date on battery,,,24 Pack,AA 24 Pack
665|28203,Batteries|AAA Batteries,824-4F,AAA 4 Pack,,E:\IMAGES\ITEMS\product\8\2\AAA-8.jpg,Rayovac,,Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max® 100% Money Back Guarantee Proudly made in the USA Mercury Free formula Guaranteed fresh for 10 years (5 years for 9V) Best used before date on battery,,,4 Pack,AAA 4 Pack
665|28203,Batteries|AAA Batteries,824-8CF,AAA 8 Pack,,E:\IMAGES\ITEMS\product\8\2\AAA-8.jpg,Rayovac,AAA 8 Pack,Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max® 100% Money Back Guarantee Proudly made in the USA Mercury Free formula Guaranteed fresh for 10 years (5 years for 9V) Best used before date on battery,,,8 Pack,AAA 8 Pack
665|28203,Batteries|AAA Batteries,824-24CF2,AAA 24 Pack,,E:\IMAGES\ITEMS\product\8\2\AAA-8.jpg,Rayovac,AAA 24 Pack,Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max® 100% Money Back Guarantee Proudly made in the USA Mercury Free formula Guaranteed fresh for 10 years (5 years for 9V) Best used before date on battery,,,24 Pack,AAA 24 Pack
665|28205,Batteries|C Batteries,814-4F,C 4 Pack,,E:\IMAGES\ITEMS\product\8\1\C-10.jpg,Rayovac,,Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max® 100% Money Back Guarantee Proudly made in the USA Mercury Free formula Guaranteed fresh for 10 years (5 years for 9V) Best used before date on battery,,,4 Pack,C 4 Pack
665|28205,Batteries|C Batteries,814-10CF,C 10 Pack,,E:\IMAGES\ITEMS\product\8\1\C-10.jpg,Rayovac,C 10 Pack,Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max® 100% Money Back Guarantee Proudly made in the USA Mercury Free formula Guaranteed fresh for 10 years (5 years for 9V) Best used before date on battery,,,10 Pack,C 10 Pack
665|28206,Batteries|D Batteries,813-4F,D 4 Pack,,E:\IMAGES\ITEMS\product\8\1\D-10.jpg,Rayovac,,Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max® 100% Money Back Guarantee Proudly made in the USA Mercury Free formula Guaranteed fresh for 10 years (5 years for 9V) Best used before date on battery,,,4 Pack,D 4 Pack
665|28206,Batteries|D Batteries,813-10CF,D 10 Pack,,E:\IMAGES\ITEMS\product\8\1\D-10.jpg,Rayovac,D 10 Pack,Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max® 100% Money Back Guarantee Proudly made in the USA Mercury Free formula Guaranteed fresh for 10 years (5 years for 9V) Best used before date on battery,,,10 Pack,D 10 Pack
665|28204,Batteries|9V Batteries,A1604-2F,9V 2 Pack,,E:\IMAGES\ITEMS\product\A\1\9V-2.jpg,Rayovac,,Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max® 100% Money Back Guarantee Mercury Free formula Guaranteed fresh for 10 years (5 years for 9V) Best used before date on battery,,,2 Pack,9V 2 Pack
665|28204,Batteries|9V Batteries,A1604-3TF,9V 3 Pack,,E:\IMAGES\ITEMS\product\A\1\9V-2.jpg,Rayovac,9V 3 Pack,Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max® 100% Money Back Guarantee Mercury Free formula Guaranteed fresh for 10 years (5 years for 9V) Best used before date on battery,,,3 Pack,9V 3 Pack
665|28204,Batteries|9V Batteries,A1604-5CF,9V 5 Pack,,E:\IMAGES\ITEMS\product\A\1\9V-2.jpg,Rayovac,9V 5 Pack,Rayovac Lasts as Long as Duracell® Coppertop and Energizer Max® 100% Money Back Guarantee Mercury Free formula Guaranteed fresh for 10 years (5 years for 9V) Best used before date on battery,,,5 Pack,9V 5 Pack
665|28207,Batteries|AA Batteries,LD715-4OPA,Everyday-Use Rechargeable AA 4 Pack,Rayovac's Everyday-Use line offers your best value in rechargeable power for high-drain devices.,E:\IMAGES\ITEMS\product\L\D\AA-4.jpg,Rayovac,Rayovac's Everyday-Use line offers your best value in rechargeable power for high-drain devices.,"Affordable, reusable power solutions for the entire family Pre-charged and ready to use out of pack Low self discharge technology allows batteries to stay charged longer so they are ready when you need to use them Holds charge 3X longer than standard NiMH rechargeables when not in use Recharge up to 500 times Reduce waste and save money. Keep disposable batteries out of the landfills and save hundreds of dollars when you use rechargeable batteries versus alkaline. AA rechargeables take up to 300 photos* per charge when fully charged. This is 8x more digital photos than Energizer Ultimate Lithium when recharged just 25 times. Batteries can be used in any AA device and work in all NiMH chargers. For best results use with a Rayovac charger. NiMH rechargeable batteries do not have a “memory effect,” meaning that it is OK if you repeatedly recharge them after only being partially discharged. NiCad batteries have a “memory effect” and lose their maximum energy capacity if recharged before being fully discharged. AA cells are 1350 mAh",,,4 Pack,Everyday-Use Rechargeable AA 4 Pack
665|28203,Batteries|AAA Batteries,LD724-4OPA,Everyday-Use Rechargeable AAA 4 Pack,Rayovac's Everyday-Use line offers your best value in rechargeable power for high-drain devices.,E:\IMAGES\ITEMS\product\L\D\Everyday-Use-Rechargeable-AAA-4.jpg,Rayovac,Rayovac's Everyday-Use line offers your best value in rechargeable power for high-drain devices.,"Affordable, reusable power solutions for the entire family Pre-charged and ready to use out of pack Low self discharge technology allows batteries to stay charged longer so they are ready when you need to use them Holds charge 3X longer than standard NiMH rechargeables when not in use Recharge up to 500 times Reduce waste and save money. Keep disposable batteries out of the landfills and save hundreds of dollars when you use rechargeable batteries versus alkaline. AA rechargeables take up to 300 photos* per charge when fully charged. This is 8x more digital photos than Energizer Ultimate Lithium when recharged just 25 times. Batteries can be used in any AA device and work in all NiMH chargers. For best results use with a Rayovac charger. NiMH rechargeable batteries do not have a “memory effect,” meaning that it is OK if you repeatedly recharge them after only being partially discharged. NiCad batteries have a “memory effect” and lose their maximum energy capacity if recharged before being fully discharged. AA cells are 1350 mAh",,,Everyday-Use Rechargeable AAA 4 Pack,Everyday-Use Rechargeable AAA 4 Pack
665|24813,Batteries|Cordless Tool Battery Chargers,PS133-4B,Everyday-Use Rechargeables 4 Position AA and AAA Charger with Batteries,Rayovac's Everyday-Use line offers your best value in rechargeable power for high-drain devices.,E:\IMAGES\ITEMS\product\P\S\Everyday-Use-Rechargeables-4-Position-AA-and-AAA-Charger.jpg,Rayovac,Rayovac's Everyday-Use line offers your best value in rechargeable power for high-drain devices.,Reduce waste and save money. Keep disposable batteries out of the landfills and save hundreds of dollars when you use rechargeable batteries versus alkaline. Charges any 2 or 4 AA or AAA NiMH or NiCD batteries Charges batteries overnight Charges Rayovac Everyday-Use AA rechargeable batteries in 10 hours 2 red LED lights indicate charge status Compact size and fold out plug for easy portability Comes with 2 AA and 2 AAA NiMH low self discharge batteries One year limited manufacturer's warranty,,,Everyday-Use Rechargeables 4 Position AA and AAA Charger with Batteries,Everyday-Use Rechargeables 4 Position AA and AAA Charger with Batteries
665|24813,Batteries|Cordless Tool Battery Chargers,PS19-2B GENA,Everyday-Use Rechargeables USB 2 Position AA and AAA Charger,Rayovac's Everyday-Use line offers your best value in rechargeable power for high-drain devices.,E:\IMAGES\ITEMS\product\P\S\Everyday-Use-Rechargeables-USB-2-Position-AA-and-AAA.jpg,Rayovac,Rayovac's Everyday-Use line offers your best value in rechargeable power for high-drain devices.,Reduce waste and save money. Keep disposable batteries out of the landfills and save hundreds of dollars when you use rechargeable batteries versus alkaline. Charges any 2 AA or 2 AAA NiMH or NiCD batteries from a computer or any standard USB hub Charges Rayovac Everyday-Use AA rechargeable batteries in 9 hours 2 green LED lights indicate charge status Compact size for easy portability Comes with 2 AA NiMH low self discharge batteries One year limited manufacturer's warranty,,,Everyday-Use Rechargeables USB 2 Position AA and AAA Charger,Everyday-Use Rechargeables USB 2 Position AA and AAA Charger
665|28207,Batteries|AA Batteries,PL715-4A,Platinum Rechargeables AA 4 Pack,Reusable power for all of your high-drain tools and toys... pre-charged and ready to go.,E:\IMAGES\ITEMS\product\P\L\Platinum-Rechargeables-AA-4- 1.jpg,Rayovac,Reusable power for all of your high-drain tools and toys... pre-charged and ready to go.,"Affordable, reusable power solutions for the entire family Pre-charged and ready to use out of pack Low self discharge technology allows batteries to stay charged longer so they are ready when you need to use them Holds charge 2-3X longer than standard NiMH rechargeables when not in use Recharge up to 300 times Reduce waste and save money. Keep disposable batteries out of the landfills and save hundreds of dollars when you use rechageable batteries versus alkaline. AA rechargeables  take up to 400 photos* per charge when fully charged. This is 16x more digital photos than Energizer Ultimate Lithium when recharged just 30 times. Batteries can be used in any AA device and work in all NiMH chargers. For best results use with a Rayovac charger. NiMH rechargeable batteries do not have a “memory effect”, meaning that it is OK if you repeatedly recharge them after only being partially discharged. NiCad batteries have a “memory effect” and lose their maximum energy capacity if recharged before being fully discharged. AA cells are 2000 mAh",,,4 Pack,Platinum Rechargeables AA 4 Pack
