category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
23994,Post Hole Diggers,1712000,HD POST HOLE DIGGER SOLID HD POLY HANDLES,,E:\IMAGES\ITEMS\product\1\7\razor-back-1712000-hd-post-hole-digger-solid-hd-poly-handles.jpg,Razor-Back,,"Quality and performance make Razor-Back tools the choice of both professionals and general consumers. If your next project involves installing a fence, post, mailbox, or basketball hoop, make sure you use the right tool for the job. This post hole digger is perfect for digging those necessary holes and footings and will help you do so without bending over or straining your back. Two-piece riveted high carbon steel Hercules blades with beveled digging edge 6 in. point spread 48.25 in. fiberglass handles Useful tool for digging perfect, deep holes below the frost line",,,,HD POST HOLE DIGGER SOLID HD POLY HANDLES
24001,Tampers,30004,"8"" X 8"" HAND TAMPER STEEL HEAD AND HANDLE",,E:\IMAGES\ITEMS\product\3\0\razor-back-30004-8-x-8-hand-tamper-steel-head-and-handle.jpg,Razor-Back,,"Tampers Sturdy cast-steel heads handle heavy-duty leveling and compacting of dirt, gravel, and asphalt.",,,,"8"" X 8"" HAND TAMPER STEEL HEAD AND HANDLE"
23997,Scoop Shovels,44000,"LHSP SQUARE POINT SHOVEL W/ 60"" FIBERGLASS HANDLE",,E:\IMAGES\ITEMS\product\4\4\razor-back-44000-lhsp-square-point-shovel-w-60-fiberglass-handle.jpg,Razor-Back,,"44000 Razorback #2 Square Pt. Shovel w/ Rolled Step, Open Back, Red Fiberglass Handle Strength and durability make Razor-Back tools the choice of professionals. This sturdy square point shovel is an essential part of any tool assortment. It's perfect for moving loose garden material, sand, top soil or debris. It can also be used to shape beds, mix concrete, level off areas that need to be flat or to scrape stubborn material off driveways or other hard surfaces. Features: * Heavy-duty contractor grade 48-inch fiberglass handle is stronger than wood * Cushion grip for comfort and control * Rolled-step helps prevent material build-up * Industrial gauge open-back blade with steel collar for added strength Length: 59.25"" Width: 9.5"" Height: 6.375"" Bishop Quality Rating: BEST Our highest quality industrial grade tools for the full time professional that needs tools that can accept rough use. Longest warranty.",,,,"LHSP SQUARE POINT SHOVEL W/ 60"" FIBERGLASS HANDLE"
24000,Spade Shovels,45000,"16"" DRAIN SPADE W/ 27"" WOOD D HANDLE",,E:\IMAGES\ITEMS\product\4\5\razor-back-45000-16-drain-spade-w-27-wood-d-handle.jpg,Razor-Back,,The Razor-Back drain spade is designed for digging narrow trenches and cleaning out previously dug ditches. It is also great for transplanting live trees and shrubs. This drain spade is made of durable construction to dig into tight places for years to come. Solid shank blade Forward turned-step for secure foot placement 9 in. socket 27 in. hardwood handle with steel and wood D-grip,,,,"16"" DRAIN SPADE W/ 27"" WOOD D HANDLE"
24000,Spade Shovels,47604,"16"" DRAIN SPADE W/30"" FIBERGLASS D HANDLE",,E:\IMAGES\ITEMS\product\4\7\razor-back-47604-16-drain-spade-w30-fiberglass-d-handle.jpg,Razor-Back,,"The Razor-Back round point shovel is tough enough to dig in the hardest, rockiest soil. It features a heavy duty, open back, industrial gauge, steel blade with a backbone ribbon of steel reinforcement along the socket. A crimped steel collar strengthens the handle to socket connection. The 48 in. fiberglass handle with cushion end grip provides ultimate strength and durability to withstand heavy-duty labor. For digging and excavation in hard, rocky soils Heavy duty open back industrial gauge steel blade with backbone ribbon of steel reinforcement along the socket Crimped steel collar strengthens handle to socket connection 48 in. fiberglass handle with cushion end grip provides ultimate strength and durabilit",,,,"16"" DRAIN SPADE W/30"" FIBERGLASS D HANDLE"
23983,Landscape and Bow Rakes,63122,"16 TINE ROAD RAKE W/60"" WOOD HANDLE",,E:\IMAGES\ITEMS\product\6\3\razor-back-63122-16-tine-road-rake-w60-wood-handle.jpg,Razor-Back,,"The Razor-Back road rake is designed to level materials, in a variety of applications. The heavy duty forged 16 steel tines work hard to spread the material evenly. It is a heavy-duty rake that is great for contractor and professional use, as well as serious homeowners. - See more at: http://www.razor-back.com/tool/rakes/63122-16-tine-road-rake/#sthash.seo2zUoI.dpuf",,,,"16 TINE ROAD RAKE W/60"" WOOD HANDLE"
23983,Landscape and Bow Rakes,63141,"BOW RAKE 15 TINE W/ 60"" WOOD HANDLE",,E:\IMAGES\ITEMS\product\6\3\razor-back-63141-bow-rake-15-tine-w-60-wood-handle.jpg,Razor-Back,,"For loosening and leveling mulch, peat moss and loose or heavy soils Extra-long 66 in North American ash handle reduces back strain Steel ferrule for strongest blade and handle connection Professional-grade tool for even the toughest jobs Strength and durability make Razor-Back tools the choice of professionals This bow rake is perfect for loosening or breaking up compacted soil, spreading mulch or other material evenly and leveling areas before planting It can also be used to collect leaves, hay, grass or other garden debris Limitted lifetime warranty Height: 66.325 in",,,,"BOW RAKE 15 TINE W/ 60"" WOOD HANDLE"
21768,Mortar Hoes,66123,"7"" MORTAR HOE W/60"" WOOD HANDLE",,E:\IMAGES\ITEMS\product\6\6\razor-back-66123-7-mortar-hoe-w60-wood-handle.jpg,Razor-Back,,,,,,"7"" MORTAR HOE W/60"" WOOD HANDLE"
21768,Mortar Hoes,66158,"10"" MORTAR HOE W/60"" WOOD HANDLE",,E:\IMAGES\ITEMS\product\6\6\razor-back-66158-10-mortar-hoe-w60-wood-handle.jpg,Razor-Back,,,,,,"10"" MORTAR HOE W/60"" WOOD HANDLE"
23994,Post Hole Diggers,78004,"POST HOLE DIGGER WOOD HANDLE 5.5"" SPREAD",,E:\IMAGES\ITEMS\product\7\8\razor-back-78004-post-hole-digger-wood-handle-55-spread.jpg,Razor-Back,,"Useful tool for digging perfect, deep holes below the frost line Two-piece riveted high carbon steel blades with beveled digging edge 48 in hercules pattern, North American ash handles Quality and performance make Razor-Back® tools the choice of both professionals and general consumers This post hole digger is perfect for digging those necessary holes and footings and will help you do so without bending over or straining your back Limited lifetime warranty Width: 5.5 in",,,,"POST HOLE DIGGER WOOD HANDLE 5.5"" SPREAD"
