category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
239|25829,Welding Gloves|Welding Gloves,850,Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850,,E:\IMAGES\ITEMS\product\8\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,"Revco Industries, Inc.",,The ultimate in comfort and protection Supple yet durable elkskin leather Reversed grain palm for added dexterity  Flame-resistant Nomex lining on the back Specially tanned cowhide rigid cuff  Stitched with flame-resistant Kevlar Size: S-XL,,,Small,Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850
239|25829,Welding Gloves|Welding Gloves,280,Standard Split Cowhide Stick Welding Gloves 280,,E:\IMAGES\ITEMS\product\2\8\Standard-Split-Cowhide-Stick-Welding-Gloves.jpg,"Revco Industries, Inc.",,Consistent quality and value Natural wing thumb design Extra cushioned insulative lining Palm strap reinforcement Stitched with flame-resistant Kevlar Size: Large,,,Standard Split Cowhide Stick Welding Gloves 280,Standard Split Cowhide Stick Welding Gloves 280
239|25829,Welding Gloves|Welding Gloves,750,Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750,,E:\IMAGES\ITEMS\product\7\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,"Revco Industries, Inc.",,The ultimate in comfort and protection Supple yet durable elkskin leather Reversed grain palm for added dexterity Flame-resistant Nomex lining on the back Specially tanned cowhide rigid cuff Stitched with flame-resistant Kevlar Size: S-XL,,,Small,Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750
239|25829,Welding Gloves|Welding Gloves,850-1,Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850,,E:\IMAGES\ITEMS\product\8\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,"Revco Industries, Inc.",Premium Grain Elkskin Stick Welding Gloves-Nomex Backing,The ultimate in comfort and protection Supple yet durable elkskin leather Reversed grain palm for added dexterity  Flame-resistant Nomex lining on the back Specially tanned cowhide rigid cuff  Stitched with flame-resistant Kevlar Size: S-XL,,,Medium,Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850
239|25829,Welding Gloves|Welding Gloves,850-2,Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850,,E:\IMAGES\ITEMS\product\8\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,"Revco Industries, Inc.",Premium Grain Elkskin Stick Welding Gloves-Nomex Backing,The ultimate in comfort and protection Supple yet durable elkskin leather Reversed grain palm for added dexterity  Flame-resistant Nomex lining on the back Specially tanned cowhide rigid cuff  Stitched with flame-resistant Kevlar Size: S-XL,,,Large,Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850
239|25829,Welding Gloves|Welding Gloves,850-3,Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850,,E:\IMAGES\ITEMS\product\8\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,"Revco Industries, Inc.",Premium Grain Elkskin Stick Welding Gloves-Nomex Backing,The ultimate in comfort and protection Supple yet durable elkskin leather Reversed grain palm for added dexterity  Flame-resistant Nomex lining on the back Specially tanned cowhide rigid cuff  Stitched with flame-resistant Kevlar Size: S-XL,,,Extra-Large,Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-850
239|25829,Welding Gloves|Welding Gloves,320,CushionCore Quality Side Split Cowhide Stick Welding Gloves 320,,E:\IMAGES\ITEMS\product\3\2\CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,"Revco Industries, Inc.",,"Favorite Among Professional Welders Cushioncore Cushioned Glove Lining Durable High-Grade Side Split Cowhide Natural Wing Thumb Design, Welted Seams, And Palm And Thumb Area Reinforcements Stitched With Flame-Resistant Kevlar Size: S-2Xl",,,Small,CushionCore Quality Side Split Cowhide Stick Welding Gloves 320
239|25829,Welding Gloves|Welding Gloves,750-1,Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750,,E:\IMAGES\ITEMS\product\7\5\Premium-Grain-Elkskin-Stick-Welding-Gloves-Nomex-Backing.jpg,"Revco Industries, Inc.",Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750,The ultimate in comfort and protection Supple yet durable elkskin leather Reversed grain palm for added dexterity Flame-resistant Nomex lining on the back Specially tanned cowhide rigid cuff Stitched with flame-resistant Kevlar Size: S-XL,,,Medium,Premium Grain Elkskin Stick Welding Gloves-Nomex Backing-750
239|25829,Welding Gloves|Welding Gloves,110,Standard Split Cowhide Stick Welding Gloves 110,,E:\IMAGES\ITEMS\product\1\1\Standard-Split-Cowhide-Stick-Welding-Gloves.jpg,"Revco Industries, Inc.",,Good-old dependable standard protection Reliable consistent quality cowhide Fully sock lined for comfort Thumb strap style reinforcement Spark-resisting welt on seams Stitched with flame-resistant Kevlar Size: S-XL,,,Small,Standard Split Cowhide Stick Welding Gloves 110
239|25829,Welding Gloves|Welding Gloves,320-1,CushionCore Quality Side Split Cowhide Stick Welding Gloves 320,,E:\IMAGES\ITEMS\product\3\2\CushionCore-Quality-Side-Split-Cowhide-Stick-Welding-Gloves.png,"Revco Industries, Inc.",CushionCore Quality Side Split Cowhide Stick Welding Gloves 320,"Favorite Among Professional Welders Cushioncore Cushioned Glove Lining Durable High-Grade Side Split Cowhide Natural Wing Thumb Design, Welted Seams, And Palm And Thumb Area Reinforcements Stitched With Flame-Resistant Kevlar Size: S-2Xl",,,Medium,CushionCore Quality Side Split Cowhide Stick Welding Gloves 320
