category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
995|25703,Fire Barrier (INACTIVE)|Firestop Accessories,Safing Board,Safing Mineral Wool,,E:\IMAGES\ITEMS\product\S\a\Rock-Wool-Manufacturing-Co-Safing-Mineral.jpg,Rock Wool Manufacturing Co,,"4 inch (102mm) thick x 24”(61cm) x 48""(122cm) and 24  ft 2 (2.23 m 2 ) per polyethylene heat shrink package. Other  thickness(s) 2"" through 5"" are available by special order. NOTE: Lesser product thickness may be used providing  the installed thickness of insulation measured between the  cold side of wall and the fire side of the wall is a minimum  4”(102mm) when a 3 hour rating is desired.   Heavier densities of DELTA ®  BOARD will provide equal  or better fire stopping performance when installed along  with the safing specifications.","DELTA® SAFING BOARD is a minimum 4 pound per  cubic foot (64 kg./m3) density insulation manufactured  from high temperature mineral fiber bonded together  with a fire retardant binder. Its primary use is for fire  containment located between the concrete floor slab  edge and exterior walls in high-rise building  construction.  DELTA® SAFING Mineral Wool BOARD  can be used as a “poke-through” fire barrier for part of a  hourly-rated assembly in cracks, crevices, openings,  and around penetrations.",,Rock Wool Manufacturing Co Safing Mineral Wool,Safing Mineral Wool
24148,Insulation Boards,DELTA Sound Attenuation Fire Board,DELTA Sound Attenuation Fire Board,,E:\IMAGES\ITEMS\product\D\E\rock-wool-manufacturing-co-delta-sound-attenuation-fire-board-delta-sound-attenuation-fire-board.jpg,Rock Wool Manufacturing Co,,"DELTA® SA-FIRE BOARD is a semi-rigid, medium density mineral wool acoustical and fire protection insulation. High temperature mineral fibers formed at over 2500°F are bonded together with a fire retardant binder. DELTA® SA-FIRE BOARD imparts excellent acoustical properties primarily to framed wall assemblies, especially when fire safety is the driving design consideration. DELTA® SA-FIRE BOARD may also be installed between joists in floor/ceiling assemblies with excellent effect. Typical fire/sound rated wall assemblies are listed in the Underwriters Laboratories Fire Resistance Directory and Gypsum Association Fire Resistance Design Manual. DELTA® SA-FIRE BOARD contributes significantly to both fire safety and acoustical performance.",,,,DELTA Sound Attenuation Fire Board
24148,Insulation Boards,DELTA Lamella,DELTA Lamella,,E:\IMAGES\ITEMS\product\D\E\rock-wool-manufacturing-co-delta-lamella-delta-lamella.jpg,Rock Wool Manufacturing Co,,"Mineral Wool and Fiberglass  Available in 4/6/8  Fiberglass DELTA® LAMELLA is manufactured with perpendicular orientated 3 lb./ft 3 (48 kg./m3) fiber glass bonded together with a high temperature binder. The end grain fiber is adhered perpendicularly to a laminate {facing surface}.  This construction provides high compressive strength and easy-to wrap, flexible type insulation that require the finished characteristics of heavy density fiber glass boards. DELTA ®Fiber Glass LAMELLA has a wide range of applications from -20oF. (-29oC) to 850oF.*(454oC*) including use on large pipes and cylindrical ducts, storage tanks, and equipment. DELTA® -4  LAMELLA is manufactured with perpendicular orientated mineral wool bonded together with a high temperature binder. The end grain fiber is adhered perpendicularly to a laminate {facing surface}. This construction provides high compressive strength and easy-to wrap, flexible type insulation that require the finished characteristics of heavy density mineral wool boards. DELTA® -4 Mineral Wool LAMELLA has a wide range of applications from -20°F.(-29°C) to 850°F.*(454°C*) including use on large pipes &amp; cylindrical ducts, storage tanks, and equipment. DELTA® -6  LAMELLA is manufactured with perpendicular orientated mineral wool bonded together with a high temperature binder. The end grain fiber is adhered perpendicularly to a laminate {facing surface}. This construction provides high compressive strength and easy-to wrap, flexible type insulation that require the finished characteristics of heavy density mineral wool boards. DELTA® -6 Mineral Wool LAMELLA has a wide range of applications from -20°F.(-29°C) to 850°F.*(454°C*) including use on large pipes &amp; cylindrical ducts, storage tanks, and equipment. DELTA®-8 LAMELLA is manufactured with perpendicular orientated 8 lb./ft3 (128 kg./m3) mineral wool bonded together with a high temperature binder. The end grain of the fiber is adhered perpendicularly to a laminate {facing surface}. This construction provides high compressive strength and easy-to wrap, flexible type insulation that require the finished characteristics of heavy density mineral wool boards. DELTA®-8 Mineral Wool LAMELLA has a wide range of applications from -20°F. (-29°C) to 1000°F.*(538°C*) including use on large pipes &amp; cylindrical ducts, storage tanks, and equipment.",,,,DELTA Lamella
24148,Insulation Boards,Delta Marine Board,Delta Marine Board,,E:\IMAGES\ITEMS\product\D\e\rock-wool-manufacturing-co-delta-marine-board-delta-marine-board.jpg,Rock Wool Manufacturing Co,,"DELTA® MARINE Board is manufactured in three (48 kg) through eight pounds (128 kg) per cubic foot (cubic meter) densities from mineral wool bonded together with a high temperature binder. It has been tested by Southwest Research Institute and approved by the United States Coast Guard with certificate of approval numbers listed below. DELTA® MARINE Board is thermally efficient, acoustically proficient, semi-rigid insulation designed for various marine applications such as insulating/fire protection for bulkheads, wall and ceiling assemblies, in addition to being suitable for ducts, mufflers, and exhaust stacks.",,,,Delta Marine Board
24148,Insulation Boards,DELTA Mitered Fittings,DELTA Mitered Fittings,,E:\IMAGES\ITEMS\product\D\E\rock-wool-manufacturing-co-delta-mitered-fittings-delta-mitered-fittings.jpg,Rock Wool Manufacturing Co,,DELTA® Mitered Fittings is a nominal 8 pound density Preformed half- cylinder pipe insulation manufactured from mineral wool bonded together with a high temperature binder. It is produced to fit precise NPS and tubing pipe sizes for commercial and industrial applications ranging from -20°F(-29°C) to 1200°F*(649°C*).  DELTA® Mitered Fittings mineral wool incorporates an additive which makes the insulation water repellent*.,,,,DELTA Mitered Fittings
24148,Insulation Boards,DELTA Safing Board,DELTA Safing Board,,E:\IMAGES\ITEMS\product\D\E\rock-wool-manufacturing-co-delta-safing-board-delta-safing-board.jpg,Rock Wool Manufacturing Co,,"Safing Mineral Wool DELTA® SAFING BOARD is a minimum 4 pound per cubic foot (64 kg./m³) density insulation manufactured from high temperature mineral fiber bonded together with a fire retardant binder. Its primary use is for fire containment located between the concrete floor slab edge and exterior walls in high-rise building construction. DELTA®SAFING Mineral Wool BOARD can be used as a “poke through” fire barrier for part of a hourly-rated assembly in cracks, crevices, openings, and around penetrations.",,,,DELTA Safing Board
24148,Insulation Boards,Delta Mineral Board,Delta Mineral Board,,E:\IMAGES\ITEMS\product\D\e\rock-wool-manufacturing-co-delta-mineral-board-delta-mineral-board.jpg,Rock Wool Manufacturing Co,,"Available in Delta® 3/4/6/8/10/12 DELTA®-3 Board is manufactured from mineral wool bonded together with a high temperature binder. It is a very efficient, semi-rigid type of insulation recommended for commercial and industrial applications from -20°F (-29°C) to 850°F.*(454°C*). There is a wide range of applications for DELTA®-3 Mineral Wool Board including use on building envelopes {acoustical &amp; wall}, bag houses and precipitators, ducts, storage tanks and equipment. It is easily cut with a knife, fit snugly over irregular surfaces and applied quickly because of its light weight. Generally, attachment is by means of weld pins and clips, or wire mesh, and then finished with either metal, plastic lagging, or reinforced mastic. DELTA®-4 Board is manufactured from mineral wool bonded together with a high temperature binder. It is a very efficient, semi-rigid type of insulation recommended for commercial and industrial applications from -20°F. (-29°C) to 850°F.*(454°C*). There is a wide range of applications for DELTA®-4 Mineral Wool Board including use on building envelopes {acoustical &amp; wall}, bag houses and precipitators, ducts, storage tanks and equipment. It is easily cut with a knife, fit snugly over irregular surfaces and applied quickly because of its light weight. Generally, attachment is by means of weld pins and clips, or wire mesh, and then finished with either metal, plastic lagging, or reinforced mastic. DELTA®-6 Board is manufactured from mineral wool bonded together with a high temperature binder. It is a very efficient, semi-rigid type of insulation recommended for commercial and industrial applications from -20°F. (-29°C) to 1200°F.*(649°C*). There is a wide range of applications for DELTA®-6 Mineral Wool Board including use on ovens, ducts, boilers, stacks, storage tanks, and equipment. It is easily cut with a knife, fit snugly over irregular surfaces and applied quickly because of its light weight. Generally, attachment is by means of weld pins and clips, strapping, or wire mesh, and then finished with either metal, plastic lagging, or reinforced mastic.  DELTA®-8 Board is manufactured from mineral wool bonded together with a high temperature binder. It is a highly efficient, semi-rigid insulation recommended for commercial and industrial applications from -20°F. (-29°C) to 1200°F.*(649°C* ).There is a wide range of applications for DELTA®-8 Mineral Wool Board including use on ovens, ducts, boilers, vessels, tanks and equipment. Because of its light weight, large sizes can be applied quickly and generally attached by means of weld pins and clips, strapping, or wire mesh, and then finished with either metal, plastic lagging, or reinforced mastic. DELTA®-10 Board is manufactured from mineral wool bonded together with a high temperature binder. It is a highly efficient, semi-rigid insulation recommended for commercial and industrial applications from -20°F. (-29°C) to 1200°F.*(649°C*). There is a wide range of applications for DELTA®-10 Board Mineral Wool including use on ovens, ducts, breechings, ovens, tanks and equipment. It is easily cut with a knife, fit snugly over irregular surfaces applied quickly because of its light weight. Generally, attachment is by means of weld pins and clips, strapping, or wire mesh, and then finished with either metal, plastic lagging, or reinforced mastic. DELTA®-12 Board manufactured from mineral wool bonded together with a high temperature binder, is a highly efficient, rigid insulation recommended for commercial and industrial applications from -20°F (-29°C) to 1200°F* (649°C*). There is a wide range of applications for DELTA®-12 Mineral Wool Board including ideal use for tops of ducts, tanks, precipitators, and similar applications where compressive strength is important. Generally, attachment is by means of weld pins and clips, strapping, or wire mesh, and then finished with either metal, plastic lagging, or reinforced mastic.",,,,Delta Mineral Board
24148,Insulation Boards,Delta FPF,Delta FPF,,E:\IMAGES\ITEMS\product\D\e\rock-wool-manufacturing-co-delta-fpf-delta-fpf.jpg,Rock Wool Manufacturing Co,,DELTA®-FPF is a actual 8 pound density Field PreFormed half cylinder pipe insulation manufactured from mineral wool bonded together with a high temperature binder. It is produced to fit precise NPS and tubing pipe sizes for commercial and industrial applications ranging from -20°F(-29°C) to 1200°F*(649°C*). DELTA®-FPF mineral wool incorporates an additive which makes the insulation water repellent*.,,,,Delta FPF
24148,Insulation Boards,Delta PF,Delta PF,,E:\IMAGES\ITEMS\product\D\e\rock-wool-manufacturing-co-delta-pf-delta-pf.jpg,Rock Wool Manufacturing Co,,DELTA®-PF is a nominal 8 pound density PreFormed half- cylinder pipe insulation manufactured from mineral wool bonded together with a high temperature binder. It is produced to fit precise NPS and tubing pipe sizes for commercial and industrial applications ranging from -20°F(-29°C) to 1200°F*(649°C*). DELTA®-PF mineral wool incorporates an additive which makes the insulation water repellent*.,,,,Delta PF
24148,Insulation Boards,Delta PC,Delta PC,,E:\IMAGES\ITEMS\product\D\e\rock-wool-manufacturing-co-delta-pc-delta-pc.jpg,Rock Wool Manufacturing Co,,DELTA®-PC is a Precision Cut V-groove pipe insulation manufactured from mineral wool bonded together with a high temperature binder. It is produced to fit precise pipe and tubing sizes for commercial and industrial applications from -20°F (-29°C) to 1200°F*(649°C. DELTA®-PC mineral wool incorporates an additive which makes the insulation water repellent*.,,,,Delta PC
