category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
24119,Spray Paints,1672830,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.","Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Almond,1600 System Enamel Aerosol
24119,Spray Paints,214646,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,ANSI 49 Medium Light Gray,1600 System Enamel Aerosol
24119,Spray Paints,214645,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,ANSI 61 Light Gray,1600 System Enamel Aerosol
24119,Spray Paints,214647,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,ANSI 70 Light Gray,1600 System Enamel Aerosol
24119,Spray Paints,1696830,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Antique White,1600 System Enamel Aerosol
24119,Spray Paints,1666830,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Banner Red,1600 System Enamel Aerosol
24119,Spray Paints,1671830,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Beige,1600 System Enamel Aerosol
24119,Spray Paints,242657,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Bronze,1600 System Enamel Aerosol
24119,Spray Paints,1664830,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Cherry Red,1600 System Enamel Aerosol
24119,Spray Paints,257399,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Purple,1600 System Enamel Aerosol
24119,Spray Paints,1610830,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Crystal Clear,1600 System Enamel Aerosol
24119,Spray Paints,1684830,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Dove Gray,1600 System Enamel Aerosol
24119,Spray Paints,1614830,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Dull Aluminum,1600 System Enamel Aerosol
24119,Spray Paints,202216,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Dusty Pink,1600 System Enamel Aerosol
24119,Spray Paints,202211,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Machine Green,1600 System Enamel Aerosol
24119,Spray Paints,202214,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Machinery Gray,1600 System Enamel Aerosol
24119,Spray Paints,257401,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Emerald Green,1600 System Enamel Aerosol
24119,Spray Paints,257402,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Semi-Gloss White,1600 System Enamel Aerosol
24119,Spray Paints,1622830,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,Regal Blue,1600 System Enamel Aerosol
24119,Spray Paints,1624830,1600 System Enamel Aerosol,"From Rust-Oleum, the most trusted name in spray paint, Industrial Choice is a Multi-Purpose spray paint developed for everyday industrial maintenance applications.",E:\IMAGES\ITEMS\product\1\6\1600-System-Enamel.jpg,Rust-Oleum,1600 System Enamel Aerosol,"Ultra-coverage formula provides up to two times the coverage of competitive brands – paint more area faster using fewer cans! New 360° Any Angle Spray allows you to spray in any direction New comfort tip reduces finger fatigue Dries to touch in only 12 minutes Protects against chipping, fading and peeling High solids formula delivers complete, even coverage Protects against chipping, cracking and peeling Can be used on surfaces that reach temperatures up to 200°F USDA acceptable*","* Can be used in USDA facilities based on FSIS Directive 11,000.4 (Rev. 1), November 24, 1995.",,OSHA Safety Blue,1600 System Enamel Aerosol
