category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
609|19527,Cement | Concrete Mix|Concrete Mix,65200031,5000 Plus Concrete Mix 60lb Bag,,E:\IMAGES\ITEMS\product\6\5\Sakrete-5000-Plus-Concrete-Mix-60lb.jpg,Sakrete,,"High strength concrete mix designed for high strength structural applications. Professional strength 5000 psi for commercial structural applications and superior durability. Exceeds strength requirement of ASTM C 387. Build walks, drives, slabs and steps. For applications requiring at least 2 inches in thickness.",,,Sakrete 5000 Plus Concrete Mix 60lb Bag,5000 Plus Concrete Mix 60lb Bag
609|19527,Cement | Concrete Mix|Concrete Mix,65200370,5000 Plus Concrete Mix 80lb Bag,,E:\IMAGES\ITEMS\product\6\5\Sakrete-5000-Plus-Concrete-Mix-60lb.jpg,Sakrete,Sakrete 5000 Plus Concrete Mix 80lb Bag,"High strength concrete mix designed for high strength structural applications. Professional strength 5000 psi for commercial structural applications and superior durability. Exceeds strength requirement of ASTM C 387. Build walks, drives, slabs and steps. For applications requiring at least 2 inches in thickness.",,,Sakrete 5000 Plus Concrete Mix 80lb Bag,5000 Plus Concrete Mix 80lb Bag
609|19527,Cement | Concrete Mix|Concrete Mix,65201030,High Strength Concrete Mix 40lb Bag,,E:\IMAGES\ITEMS\product\6\5\Sakrete-High-Strength-Concrete-Mix-40lb.jpg,Sakrete,,"Sakrete High Strength Concrete Mix is a high-quality mix that provides outstanding strength and durability for constructing slabs, driveways, walkways, steps and more. High strength concrete mix for anchoring posts and poles, and pouring footings and slabs. Meets ASTM C 387 strength requirements for structural applications Premium quality for consistent strength and durability. Build walks, drives, slabs and steps. Anchor posts and poles. For applications requiring at least 2 inches in thickness. Just add water.",,,Sakrete High Strength Concrete Mix 40lb Bag,High Strength Concrete Mix 40lb Bag
609|19527,Cement | Concrete Mix|Concrete Mix,65200940,High Strength Concrete Mix 60lb Bag,,E:\IMAGES\ITEMS\product\6\5\Sakrete-High-Strength-Concrete-Mix-40lb.jpg,Sakrete,Sakrete High Strength Concrete Mix 60lb Bag,"Sakrete High Strength Concrete Mix is a high-quality mix that provides outstanding strength and durability for constructing slabs, driveways, walkways, steps and more. High strength concrete mix for anchoring posts and poles, and pouring footings and slabs. Meets ASTM C 387 strength requirements for structural applications Premium quality for consistent strength and durability. Build walks, drives, slabs and steps. Anchor posts and poles. For applications requiring at least 2 inches in thickness. Just add water.",,,Sakrete High Strength Concrete Mix 60lb Bag,High Strength Concrete Mix 60lb Bag
609|19527,Cement | Concrete Mix|Concrete Mix,65200390,High Strength Concrete Mix 80lb Bag,,E:\IMAGES\ITEMS\product\6\5\Sakrete-High-Strength-Concrete-Mix-40lb.jpg,Sakrete,Sakrete High Strength Concrete Mix 80lb Bag,"Sakrete High Strength Concrete Mix is a high-quality mix that provides outstanding strength and durability for constructing slabs, driveways, walkways, steps and more. High strength concrete mix for anchoring posts and poles, and pouring footings and slabs. Meets ASTM C 387 strength requirements for structural applications Premium quality for consistent strength and durability. Build walks, drives, slabs and steps. Anchor posts and poles. For applications requiring at least 2 inches in thickness. Just add water.",,,Sakrete High Strength Concrete Mix 80lb Bag,High Strength Concrete Mix 80lb Bag
609|19527,Cement | Concrete Mix|Concrete Mix,65305535,Fast Setting Concrete Mix 50lb Bag,Sakrete Fast Setting Concrete Mix requires no blending or bracing. Simply pour it in the hole and add water to set posts or poles.,E:\IMAGES\ITEMS\product\6\5\Sakrete-65305535-Fast-Setting-Concrete-Mix-50lb.jpg,Sakrete,Sakrete Fast Setting Concrete Mix requires no blending or bracing. Simply pour it in the hole and add water to set posts or poles.,"Set posts and poles fast and easy, even without blending the material. Sets much faster than regular concrete so that no bracing is needed. Sets in just 1/2 hour. Set posts and poles without bracing or mixing. Exceeds strength requirement of ASTM C 387. For applications requiring at least 2 inches in thickness. Units per pallet: 56 UPC Code: 7-64661-11150-4",,,Sakrete 65305535 Fast Setting Concrete Mix 50lb Bag,Fast Setting Concrete Mix 50lb Bag
17|26845,Plaster | Mortar Mixers|Mortar Mixes,Type S Masonry Mortar 60lb Bag,Type S Masonry Mortar 60lb Bag,,E:\IMAGES\ITEMS\product\T\y\Sakrete-Type-S-Masonry-Mortar-60lb.jpg,Sakrete,,"Sakrete Type S Masonry Mortar is a contractor grade mortar/stucco mix for load-bearing as well as above and below grade applications. A high strength mortar/stucco mix for the laying of brick, block and stone in load-bearing walls and construction below grade. Contractor grade mortar mix. Smooth, buttery blend for laying brick, block and stone in load-bearing walls above and below grade level. Just add water.",,,Sakrete Type S Masonry Mortar 60lb Bag,Type S Masonry Mortar 60lb Bag
17|26845,Plaster | Mortar Mixers|Mortar Mixes,Type S Masonry Mortar 80lb Bag,Type S Masonry Mortar 80lb Bag,,E:\IMAGES\ITEMS\product\T\y\Sakrete-Type-S-Masonry-Mortar-60lb.jpg,Sakrete,Sakrete Type S Masonry Mortar 80lb Bag,"Sakrete Type S Masonry Mortar is a contractor grade mortar/stucco mix for load-bearing as well as above and below grade applications. A high strength mortar/stucco mix for the laying of brick, block and stone in load-bearing walls and construction below grade. Contractor grade mortar mix. Smooth, buttery blend for laying brick, block and stone in load-bearing walls above and below grade level. Just add water.",,,Sakrete Type S Masonry Mortar 80lb Bag,Type S Masonry Mortar 80lb Bag
1721|26845,Mortar Mix|Mortar Mixes,65150084,Masonry Cement 70lb Bag Type N,,E:\IMAGES\ITEMS\product\6\5\Sakrete-Masonry-Cement-70lb-Bag-Type.jpg,Sakrete,,"Sakrete Type S Masonry Cement is a consistent, preblended quality mix for creating custom mortars. Type N also available. A high strength masonry cement for use in custom mortars.  Bagged with consistent quality. Use in high strength custom mortar mixes. Type N also available.",,,Sakrete Masonry Cement 70lb Bag Type N,Masonry Cement 70lb Bag Type N
1721|26845,Mortar Mix|Mortar Mixes,65150086,Masonry Cement 75lb Bag Type S,,E:\IMAGES\ITEMS\product\6\5\Sakrete-Masonry-Cement-70lb-Bag-Type.jpg,Sakrete,Sakrete Masonry Cement 75lb Bag Type S,"Sakrete Type S Masonry Cement is a consistent, preblended quality mix for creating custom mortars. Type N also available. A high strength masonry cement for use in custom mortars.  Bagged with consistent quality. Use in high strength custom mortar mixes. Type N also available.",,,Sakrete Masonry Cement 75lb Bag Type S,Masonry Cement 75lb Bag Type S
17|26845,Plaster | Mortar Mixers|Mortar Mixes,65300039,Type N Mortar Mix 40lb Bag,,E:\IMAGES\ITEMS\product\6\5\Sakrete-Type-N-Mortar-Mix-40lb.jpg,Sakrete,,"Sakrete Type N Mortar Mix is a general purpose mortar for laying brick, block or stone or for repairing mortar joints. A regular strength mortar mix for laying brick, block and stone. Use for repairing damaged mortar joints.  Standard mortar for general applications. Lay brick, block and stone in wall construction. Use for making repairs to mortar joints. Just add water.",,,Sakrete Type N Mortar Mix 40lb Bag,Type N Mortar Mix 40lb Bag
17|26845,Plaster | Mortar Mixers|Mortar Mixes,65306214,Type N Mortar Mix 60lb Bag,,E:\IMAGES\ITEMS\product\6\5\Sakrete-Type-N-Mortar-Mix-40lb.jpg,Sakrete,Sakrete Type N Mortar Mix 60lb Bag,"Sakrete Type N Mortar Mix is a general purpose mortar for laying brick, block or stone or for repairing mortar joints. A regular strength mortar mix for laying brick, block and stone. Use for repairing damaged mortar joints.  Standard mortar for general applications. Lay brick, block and stone in wall construction. Use for making repairs to mortar joints. Just add water.",,,Sakrete Type N Mortar Mix 60lb Bag,Type N Mortar Mix 60lb Bag
