category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
29054,Shop Vacuums,850-01-10,Industrial,"Products for Industrial and Commercial Applications - High performance motor, tough rust-resistant epoxy phenolic-coated steel tank, and dual size heavy-duty plastic tools.  Shop-Vac 850-01-10 Industrial",E:\IMAGES\ITEMS\product\8\5\Shop-Vac-Industrial-850-01.jpg,Shop-Vac,Shop-Vac 850-01-10 Industrial,"Cord length: 18 feetOperation sound level: QuietHose size: 1.25"" and 2.5"" diameter","Products for Industrial and Commercial Applications - High performance motor, tough rust-resistant epoxy phenolic-coated steel tank, and dual size heavy-duty plastic tools",,Shop-Vac 850-01-10 Industrial,Industrial
29054,Shop Vacuums,850-02-10,Industrial,"Products for Industrial and Commercial Applications - High performance motor, tough rust-resistant epoxy phenolic-coated steel tank, and dual size heavy-duty plastic tools.  Shop-Vac 850-02-10 Industrial",E:\IMAGES\ITEMS\product\8\5\Shop-Vac-Industrial-850-02.jpg,Shop-Vac,Shop-Vac 850-02-10 Industrial,"Cord length: 18 feetOperation sound level: Super quietHose size: 1.25"" and 2.5"" diameter","Products for Industrial and Commercial Applications - High performance motor, tough rust-resistant epoxy phenolic-coated steel tank, and dual size heavy-duty plastic tools",,Shop-Vac 850-02-10 Industrial,Industrial
29054,Shop Vacuums,610-50-10,Industrial,"Products for Industrial and Commercial Applications - 2-Stage motor, stainless steel tank, Lock-On positive conneciton hose system, tough metal tools, long cord and 3-wheel dolly. Shop-Vac 610-50-10 Industrial",E:\IMAGES\ITEMS\product\6\1\Shop-Vac-Industrial-610-50.jpg,Shop-Vac,Shop-Vac 610-50-10 Industrial,"Cord length: 18 feetOperation sound level: Extra quietHose size: 1.5"" diameterTough metal toolsTank drainStainless steel tankLock-on hose","Products for Industrial and Commercial Applications - 2-Stage motor, stainless steel tank, Lock-On positive conneciton hose system, tough metal tools, long cord and 3-wheel dolly",,Shop-Vac 610-50-10 Industrial,Industrial
29054,Shop Vacuums,5872410,5 Gal Portable H/D Shop Vac,Easy to carry and full featured: Compact and Portable. Top Carry Handle for easy lifting. Lock On® Hose System. Accessory Storage. Cord Wrap.,E:\IMAGES\ITEMS\product\5\8\Shop-Vac-5872410-5-Gal-Portable-HD-Shop.jpg,Shop-Vac,Easy to carry and full featured: Compact and Portable. Top Carry Handle for easy lifting. Lock On® Hose System. Accessory Storage. Cord Wrap.,"Cord Length: 20 Feet Operation Sound Level: Quiet Hose Size: 1.5"" Diameter Warranty: 4 Years Lock-on Hose Hand Held Design Blower Feature",,,Shop-Vac 5872410 5 Gal Portable H/D Shop Vac,5 Gal Portable H/D Shop Vac
29054,Shop Vacuums,9030400,Cartridge Filter,Cartridge Filter for Wet or Dry Pickup.,E:\IMAGES\ITEMS\product\9\0\Shop-Vac-9030400-Cartridge.jpg,Shop-Vac,Cartridge Filter for Wet or Dry Pickup.,"Designed to combat your toughest challenge, the Cartridge Filter can be used for both wet and dry pick-up and fits most Shop-Vac® wet/dry Vacs. Fits full size vacs. Does not fit Hang Up Vacs, 5 Gallon Contractor Portable, Floormaster Plus, All Around Plus, Heavy Duty Portable, 1x1®, BullDog® Portable, Mighty Mini®, Mini Hangup, Hippo®, or All Arounds with 1-1/2 or 2 Gallon tank sizes. Approximate size of cartridge: 8"" diameter and 6.5"" high.",,,Shop-Vac 9030400 Cartridge Filter,Cartridge Filter
29054,Shop Vacuums,9034000,Hepa Cartridge Filter,Shop-Vac with Cleanstream- Gore HEPA Cartridge Filter.,E:\IMAGES\ITEMS\product\9\0\Shop-Vac-9034000-Hepa-Cartridge.jpg,Shop-Vac,Shop-Vac with Cleanstream- Gore HEPA Cartridge Filter.,"Special HEPA cartridge filter for both wet and dry pick-up. Maintains suction power even when used with fine debris like drywall dust! Resists clogging. Easy to clean, just tap or rinse. Reusable! One Year Satisfaction Guarantee! Exclusive Nonstick Surface. Fits full size vacs. Does not fit Hang Up Vacs, 5 Gallon Contractor Portable, Floormaster Plus, All Around Plus, Heavy Duty Portable, 1x1®, BullDog® Portable, Mighty Mini®, Mini Hangup, Hippo®, or All Arounds with 1-1/2 or 2 Gallon tank sizes.",,,Shop-Vac 9034000 Hepa Cartridge Filter,Hepa Cartridge Filter
29054,Shop Vacuums,9039800,Cartridge Filter 5 Gal Unit,Small Cartridge Filter.,E:\IMAGES\ITEMS\product\9\0\Shop-Vac-9039800-Cartridge-Filter-5-Gal.jpg,Shop-Vac,Small Cartridge Filter.,"Designed to combat your toughest challenge, the Cartridge Filter can be used for dry pick-up and fits Hang Up Vacs, 5 Gallon Contractor Portable, Floormaster Plus, All Around Plus, and the Heavy Duty Portable. Approximate size of cartridge: 5.75"" diameter and 5"" high.","For small, dry debris. Fits Hang Up Vacs, 5 Gallon Contractor Portable, Floormaster Plus, All Around Plus, and Heavy Duty Portable.",,Shop-Vac 9039800 Cartridge Filter 5 Gal Unit,Cartridge Filter 5 Gal Unit
29054,Shop Vacuums,9058500,Foam Sleeve,Foam Sleeve.,E:\IMAGES\ITEMS\product\9\0\Shop-Vac-9058500-Foam.jpg,Shop-Vac,Foam Sleeve.,"Use the Foam Sleeve for picking up wet messes when used alone. The Foam Sleeve is also required when using reusable disc style filters. Approximate size of sleeve: 8"" diameter and 6.5"" high.",,,Shop-Vac 9058500 Foam Sleeve,Foam Sleeve
29054,Shop Vacuums,9066100,Collection Bag 5 Gal Unit,Disposable Collection Filter Bags.,E:\IMAGES\ITEMS\product\9\0\Shop-Vac-9066100-Collection-Bag-5-Gal.jpg,Shop-Vac,Disposable Collection Filter Bags.,"Easy to use and install, these disposable filters come in a package of three and can be used for your everyday pick-up needs of fine dust, dirt, and debris. Fits 5-8 gallon vacs (side inlets only).",,,Shop-Vac 9066100 Collection Bag 5 Gal Unit,Collection Bag 5 Gal Unit
29054,Shop Vacuums,9067300,"Drywall Filter Bag 16,18,20,22 Gal Tanks",Drywall Collection Filter Bags for 16-22 Gallon Tanks.,E:\IMAGES\ITEMS\product\9\0\Shop-Vac-9067300-Drywall-Filter-Bag-16182022-Gal.jpg,Shop-Vac,Drywall Collection Filter Bags for 16-22 Gallon Tanks.,"Specially designed for pick-up of fine dust like drywall and cement dust or cold ashes, these high quality, disposable filter bags come in packages of two and fit 16-22 gallon vacs.",,,"Shop-Vac 9067300 Drywall Filter Bag 16,18,20,22 Gal Tanks","Drywall Filter Bag 16,18,20,22 Gal Tanks"
29054,Shop Vacuums,9609710,18-Gal Poly Shop Vac With Pump,"With a Shop-Vac Pump Vac, you can pick up water from one place and pump it to another. And you can keep vacuuming while you empty the tank.",E:\IMAGES\ITEMS\product\9\6\Shop-Vac-9609710-18-Gal-Poly-Shop-Vac-With.jpg,Shop-Vac,"With a Shop-Vac Pump Vac, you can pick up water from one place and pump it to another. And you can keep vacuuming while you empty the tank.","Cord Length: 18 feet Operation Sound Level: Extra Quiet Hose Size: 1.25"" and 2.5"" Diameter Warranty: 1 year Tank Drain Lock-on Hose Onboard Accessory Storage Built In Water Pump",,,Shop-Vac 9609710 18-Gal Poly Shop Vac With Pump,18-Gal Poly Shop Vac With Pump
