category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
27154,Simpson Fastening Systems,AT Acrylic-Tie,AT High Strength Acrylic-Tie Anchoring Adhesive,Simpson Strong-Tie AT High Strength Acrylic-Tie Anchoring Adhesive,E:\IMAGES\ITEMS\product\A\T\Simpson-Strong-Tie-AT-High-Strength-Acrylic-Tie-Anchoring- 1.jpg,Simpson Strong-Tie,,"USES Threaded rod anchoring Rebar doweling Pick-proof sealant around doors, windows and fixtures","AT Acrylic-Tie® is a two component, high solids, 10:1 ratio acrylic-based adhesive for use as a high strength, anchor-grouting material. Formulated for use in all types of weather, AT is designed to dispense easily and cure at temperatures down to 0°F. Resin and initiator are dispensed and mixed simultaneously through the mixing nozzle. AT meets the physical requirements of ASTM C881, Type I & IV, Grade 3, Classes A, B & C, except Acrylic-Tie is a non-epoxy product formulated for fast cure time.",,Simpson Strong-Tie AT High Strength Acrylic-Tie Anchoring Adhesive,AT High Strength Acrylic-Tie Anchoring Adhesive
27288,Simpson SET Anchoring Adhesive,SET Epoxy-Tie,SET High Strength Epoxy-Tie Anchoring Adhesive,Simpson Strong-Tie SET High Strength Epoxy-Tie Anchoring Adhesive,E:\IMAGES\ITEMS\product\S\E\Simpson-Strong-Tie-SET-High-Strength-Epoxy-Tie-Anchoring.jpg,Simpson Strong-Tie,,"USES Threaded-rod anchoring Rebar doweling Bonding hardened concrete to hardened concrete Pick-proof sealant around doors, windows and fixtures Paste-over for crack injection","SET Epoxy-Tie® epoxy is a two-component, 1:1 ratio, high solids, epoxy-based adhesive for use as a high strength, non-shrink anchor grouting material. Resin and hardener are dispensed and mixed simultaneously through the mixing nozzle. SET meets or exceeds the requirements of ASTM C-881 specification for Type I, II, IV and V, Grade 3, Class B and C.",,Simpson Strong-Tie SET High Strength Epoxy-Tie Anchoring Adhesive,SET High Strength Epoxy-Tie Anchoring Adhesive
27154,Simpson Fastening Systems,ET Epoxy-Tie,Simpson Fastening System,Simpson Strong-Tie ET Epoxy-Tie Anchoring Adhesive,E:\IMAGES\ITEMS\product\E\T\Simpson-Strong-Tie-ET-Epoxy-Tie-Anchoring- 1.jpg,Simpson Strong-Tie,,"USES Threaded rod anchoring Rebar doweling Bonding hardened concrete to hardened concrete Pick-proof sealant around doors, windows and fixtures Paste-over for crack injection","ET Epoxy-Tie® is a two-component, high solids, epoxy-based system for use as a high-strength, non-shrink anchor grouting material. Resin and hardener are dispensed and mixed simultaneously through the mixing nozzle. ET meets the ASTM C-881 specifications for Type I, II, IV and V, Grade 3, Classes B and C, except gel time.",,Simpson Strong-Tie ET Epoxy-Tie Anchoring Adhesive,Simpson Fastening System
27055|19544,Simpson SET-XP Structural Epoxy-Tie Anchoring Adhesive for Concrete|Epoxy,SET-XP,Structural Epoxy-Tie Anchoring Adhesive,For cracked and uncracked concrete.,E:\IMAGES\ITEMS\product\S\E\Simpson-Strong-Tie-SET-XP-Structural-Epoxy-Tie-Anchoring.jpg,Simpson Strong-Tie,For cracked and uncracked concrete.,"SET-XP® is a 1:1 two component, high solids epoxy-based anchoring adhesive formulated for optimum performance in both cracked and uncracked concrete. SET-XP® adhesive has been rigorously tested in accordance with ICC-ES AC308 and 2006 & 2009 IBC requirements and has proven to offer increased reliability in the most adverse conditions, including performance in cracked concrete under static and seismic loading. SET-XP® adhesive is teal in color in order to be identified as a high-performance adhesive for adverse conditions. Resin and hardener are dispensed and mixed simultaneously through the mixing nozzle. SET-XP® adhesive exceeds the ASTM C881 specification for Type I and Type IV, Grade 3, Class C epoxy.",,,SET-XP Structural Epoxy-Tie Anchoring Adhesive,Structural Epoxy-Tie Anchoring Adhesive
27361|24871,Simpson Fasteners and Quik Drive System|Electric Screwdrivers,BGP300,Quik Drive BGP300 System,"The BGP300 System includes QDBGP300G2 attachment, 2 Profile guides (flat and R-panel), 2 Lobular hex-head driver bits (1/4"" and 5/16"",16"" extension for stand-up driving, and a rugged tool box.",E:\IMAGES\ITEMS\product\B\G\Simpson-Strong-Tie-BGP300.jpg,Simpson Strong-Tie,"The BGP300 System includes QDBGP300G2 attachment, 2 Profile guides (flat and R-panel), 2 Lobular hex-head driver bits (1/4"" and 5/16"",16"" extension for stand-up driving, and a rugged tool box.","BGP300 Combo System Includes:  QDBGP300G2 attachment 2 Profile guides (flat and AG panel) 2 Lobular hex-head driver bits (1/4"" and 5/16"") 16"" extension for stand-up driving Rugged tool box  The BGP300 does not include a screwdriver motor.","Features:  Patented belt collation enables auto-feed fastening of screws with EPDM-backed washers (U.S. Patent 6,783,001) Profile guide on nosepiece ensures uniform screw placement The extension enables stand-up fastening on roofs Depth control prevents over-driving Designed to eliminate skipped screws, reducing screw waste (patent pending) Easy loading keeps work moving Screws available in 10 colors to match popular roofing-panel colors  Applications:  Exposed-fastener metal roofing to wood Metal siding to wood",,Simpson Strong-Tie BGP300 System,Quik Drive BGP300 System
27150|24871,Simpson Quik Drive PRO300S Decking System|Electric Screwdrivers,QDPRO200,Quik Drive PRO200 System,"Pro200 System includes QDPRO200G2 Auto-feed attachment, extension for stand-up driving, quiver for keeping screws at your fingertips, tool case, choice of Makita® screwdriver motors.",E:\IMAGES\ITEMS\product\\\Simpson-Strong-Tie-Quik-Drive-PRO200.jpg,Simpson Strong-Tie,"Pro200 System includes QDPRO200G2 Auto-feed attachment, extension for stand-up driving, quiver for keeping screws at your fingertips, tool case, choice of Makita® screwdriver motors.","Compact body for reduced weight and easy handling Slim profile allows driving in corners Smooth nose will not mar drywall surface Limited lifetime warranty on attachment and extension, 1 year limited warranty on screwdriver motors (see specific manufacturer's warranty for more information) QDPRO200G2 Attachment also available alone",Applications: Drywall-to-wood or steel,,Simpson Strong-Tie Quik Drive PRO200 System,Quik Drive PRO200 System
27361|24871,Simpson Fasteners and Quik Drive System|Electric Screwdrivers,PRO250,Quik Drive PRO250 System,"PRO250 System includes QDPRO250G2 Auto-feed attachment, extension for stand-up driving, quiver for keeping screws at your fingertips, tool case, and choice of Makita® screwdriver motors.",E:\IMAGES\ITEMS\product\P\R\Simpson-Strong-Tie-Quik-Drive-PRO250.jpg,Simpson Strong-Tie,"PRO250 System includes QDPRO250G2 Auto-feed attachment, extension for stand-up driving, quiver for keeping screws at your fingertips, tool case, and choice of Makita® screwdriver motors.","PRO250 System Includes:  QDPRO250G2 Auto-feed attachment Extension for stand-up driving Quiver for keeping screws at your fingertips Tool case Choice of DeWalt®, Makita® or Milwaukee® screwdriver motors","Features:  Expanded depth settings for high-density flooring materials Reversible replaceable non-skid teeth attachment Uniform toenailing and countersink on slick surfaces Limited lifetime warranty on attachment and extension, 1 year limited warranty on screwdriver motors (see specific manufacturer's warranty for more information). QDPRO250G2 Attachment also available alone  Applications:  Subfloor to wood or steel Decking on decks and docks Fiber-cement siding to steel",,Simpson Strong-Tie Quik Drive PRO250 System,Quik Drive PRO250 System
27150|24871,Simpson Quik Drive PRO300S Decking System|Electric Screwdrivers,PRO300S,Quik Drive PRO300S System,"Quik Drive PRO300S system includes QDPRO300SG2 attachment, extension for stand-up driving, quiver for keeping screws at your fingertips, tool case, decking nose clip, choice of DeWalt® or Makita® screwdriver motor.",E:\IMAGES\ITEMS\product\P\R\Simspon-Strong-Tie-Quik-Drive-PRO300S.jpg,Simpson Strong-Tie,"Quik Drive PRO300S system includes QDPRO300SG2 attachment, extension for stand-up driving, quiver for keeping screws at your fingertips, tool case, decking nose clip, choice of DeWalt® or Makita® screwdriver motor.","PRO300S System Includes:  QDPRO300SG2 attachment Extension for stand-up driving Quiver for keeping screws at your fingertips Tool case Decking Nose Clip Choice of DeWalt®, Makita® or Milwaukee® screwdriver motor","Features:  Expanded depth settings for high-density flooring materials Reversible and replaceable non-skid teeth Uniform toenailing and countersink on slick surfaces Sure-grip guide tube increases stability for a broad range of screws Limited lifetime warranty on attachment and extension, 1 year limited warranty on screwdriver motors (see specific manufacturer's warranty for more information) QDPRO300SG2 is available alone  Applications:  Decking on decks and docks Subfloor to wood or steel Wall plates, stair treads, sheathing Fiber-cement siding to steel",,Simspon Strong-Tie Quik Drive PRO300S System,Quik Drive PRO300S System
27172|20372,Simpson Anchor Tiedown System|Wedge Anchors,PROCCS+,Simspon Strong-Tie Quik Drive Combo System,"PROCCS+ Combo System includes QDPRO300SG2 attachment, QDPRO200SG2 attachment, extension for stand-up driving, quiver for keeping screws at your fingertips, tool case, choice of DeWalt® or Makita® screwdriver motor.",E:\IMAGES\ITEMS\product\P\R\Simspon-Strong-Tie-Quik-Drive-PROCCS-Combo.jpg,Simpson Strong-Tie,"PROCCS+ Combo System includes QDPRO300SG2 attachment, QDPRO200SG2 attachment, extension for stand-up driving, quiver for keeping screws at your fingertips, tool case, choice of DeWalt® or Makita® screwdriver motor.","Expanded depth settings for high-density flooring materials Reversible and replaceable non-skid teeth attachment Uniform toenailing and countersink on slick surfaces Sure-grip guide tube increases stability for a broad range of screws Limited lifetime warranty on attachment and extension, 1 year limited warranty on screwdriver motors (see specific manufacturer's warranty for more information) QDPRO300SG2 and QDPRO200SG2 attachments also available alone","Applications:  Subflooring-to-wood or steel Wall plates, stair treads, sheathing Decks and docks Fiber-cement siding-to-steel",,Simspon Strong-Tie Quik Drive PROCCS+ Combo System,Simspon Strong-Tie Quik Drive Combo System
27361|24871,Simpson Fasteners and Quik Drive System|Electric Screwdrivers,PROCGB,Quik Drive PROCGB Combo System,"PROCGB Combo System includes QDPROLDHG2 attachment, QDPRO200SG2 attachment, extension for stand-up driving, quiver for keeping screws at your fingertips, Makita® screwdriver motor.",E:\IMAGES\ITEMS\product\P\R\Simpson-Strong-Tie-PROCGB-Combo.jpg,Simpson Strong-Tie,"PROCGB Combo System includes QDPROLDHG2 attachment, QDPRO200SG2 attachment, extension for stand-up driving, quiver for keeping screws at your fingertips, Makita® screwdriver motor.",PROCGB Combo System Includes:  QDPROLDHG2 attachment QDPRO200SG2 attachment Extension for stand-up driving Quiver for keeping screws at your fingertips Tool case Makita® screwdriver motor,"Features:  QDPROLDHG2 attachment is ideal for cement board and fiber-cement board underlayment and backerboard QDPRO200SG2 attachment is ideal for gypsum panel Extension allows stand-up driving and gets installers off of their knees Compact body for reduced weight and easy handling Limited lifetime warranty on attachment and extension, 1 year limited warranty on screwdriver motors (see specific manufacturer's warranty for more information). QDPROLDHG2 and QDPRO200SG2 attachments also available alone  Applications:  Cement board and fiber-cement board underlayment to wood or steel Backerboard to wood or steel Gypsum panel to wood or steel",,Simpson Strong-Tie PROCGB Combo System,Quik Drive PROCGB Combo System
