category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
28005,Corded Circular Saws,HD77,"7-1/4"" Worm Drive Skilsaw","Skill HD77 7-1/4"" Worm Drive Skilsaw",E:\IMAGES\ITEMS\product\H\D\Skill-HD77-7-14-Worm-Drive.jpg,Skil,"Skill HD77 7-1/4"" Worm Drive Skilsaw","Amperage: 13.0 Arbor Size: Diamond Blade Diameter: 7 1/4"" Certifications: cULus Cord Length: 8 ft. Depth of Cut at 45 Deg.: 1 15/16"" Depth of Cut at 90 Deg.: 2 3/8"" No Load RPM: 4,400 Power/Duty: Heavy Duty Rating: 120V Weight (lbs.): 16.0","20 amp switch and heavy gauge cord Anti-Snag Lower Guard Reduces Snags When Making Narrow Cut-Offs Precision-machined, durable worm drive gears for longer tool life Push button spindle lock for easy blade changes Die-cast aluminum motor and gear housings for durability Oil indicator level and relief bellows for long life",,"Skill HD77 7-1/4"" Worm Drive Skilsaw","7-1/4"" Worm Drive Skilsaw"
28005,Corded Circular Saws,HD5860,8-1/4 In. Worm Drive 205SAW®,"Skill HD5860 8-1/4"" Worm Drive Skilsaw",E:\IMAGES\ITEMS\product\H\D\Skill-HD5860-8-14-Worm-Drive.jpg,Skil,8-1/4 In. Worm Drive 205SAW®,"Exclusive 60° bevel feature with 8 1/4"" blade is ideal for angled cutsHigh Torque 13 Amp MotorOil indicator level and relief bellows for long lifePrecision-machined, durable worm drive gears for longer tool life22 a",Note:  Saw weight includes blade and cord,,"Skill HD5860 8-1/4"" Worm Drive Skilsaw",8-1/4 In. Worm Drive 205SAW®
19487,Sanding Belts,73105,3 In. x 18 In. 40 Grits Sanding Belt,,E:\IMAGES\ITEMS\product\7\3\3-In-x-18-In-40-Grits-Sanding.jpg,Skil,3 In. x 18 In. 40 Grits Sanding Belt,"Size: 3"" x 18""Grit: 40Quantity: 2Fits any 3 by 18 In. belt sander",,39725731050.0,,3 In. x 18 In. 40 Grits Sanding Belt
19499,Sandpaper Sheets,73111,60 Grit Octo Sandpaper,,/,Skil,60 Grit Octo Sandpaper,"Designed for superior performance on wood, metal, plastic, fiberglass and other materialsDurable, heavy weight paperAluminum oxide grain resists clogging and lasts longerGeneral purpose",,39725027313.0,,60 Grit Octo Sandpaper
19499,Sandpaper Sheets,73112,80 Grit Octo Sandpaper,,/,Skil,80 Grit Octo Sandpaper,"Designed for superior performance on wood, metal, plastic, fiberglass and other materialsDurable, heavy weight paperAluminum oxide grain resists clogging and lasts longerGeneral purpose",,39725027283.0,,80 Grit Octo Sandpaper
19499,Sandpaper Sheets,73113,120 Grit Octo Sandpaper,,/,Skil,120 Grit Octo Sandpaper,"Designed for superior performance on wood, metal, plastic, fiberglass and other materialsDurable, heavy weight paperAluminum oxide grain resists clogging and lasts longerGeneral purpose",,39725027290.0,,120 Grit Octo Sandpaper
19499,Sandpaper Sheets,74006,Assorted Grits Octo Sandpaper,,E:\IMAGES\ITEMS\product\7\4\skil-74006-assorted-grits-octo-sandpaper.jpg,Skil,Assorted Grits Octo Sandpaper,"Designed for superior performance on wood, metal, plastic, fiberglass and other materialsDurable, heavy weight paperAluminum oxide grain resists clogging and lasts longerGeneral purpose",,39725035899.0,,Assorted Grits Octo Sandpaper
19499,Sandpaper Sheets,73114,"Assorted pack of paper for sanding with 205 Octo Detail sander. Includes large detail, small detail, and square sanding sheets.",,/,Skil,"Assorted pack of paper for sanding with 205 Octo Detail sander. Includes large detail, small detail, and square sanding sheets.","Grit: AssortedApplication: General purposeQuantity: 15For use on wood, paint and hard to reach surfacesAluminum oxide grain resists clogging and lasts longerHook and loop backing","Durable, heavy weight paper",39725027306.0,,"Assorted pack of paper for sanding with 205 Octo Detail sander. Includes large detail, small detail, and square sanding sheets."
21681,Utility Knives,2352-01,Lithium Ion Power Cutter,,E:\IMAGES\ITEMS\product\2\3\skil-2352-01-lithium-ion-power-cutter.jpg,Skil,Lithium Ion Power Cutter,"Lithium-Ion power battery holds charge up to 18 monthsLightweight - weighs less than 1 Lb.Auto sharp blade design for clean resultsBattery fuel gaugeCuts through hundreds of materials* including: carpet, plastic pac",Powered by an ENERGY STAR qualified battery charger (for a better environment),39725036797.0,,Lithium Ion Power Cutter
21837,Rotary and Straight Line Laser Levels,8201-CL,Self-Leveling Cross-Line Laser,,E:\IMAGES\ITEMS\product\8\2\skil-8201-cl-self-leveling-cross-line-laser.jpg,Skil,Self-Leveling Cross-Line Laser,"4 Mode Projection: Horizontal, Vertical, Laser Cross-Line and ManualProjects Horizontal Laser Line with 120 Degree Fan AngleManual Mode for Versatile ApplicationsAutomatic Out-of-Level Sensing",,39725034915.0,,Self-Leveling Cross-Line Laser
21837,Rotary and Straight Line Laser Levels,8601-RL,Manual-Leveling Rotary Laser,,E:\IMAGES\ITEMS\product\8\6\skil-8601-rl-manual-leveling-rotary-laser.jpg,Skil,Manual-Leveling Rotary Laser,"Three integrated vial levels for accurate leveling applicationsLevel, plumb and squaring beamsPlumb beam for alignment in lay down operationEasy operation with simple control featureDual 5/8 - 11 tripod threads for",,39725035035.0,,Manual-Leveling Rotary Laser
24708,Air Finishing Sanders,7302-02,OCTO™ Multi-Finishing Sander,,E:\IMAGES\ITEMS\product\7\3\skil-7302-02-octo-multi-finishing-sander.jpg,Skil,OCTO™ Multi-Finishing Sander,Pressure control technology warns user when excessive pressure is applied8 Detail Attachments for various sanding projectsMicro-filtration captures and contains fine dust particlesClear view dust canister removes guess work,Soft-grip design for added comfort and controlDust sealed switch for extended tool life,39725035561.0,,OCTO™ Multi-Finishing Sander
24708,Air Finishing Sanders,7305,18 V Cordless Multi-Finishing Sander,,E:\IMAGES\ITEMS\product\7\3\skil-7305-18-v-cordless-multi-finishing-sander.jpg,Skil,18 V Cordless Multi-Finishing Sander,SelectSystem™ - Lithium Ion and Ni-Cd battery compatible3 Position nose detail for maximum use of abrasiveQuick change pad systemSoft-grip design for added comfort and control*Compatible with 205 lithium-ion battery,*Compatible with 205 Ni-Cd charger SB118*Battery and charger sold separately,39725033994.0,,18 V Cordless Multi-Finishing Sander
28005,Corded Circular Saws,5680-02,7-1/4 In. 205SAW® with Laser,,/,Skil,7-1/4 In. 205SAW® with Laser,Laser outline guide for accurate cuts51° bevel adjust with positive stop at 45° for increased accuracyPower-on indicator lets you know when the tool is plugged inSafety lock / guarded trigger minimizes accidental starts,"Ball bearing motor construction for twice the life, compared to previous modelRear view depth adjustment for clear visibility & quick cut-depth changesOn-tool wrench storage for quick and easy blade changesLightweight at 10",,,7-1/4 In. 205SAW® with Laser
28005,Corded Circular Saws,5780-01,7-1/4 In. 205SAW® with 2 Beam Laser,,/,Skil,7-1/4 In. 205SAW® with 2 Beam Laser,2 beam laser ensures an accurate cut51° bevel adjust with positive stop at 45° for increased accuracyAnti-snag lower guard reduces snags when making narrow cut-offsSafety lock / guarded trigger minimizes accidental starts<b,Push button spindle lock for easy blade changesPower-on indicator lets you know when the tool is plugged inRear view depth adjustment for clear visibility & quick cut-depth changesLight weight reduces user fatigueWi,,,7-1/4 In. 205SAW® with 2 Beam Laser
24782,Cordless Circular Saws,5995,5-3/8 In. 18 V Cordless 205SAW® Bare Tool,,E:\IMAGES\ITEMS\product\5\9\5-38-In-18-V-Cordless-205SAW-Bare.jpg,Skil,5-3/8 In. 18 V Cordless 205SAW® Bare Tool,Select System™ - Lithium and Ni-Cd battery compatibleLightest saw in its class for less user fatigueAnti-snag lower guard reduces snags when making narrow cut-offsCross cut and rip 2x material with easeCompatible wi,Compatible with 205® Ni-Cd charger SB118Battery and charger sold separately,39725033987.0,,5-3/8 In. 18 V Cordless 205SAW® Bare Tool
28005,Corded Circular Saws,HD5687-01,7-1/4 In. 205SAW®,,/,Skil,7-1/4 In. 205SAW®,51° Bevel adjust with positive stop at 45° for increased accuracyWorm drive-style handles - proven design provides comfort and controlRear view depth adjustment for clear visibility & quick cut-depth changesAnti-snag lower,,,,7-1/4 In. 205SAW®
28005,Corded Circular Saws,HD5687M-01,7-1/4 In. Magnesium 205SAW®,,/,Skil,7-1/4 In. Magnesium 205SAW®,"Light magnesium housing (2 lbs. lighter) reduces user fatigue51° Bevel Capacity for Increased Utility""Worm Drive-Style"" Handles-Proven Design Provides Comfort and ControlRear View Depth Adjustment for clear visibility & qui",,,,7-1/4 In. Magnesium 205SAW®
24790,Cordless Rotary & Hammer Drills,2240-01,12 V Cordless Drill/Driver,,E:\IMAGES\ITEMS\product\2\2\skil-2240-01-12-v-cordless-drilldriver.jpg,Skil,12 V Cordless Drill/Driver,"15+1 Application settings prevents screw strippingVariable Speed Trigger lets you control drilling speed3/8"" Keyless Chuck for fast and easy bit changesOn-Tool Bit Storage keeps bits handySoft-Grip design for added",,39725034304.0,,12 V Cordless Drill/Driver
24790,Cordless Rotary & Hammer Drills,2250-01,14.4 V Cordless Drill/Driver,,E:\IMAGES\ITEMS\product\2\2\skil-2250-01-144-v-cordless-drilldriver.jpg,Skil,14.4 V Cordless Drill/Driver,"15+1 Application settings prevents screw strippingVariable Speed Trigger lets you control drilling speed3/8"" Keyless Chuck for fast and easy bit changesOn-Tool Bit Storage keeps bits handySoft-Grip design for added",,39725034311.0,,14.4 V Cordless Drill/Driver
24790,Cordless Rotary & Hammer Drills,2260-01,18 V Cordless Drill/Driver,,E:\IMAGES\ITEMS\product\2\2\skil-2260-01-18-v-cordless-drilldriver.jpg,Skil,18 V Cordless Drill/Driver,15+1 Application settings prevents screw strippingVariable speed trigger lets you control drilling speed3/8 In. keyless chuck for fast and easy bit changesOn-tool bit storage keeps bits handySoft-grip design for add,,39725034328.0,,18 V Cordless Drill/Driver
24790,Cordless Rotary & Hammer Drills,2414-02,12 V Max Lithium Ion Drill/Driver,,E:\IMAGES\ITEMS\product\2\4\skil-2414-02-12-v-max-lithium-ion-drilldriver.jpg,Skil,12 V Max Lithium Ion Drill/Driver,2 Speed gear box for a variety of projects15+1 Clutch settings with soft-grip3/8 In. Keyless chuck for fast and easy bit changesBattery fuel gaugeLightweight and powerful,,39725034076.0,,12 V Max Lithium Ion Drill/Driver
24790,Cordless Rotary & Hammer Drills,2415-01,12 V Max 3/8 In. Variable Speed Drill/Driver,,E:\IMAGES\ITEMS\product\2\4\skil-2415-01-12-v-max-38-in-variable-speed-drilldriver.jpg,Skil,12 V Max 3/8 In. Variable Speed Drill/Driver,30% more compact* for comfortable handlingPowerful 2-speed gearbox for high speed drilling & high torque applications3/8 In. keyless chuck allows for fast and easy bit changesLED work light illuminates hard-to-see areas,*Than comparable 205 12V drills,39725037060.0,,12 V Max 3/8 In. Variable Speed Drill/Driver
24790,Cordless Rotary & Hammer Drills,2860-02,18 V Cordless Drill/Driver with Bonus Flashlight,,E:\IMAGES\ITEMS\product\2\8\skil-2860-02-18-v-cordless-drilldriver-with-bonus-flashlight.jpg,Skil,18 V Cordless Drill/Driver with Bonus Flashlight,15+1 Application settings prevents screw strippingVariable speed trigger lets you control drilling speed3/8 In. keyless chuck for fast and easy bit changesOn-tool bit storage keeps bits handySoft-grip design for add,,39725035783.0,,18 V Cordless Drill/Driver with Bonus Flashlight
24790,Cordless Rotary & Hammer Drills,2860-03,18 V Cordless Drill/Driver,,E:\IMAGES\ITEMS\product\2\8\skil-2860-03-18-v-cordless-drilldriver.jpg,Skil,18 V Cordless Drill/Driver,15+1 application settings prevents screw strippingVariable speed trigger lets you control drilling speed3/8 In. keyless chuck for fast and easy bit changesOn-tool bit storage keeps bits handySoft-grip design for add,,39725035790.0,,18 V Cordless Drill/Driver
24790,Cordless Rotary & Hammer Drills,2860-10,18 V 2-Tool Starter Kit,,E:\IMAGES\ITEMS\product\2\8\skil-2860-10-18-v-2-tool-starter-kit.jpg,Skil,18 V 2-Tool Starter Kit,"15+1 Application settings prevents screw strippingVariable Speed Trigger lets you control drilling speed3/8"" Keyless Chuck for fast and easy bit changesLightest saw in its class for less user fatigueAnti-Snag Lower",,39725035806.0,,18 V 2-Tool Starter Kit
24790,Cordless Rotary & Hammer Drills,2888-02,18 V Cordless Drill/Driver & Flashlight Kit,,E:\IMAGES\ITEMS\product\2\8\skil-2888-02-18-v-cordless-drilldriver-flashlight-kit.jpg,Skil,18 V Cordless Drill/Driver & Flashlight Kit,Powerful 2-speed gearbox for high speed drilling and high torque applications25+1 Clutch settings matches driving power to specific applications and prevents screw strippingVariable speed trigger lets you control drilling speed,*Batteries included may look different than shown,39725034014.0,,18 V Cordless Drill/Driver & Flashlight Kit
24790,Cordless Rotary & Hammer Drills,2898LI-02,18 V Lithium Ion Cordless Drill/Driver,,E:\IMAGES\ITEMS\product\2\8\skil-2898li-02-18-v-lithium-ion-cordless-drilldriver.jpg,Skil,18 V Lithium Ion Cordless Drill/Driver,SelectSystem™ lithium and ni-cd battery compatible20+1 position clutch for precise drilling and drivingDelivers up to 400 in/lbs of torque for maximum powerAll metal geartrainLightweight and powerfulOn-tool,"Side-assist handle for controlled, accurate drillingPowered by an ENERGY STAR qualified battery charger (for a better environment)",39725034830.0,,18 V Lithium Ion Cordless Drill/Driver
24801,Cordless Reciprocating Saws,9225-01,120 V Reciprocating Saw,,E:\IMAGES\ITEMS\product\9\2\skil-9225-01-120-v-reciprocating-saw.jpg,Skil,120 V Reciprocating Saw,Orbital cutting action for fast cuts in woodAdjustable pivoting shoe provides additional stability when cutting through materialsVibration Control Gearing for less vibration & fatiguePower-On Indicator lets you know when th,2-finger Trigger for increased controlOn-tool blade storage keeps blades handy when needed,39725027382.0,,120 V Reciprocating Saw
24801,Cordless Reciprocating Saws,9350,18 V Cordless Reciprocating Saw,,E:\IMAGES\ITEMS\product\9\3\skil-9350-18-v-cordless-reciprocating-saw.jpg,Skil,18 V Cordless Reciprocating Saw,SelectSystem™ -Lithium and Ni-Cd battery compatible20% faster cuts in turbo modeOn-tool blade storage keeps blades handy when neededTool-less blade change for easy blade changes*Compatible with 205® Lithium-Ion batt,*Compatible with 205® Ni-Cd charger SB118*Battery and charger sold separately,39725033970.0,,18 V Cordless Reciprocating Saw
24807,Cordless Screwdrivers,2354-01,iXO™ 4 V Max Palm-Sized Screwdriver,,E:\IMAGES\ITEMS\product\2\3\skil-2354-01-ixo-4-v-max-palm-sized-screwdriver.jpg,Skil,iXO™ 4 V Max Palm-Sized Screwdriver,"4 V Max power with 20% longer run time than 205® 2346-05Compact, powerful and lightweightSidelight™ LED work light for better visibilityForward/reverse LED indicator shows drilling directionLithium-Ion power battery",,39725035653.0,,iXO™ 4 V Max Palm-Sized Screwdriver
24807,Cordless Screwdrivers,2354-02,iXO™ 4V Max Palm-Sized Screwdriver with Attachment,,E:\IMAGES\ITEMS\product\2\3\skil-2354-02-ixo-4v-max-palm-sized-screwdriver-with-attachment.jpg,Skil,iXO™ 4V Max Palm-Sized Screwdriver with Attachment,"Innovative right angle attachment for getting into hard to reach areas4V Max power with 20% longer run time than 205® 2346-05Compact, powerful and lightweightSidelight™ LED work light for better visibilityForward/re",,39725035295.0,,iXO™ 4V Max Palm-Sized Screwdriver with Attachment
24807,Cordless Screwdrivers,2354-10,iXO Vivo™ Power Corkscrew,,E:\IMAGES\ITEMS\product\2\3\skil-2354-10-ixo-vivo-power-corkscrew.jpg,Skil,iXO Vivo™ Power Corkscrew,"Unique corkscrew attachment4V Max power with 20% longer run timeCompact, powerful and lightweightSiteLight™ LED work light for better visibilityForward/reverse LED indicator shows drilling directionLithium-I",,39725037442.0,,iXO Vivo™ Power Corkscrew
24807,Cordless Screwdrivers,2356-01,360 Quick Select Cordless Screwdriver,,E:\IMAGES\ITEMS\product\2\3\skil-2356-01-360-quick-select-cordless-screwdriver.jpg,Skil,360 Quick Select Cordless Screwdriver,"Fully integrated bit management system contains 12 common bitsUSB charging allows charging with computers, cell or car chargers4V lithium ion technology holds a charge up to 18 monthsBattery gauge indicator shows when batte",,39725038319.0,,360 Quick Select Cordless Screwdriver
24812,Cordless Tool Batteries,120BAT,12V Battery Pack,,/,Skil,12V Battery Pack,"Increase the in use time of your cordless tool12V nickel-cadmium batteryUses charger model 92490Fits tool models: 2390, 2420, 2466, 2467, 2468, 2484, 2868",,39725016256.0,,12V Battery Pack
24812,Cordless Tool Batteries,144BAT,14.4 V NiCd Battery,,/,Skil,14.4 V NiCd Battery,"14.4V BatteryUses charger model 92590Fits tool models:  2566, 2565, 2567, 2568, 2584, 2585, 2575, 45671.2 Amp hour NiCd pod style battery",,39725016263.0,,14.4 V NiCd Battery
24812,Cordless Tool Batteries,180BAT,18 V NiCd Battery,,/,Skil,18 V NiCd Battery,"18V BatteryUses charger model 92990Fits tool models:  2866, 2867, 2866, 2868, 2870, 2882, 2892, 2884, 2885, 5800Increase the in-use time of your 18 V 205 cordless tools",,39725020024.0,,18 V NiCd Battery
24812,Cordless Tool Batteries,SC118B-LI,18 V Lithium Ion Battery and Charger,,/,Skil,18 V Lithium Ion Battery and Charger,"18V Lithium Ion Battery and 1-Hour Charger Pack.Fits Lithium Ion and Ni-Cd models: 2810, 2887, 2895, 2897, 4570, 5850, 5995, 7305, 9350.205 Smartcharge™ systemFor use with 205 drill model 2895LIUpgrade your 205 Ni-C",,39725033758.0,,18 V Lithium Ion Battery and Charger
24812,Cordless Tool Batteries,SC118,18 V 1 Hour Battery Charger,,/,Skil,18 V 1 Hour Battery Charger,"1 hour charger for 18V slide pack battery models SB18A & SB18BUsed for tool model numbers: 2466, 2468, 2567, 2887, 2888, 2895Replacement chargerCharges nickel-cadmium batteries",,39725024251.0,,18 V 1 Hour Battery Charger
24812,Cordless Tool Batteries,SB14A-LI,14.4V Lithium Ion Slide Pack Battery,,E:\IMAGES\ITEMS\product\S\B\skil-sb14a-li-144v-lithium-ion-slide-pack-battery.jpg,Skil,14.4V Lithium Ion Slide Pack Battery,14.4V Lithium ion slide pack batteryCharges lasts for up to 18 monthsWeighs 50% less than a Ni-Cd batteryFits tool model number: 2510,,39725030474.0,,14.4V Lithium Ion Slide Pack Battery
24812,Cordless Tool Batteries,SB18A-LI,18V Slide Pack Lithium Ion Battery,,E:\IMAGES\ITEMS\product\S\B\skil-sb18a-li-18v-slide-pack-lithium-ion-battery.jpg,Skil,18V Slide Pack Lithium Ion Battery,18V lithium ion slide pack batteryCharges lasts for up to 18 monthsWeighs 50% less than a Ni-Cd batteryFits tool model number: 2815,,39725030481.0,,18V Slide Pack Lithium Ion Battery
24812,Cordless Tool Batteries,SB18B-LI,18V Lithium-Ion Battery,,/,Skil,18V Lithium-Ion Battery,"18V lithium ion batteryCharge lasts up to 18 monthsWeighs 50% less than a Ni-Cd batteryUses an ENERGY STAR® certified chargerFits tool model numbers: 2810, 2860, 2887, 2895, 2897, 4570, 5850, 5995, 7305, and 9350",,39725033741.0,,18V Lithium-Ion Battery
24813,Cordless Tool Battery Chargers,92991,1 Hour Charger 7.2 to 18 Volt,,E:\IMAGES\ITEMS\product\9\2\1-Hour-Charger-72-to-18.jpg,Skil,1 Hour Charger 7.2 to 18 Volt,"7.2V-18V High performance 1 hour charger Charge indicator light Used for tool model numbers: 2592, 2566, 2567, 2568, 2575, 2584, 2585, 2875, 2884, 2885 Compatible with battery models: 96BAT, 120BAT, 144BAT, 180BAT",,39725013569.0,7.2V-18V High performance 1 hour charger,1 Hour Charger 7.2 to 18 Volt
24813,Cordless Tool Battery Chargers,SC18-LI,3 Hour Charger Using the Smartcharge™ System,,E:\IMAGES\ITEMS\product\S\C\skil-sc18-li-3-hour-charger-using-the-smartcharge-system.jpg,Skil,3 Hour Charger Using the Smartcharge™ System,"3 hour charger using the 205® Smartcharge™ systemAccepts both 14.4V Lithium Ion and 18V Lithium Ion slide pack batteriesCan be used with battery model numbers SB14A-LI, SB18A-LI, and SB18CReplacement 205® charger",,39725030504.0,,3 Hour Charger Using the Smartcharge™ System
24852,Hole Saws,93005,5 Pc Carbon Steel Hole Saw Set,,E:\IMAGES\ITEMS\product\9\3\5-Pc-Carbon-Steel-Hole-Saw.jpg,Skil,5 Pc Carbon Steel Hole Saw Set,"Set includes mandrel, pilot drill and cups in the most common sizes for household projects1/4-in hex shank delivers strong holding power and allows for quick bit changesHigh carbon steel cup capably makes large holes through wood<b",,45325300923.0,,5 Pc Carbon Steel Hole Saw Set
24854,Masonry Drill Bits,93101,1/8 In. x 3 In. Masonry Drill Bit,,E:\IMAGES\ITEMS\product\9\3\18-In-x-3-In-Masonry-Drill.jpg,Skil,1/8 In. x 3 In. Masonry Drill Bit,"Length: 3""Diameter Size: 1/8""Use double flute masonry bits for drilling in brick, cinder block and tileCarbide tip adds durability and minimizes wearFor use in corded and cordless rotary drills onlyLonger li",,39725032324.0,,1/8 In. x 3 In. Masonry Drill Bit
24854,Masonry Drill Bits,93102,5/32 In. x 3 In. Masonry Drill Bit,,E:\IMAGES\ITEMS\product\9\3\532-In-x-3-In-Masonry-Drill.jpg,Skil,5/32 In. x 3 In. Masonry Drill Bit,"Length: 3""Diameter Size:  5/32""Use double flute masonry bits for drilling in brick, cinder block and tileCarbide tip adds durability and minimizes wearFor use in corded and cordless rotary drills onlyLonger",,39725032331.0,,5/32 In. x 3 In. Masonry Drill Bit
24854,Masonry Drill Bits,93103,3/16 In. x 4 In. Masonry Drill Bit,,E:\IMAGES\ITEMS\product\9\3\316-In-x-4-In-Masonry-Drill.jpg,Skil,3/16 In. x 4 In. Masonry Drill Bit,"Length: 4""Diameter Size: 3/16''Use double flute masonry bits for drilling in brick, cinder block and tileCarbide tip adds durability and minimizes wearFor use in corded and cordless rotary drills onlyLonger",,39725032355.0,,3/16 In. x 4 In. Masonry Drill Bit
24854,Masonry Drill Bits,93104,1/4 In. x 4 In. Masonry Drill Bit,,E:\IMAGES\ITEMS\product\9\3\14-In-x-4-In-Masonry-Drill.jpg,Skil,1/4 In. x 4 In. Masonry Drill Bit,"Length: 4""Diameter Size: 1/4''Use double flute masonry bits for drilling in brick, cinder block and tileCarbide tip adds durability and minimizes wearFor use in corded and cordless rotary drills onlyLonger l",,39725032362.0,,1/4 In. x 4 In. Masonry Drill Bit
24854,Masonry Drill Bits,93105,1/4 In. x 6 In. Masonry Drill Bit,,E:\IMAGES\ITEMS\product\9\3\14-In-x-6-In-Masonry-Drill.jpg,Skil,1/4 In. x 6 In. Masonry Drill Bit,"Length: 6""Diameter Size: 1/4''Use double flute masonry bits for drilling in brick, cinder block and tileCarbide tip adds durability and minimizes wearFor use in corded and cordless rotary drills onlyLonger l",,39725032379.0,,1/4 In. x 6 In. Masonry Drill Bit
24854,Masonry Drill Bits,93106,1/4 In. x 13 In. Masonry Drill Bit,,E:\IMAGES\ITEMS\product\9\3\14-In-x-13-In-Masonry-Drill.jpg,Skil,1/4 In. x 13 In. Masonry Drill Bit,"Length: 13""Diameter Size: 1/4''Use double flute masonry bits for drilling in brick, cinder block and tileCarbide tip adds durability and minimizes wearFor use in corded and cordless rotary drills onlyLonger",,39725032386.0,,1/4 In. x 13 In. Masonry Drill Bit
