category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
144|21842,Levels|Specialty Levels,Stabila 196 24in,"24"" Heavy Duty Level",Stabila Spirit Level Heavy Duty Level Type 196,E:\IMAGES\ITEMS\product\S\t\Stabila-Spirit-Level-Heavy-Duty-Level-Type.jpg,Stabila,,"Features Crystal clear vials readable in any direction with no change in accuracy tolerance Spring steel hairline indicators in vials Best frame strength-to-weight ratio Removable rubber end caps for scribing in corners and for reading tight header and sill openings Rubber end caps grip walls and do not leave marks Metal Hang hole for storing level on site Large comfortable rubber hand holes Fast and accurate installations Strong, wide frame Vials are guaranteed for life Bent Levels Void Warranty",Spirit Level Heavy Duty Level Type 196,,"24"" Heavy Duty Level","24"" Heavy Duty Level"
144|21842,Levels|Specialty Levels,Stabila 80A-2,Spirit Level General Construction Level Type 80A-2,Stabila Spirit Level General Construction Level Type 80A-2,E:\IMAGES\ITEMS\product\S\t\Stabila-Spirit-Level-General-Construction-Level-Type-80A.jpg,Stabila,,"Features Stabila's general purpose level Accurate, lightweight and fast Designed for the tile installers and everyday use Easy cleaning, absolutely waterproof Always accurate, work with confidence and speed	 Big, clear, easy to read top mounted horizontal vial Rugged, takes rough handling Certified accuracy in top read position: 1/32"" over 72"" Bent Levels Void Warranty",Spirit Level General Construction Level Type 80A-2,,Stabila Spirit Level General Construction Level Type 80A-2,Spirit Level General Construction Level Type 80A-2
144|28135,Levels|Leveling Kits,Stabila 196 LED,"Spirit Level ""The Lights"" Level Kit Type 196 LED","Stabila Spirit Level ""The Lights"" Level Kit Type 196 LED",E:\IMAGES\ITEMS\product\S\t\Stabila-Spirit-Level-The-Lights-Level-Kit-Type-196.jpg,Stabila,,Features Bright - Brilliant Vials - Easy to read 2 Removable Light Paks Light Paks double as convienent flash lights	 No wires or light bulbs to go bad in the frame Easily replaced - Easily used Always have the view you need,"Spirit Level ""The Lights"" Level Kit Type 196 LED",,"Stabila Spirit Level ""The Lights"" Level Kit Type 196 LED","Spirit Level ""The Lights"" Level Kit Type 196 LED"
144|21842,Levels|Specialty Levels,Stabila 70A-2,Spirit Level Professional Grade for Homeowners Type 70A-2,Stabila Spirit Level Professional Grade for Homeowners Type 70A-2,E:\IMAGES\ITEMS\product\S\t\Stabila-Spirit-Level-Professional-Grade-for-Homeowners-Type.jpg,Stabila,,"Features Traditional spirit level with smooth sides, electrostatic powder coating and two vertical vials and one horizontal vial Light metal rectangular profile Measurement accuracy: in the normal position 0.029° = 0.5 mm/m	 The ideal all round level for DIY households and professional use Vials are guaranteed for life Bent Levels Void Warranty",Spirit Level Professional Grade for Homeowners Type 70A-2,,Stabila Spirit Level Professional Grade for Homeowners Type 70A-2,Spirit Level Professional Grade for Homeowners Type 70A-2
144|21842,Levels|Specialty Levels,Stabila 80A-2 Rehab - Remodel - Restore,Spirit Level The Measuring Stick Type 80A-2 Rehab - Remodel - Restore,Stabila Spirit Level The Measuring Stick Type 80A-2 Rehab - Remodel - Restore,E:\IMAGES\ITEMS\product\S\t\Stabila-Spirit-Level-The-Measuring-Stick-Type-80A-2-Rehab.jpg,Stabila,,Features Three measurement scales Straight edge for better markings Price point Double sided Rubber end caps grip walls and do not leave marks	 Fast and accurate installations Vials are guaranteed for life Bent Levels Void Warranty,Spirit Level The Measuring Stick Type 80A-2 Rehab - Remodel - Restore,,Stabila Spirit Level The Measuring Stick Type 80A-2 Rehab - Remodel - Restore,Spirit Level The Measuring Stick Type 80A-2 Rehab - Remodel - Restore
144|21842,Levels|Specialty Levels,Stabila 96M 24in,"24"" Type 96M Heavy Duty Level",Stabila Magnetic Level Heavy Duty Level Type 96M,E:\IMAGES\ITEMS\product\S\t\Stabila-Heavy-Duty-Magnetic-Level-Type.jpg,Stabila,,"Features Strongest Magnets, flush mounted - Work Hands-Free Spring steel hairline indicators inside the vials Certified Level Accuracy in top read position: 1/32"" over 72"" Levels 59"" and longer have a bridge over the horizontal vial for uninterrupted scribing and increased frame strength. Patented, epoxy-locked vials never need adjusting	 Removable rubber end caps for flush measuring in corners Patented red pads on end caps grip walls & flat surfaces - Prevents slipping on walls Level accuracy guaranteed for life; vials will never fog, leak or require adjustment Readable in every direction with no change in accuracy tolerance Bent Levels Void Warranty",Magnetic Level Heavy Duty Level Type 96M,,"24"" Type 96M Heavy Duty Level","24"" Type 96M Heavy Duty Level"
144|21842,Levels|Specialty Levels,Stabila 80A-2 ProFrame,Magnetic Level General Construction Level Type 80A-2 ProFrame,Stabila Magnetic Level General Construction Level Type 80A-2 ProFrame,E:\IMAGES\ITEMS\product\S\t\Stabila-Magnetic-Level-General-Construction-Level-Type-80A.jpg,Stabila,,"Features Stabila's general purpose level Streamline Frame Easy to grip Easy clean, absolutely waterproof Big, clear, easy to read top-mounted horizontal vial	 Rugged, takes rough handling Flush mounted, super strong magnets Hands free operation Accurate, lightweight and fast Certified accuracy in top read position: 1/32"" over 72"" Bent Levels Void Warranty",Magnetic Level General Construction Level Type 80A-2 ProFrame,,Stabila Magnetic Level General Construction Level Type 80A-2 ProFrame,Magnetic Level General Construction Level Type 80A-2 ProFrame
144|21842,Levels|Specialty Levels,Stabila 106T,Plate Level 2 Type 106T,Stabila Plate Level 2 Type 106T,E:\IMAGES\ITEMS\product\S\t\Stabila-Plate-Level-2-Type.jpg,Stabila,,"Features Strong re-enforced frame Fully sealed solid rail (six sided) extension eliminates deflection, and delivers the smoothest extension movement available. Removable 1 5/8"" stand-offs reach around braces Top plumb vial is permanently positioned at eye level.	 Frame side opposite the stand-offs is a level measuring surface and straight edge. Vials are guaranteed for life never to fog, leak or require adjustment. Certified accuracy in the top read position: 1/32"" over 72"" Bent Levels Void Warranty",,,Stabila Plate Level 2 Type 106T,Plate Level 2 Type 106T
144|21842,Levels|Specialty Levels,Stabila 106TM,Magnetic Plate Level 2 Type 106TM,Stabila Magnetic Plate Level 2 Type 106TM,E:\IMAGES\ITEMS\product\S\t\Stabila-Magnetic-Plate-Level-2-Type.jpg,Stabila,,"Features Strong re-enforced frame Hands Free: Vertical, Horizontal, Overhead Super strong magnets! Fully sealed solid rail (six sided) extension eliminates deflection and delivers the smoothest extension movement available. Top plumb vial is permanently positioned at eye level. Frame side opposite the stand-offs is a level measuring surface and straight edge. Vials are guaranteed for life never to fog, leak or require adjustment. Certified accuracy in the top read position: 1/32"" over 72"" Plate height dimensions marked on the rail Bent Levels Void Warranty",,,Stabila Magnetic Plate Level 2 Type 106TM,Magnetic Plate Level 2 Type 106TM
144|21842,Levels|Specialty Levels,Stabila IP65,TECH Electronic Level Type IP65,Stabila TECH Electronic Level Type IP65,E:\IMAGES\ITEMS\product\S\t\Stabila-TECH-Electronic-Level-Type.jpg,Stabila,,"Features Washable electronics Fast and accurate read 2 screen visibility with no loss of frame strength Bent Levels Void Warranty Electronics guaranteed for 2 years	 Electronic illuminates 5 mode reading (degrees in 1 or 2 decimal points , percent, feet & inches in decimal, Feet & inches in fractions, and mm/m)",,,Stabila TECH Electronic Level Type IP65,TECH Electronic Level Type IP65
