category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
24821,Demolition Robots,MB15EXS,Mounted Breaker,Stanley MB15EXS Mounted Breaker,E:\IMAGES\ITEMS\product\M\B\Stanley-MB15EXS-Mounted.jpg,Stanley,Stanley MB15EXS Mounted Breaker,"Two moving parts: Better performance, significantly less service required Enclosed Housing: Eliminates damaging shocks to the carrier Narrow Profile: Better visibility for operator/Operator can work closer to the edge Field Replaceable Bushing: Easier field maintenance Lower Oil Flow Range: Reduces deterioration, increases efficiency Light Weight: User can select lighter weight, less expensive carrier, saves on fuel","Stanley's New MB15EXS is designed for backhoes and excavators in the 14,000 - 26,000 lb range, the MB15EXS hits like a heavier breaker with one of the highest blow energy ratings in its class (see CIMA rating).  The MB15EXS is a great option for rental or sales to contractors looking for increased breaker production. Weighing only 1100 pounds, the MB15EXS can be used on both tractor loader backhoes and mini excavators.",,Stanley MB15EXS Mounted Breaker,Mounted Breaker
24821,Demolition Robots,MB256,Small Mounted Breaker,"Stanley's ""6"" Series Mounted Breakers are designed for performance, reliability, long service life, and are backed with confidence by our industry leading warranty.",E:\IMAGES\ITEMS\product\M\B\Stanley-MB256-Small-Mounted.png,Stanley,"Stanley's ""6"" Series Mounted Breakers are designed for performance, reliability, long service life, and are backed with confidence by our industry leading warranty.",Broad range of flows and pressures to fit a wide selection of carriers. 2 moving parts. Direct-acting nitrogen chamber. High temperature seals - only 3 come in contact with moving parts. Unique sleeving to align running parts protects critical and costly components. Superior valve design. Fully protected hardware.,Features a stress and fatigue resistant  body design. Fully protected sideplate  hardware virtually eliminates bolt failures seen on competitive units with  exposed hardware.,,Stanley MB256 Small Mounted Breaker,Small Mounted Breaker
24821,Demolition Robots,MB656,Small Mounted Breaker,"Stanley's ""6"" Series Mounted Breakers are designed for performance, reliability, long service life, and are backed with confidence by our industry leading warranty.",E:\IMAGES\ITEMS\product\M\B\Stanley-MB656-Small-Mounted.png,Stanley,"Stanley's ""6"" Series Mounted Breakers are designed for performance, reliability, long service life, and are backed with confidence by our industry leading warranty.",Broad range of flows and pressures to fit a wide selection of carriers. 2 moving parts. Direct-acting nitrogen chamber. High temperature seals - only 3 come in contact with moving parts. Unique sleeving to align running parts protects critical and costly components. Superior valve design. Fully protected hardware.,"Features an anti-vibration design with  the power-cell floated between upper and lower bumpers,absorbing vibration away from the boom.Stress is  absorbed in the lower body rather than  the tie rod, prolonging tie rod life. A fully  enclosed housing offers protection and  quieter operation. A bolt-on mounting  bracket is available to enable fast and  easy installation and removal.",,Stanley MB656 Small Mounted Breaker,Small Mounted Breaker
24821,Demolition Robots,MB30EXS,STEALTH Breaker,"Stanley's New Generation Stealth Breakers offer a range of choices to suit any customer need, deliver more production per dollar at the best price available, and provide the highest return on investment.",E:\IMAGES\ITEMS\product\M\B\Stanley-MB30EXS-STEALTH.jpg,Stanley,"Stanley's New Generation Stealth Breakers offer a range of choices to suit any customer need, deliver more production per dollar at the best price available, and provide the highest return on investment.","Silenced. Noise suppression features make the new Stanley breakers some of the quietest on the market today.  Trimmed. Narrower profile allows the breaker to work closer to the walls of a trench and give better visibility for the operator.  Enclosed Housing. The powercell is suspended between bumpers eliminating damaging shocks transmitted to the carrier.  Armored Lower End. The housing is double strength at the lower end of the breaker to fully protect the powercell.  Lighter Weight. New generation stealth breakers are lighter in weight, allowing use of a lighter, less expensive carrier.  Two Moving Parts. Translates into less maintenance, better performance, and significantly less service.  Hard Hitting. Stanley breakers, pound for pound, are the hardest hitting breakers in their class.",8 Different models to choose from.,,Stanley MB30EXS STEALTH Breaker,STEALTH Breaker
24821,Demolition Robots,MB60EXS,STEALTH Breaker,"Stanley's New Generation Stealth Breakers offer a range of choices to suit any customer need, deliver more production per dollar at the best price available, and provide the highest return on investment.",E:\IMAGES\ITEMS\product\M\B\Stanley-MB60EXS-STEALTH.jpg,Stanley,"Stanley's New Generation Stealth Breakers offer a range of choices to suit any customer need, deliver more production per dollar at the best price available, and provide the highest return on investment.","Silenced. Noise suppression features make the new Stanley breakers some of the quietest on the market today.  Trimmed. Narrower profile allows the breaker to work closer to the walls of a trench and give better visibility for the operator.  Enclosed Housing. The powercell is suspended between bumpers eliminating damaging shocks transmitted to the carrier.  Armored Lower End. The housing is double strength at the lower end of the breaker to fully protect the powercell.  Lighter Weight. New generation stealth breakers are lighter in weight, allowing use of a lighter, less expensive carrier.  Two Moving Parts. Translates into less maintenance, better performance, and significantly less service.  Hard Hitting. Stanley breakers, pound for pound, are the hardest hitting breakers in their class.",8 different models to choose from.,,Stanley MB60EXS STEALTH Breaker,STEALTH Breaker
21924,Screwdrivers,12514,"Stanely 1/4"" x 6"" Slotted Screwdriver","Fluted, standard blade and tip made of alloy steel nickel with hardened tips for slip-resistant fit; . Ergonomically handle for comfortable grip.",E:\IMAGES\ITEMS\product\1\2\12514-Orgill-14-x-6-Slotted.jpg,Stanley,"Fluted, standard blade and tip made of alloy steel nickel with hardened tips for slip-resistant fit; . Ergonomically handle for comfortable grip.",Width: 10.2 in. Height: 6.6 in. Length: 13.3 in. Weight: .02403 lbs.,,,"12514 Stanely 1/4"" x 6"" Slotted Screwdriver","Stanely 1/4"" x 6"" Slotted Screwdriver"
20384,Key Stock,180158,"1/8"" x 12"" Stock Square Key",,E:\IMAGES\ITEMS\product\1\8\180158-Stanley-18-x-12-Stock-Square.jpg,Stanley,,,,,"1/8"" x 12"" Stock Square Key","1/8"" x 12"" Stock Square Key"
20384,Key Stock,180174,"1/4"" x 12"" Stock Square Key",,E:\IMAGES\ITEMS\product\1\8\180174-Stanley-14-x-12-Stock-Square.jpg,Stanley,,,,,"1/4"" x 12"" Stock Square Key","1/4"" x 12"" Stock Square Key"
20384,Key Stock,180190,"3/8"" x 12"" Stock Square Key",,E:\IMAGES\ITEMS\product\1\8\180190-Stanley-38-x-12-Stock-Square.jpg,Stanley,,,,,"3/8"" x 12"" Stock Square Key","3/8"" x 12"" Stock Square Key"
635|21720,Hand Saws|Hand Saws,15 726,"26"" Hand Saw",Handle is ultrasonically welded to blade with a square/mitre feature that has 45 and 90 degree angles for marking work piece and a comfort grip. Full length protective sleeve.,E:\IMAGES\ITEMS\product\1\5\15-726-Stanley-26-Hand.jpg,Stanley,Handle is ultrasonically welded to blade with a square/mitre feature that has 45 and 90 degree angles for marking work piece and a comfort grip. Full length protective sleeve.,CROSSCUT WELDED HANDLE Blade Lgth In=26 PPI=8,,,"15 726 Stanley 26"" Hand Saw","26"" Hand Saw"
