category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
21886.0,"Nail Pullers, Wrecking and Pry Bars",SSCLW12,"12"" Stainless Clawbar","Our NEW 12"" Stainless Steel ClawBar with the patented Dimpler feature.",E:\IMAGES\ITEMS\product\S\S\12-STAINLESS.jpg,Stiletto Tools,"Our NEW 12"" Stainless Steel ClawBar with the patented Dimpler feature.",Patented DIMPLER feature makes pulling nails cleaner & easier Two framing nail pullers; angled and straight end Super-strong open-trussed bar section comfortable to hold Durable highly-polished Stainless bar won't rust.,,,"12"" STAINLESS CLAWBAR","12"" Stainless Clawbar"
21886.0,"Nail Pullers, Wrecking and Pry Bars",SSFB15,"15"" Stainless Flatbar","15"" Stainless Steel Flatbar design is incredibly strong and tough, and has a Patented 180 degree nail puller in the ""arch"". For heavy prying and stripping, and for fast & easy staple removal.",E:\IMAGES\ITEMS\product\S\S\15-STAINLESS.jpg,Stiletto Tools,"15"" Stainless Steel Flatbar design is incredibly strong and tough, and has a Patented 180 degree nail puller in the ""arch"". For heavy prying and stripping, and for fast & easy staple removal.","28 Oz solid Stainless Steel prybar with super strong arch design Pat. Pending Staple Puller mid-bar pulls 9/16"" staples easily without nicking edges of expensive flooring Built-in bottle opener under arch Three separate Pat. Pending ""multi-fulcrum"" nail pullers - design increases leverage ""Bridged"" bar design doesn't spread open under load & abruptly release dangerous spring steel energy",,,"15"" STAINLESS FLATBAR","15"" Stainless Flatbar"
,,FB11S,11.5 Inch All Titanium Multifunctional Flatbar,"The ""pouchable"" version of our six NEW Titanium Flatbars, our FB11S Framing bar is incredibly strong and tough, and has a Patented 180 degree nail puller in the ""arch"". For moderate prying and stripping.",E:\IMAGES\ITEMS\product\F\B\115-Inch-All-Titanium-Multifunctional.jpg,Stiletto Tools,"The ""pouchable"" version of our six NEW Titanium Flatbars, our FB11S Framing bar is incredibly strong and tough, and has a Patented 180 degree nail puller in the ""arch"". For moderate prying and stripping.","8.6 Oz solid Titanium bar with super strong arch design/ Pat. Pending Staple Puller mid-bar pulls 9/16"" staples easily without nicking edges of expensive flooring Built-in bottle opener under arch Three separate Pat. Pending ""multi-fulcrum"" nail pullers - design increases leverage",Dimensions: 11.50 x 2.00 x 2.00 Weight: 0.7,,11.5 Inch All Titanium Multifunctional Flatbar,11.5 Inch All Titanium Multifunctional Flatbar
21886.0,"Nail Pullers, Wrecking and Pry Bars",FB11G,11.5 Inch All Titanium Multifunctional Glazer Bar,"The ""pouchable"" version of our six NEW Titanium Flatbars, our FB11G Glazier's bar is incredibly strong and tough, and has a Patented 180 degree nail puller in the ""arch"". For setting windows and doors, moderate prying and scraping.",E:\IMAGES\ITEMS\product\F\B\115-Inch-All-Titanium-Multifunctional-Glazer.jpg,Stiletto Tools,"The ""pouchable"" version of our six NEW Titanium Flatbars, our FB11G Glazier's bar is incredibly strong and tough, and has a Patented 180 degree nail puller in the ""arch"". For setting windows and doors, moderate prying and scraping.","8.5 Oz solid Titanium bar with super strong arch design/ Pat. Pending Staple Puller mid-bar pulls 9/16"" staples easily without nicking edges of expensive flooring Built-in bottle opener under arch Two separate Pat. Pending ""multi-fulcrum"" nail pullers - design increases leverag",Dimensions: 11.50 x 2.00 x 2.00 Weight: 0.7,,11.5 Inch All Titanium Multifunctional Glazer Bar,11.5 Inch All Titanium Multifunctional Glazer Bar
21886.0,"Nail Pullers, Wrecking and Pry Bars",TICLW-12,"12"" Titanium Dimpler® Nail Puller",The original Stiletto Titanium framing nail puller with the Patented nail removal feature developed for pulling common nails easily & cleanly.,E:\IMAGES\ITEMS\product\T\I\12-Titanium-Dimpler-Nail.jpg,Stiletto Tools,The original Stiletto Titanium framing nail puller with the Patented nail removal feature developed for pulling common nails easily & cleanly.,"8.5 Oz solid Titanium bar with open truss design Patented nail removal feature makes a round impression around the nail head to allow the claws to easliy slip under the nail head, thereby reducing damage to your material Strike plate outlasts steel bars 3X longer - doesn't spall, crack and mushroom like steel bars Two durable framing claws ends - tips outlast steel Very strong, very comfortable trussed bar design.",Dimensions: 11.50 x 3.00 x 1.00 Weight: 0.63,,"12"" Titanium Dimpler® Nail Puller","12"" Titanium Dimpler® Nail Puller"
21886.0,"Nail Pullers, Wrecking and Pry Bars",FB15,15 Inch All Titanium Multifunctional Flatbar,"Biggest of our six NEW Titanium Flatbars, our FB15 Framing bar is incredibly strong and tough, and has a Patented 180 degree nail puller in the ""arch"". For heavy prying and stripping.",E:\IMAGES\ITEMS\product\F\B\15-Inch-All-Titanium-Multifunctional.jpg,Stiletto Tools,"Biggest of our six NEW Titanium Flatbars, our FB15 Framing bar is incredibly strong and tough, and has a Patented 180 degree nail puller in the ""arch"". For heavy prying and stripping.","17 Oz solid Titanium bar with super strong arch design/ Pat. Pending Staple Puller mid-bar pulls 9/16"" staples easily without nicking edges of expensive flooring Built-in bottle opener under arch Three separate Pat. Pending ""multi-fulcrum"" nail pullers - design increases leverage",Dimensions: 15.00 x 3.00 x 3.00 Weight: 1,,15 Inch All Titanium Multifunctional Flatbar,15 Inch All Titanium Multifunctional Flatbar
21886.0,"Nail Pullers, Wrecking and Pry Bars",FB5,5.25 Inch Inch All Titanium Multifunctional Flatbar,"The smallest ""pocket-tool"" version of our six NEW Titanium Flatbars, our FB5 multi-tool is strong and tough for its smaller size, and has a circular saw wrench in the ""arch"". For pulling trim, light prying and stripping, opening cases.",E:\IMAGES\ITEMS\product\F\B\525-Inch-Inch-All-Titanium-Multifunctional.jpg,Stiletto Tools,"The smallest ""pocket-tool"" version of our six NEW Titanium Flatbars, our FB5 multi-tool is strong and tough for its smaller size, and has a circular saw wrench in the ""arch"". For pulling trim, light prying and stripping, opening cases.","1.7 Oz solid super light Titanium bar/ Circular saw wrench in arch box cutter edge on straight end/ Built-in bottle opener Two separate Pat. Pending ""multi-fulcrum"" finish nail pullers - design increases leverage",Dimensions: 5.25 x 1.50 x 1.50 Weight: 0.1,,5.25 Inch Inch All Titanium Multifunctional Flatbar,5.25 Inch Inch All Titanium Multifunctional Flatbar
21886.0,"Nail Pullers, Wrecking and Pry Bars",FB7S,7.5 Inch All Titanium Multifunctional Flatbar,"The ""pocket-size"" version of our six NEW Titanium Flatbars, our FB7S Finish prying tool is strong and tough for its smaller size, and has a Patented 180 degree finish nail puller in the ""arch"". For pulling trim, light prying and stripping.",E:\IMAGES\ITEMS\product\F\B\75-Inch-All-Titanium-Multifunctional.jpg,Stiletto Tools,"The ""pocket-size"" version of our six NEW Titanium Flatbars, our FB7S Finish prying tool is strong and tough for its smaller size, and has a Patented 180 degree finish nail puller in the ""arch"". For pulling trim, light prying and stripping.","3.3 Oz solid Titanium bar with super strong arch design/ Pat. Pending Staple Puller mid-bar pulls 3/16"" pre-hung door staples easily Three separate Pat. Pending ""multi-fulcrum"" finish nail pullers - design increases leverage",Dimensions: 7.50 x 1.50 x 1.50 Weight: 0.2,,7.5 Inch All Titanium Multifunctional Flatbar,7.5 Inch All Titanium Multifunctional Flatbar
21886.0,"Nail Pullers, Wrecking and Pry Bars",FB7G,7.5 Inch All Titanium Multifunctional Glazer Bar,"The ""pocket-size"" version of our six NEW Titanium Flatbars, our FB11G Glazier's bar is incredibly strong and tough, and has a Patented 180 degree nail puller in the ""arch"". For setting windows and doors, moderate prying and scraping.",E:\IMAGES\ITEMS\product\F\B\75-Inch-All-Titanium-Multifunctional-Glazer.jpg,Stiletto Tools,"The ""pocket-size"" version of our six NEW Titanium Flatbars, our FB11G Glazier's bar is incredibly strong and tough, and has a Patented 180 degree nail puller in the ""arch"". For setting windows and doors, moderate prying and scraping.","3.2 Oz solid Titanium bar with super strong arch design/ Pat. Pending Staple Puller mid-bar pulls 3/16"" pre-hung door staples easily Two separate Pat. Pending ""multi-fulcrum"" nail pullers - design increases leverage",Dimensions: 7.50 x 1.50 x 1.50 Weight: 0.2,,7.5 Inch All Titanium Multifunctional Glazer Bar,7.5 Inch All Titanium Multifunctional Glazer Bar
21886.0,"Nail Pullers, Wrecking and Pry Bars",TRIMBAR5,"8.5"" Titanium ""Trimbar"" Finish/ Trim Puller",Our Trim and finish nail puller. Extemely lightweight yet strong little trim bar,E:\IMAGES\ITEMS\product\T\R\85-Titanium-Trimbar-Finish-Trim.jpg,Stiletto Tools,Our Trim and finish nail puller. Extemely lightweight yet strong little trim bar,6.2 Oz solid Titanium bar with lightweight open truss design/ Japanese style trim puller- wide tip for easy trim removal Two durable finish nail pullers,Dimensions: 10.00 x 4.50 x 1.50 Weight: 0.34,,"8.5"" Titanium ""Trimbar"" Finish/ Trim Puller","8.5"" Titanium ""Trimbar"" Finish/ Trim Puller"
