category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
423|21685,Drywall Tools|Drywall Specialty Tools,2311,Drywall Lfit,,E:\IMAGES\ITEMS\product\2\3\Sumner-Manufacturing-Co-Inc-2311-Drywall.jpg,Sumner Manufacturing Co. Inc.,,"Solid, safe construction Lightweight - 99 lb (45 kg) Two speed winch handle Quick, tool-free assembly One person operation Tilts 65° for drywall installation Lifts loads of 150 lb (70 kg) up to 11' 6"" (3.5 m)",,,Sumner Manufacturing Co. Inc. 2311 Drywall Lfit,Drywall Lfit
21873,Pipe Stands and Vises,ST-601,Hi Adjust-A-Roll with Steel Wheels,,E:\IMAGES\ITEMS\product\S\T\Sumner-Manufacturing-Co-Inc-ST-601-Hi-Adjust-A-Roll-with.jpg,Sumner Manufacturing Co. Inc.,,"Hi Adjust-A-Roll stands 31"" (78 cm) high Roller adjustment from either side Fast adjustment for easy pipe positioning 1/2"" to 36"" (12 – 900 mm), or 2,000 Lb (900 kg) pipe capacity Clean and simple design avoids welder interference Wheels trued for true pipe rotation Bronze bearing to eliminate arcing Brake to lock loads for layout or fit-up Handle large enough to work with gloved hand Replacement legs available for easy repair Weight: 34 lb",,,Sumner Manufacturing Co. Inc. ST-601 Hi Adjust-A-Roll with Steel Wheels,Hi Adjust-A-Roll with Steel Wheels
26720,Welding Cylinder Carts,782439,Double Cylinder Carts with Lifting Eye and/or Fire Wall,,E:\IMAGES\ITEMS\product\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,Sumner Manufacturing Co. Inc.,,"The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4"") oxygen tank and one 210–420 cu ft (13-1/2"") acetylene tank. Equipped with 13 x 25"" (33 x 63 cm) base plate and a la",,,209-14SB-LF Cylinder Cart w/Firewall,Double Cylinder Carts with Lifting Eye and/or Fire Wall
26720,Welding Cylinder Carts,782441,Double Cylinder Carts with Lifting Eye and/or Fire Wall,,E:\IMAGES\ITEMS\product\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,Sumner Manufacturing Co. Inc.,,"The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4"") oxygen tank and one 210–420 cu ft (13-1/2"") acetylene tank. Equipped with 13 x 25"" (33 x 63 cm) base plate and a la",,,209-14SB-L Cylinder Cart w/Divider,Double Cylinder Carts with Lifting Eye and/or Fire Wall
26720,Welding Cylinder Carts,782443,Double Cylinder Carts with Lifting Eye and/or Fire Wall,,E:\IMAGES\ITEMS\product\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,Sumner Manufacturing Co. Inc.,,"The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4"") oxygen tank and one 210–420 cu ft (13-1/2"") acetylene tank. Equipped with 13 x 25"" (33 x 63 cm) base plate and a la",,,209-16PB-LF Cylinder Cart w/Firewall,Double Cylinder Carts with Lifting Eye and/or Fire Wall
26720,Welding Cylinder Carts,782444,Double Cylinder Carts with Lifting Eye and/or Fire Wall,,E:\IMAGES\ITEMS\product\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,Sumner Manufacturing Co. Inc.,,"The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4"") oxygen tank and one 210–420 cu ft (13-1/2"") acetylene tank. Equipped with 13 x 25"" (33 x 63 cm) base plate and a la",,,209-16FB-LF Cylinder Cart w/Firewall,Double Cylinder Carts with Lifting Eye and/or Fire Wall
26720,Welding Cylinder Carts,782476,Double Cylinder Carts with Lifting Eye and/or Fire Wall,,E:\IMAGES\ITEMS\product\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,Sumner Manufacturing Co. Inc.,,"The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4"") oxygen tank and one 210–420 cu ft (13-1/2"") acetylene tank. Equipped with 13 x 25"" (33 x 63 cm) base plate and a la",,,213-25WB-LF Cylinder Cart w/Firewall,Double Cylinder Carts with Lifting Eye and/or Fire Wall
26720,Welding Cylinder Carts,782491,Double Cylinder Carts with Lifting Eye and/or Fire Wall,,E:\IMAGES\ITEMS\product\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,Sumner Manufacturing Co. Inc.,,"The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4"") oxygen tank and one 210–420 cu ft (13-1/2"") acetylene tank. Equipped with 13 x 25"" (33 x 63 cm) base plate and a la",,,213-14SB-LF Cylinder Cart w/Firewall,Double Cylinder Carts with Lifting Eye and/or Fire Wall
26720,Welding Cylinder Carts,782493,Double Cylinder Carts with Lifting Eye and/or Fire Wall,,E:\IMAGES\ITEMS\product\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,Sumner Manufacturing Co. Inc.,,"The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4"") oxygen tank and one 210–420 cu ft (13-1/2"") acetylene tank. Equipped with 13 x 25"" (33 x 63 cm) base plate and a la",,,213-14SB-L Cylinder Cart w/Divider,Double Cylinder Carts with Lifting Eye and/or Fire Wall
26720,Welding Cylinder Carts,782495,Double Cylinder Carts with Lifting Eye and/or Fire Wall,,E:\IMAGES\ITEMS\product\7\8\Double-Cylinder-Carts-with-Lifting-Eye-andor-Fire.jpg,Sumner Manufacturing Co. Inc.,,"The high rail feature secures tanks on to the cart while moving around job site situations. Full range cart holds one 244–330cu ft (9-1/4"") oxygen tank and one 210–420 cu ft (13-1/2"") acetylene tank. Equipped with 13 x 25"" (33 x 63 cm) base plate and a la",,,213-16PB-LF Cylinder Cart w/Firewall,Double Cylinder Carts with Lifting Eye and/or Fire Wall
