category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1794|26841,Joints|Control Joints,21-1X10,"Zipstrip 10ft. Control Joint, 50 pcs per box",,E:\IMAGES\ITEMS\product\2\1\Superior-Profiles-Zipstrip-10ft-Control-Joint-50-pcs-per.jpg,Superior Profiles,,"10ft. length 50 pcs. per box 500ft. per box Specific lengths available for sidewalks, walkways, driveways, pool decks, etc. Call for special order information",,,"1'' depth, 3'' - 6'' thick","Zipstrip 10ft. Control Joint, 50 pcs per box"
1794|26841,Joints|Control Joints,21-1-1/2X10,"Zipstrip 10ft. Control Joint, 50 pcs per box",,E:\IMAGES\ITEMS\product\2\1\Superior-Profiles-Zipstrip-10ft-Control-Joint-50-pcs-per.jpg,Superior Profiles,"Superior Profiles Zipstrip 10ft. Control Joint, 50 pcs per box","10ft. length 50 pcs. per box 500ft. per box Specific lengths available for sidewalks, walkways, driveways, pool decks, etc. Call for special order information",,,"1-1/2'' depth, 6'' to 8'' thick","Zipstrip 10ft. Control Joint, 50 pcs per box"
1794|26841,Joints|Control Joints,21-2X10,"Zipstrip 10ft. Control Joint, 50 pcs per box",,E:\IMAGES\ITEMS\product\2\1\Superior-Profiles-Zipstrip-10ft-Control-Joint-50-pcs-per.jpg,Superior Profiles,"Superior Profiles Zipstrip 10ft. Control Joint, 50 pcs per box","10ft. length 50 pcs. per box 500ft. per box Specific lengths available for sidewalks, walkways, driveways, pool decks, etc. Call for special order information",,,"2'' depth, Over 8'' thick","Zipstrip 10ft. Control Joint, 50 pcs per box"
2494|24906,Standard Expansion Joints|Jointers,21A-VC-1000,"Voidcap 10ft. Expansion Joint, 50 pcs per box",,E:\IMAGES\ITEMS\product\2\1\Superior-Profiles-Voidcap-10ft-Expansion-Joint-50-pcs-per.jpg,Superior Profiles,,10ft. length 50 pcs. per box 500ft. per box Call for special order information,,,1'' width,"Voidcap 10ft. Expansion Joint, 50 pcs per box"
2494|24906,Standard Expansion Joints|Jointers,21A-VC-750,"Voidcap 10ft. Expansion Joint, 50 pcs per box",,E:\IMAGES\ITEMS\product\2\1\Superior-Profiles-Voidcap-10ft-Expansion-Joint-50-pcs-per.jpg,Superior Profiles,"Superior Profiles Voidcap 10ft. Expansion Joint, 50 pcs per box",10ft. length 50 pcs. per box 500ft. per box Call for special order information,,,3/4'' width,"Voidcap 10ft. Expansion Joint, 50 pcs per box"
2494|24906,Standard Expansion Joints|Jointers,21A-VC-500,"Voidcap 10ft. Expansion Joint, 50 pcs per box",,E:\IMAGES\ITEMS\product\2\1\Superior-Profiles-Voidcap-10ft-Expansion-Joint-50-pcs-per.jpg,Superior Profiles,"Superior Profiles Voidcap 10ft. Expansion Joint, 50 pcs per box",10ft. length 50 pcs. per box 500ft. per box Call for special order information,,,1/2'' width,"Voidcap 10ft. Expansion Joint, 50 pcs per box"
2494|24906,Standard Expansion Joints|Jointers,21A-VC-375,"Voidcap 10ft. Expansion Joint, 50 pcs per box",,E:\IMAGES\ITEMS\product\2\1\Superior-Profiles-Voidcap-10ft-Expansion-Joint-50-pcs-per.jpg,Superior Profiles,"Superior Profiles Voidcap 10ft. Expansion Joint, 50 pcs per box",10ft. length 50 pcs. per box 500ft. per box Call for special order information,,,3/8'' width,"Voidcap 10ft. Expansion Joint, 50 pcs per box"
2494|24906,Standard Expansion Joints|Jointers,21A-PVC50,"Voidcap 10ft. Expansion Joint, 50 pcs per box",,E:\IMAGES\ITEMS\product\2\1\Superior-Profiles-Voidcap-10ft-Expansion-Joint-50-pcs-per.jpg,Superior Profiles,"Superior Profiles Voidcap 10ft. Expansion Joint, 50 pcs per box",10ft. length 50 pcs. per box 500ft. per box Call for special order information,,,1/2'' width,"Voidcap 10ft. Expansion Joint, 50 pcs per box"
930|26841,Keyways|Control Joints,21-KWS-10,KeyWay 10ft. Polyethylene strip,,E:\IMAGES\ITEMS\product\2\1\Superior-Profiles-KeyWay-10ft-Polyethylene.jpg,Superior Profiles,,10ft. length 500ft. per box,,,"2 1/8'', 50 pcs. per box",KeyWay 10ft. Polyethylene strip
930|26841,Keyways|Control Joints,21-KW-10,KeyWay 10ft. Polyethylene strip,,E:\IMAGES\ITEMS\product\2\1\Superior-Profiles-KeyWay-10ft-Polyethylene.jpg,Superior Profiles,Superior Profiles KeyWay 10ft. Polyethylene strip,10ft. length 500ft. per box,,,"3 1/2'', 30 pcs. per box",KeyWay 10ft. Polyethylene strip
